Date,Open,Close,High,Low
2015-04-16,3107,3100,3125,3100
2015-04-17,3112,3100,3112,3086
2015-04-20,3051,3090,3090,3051
2015-04-21,3099,3110,3125,3099
2015-04-22,3115,3105,3138,3096
2015-04-23,3115,3106,3116,3098
2015-04-24,3117,3105,3125,3102
2015-04-27,3111,3105,3111,3101
2015-04-28,3109,3103,3114,3103
2015-04-29,3111,3075,3122,3075
2015-04-30,3104,3111,3125,3104
2015-05-04,3100,3100,3105,3092
2015-05-05,3107,3100,3114,3099
2015-05-06,3106,3100,3110,3100
2015-05-07,3103,3090,3114,3075
2015-05-08,3100,3093,3100,3080
2015-05-11,3089,3100,3110,3080
2015-05-12,3096,3091,3102,3090
2015-05-13,3096,3094,3098,3090
2015-05-14,3087,3085,3092,3085
2015-05-15,3090,3095,3095,3090
2015-05-18,3096,3081,3096,3081
2015-05-19,3092,3092,3093,3092
2015-05-20,3055,3025,3085,3000
2015-05-21,3020,2999,3020,2952
2015-05-22,3000,3005,3050,2970
2015-05-25,3013,2947,3013,2915
2015-05-26,2949,2945,2965,2930
2015-05-27,2974,2950,2974,2926
2015-05-28,2940,2950,2964,2940
2015-05-29,2957,2952,2957,2940
2015-06-01,2965,2950,2965,2945
2015-06-02,2935,2942,2949,2935
2015-06-03,2944,2955,2959,2935
2015-06-04,2952,2951,2957,2946
2015-06-05,2969,2950,2969,2950
2015-06-08,2955,2949,2955,2949
2015-06-09,2958,2974,3020,2958
2015-06-10,2970,2959,2970,2959
2015-06-11,2979,2963,2980,2956
2015-06-12,2977,2946,2977,2944
2015-06-15,2947,2936,2955,2936
2015-06-16,2948,2949,2950,2937
2015-06-17,2954,2947,2956,2926
2015-06-18,2994,2955,2994,2947
2015-06-19,2946,2952,2953,2946
2015-06-23,2960,2960,2972,2952
2015-06-24,2958,2954,2963,2950
2015-06-25,2955,2955,2955,2946
2015-06-26,2960,2945,2960,2945
2015-06-29,2955,2940,2955,2940
2015-06-30,2900,2904,2931,2900
2015-07-01,2885,2941,2950,2885
2015-07-02,2939,2930,2939,2911
2015-07-03,2935,2940,2960,2926
2015-07-06,2940,2933,2950,2920
2015-07-07,2907,2890,2925,2816
2015-07-08,2915,2788,2915,2788
2015-07-09,2700,2836,2900,2688
2015-07-10,2849,2872,2872,2847
2015-07-13,2897,2875,2900,2812
2015-07-14,2870,2911,2911,2870
2015-07-15,2900,2900,2910,2900
2015-07-16,2913,2910,2913,2900
2015-07-17,2880,2905,2905,2878
2015-07-20,2895,2897,2910,2891
2015-07-21,2907,2907,2908,2900
2015-07-22,2891,2891,2891,2891
2015-07-23,2908,2887,2909,2887
2015-07-24,2888,2888,2888,2888
2015-07-27,2888,2905,2905,2886
2015-07-28,2905,2881,2905,2881
2015-07-29,2893,2892,2893,2882
2015-07-30,2898,2882,2910,2882
2015-07-31,2910,2890,2910,2890
2015-08-03,2876,2898,2898,2800
2015-08-04,2883,2899,2899,2883
