Date,Open,Close,High,Low
2018-10-08,3696,3740,3838,3686
2018-10-09,3740,3749,3791,3729
2018-10-10,3750,3752,3758,3570
2018-10-11,3744,3723,3769,3709
2018-10-12,3718,3724,3785,3710
2018-10-15,3729,3696,3742,3690
2018-10-16,3695,3696,3742,3676
2018-10-17,3697,3711,3718,3672
2018-10-18,3710,3682,3732,3678
2018-10-19,3681,3664,3690,3656
2018-10-22,3665,3626,3665,3610
2018-10-23,3625,3614,3641,3610
2018-10-24,3615,3640,3642,3600
2018-10-25,3640,3630,3653,3617
2018-10-26,3649,3612,3649,3597
2018-10-29,3611,3573,3632,3562
2018-10-30,3572,3528,3585,3523
2018-10-31,3529,3547,3557,3528
2018-11-01,3547,3513,3551,3488
2018-11-02,3514,3341,3533,3341
2018-11-05,3341,3390,3455,3338
2018-11-06,3391,3392,3418,3381
2018-11-07,3393,3424,3427,3377
2018-11-08,3425,3387,3425,3340
2018-11-09,3386,3378,3393,3353
2018-11-12,3377,3393,3399,3356
2018-11-13,3393,3379,3401,3336
2018-11-14,3378,3309,3386,3299
2018-11-15,3308,3304,3350,3292
2018-11-16,3306,3373,3386,3301
2018-11-19,3379,3337,3379,3336
2018-11-20,3336,3339,3361,3302
2018-11-21,3339,3369,3377,3314
2018-11-22,3372,3358,3375,3347
2018-11-23,3359,3326,3368,3285
2018-11-26,3327,3257,3336,3240
2018-11-27,3257,3239,3292,3232
2018-11-28,3240,3249,3258,3234
2018-11-29,3251,3251,3275,3244
2018-11-30,3254,3274,3288,3248
2018-12-03,3268,3240,3285,3185
2018-12-04,3240,3160,3240,3152
2018-12-05,3160,3177,3201,3154
2018-12-06,3172,3187,3215,3172
2018-12-07,3182,3146,3190,3137
2018-12-10,3149,3142,3161,3138
2018-12-11,3125,3112,3141,3097
2018-12-12,3113,3120,3137,3105
2018-12-13,3123,3137,3141,3117
2018-12-14,3137,3099,3137,3077
2018-12-17,3085,3098,3106,3085
2018-12-18,3101,3102,3106,3087
2018-12-19,3109,3113,3121,3102
2018-12-20,3118,3108,3118,3102
2018-12-21,3115,3092,3130,3085
2018-12-24,3091,3062,3096,3045
2018-12-25,3061,3048,3072,3039
2018-12-26,3057,3045,3057,3038
2018-12-27,3046,3028,3056,3026
2018-12-28,3029,3012,3039,2999
2019-01-02,3020,3029,3034,3000
2019-01-03,3031,3027,3035,3013
2019-01-04,3026,3046,3051,3017
2019-01-07,3055,3060,3061,3030
2019-01-08,3059,3068,3070,3047
2019-01-09,3077,3061,3077,3050
2019-01-10,3067,3053,3069,3047
2019-01-11,3071,3027,3071,3018
2019-01-14,3027,2986,3032,2983
2019-01-15,2986,2968,2988,2968
2019-01-16,2968,2954,2979,2931
2019-01-17,2950,2954,2960,2943
2019-01-18,2950,3001,3007,2950
2019-01-21,3009,3025,3028,2993
2019-01-22,3016,3024,3031,3002
2019-01-23,3023,3016,3036,3013
2019-01-24,3025,3034,3044,3014
2019-01-25,3026,3030,3041,3016
2019-01-28,3030,3054,3056,3029
2019-01-29,3051,3035,3056,3014
2019-01-30,3036,3027,3041,3022
2019-01-31,3030,3060,3074,3023
2019-02-01,3060,3067,3080,3055
2019-02-11,3066,3091,3098,3066
2019-02-12,3096,3089,3096,3073
2019-02-13,3081,3095,3102,3068
