Date,Open,Close,High,Low
2006-01-10,5300,5096,5350,5070
2006-01-11,5072,5086,5108,5050
2006-01-12,5072,5080,5094,5060
2006-01-13,5070,5086,5094,5066
2006-01-16,5080,5036,5080,5032
2006-01-17,5056,5058,5076,5038
2006-01-18,5058,5030,5066,5030
2006-01-19,5008,5028,5058,5008
2006-01-20,5036,5092,5104,5036
2006-01-23,5080,5098,5148,5060
2006-01-24,5132,5096,5142,5084
2006-01-25,5100,5050,5100,5008
2006-01-26,5046,5058,5076,5030
2006-01-27,5038,5026,5060,5020
2006-01-30,5046,5050,5068,5026
2006-02-07,5198,5200,5236,5150
2006-02-08,5150,5164,5176,5110
2006-02-09,5100,5064,5106,4970
2006-02-10,5080,5058,5106,5048
2006-02-13,5122,5080,5122,5060
2006-02-14,5088,5070,5088,5054
2006-02-15,5070,5078,5086,5064
2006-02-16,5062,5068,5078,5052
2006-02-17,5062,5088,5100,5062
2006-02-20,5100,5144,5160,5096
2006-02-21,5196,5150,5196,5148
2006-02-22,5150,5122,5172,5122
2006-02-23,5110,5136,5144,5102
2006-02-24,5090,5104,5130,5086
2006-02-27,5112,5202,5236,5112
2006-02-28,5180,5150,5194,5136
2006-03-01,5182,5174,5220,5166
2006-03-02,5230,5268,5290,5196
2006-03-03,5284,5268,5308,5252
2006-03-06,5318,5296,5346,5284
2006-03-07,5280,5238,5282,5238
2006-03-08,5250,5238,5278,5226
2006-03-09,5204,5220,5228,5196
2006-03-10,5200,5236,5236,5192
2006-03-13,5228,5206,5252,5204
2006-03-14,5212,5232,5246,5204
2006-03-15,5206,5216,5230,5202
2006-03-16,5228,5222,5240,5218
2006-03-17,5220,5210,5220,5200
2006-03-20,5196,5172,5202,5170
2006-03-21,5172,5186,5190,5170
2006-03-22,5166,5150,5172,5140
2006-03-23,5150,5162,5172,5148
2006-03-24,5150,5154,5156,5142
2006-03-27,5162,5168,5184,5162
2006-03-28,5148,5166,5174,5148
2006-03-29,5166,5148,5168,5146
2006-03-30,5164,5154,5166,5150
2006-03-31,5160,5150,5160,5132
2006-04-03,5170,5156,5180,5148
2006-04-04,5108,5112,5118,5074
2006-04-05,5086,5092,5110,5086
2006-04-06,5086,5092,5098,5078
2006-04-07,5096,5076,5104,5076
2006-04-10,5084,5036,5084,5018
2006-04-11,5022,4996,5022,4994
2006-04-12,5000,5028,5046,4996
2006-04-13,5040,5036,5042,5026
2006-04-14,5004,5020,5028,5004
2006-04-17,5030,5032,5038,5022
2006-04-18,5030,5032,5050,5024
2006-04-19,5036,5028,5040,5002
