Date,Open,Close,High,Low
2018-10-08,5792,5808,5826,5790
2018-10-09,5806,5882,5908,5806
2018-10-10,5890,5916,5918,5868
2018-10-11,5912,5826,5932,5810
2018-10-12,5836,5890,5890,5828
2018-10-15,5890,5898,5916,5884
2018-10-16,5900,5880,5918,5870
2018-10-17,5880,5898,5912,5866
2018-10-18,5900,5838,5904,5824
2018-10-19,5828,5824,5852,5812
2018-10-22,5830,5850,5866,5830
2018-10-23,5852,5834,5866,5830
2018-10-24,5824,5784,5848,5778
2018-10-25,5788,5772,5820,5740
2018-10-26,5774,5744,5786,5740
2018-10-29,5742,5766,5774,5720
2018-10-30,5770,5726,5792,5714
2018-10-31,5726,5730,5740,5706
2018-11-01,5722,5706,5752,5696
2018-11-02,5708,5586,5728,5550
2018-11-05,5600,5638,5652,5594
2018-11-06,5634,5640,5650,5620
2018-11-07,5634,5618,5646,5598
2018-11-08,5630,5578,5640,5548
2018-11-09,5580,5544,5584,5520
2018-11-12,5544,5554,5560,5494
2018-11-13,5550,5536,5558,5514
2018-11-14,5530,5440,5552,5420
2018-11-15,5450,5466,5488,5442
2018-11-16,5468,5506,5532,5460
2018-11-19,5482,5492,5496,5440
2018-11-20,5486,5486,5518,5452
2018-11-21,5496,5516,5538,5438
2018-11-22,5530,5518,5530,5486
2018-11-23,5532,5508,5538,5492
2018-11-26,5490,5548,5562,5478
2018-11-27,5522,5502,5548,5498
2018-11-28,5510,5534,5548,5504
2018-11-29,5554,5524,5568,5510
2018-11-30,5534,5556,5556,5522
2018-12-03,5444,5382,5462,5370
2018-12-04,5382,5400,5430,5360
2018-12-05,5402,5376,5418,5370
2018-12-06,5376,5366,5394,5332
2018-12-07,5370,5228,5370,5224
2018-12-10,5228,5172,5248,5170
2018-12-11,5192,5092,5194,5080
2018-12-12,5104,5074,5110,5060
2018-12-13,5084,5048,5088,5044
2018-12-14,5046,5012,5068,5012
2018-12-17,5012,5016,5024,5004
2018-12-18,5016,5048,5056,5016
2018-12-19,5054,5076,5086,5050
2018-12-20,5086,5116,5126,5072
2018-12-21,5118,5048,5128,5042
2018-12-24,5038,5024,5052,5008
2018-12-25,5542,5492,5560,5486
2018-12-26,5496,5502,5518,5474
2018-12-27,5500,5480,5522,5468
2018-12-28,5480,5468,5490,5456
2019-01-02,5470,5540,5540,5470
2019-01-03,5540,5596,5598,5530
2019-01-04,5584,5610,5610,5578
2019-01-07,5616,5604,5626,5572
2019-01-08,5608,5646,5658,5576
2019-01-09,5640,5634,5666,5620
2019-01-10,5634,5626,5672,5626
2019-01-11,5626,5604,5642,5582
2019-01-14,5608,5608,5650,5586
2019-01-15,5598,5594,5604,5574
2019-01-16,5594,5598,5610,5568
2019-01-17,5594,5544,5594,5540
2019-01-18,5556,5632,5640,5556
2019-01-21,5636,5734,5758,5632
2019-01-22,5736,5746,5760,5714
2019-01-23,5746,5732,5772,5702
2019-01-24,5740,5748,5772,5722
2019-01-25,5738,5758,5770,5728
2019-01-28,5756,5842,5854,5750
2019-01-29,5842,5846,5862,5816
2019-01-30,5836,5838,5848,5810
2019-01-31,5854,5806,5854,5800
2019-02-01,5800,5794,5820,5784
2019-02-11,5850,5828,5872,5804
2019-02-12,5826,5794,5842,5768
2019-02-13,5800,5812,5820,5792
2019-02-14,5800,5802,5814,5772
2019-02-15,5800,5778,5814,5772
2019-02-18,5780,5826,5828,5774
2019-02-19,5826,5892,5894,5822
2019-02-20,5872,5818,5872,5816
2019-02-21,5808,5808,5824,5780
2019-02-22,5824,5814,5864,5796
2019-02-25,5810,5820,5848,5806
2019-02-26,5810,5750,5830,5746
2019-02-27,5746,5756,5786,5744
2019-02-28,5730,5764,5790,5720
2019-03-01,5756,5848,5886,5752
2019-03-04,5866,5882,5942,5812
2019-03-05,5850,5862,5888,5842
2019-03-06,5838,5894,5948,5838
2019-03-07,5906,5814,5926,5806
2019-03-08,5822,5808,5848,5800
2019-03-11,5804,5806,5854,5800
2019-03-12,5800,5772,5826,5760
2019-03-13,5780,5752,5812,5752
2019-03-14,5742,5724,5774,5712
2019-03-15,5720,5674,5728,5666
2019-03-18,5690,5710,5724,5676
2019-03-19,5710,5688,5722,5682
2019-03-20,5700,5714,5716,5674
2019-03-21,5722,5706,5730,5690
2019-03-22,5704,5666,5710,5646
2019-03-25,5650,5610,5670,5608
2019-03-26,5612,5612,5638,5610
2019-03-27,5624,5638,5650,5618
2019-03-28,5644,5584,5650,5544
2019-03-29,5584,5536,5590,5516
2019-04-01,5542,5554,5564,5540
2019-04-02,5560,5566,5582,5534
2019-04-03,5570,5598,5630,5566
2019-04-04,5460,5448,5460,5418
2019-04-08,5468,5446,5474,5432
2019-04-09,5440,5466,5474,5414
2019-04-10,5456,5450,5472,5442
2019-04-11,5446,5434,5462,5430
2019-04-12,5434,5440,5444,5414
2019-04-15,5444,5422,5458,5420
2019-04-16,5422,5388,5422,5372
2019-04-17,5388,5412,5412,5386
2019-04-18,5412,5344,5418,5340
2019-04-19,5352,5340,5368,5332
2019-04-22,5348,5332,5364,5326
2019-04-23,5344,5330,5354,5304
2019-04-24,5334,5276,5334,5254
2019-04-25,5274,5276,5294,5268
2019-04-26,5274,5190,5282,5160
2019-04-29,5190,5188,5200,5176
2019-04-30,5184,5242,5246,5162
2019-05-06,5092,5220,5440,5092
2019-05-07,5488,5560,5564,5480
2019-05-08,5566,5538,5574,5532
2019-05-09,5538,5568,5578,5532
2019-05-10,5568,5530,5570,5502
2019-05-13,5530,5530,5552,5514
2019-05-14,5536,5526,5594,5516
2019-05-15,5532,5580,5592,5532
2019-05-16,5596,5620,5626,5588
2019-05-17,5626,5624,5654,5612
2019-05-20,5628,5614,5652,5608
2019-05-21,5618,5638,5644,5600
2019-05-22,5636,5554,5636,5534
2019-05-23,5554,5508,5574,5506
2019-05-24,5502,5512,5522,5490
2019-05-27,5530,5534,5544,5508
