Date,Open,Close,High,Low
2000-07-18,2692,2528,2692,2528
2000-07-19,2545,2570,2678,2545
2000-07-20,2572,2544,2572,2543
2000-07-21,2553,2548,2558,2538
2000-07-24,2522,2502,2530,2502
2000-07-25,2502,2508,2509,2462
2000-07-26,2470,2530,2530,2469
2000-07-27,2522,2482,2522,2472
2000-07-28,2424,2480,2482,2424
2000-07-31,2492,2413,2492,2412
2000-08-01,2462,2464,2519,2402
2000-08-02,2422,2422,2422,2422
2000-08-03,2415,2374,2417,2374
2000-08-04,2391,2367,2392,2367
2000-08-07,2363,2359,2363,2321
2000-08-08,2323,2312,2339,2267
2000-08-09,2312,2327,2362,2312
2000-08-10,2312,2352,2352,2312
2000-08-11,2312,2337,2337,2312
2000-08-14,2322,2352,2377,2322
2000-08-15,2332,2342,2361,2332
2000-08-16,2322,2342,2362,2282
2000-08-17,2342,2332,2362,2327
2000-08-18,2342,2342,2347,2332
2000-08-21,2342,2342,2342,2332
2000-08-22,2322,2332,2342,2322
2000-08-23,2332,2342,2342,2312
2000-08-24,2362,2344,2362,2334
2000-08-25,2312,2312,2322,2309
2000-08-28,2330,2342,2352,2330
2000-08-29,2332,2392,2393,2332
2000-08-30,2382,2377,2387,2372
2000-08-31,2342,2367,2372,2342
2000-09-01,2352,2382,2402,2352
2000-09-04,2362,2389,2389,2362
2000-09-05,2452,2457,2457,2392
2000-09-06,2442,2412,2442,2402
2000-09-07,2542,2542,2542,2477
2000-09-08,2562,2560,2622,2560
2000-09-11,2572,2562,2580,2543
2000-09-12,2567,2562,2634,2552
2000-09-13,2562,2572,2582,2562
2000-09-14,2572,2592,2602,2572
2000-09-15,2639,2552,2639,2545
2000-09-18,2542,2542,2562,2522
2000-09-19,2562,2562,2572,2523
2000-09-20,2532,2561,2561,2527
2000-09-21,2522,2522,2532,2502
2000-09-22,2532,2522,2552,2481
2000-09-25,2472,2472,2472,2462
2000-09-26,2482,2437,2482,2427
2000-09-27,2442,2472,2492,2432
2000-09-28,2472,2447,2472,2435
2000-09-29,2472,2442,2472,2437
2000-10-02,2472,2452,2472,2442
2000-10-10,2477,2462,2482,2462
2000-10-11,2420,2415,2420,2415
2000-10-12,2416,2422,2422,2412
2000-10-13,2423,2432,2432,2423
2000-10-16,2432,2437,2451,2430
2000-10-17,2412,2432,2460,2412
2000-10-18,2422,2432,2432,2421
2000-10-19,2421,2422,2430,2421
2000-10-20,2435,2426,2436,2414
2000-10-23,2414,2427,2452,2414
2000-10-24,2412,2378,2413,2378
2000-10-25,2410,2416,2422,2410
2000-10-26,2402,2420,2424,2402
2000-10-27,2404,2414,2417,2403
2000-10-30,2402,2402,2402,2402
2000-10-31,2412,2407,2412,2392
2000-11-01,2392,2400,2402,2382
2000-11-02,2392,2404,2410,2384
2000-11-03,2391,2408,2411,2390
2000-11-06,2408,2404,2408,2393
2000-11-07,2405,2401,2406,2397
2000-11-08,2397,2397,2400,2388
2000-11-09,2399,2398,2404,2394
2000-11-10,2397,2406,2408,2397
2000-11-13,2407,2411,2412,2407
2000-11-14,2411,2414,2482,2403
2000-11-15,2398,2405,2414,2398
2000-11-16,2410,2402,2410,2382
2000-11-17,2398,2408,2411,2398
2000-11-20,2402,2400,2402,2397
2000-11-21,2397,2425,2425,2397
2000-11-22,2407,2416,2431,2403
2000-11-23,2433,2471,2485,2433
2000-11-24,2463,2482,2534,2462
2000-11-27,2454,2462,2492,2447
2000-11-28,2433,2440,2460,2433
2000-11-29,2430,2438,2443,2430
2000-11-30,2435,2441,2460,2427
2000-12-01,2442,2441,2447,2437
2000-12-04,2403,2442,2442,2403
2000-12-05,2441,2432,2450,2432
2000-12-06,2423,2420,2423,2418
2000-12-07,2400,2419,2419,2400
2000-12-08,2408,2410,2410,2346
2000-12-11,2407,2408,2417,2394
2000-12-12,2382,2417,2423,2382
2000-12-13,2407,2443,2479,2407
2000-12-14,2454,2437,2462,2433
2000-12-15,2434,2438,2453,2433
2000-12-18,2434,2438,2453,2434
2000-12-19,2442,2460,2465,2438
2000-12-20,2442,2462,2462,2439
2000-12-21,2448,2462,2470,2448
2000-12-22,2470,2465,2470,2450
2000-12-25,2444,2472,2473,2444
2000-12-26,2392,2446,2532,2392
2000-12-27,2443,2453,2458,2443
2000-12-28,2432,2445,2453,2432
2000-12-29,2394,2444,2452,2394
2001-01-01,2437,2436,2444,2436
2001-01-03,2438,2457,2462,2438
2001-01-04,2397,2450,2452,2397
2001-01-05,2445,2432,2452,2432
