Date,Open,Close,High,Low
2018-10-08,2899,2935,2945,2892
2018-10-09,2934,2970,3026,2933
2018-10-10,2970,2970,2974,2946
2018-10-11,2966,2925,2995,2916
2018-10-12,2927,2918,2952,2895
2018-10-15,2921,2930,2942,2908
2018-10-16,2928,2940,2962,2918
2018-10-17,2935,2949,2952,2915
2018-10-18,2948,2927,2959,2923
2018-10-19,2923,2927,2934,2909
2018-10-22,2926,2908,2932,2898
2018-10-23,2908,2898,2918,2895
2018-10-24,2895,2911,2913,2892
2018-10-25,2908,2911,2921,2883
2018-10-26,2903,2908,2911,2895
2018-10-29,2910,2861,2920,2859
2018-10-30,2863,2832,2868,2825
2018-10-31,2835,2834,2845,2830
2018-11-01,2830,2803,2844,2792
2018-11-02,2806,2774,2818,2730
2018-11-05,2779,2803,2822,2772
2018-11-06,2805,2808,2822,2805
2018-11-07,2810,2820,2825,2803
2018-11-08,2818,2785,2821,2752
2018-11-09,2785,2773,2787,2766
2018-11-12,2775,2781,2788,2758
2018-11-13,2781,2787,2788,2765
2018-11-14,2790,2785,2797,2770
2018-11-15,2788,2782,2792,2772
2018-11-16,2784,2829,2841,2782
2018-11-19,2828,2824,2839,2818
2018-11-20,2821,2806,2826,2790
2018-11-21,2806,2827,2830,2787
2018-11-22,2825,2804,2827,2793
2018-11-23,2804,2763,2810,2740
2018-11-26,2761,2670,2767,2653
2018-11-27,3037,3037,3095,2998
2018-11-28,3038,3056,3066,3026
2018-11-29,3061,3058,3086,3039
2018-11-30,3060,3056,3076,3044
2018-12-03,3055,3012,3067,2953
2018-12-04,3018,2919,3022,2899
2018-12-05,2922,2917,2934,2888
2018-12-06,2919,2942,2975,2911
2018-12-07,2950,2911,2950,2901
2018-12-10,2920,2911,2929,2890
2018-12-11,2918,2925,2941,2912
2018-12-12,2930,2936,2937,2903
2018-12-13,2930,2913,2940,2890
2018-12-14,2913,2873,2920,2837
2018-12-17,2877,2893,2899,2861
2018-12-18,2896,2907,2908,2884
2018-12-19,2712,2721,2729,2708
2018-12-20,2724,2707,2724,2700
2018-12-21,2710,2691,2715,2685
2018-12-24,2691,2668,2701,2649
2018-12-25,2666,2675,2685,2662
2018-12-26,2672,2676,2682,2663
2018-12-27,2680,2665,2690,2656
2018-12-28,2667,2667,2673,2655
2019-01-02,2663,2686,2690,2663
2019-01-03,2684,2692,2694,2676
2019-01-04,2692,2720,2728,2688
2019-01-07,2725,2726,2738,2710
2019-01-08,2728,2706,2736,2704
2019-01-09,2707,2705,2715,2698
2019-01-10,2705,2704,2719,2692
2019-01-11,2704,2658,2705,2655
2019-01-14,2655,2603,2662,2597
2019-01-15,2600,2611,2615,2593
2019-01-16,2610,2578,2619,2566
2019-01-17,2584,2587,2596,2575
2019-01-18,2590,2627,2630,2581
2019-01-21,2631,2637,2642,2618
2019-01-22,2637,2630,2644,2613
2019-01-23,2629,2630,2640,2617
2019-01-24,2631,2643,2655,2629
2019-01-25,2640,2630,2646,2621
2019-01-28,2630,2630,2641,2626
2019-01-29,2629,2612,2633,2590
2019-01-30,2613,2605,2614,2600
2019-01-31,2591,2623,2632,2588
2019-02-01,2616,2623,2674,2613
2019-02-11,2634,2666,2673,2625
2019-02-12,2664,2681,2686,2659
2019-02-13,2684,2684,2688,2655
2019-02-14,2680,2667,2700,2660
2019-02-15,2668,2641,2669,2635
2019-02-18,2644,2641,2661,2629
2019-02-19,2643,2641,2655,2637
2019-02-20,2607,2566,2607,2546
2019-02-21,2602,2607,2618,2596
2019-02-22,2616,2615,2626,2600
2019-02-25,2618,2602,2620,2584
2019-02-26,2606,2592,2618,2589
2019-02-27,2588,2560,2592,2554
2019-02-28,2559,2562,2570,2547
2019-03-01,2563,2589,2600,2553
2019-03-04,2591,2567,2597,2561
2019-03-05,2566,2579,2595,2565
2019-03-06,2579,2593,2595,2576
2019-03-07,2592,2600,2607,2581
2019-03-08,2603,2586,2605,2581
2019-03-11,2586,2587,2600,2578
2019-03-12,2585,2569,2591,2562
2019-03-13,2570,2589,2590,2569
2019-03-14,2585,2619,2632,2579
2019-03-15,2612,2616,2626,2607
2019-03-18,2616,2612,2630,2601
2019-03-19,2615,2604,2626,2596
2019-03-20,2610,2598,2611,2586
2019-03-21,2599,2605,2608,2592
2019-03-22,2606,2616,2619,2594
2019-03-25,2611,2614,2621,2604
2019-03-26,2612,2618,2626,2612
2019-03-27,2610,2616,2621,2609
2019-03-28,2614,2570,2616,2567
2019-03-29,2575,2572,2587,2569
2019-04-01,2577,2584,2590,2568
2019-04-02,2585,2634,2642,2585
2019-04-03,2628,2634,2653,2617
2019-04-04,2545,2542,2549,2528
2019-04-08,2530,2540,2558,2527
2019-04-09,2543,2531,2543,2519
2019-04-10,2530,2525,2535,2525
2019-04-11,2525,2534,2539,2519
2019-04-12,2536,2514,2536,2508
2019-04-15,2514,2540,2542,2513
2019-04-16,2543,2546,2557,2536
2019-04-17,2555,2526,2555,2524
2019-04-18,2530,2524,2530,2510
2019-04-19,2528,2523,2532,2521
2019-04-22,2525,2522,2531,2512
2019-04-23,2527,2523,2527,2518
2019-04-24,2524,2513,2526,2505
2019-04-25,2518,2490,2522,2488
2019-04-26,2512,2505,2519,2498
2019-04-29,2512,2515,2517,2504
2019-04-30,2500,2463,2500,2456
2019-05-06,2510,2554,2573,2381
2019-05-07,2641,2663,2676,2639
2019-05-08,2663,2668,2673,2653
2019-05-09,2673,2727,2741,2666
2019-05-10,2727,2701,2745,2674
2019-05-13,2703,2687,2715,2675
2019-05-14,2690,2699,2715,2675
2019-05-15,2708,2731,2732,2699
2019-05-16,2738,2760,2779,2735
2019-05-17,2760,2736,2779,2734
2019-05-20,2731,2749,2756,2719
2019-05-21,2753,2791,2806,2746
2019-05-22,2800,2766,2809,2739
2019-05-23,2760,2755,2791,2748
2019-05-24,2747,2755,2764,2736
2019-05-27,2781,2805,2821,2761
