Date,Open,Close,High,Low
2018-10-08,500.0,500.5,502.0,493.5
2018-10-09,501.5,507.5,512.0,500.5
2018-10-10,508.0,512.5,518.5,508.0
2018-10-11,512.5,511.0,516.0,504.5
2018-10-12,511.0,512.0,516.0,507.0
2018-10-15,511.5,507.0,515.5,507.0
2018-10-16,509.5,507.0,512.0,505.5
2018-10-17,508.5,518.0,518.0,504.0
2018-10-18,516.5,511.0,526.0,509.0
2018-10-19,512.0,509.0,512.5,505.5
2018-10-22,504.0,516.5,518.0,504.0
2018-10-23,520.0,512.5,521.0,511.5
2018-10-24,517.0,528.5,528.5,511.0
2018-10-25,525.5,526.0,527.0,514.5
2018-10-26,527.5,532.0,533.5,525.0
2018-10-29,525.5,525.5,541.0,525.0
2018-10-30,526.0,526.0,529.0,522.0
2018-10-31,526.5,520.5,526.5,516.5
2018-11-01,521.5,505.5,522.0,505.0
2018-11-02,504.5,495.5,507.5,487.5
2018-11-05,496.0,501.5,503.0,493.5
2018-11-06,501.0,494.5,504.0,494.0
2018-11-07,494.5,493.5,496.0,488.0
2018-11-08,495.0,494.5,496.5,484.0
2018-11-09,496.0,489.0,496.5,486.5
2018-11-12,488.0,487.0,492.0,483.5
2018-11-13,486.0,487.0,491.5,483.0
2018-11-14,486.0,479.0,490.5,474.5
2018-11-15,478.0,482.0,483.0,478.0
2018-11-16,483.0,492.5,498.5,481.0
2018-11-19,492.0,495.0,496.0,486.0
2018-11-20,492.0,483.0,494.0,482.0
2018-11-21,482.0,492.0,492.5,466.0
2018-11-22,491.0,483.5,491.0,481.0
2018-11-23,481.0,469.5,484.5,469.0
2018-11-26,468.0,449.5,470.5,449.5
2018-11-27,445.5,450.5,457.0,445.0
2018-11-28,451.0,454.5,457.5,445.0
2018-11-29,454.5,455.5,463.5,452.0
2018-11-30,476.0,482.0,483.0,473.5
2018-12-03,481.0,495.5,507.5,477.0
2018-12-04,496.0,503.0,507.0,494.5
2018-12-05,505.5,507.0,508.0,498.5
2018-12-06,509.5,507.0,513.0,504.0
2018-12-07,505.0,516.0,517.5,502.5
2018-12-10,513.5,513.5,519.0,510.0
2018-12-11,488.0,491.5,492.5,484.5
2018-12-12,491.5,488.0,497.0,486.5
2018-12-13,489.0,495.0,495.5,488.0
2018-12-14,493.5,501.0,502.5,493.5
2018-12-17,502.0,508.0,510.0,500.5
2018-12-18,508.0,509.5,511.5,505.0
2018-12-19,508.0,507.0,515.5,505.5
2018-12-20,506.0,518.0,519.0,506.0
2018-12-21,519.0,519.5,523.5,515.0
2018-12-24,519.5,514.5,521.5,506.5
2018-12-25,514.0,512.0,516.0,505.0
2018-12-26,512.0,519.0,521.0,511.0
2018-12-27,519.5,520.5,524.0,514.0
2018-12-28,521.0,528.0,529.0,518.5
2019-01-02,528.0,518.5,528.0,517.5
2019-01-03,519.0,526.0,530.0,517.5
2019-01-04,525.0,536.5,537.0,525.0
2019-01-07,538.0,540.5,542.0,532.5
2019-01-08,541.0,539.0,541.5,534.5
2019-01-09,540.5,535.5,546.0,534.5
2019-01-10,535.0,535.5,540.0,533.5
2019-01-11,538.0,538.0,543.0,535.0
2019-01-14,538.0,542.0,543.5,534.5
2019-01-15,545.0,541.0,545.0,535.0
