Date,Open,Close,High,Low
2014-08-11,6560,6482,6694,6464
2014-08-12,6444,6450,6518,6414
2014-08-13,6422,6414,6500,6404
2014-08-14,6410,6424,6456,6388
2014-08-15,6416,6396,6466,6352
2014-08-18,6400,6412,6426,6386
2014-08-19,6418,6404,6478,6398
2014-08-20,6394,6386,6408,6364
2014-08-21,6376,6386,6410,6354
2014-08-22,6398,6370,6406,6360
2014-08-25,6366,6392,6398,6366
2014-08-26,6396,6436,6448,6380
2014-08-27,6426,6442,6446,6412
2014-08-28,6484,6398,6484,6398
2014-08-29,6392,6378,6410,6366
2014-09-01,6374,6372,6392,6366
2014-09-02,6370,6378,6388,6368
2014-09-03,6368,6344,6368,6306
2014-09-04,6326,6340,6352,6324
2014-09-05,6340,6340,6360,6318
2014-09-08,6328,6330,6352,6328
2014-09-10,6324,6298,6326,6268
2014-09-11,6282,6300,6310,6156
2014-09-12,6300,6264,6300,6264
2014-09-15,6270,6288,6288,6250
2014-09-16,6260,6346,6346,6260
2014-09-17,6348,6300,6350,6300
2014-09-18,6310,6292,6324,6290
2014-09-19,6298,6252,6298,6246
2014-09-22,6248,6126,6252,6112
2014-09-23,6064,6030,6090,6000
2014-09-24,6020,6042,6130,6020
2014-09-25,6042,6100,6108,6030
2014-09-26,6100,6016,6138,5982
2014-09-29,5996,6048,6060,5940
2014-09-30,6088,6070,6088,6016
2014-10-01,6122,6088,6128,6056
2014-10-02,6122,6088,6128,6088
2014-10-03,6122,6088,6128,6088
2014-10-06,6122,6088,6128,6056
2014-10-09,6130,6086,6180,6078
2014-10-10,6080,6170,6178,6080
2014-10-13,6152,6144,6170,6122
2014-10-14,6170,6244,6320,6150
2014-10-15,6288,6202,6288,6170
2014-10-16,6202,6176,6214,6158
2014-10-17,6150,6146,6186,6118
2014-10-20,6184,6216,6314,6160
2014-10-21,6162,6182,6222,6162
2014-10-22,6170,6194,6204,6170
2014-10-23,6170,6140,6212,6140
2014-10-24,6122,6196,6198,6120
2014-10-27,6248,6214,6248,6184
2014-10-28,6212,6196,6226,6184
2014-10-29,6208,6200,6216,6188
2014-10-30,6214,6206,6222,6188
2014-10-31,6216,6180,6220,6180
2014-11-03,6196,6150,6198,6126
2014-11-04,6074,6180,6182,6074
2014-11-05,6150,6196,6248,6150
2014-11-06,6226,6172,6226,6172
2014-11-07,6172,6204,6218,6158
2014-11-10,6226,6208,6230,6190
2014-11-11,6210,6188,6220,6132
2014-11-12,6200,6192,6202,6170
2014-11-13,6204,6208,6222,6190
2014-11-14,6202,6206,6214,6172
2014-11-17,6212,6206,6212,6182
2014-11-18,6196,6194,6208,6188
2014-11-19,6186,6188,6200,6184
2014-11-20,6198,6216,6216,6188
2014-11-21,6210,6196,6220,6188
2014-11-24,6210,6196,6210,6192
2014-11-25,6210,6184,6212,6182
2014-11-26,6170,6200,6200,6170
2014-11-27,6230,6208,6230,6196
2014-11-28,6190,6230,6248,6156
2014-12-01,6200,6192,6230,6162
2014-12-02,6092,6188,6218,6088
2014-12-03,6170,6192,6210,6170
2014-12-04,6160,6168,6192,6156
2014-12-05,6150,6180,6210,6148
2014-12-08,6170,6160,6180,6152
2014-12-09,6160,6146,6182,6146
2014-12-10,6154,6164,6188,6122
2014-12-11,6138,6168,6240,6138
2014-12-12,6196,6178,6196,6150
2014-12-15,6176,6146,6176,6122
2014-12-16,6190,6174,6190,6138
2014-12-17,6184,6146,6184,6144
2014-12-18,6006,6178,6202,6006
2014-12-19,6170,6126,6210,6102
2014-12-22,6120,6126,6164,6120
2014-12-23,6166,6122,6166,6122
2014-12-24,6154,6132,6154,6124
2014-12-25,6132,6130,6132,6130
2014-12-26,6030,6120,6144,6030
2014-12-29,6142,6120,6160,6120
2014-12-30,6110,6104,6162,6100
2014-12-31,6116,6154,6156,6102
2015-01-01,6060,6130,6170,6052
2015-01-02,6060,6130,6170,6060
2015-01-05,6060,6130,6170,6052
2015-01-06,6050,6050,6050,6050
2015-01-07,6000,6100,6100,6000
2015-01-08,6150,5980,6150,5980
2015-01-09,5950,5950,5950,5950
2015-01-13,6160,6160,6160,6160
2015-01-15,5946,5930,5946,5930
2015-01-16,5938,5938,5938,5938
2015-01-19,5948,5920,5948,5920
2015-01-20,5834,5826,5854,5808
2015-01-21,5790,5802,5922,5790
2015-01-22,5762,5774,5774,5762
2015-01-26,5754,5754,5754,5754
2015-01-28,5644,5644,5808,5644
2015-01-29,5600,5610,5620,5458
2015-01-30,5602,5592,5618,5570
2015-02-02,5800,5726,5800,5650
2015-02-03,5748,5680,5768,5620
2015-02-04,5518,5632,5674,5518
2015-02-05,5568,5588,5588,5568
2015-02-06,5632,5622,5632,5622
2015-02-09,5618,5560,5618,5560
2015-02-10,5564,5614,5614,5550
2015-02-11,5626,5626,5626,5626
2015-02-12,5612,5650,5650,5612
2015-02-16,5648,5648,5648,5648
2015-02-17,5588,5588,5588,5588
2015-03-02,5510,5558,5558,5510
2015-03-03,5646,5652,5652,5520
2015-03-05,5602,5602,5602,5602
2015-03-06,5642,5640,5642,5520
2015-03-09,5650,5648,5650,5604
2015-03-10,5648,5598,5654,5530
2015-03-11,5520,5580,5580,5520
2015-03-12,5648,5618,5648,5522
2015-03-13,5646,5582,5646,5572
2015-03-16,5646,5582,5646,5572
2015-03-17,5648,5610,5660,5610
2015-03-18,5560,5560,5560,5560
2015-03-19,5636,5600,5636,5600
2015-03-20,5582,5602,5602,5582
2015-03-23,5430,5580,5580,5430
2015-03-24,5598,5598,5598,5598
2015-03-25,5596,5596,5596,5596
2015-03-26,5574,5580,5622,5572
2015-03-27,5446,5494,5494,5404
2015-03-30,5498,5490,5648,5422
2015-03-31,5416,5450,5450,5412
2015-04-02,5342,5342,5342,5342
2015-04-03,5170,5420,5430,5170
2015-04-06,5170,5420,5430,5170
2015-04-07,5426,5398,5438,5398
2015-04-08,5374,5352,5440,5264
2015-04-09,5380,5380,5380,5380
2015-04-10,5256,5262,5356,5188
2015-04-13,5076,5436,5436,5076
2015-04-14,5380,5410,5410,5380
2015-04-15,5420,5420,5420,5420
2015-04-16,5500,5448,5500,5252
2015-04-17,5386,5226,5388,5226
2015-04-20,5458,5300,5458,5200
2015-04-21,5386,5356,5386,5356
2015-04-22,5380,5398,5432,5352
2015-04-23,5398,5380,5398,5380
2015-04-24,5356,5380,5462,5356
2015-04-27,5488,5566,5596,5488
2015-04-28,5590,5396,5590,5328
2015-04-29,5320,5368,5436,5300
2015-04-30,5530,5332,5530,5328
2015-05-06,5920,5900,5920,5900
2015-05-12,5750,5966,5966,5750
2015-05-13,5946,5816,5946,5816
2015-05-19,5720,5720,5720,5720
2015-05-22,5400,5400,5400,5400
2015-06-02,5720,5758,5758,5720
2015-06-12,5450,5232,5450,5232
2015-06-24,5366,5162,5448,5128
