Date,Open,Close,High,Low
2018-10-08,3540,3594,3603,3536
2018-10-09,3600,3617,3619,3592
2018-10-10,3623,3627,3642,3598
2018-10-11,3611,3637,3682,3583
2018-10-12,3638,3658,3663,3631
2018-10-15,3663,3702,3712,3663
2018-10-16,3699,3676,3703,3658
2018-10-17,3676,3720,3733,3672
2018-10-18,3723,3697,3726,3688
2018-10-19,3702,3690,3708,3665
2018-10-22,3681,3683,3689,3670
2018-10-23,3680,3689,3714,3674
2018-10-24,3688,3658,3691,3651
2018-10-25,3659,3685,3693,3659
2018-10-26,3698,3770,3774,3692
2018-10-29,3780,3769,3795,3765
2018-10-30,3770,3759,3788,3737
2018-10-31,3758,3727,3769,3722
2018-11-01,3737,3739,3755,3724
2018-11-02,3718,3745,3752,3700
2018-11-05,3745,3734,3755,3720
2018-11-06,3731,3736,3777,3731
2018-11-07,3728,3728,3729,3674
2018-11-08,3743,3746,3748,3721
2018-11-09,3740,3749,3763,3735
2018-11-12,3741,3706,3741,3705
2018-11-13,3709,3699,3720,3685
2018-11-14,3700,3729,3738,3690
2018-11-15,3737,3740,3752,3722
2018-11-16,3744,3739,3754,3730
2018-11-19,3731,3711,3747,3702
2018-11-20,3716,3743,3745,3690
2018-11-21,3726,3646,3747,3630
2018-11-22,3636,3635,3659,3618
2018-11-23,3603,3633,3646,3602
2018-11-26,3630,3538,3638,3513
2018-11-27,3537,3537,3563,3531
2018-11-28,3528,3537,3545,3471
2018-11-29,3538,3528,3545,3508
2018-11-30,3530,3547,3553,3516
2018-12-03,3550,3552,3583,3533
2018-12-04,3545,3521,3546,3503
2018-12-05,3525,3522,3557,3485
2018-12-06,3518,3493,3540,3481
2018-12-07,4185,4223,4238,4152
2018-12-10,4175,4152,4187,4148
2018-12-11,4143,4140,4156,4104
2018-12-12,4142,4176,4183,4142
2018-12-13,4180,4175,4187,4150
2018-12-14,4180,4170,4193,4162
2018-12-17,4152,4174,4174,4136
2018-12-18,4175,4175,4181,4165
2018-12-19,4175,4208,4215,4166
2018-12-20,4210,4225,4230,4202
2018-12-21,4233,4269,4269,4223
2018-12-24,4255,4292,4294,4240
2018-12-25,4284,4309,4338,4282
2018-12-26,4305,4289,4315,4286
2018-12-27,3930,3933,3944,3924
2018-12-28,3944,3941,3944,3928
2019-01-02,3939,3930,3944,3920
2019-01-03,3934,3932,3943,3914
2019-01-04,3935,3946,3949,3907
2019-01-07,3958,3989,3989,3939
2019-01-08,3990,3984,4000,3975
2019-01-09,3982,3987,3994,3972
2019-01-10,3981,3986,3995,3977
2019-01-11,3982,3985,3987,3970
2019-01-14,3992,3942,3995,3935
2019-01-15,3942,3948,3961,3929
2019-01-16,3945,3949,3962,3931
2019-01-17,3948,3949,3958,3941
2019-01-18,3950,3945,3958,3940
2019-01-21,3938,3972,3983,3938
2019-01-22,3960,3928,3970,3910
2019-01-23,3929,3928,3935,3917
2019-01-24,3922,3935,3940,3920
2019-01-25,3930,3924,3939,3920
2019-01-28,3924,3929,3934,3917
2019-01-29,3933,3935,3940,3901
2019-01-30,3936,3941,3949,3932
2019-01-31,3938,3925,3940,3921
2019-02-01,3918,3937,3939,3918
2019-02-11,3902,3951,3955,3870
2019-02-12,3950,3957,3970,3936
2019-02-13,3952,3968,3970,3951
2019-02-14,3960,3980,3982,3943
2019-02-15,3979,4028,4049,3975
2019-02-18,4040,4041,4058,4020
2019-02-19,4041,4042,4055,4021
2019-02-20,4025,4033,4050,4025
2019-02-21,4033,4068,4069,4030
2019-02-22,4070,4066,4080,4051
2019-02-25,4055,4071,4084,4051
2019-02-26,4075,4050,4077,4042
2019-02-27,4052,4049,4065,4036
2019-02-28,4054,4058,4063,4035
2019-03-01,4062,4058,4066,4041
2019-03-04,4050,4087,4112,4049
2019-03-05,4081,4107,4109,4081
2019-03-06,4112,4122,4167,4105
2019-03-07,4128,4124,4163,4116
2019-03-08,4120,4127,4136,4105
2019-03-11,4150,4145,4167,4136
2019-03-12,4152,4128,4158,4122
2019-03-13,4135,4112,4140,4105
2019-03-14,4113,4108,4117,4091
2019-03-15,4108,4135,4138,4103
2019-03-18,4145,4144,4160,4122
2019-03-19,4149,4115,4149,4114
2019-03-20,4110,4134,4135,4105
2019-03-21,4134,4127,4143,4123
2019-03-22,4131,4122,4136,4116
2019-03-25,4129,4113,4129,4107
2019-03-26,4120,4062,4125,4055
2019-03-27,4065,4065,4078,4060
2019-03-28,4072,4068,4074,4050
2019-03-29,4077,4056,4077,4045
2019-04-01,4070,4128,4131,4059
2019-04-02,4145,4132,4146,4121
2019-04-03,4128,4153,4158,4125
2019-04-04,4152,4209,4210,4145
2019-04-08,4230,4219,4255,4203
2019-04-09,3555,3519,3557,3515
2019-04-10,3510,3526,3528,3503
2019-04-11,3531,3530,3555,3515
2019-04-12,3530,3572,3572,3528
2019-04-15,3630,3715,3719,3601
2019-04-16,3750,3709,3750,3684
2019-04-17,3692,3708,3725,3680
2019-04-18,3710,3725,3725,3698
2019-04-19,3723,3837,3842,3721
2019-04-22,3851,3784,3866,3754
2019-04-23,3800,3801,3823,3781
2019-04-24,4025,4037,4048,4011
2019-04-25,4040,4026,4054,4022
2019-04-26,4018,3975,4032,3952
2019-04-29,3975,3926,3980,3926
2019-04-30,3925,3994,3997,3920
2019-05-06,4030,4013,4034,3990
2019-05-07,4000,4019,4022,3989
2019-05-08,4016,4026,4040,4008
2019-05-09,4028,4012,4055,4008
2019-05-10,3900,3838,3900,3798
2019-05-13,3836,3850,3885,3828
2019-05-14,3830,3847,3873,3824
2019-05-15,3869,3907,3912,3852
2019-05-16,3920,3975,4057,3908
2019-05-17,4060,4040,4101,4025
2019-05-20,3882,3838,3892,3812
2019-05-21,3844,3882,3882,3820
2019-05-22,3848,3815,3860,3766
2019-05-23,3787,3761,3818,3756
2019-05-24,3755,3802,3826,3731
2019-05-27,3762,3753,3795,3741
2019-05-28,4003,4033,4041,3993
2019-05-29,4033,4123,4215,4033
2019-05-30,4119,4134,4161,4109
2019-05-31,4145,4230,4234,4145
2019-06-03,4250,4237,4268,4207
2019-06-04,4235,4189,4249,4181
2019-06-05,4193,4170,4193,4153
2019-06-06,4169,4149,4171,4104
2019-06-10,4143,4142,4195,4136
2019-06-11,4155,4191,4196,4134
2019-06-12,4185,4170,4224,4158
2019-06-13,4189,4212,4215,4166
2019-06-14,4210,4193,4223,4176
2019-06-17,4160,4173,4187,4144
2019-06-18,4163,4139,4175,4115
2019-06-19,4126,4176,4176,4126
2019-06-20,4180,4198,4203,4157
2019-06-21,4194,4096,4203,4093
2019-06-24,4095,4037,4108,4035
2019-06-25,4040,4010,4050,4010
2019-06-26,4034,4048,4049,4025
2019-06-27,4066,4005,4076,3988
2019-06-28,3908,4046,4055,3908
2019-07-01,4049,4086,4104,4039
2019-07-02,4070,4102,4108,4070
2019-07-03,4099,4073,4104,4060
2019-07-04,4075,4072,4088,4063
2019-07-05,4075,4151,4155,4071
2019-07-08,4175,4155,4196,4140
2019-07-09,4199,4244,4252,4170
2019-07-10,4240,4185,4240,4182
2019-07-11,4198,4153,4211,4134
2019-07-12,4165,4119,4184,4111
2019-07-15,4111,4230,4231,4110
2019-07-16,4229,4291,4300,4214
2019-07-17,4290,4285,4306,4265
2019-07-18,4290,4444,4444,4284
2019-07-19,4439,4397,4545,4370
2019-07-22,4386,4420,4440,4350
2019-07-23,4402,4447,4475,4400
2019-07-24,4453,4454,4480,4384
2019-07-25,4480,4459,4488,4442
2019-07-26,4438,4385,4438,4367
2019-07-29,4210,4281,4309,4207
2019-07-30,4295,4296,4338,4274
2019-07-31,4320,4324,4345,4306
2019-08-01,4322,4225,4330,4225
2019-08-02,4225,4259,4279,4210
2019-08-05,4238,4173,4264,4167
2019-08-06,4193,4309,4311,4193
2019-08-07,4455,4413,4475,4386
2019-08-08,4427,4339,4450,4321
2019-08-09,4322,4320,4360,4272
2019-08-12,4300,4210,4316,4205
2019-08-13,4208,4122,4213,4117
2019-08-14,4140,4154,4189,4136
2019-08-15,4166,4154,4188,4142
2019-08-16,4217,4183,4217,4160
2019-08-19,4230,4161,4240,4145
2019-08-20,4150,4100,4160,4095
2019-08-21,4110,4176,4189,4096
2019-08-22,4200,4186,4200,4161
2019-08-23,4192,4311,4325,4184
2019-08-26,4385,4407,4440,4340
2019-08-27,4405,4261,4410,4248
2019-08-28,4257,4240,4324,4224
2019-08-29,4211,4134,4237,4125
2019-08-30,4040,4081,4098,4036
2019-09-02,4077,4049,4128,4010
2019-09-03,3821,3844,3858,3806
2019-09-04,3835,3833,3866,3820
2019-09-05,3842,3828,3855,3826
2019-09-06,4200,4171,4285,4155
2019-09-09,3785,3776,3797,3751
2019-09-10,3776,3754,3777,3743
2019-09-11,3750,3750,3763,3744
2019-09-12,4288,4352,4410,4271
2019-09-16,4438,4559,4559,4425
