Date,Open,Close,High,Low
2019-02-25,4825.4,5122.2,5127.6,4805.0
2019-02-26,5122.2,5062.4,5167.0,5024.4
2019-02-27,5073.0,4996.6,5105.8,4954.0
2019-02-28,5017.4,5016.0,5068.8,4984.0
2019-03-01,5048.0,5053.0,5063.8,4955.0
2019-03-04,5087.2,5112.4,5236.8,5070.0
2019-03-05,5112.4,5267.0,5272.2,5110.4
2019-03-06,5300.0,5372.4,5389.0,5216.8
2019-03-07,5367.8,5405.0,5492.2,5330.0
2019-03-08,5300.0,5271.6,5449.6,5230.4
2019-03-11,5309.0,5423.2,5436.0,5273.4
2019-03-12,5500.0,5538.2,5593.0,5460.0
2019-03-13,5533.8,5390.4,5539.8,5343.0
2019-03-14,5371.0,5277.0,5400.0,5238.4
2019-03-15,5315.2,5330.6,5425.6,5273.0
2019-03-18,5323.8,5482.6,5485.0,5277.6
2019-03-19,5482.0,5447.4,5499.0,5420.6
2019-03-20,5432.6,5427.2,5462.2,5310.0
2019-03-21,5439.6,5494.2,5575.0,5438.4
2019-03-22,5495.2,5567.0,5567.0,5428.6
2019-03-25,5459.0,5462.8,5544.0,5454.0
2019-03-26,5500.2,5305.4,5508.6,5291.8
2019-03-27,5339.8,5338.8,5359.0,5259.0
2019-03-28,5325.8,5269.4,5391.0,5262.2
2019-03-29,5284.8,5486.4,5507.6,5274.8
2019-04-01,5535.0,5733.0,5734.0,5511.2
2019-04-02,5764.4,5715.8,5796.0,5689.2
2019-04-03,5680.2,5797.4,5818.0,5680.2
2019-04-04,5825.0,5849.4,5866.2,5755.2
2019-04-08,5901.0,5752.6,5902.0,5705.0
2019-04-09,5752.6,5790.2,5815.0,5730.2
2019-04-10,5780.8,5773.4,5852.4,5708.6
2019-04-11,5786.0,5670.4,5793.0,5653.2
2019-04-12,5670.2,5652.8,5686.0,5602.0
2019-04-15,5738.0,5536.6,5755.0,5524.0
2019-04-16,5530.0,5702.4,5706.6,5480.0
2019-04-17,5730.0,5705.4,5764.0,5666.8
2019-04-18,5741.8,5713.0,5759.8,5689.4
2019-04-19,5720.8,5775.8,5779.0,5618.0
2019-04-22,5752.0,5633.6,5752.8,5588.8
2019-04-23,5621.0,5509.4,5629.8,5502.0
2019-04-24,5525.0,5582.6,5621.0,5470.0
2019-04-25,5580.0,5370.0,5586.0,5358.0
2019-04-26,5360.0,5338.0,5436.0,5335.0
2019-04-29,5356.2,5219.8,5361.6,5192.0
2019-04-30,5218.0,5228.6,5301.0,5187.4
2019-05-06,5080.0,4758.0,5090.8,4708.8
2019-05-07,4824.0,4850.4,4908.8,4785.4
2019-05-08,4778.0,4817.8,4950.0,4755.8
2019-05-09,4794.0,4790.0,4869.0,4761.0
2019-05-10,4869.8,4961.2,4993.0,4720.2
2019-05-13,4916.6,4869.0,4952.0,4850.2
2019-05-14,4859.8,4862.6,4922.8,4831.0
2019-05-15,4910.2,4959.4,4991.8,4885.0
2019-05-16,4950.0,4993.0,5003.6,4941.4
2019-05-17,5090.0,4984.0,5111.0,4983.8
2019-05-20,4683.6,4693.8,4719.6,4598.4
2019-05-21,4697.4,4778.8,4846.4,4696.0
2019-05-22,4780.0,4754.0,4795.6,4695.8
2019-05-23,4730.0,4646.2,4741.8,4625.0
2019-05-24,4646.0,4636.6,4678.6,4618.0
2019-05-27,4637.4,4774.8,4802.0,4612.2
2019-05-28,4776.6,4749.8,4806.6,4734.2
2019-05-29,4736.8,4727.6,4789.2,4721.6
2019-05-30,4728.6,4721.8,4730.0,4625.2
2019-05-31,4711.8,4645.0,4773.0,4637.6
2019-06-03,4666.4,4618.8,4727.8,4580.0
2019-06-04,4638.0,4579.0,4638.0,4550.0
