Date,Open,Close,High,Low
2011-10-24,2585.4,2620.2,2638.2,2553.2
2011-10-25,2623.6,2665.6,2679.6,2607.2
2011-10-26,2665.0,2707.8,2719.6,2665.0
2011-10-27,2708.6,2713.4,2718.6,2698.0
2011-10-28,2736.6,2742.2,2781.0,2731.2
2011-10-31,2740.0,2735.0,2749.6,2721.2
2011-11-01,2724.2,2730.4,2774.8,2720.0
2011-11-02,2700.0,2818.0,2818.0,2700.0
2011-11-03,2818.6,2793.2,2829.6,2790.0
2011-11-04,2808.0,2816.8,2837.6,2803.8
2011-11-07,2806.0,2795.6,2819.6,2790.0
2011-11-08,2793.6,2780.0,2809.4,2774.0
2011-11-09,2796.0,2793.2,2808.0,2759.8
2011-11-10,2753.6,2748.0,2775.6,2746.2
2011-11-11,2756.8,2742.0,2765.0,2738.8
2011-11-14,2768.8,2801.0,2811.0,2765.4
2011-11-15,2790.0,2787.2,2801.8,2784.0
2011-11-16,2794.0,2719.6,2794.0,2704.8
2011-11-17,2723.4,2717.0,2733.0,2709.8
2011-11-18,2700.0,2655.6,2700.0,2646.6
2011-11-21,2657.2,2651.2,2659.0,2638.0
2011-11-22,2639.6,2646.2,2658.8,2628.0
2011-11-23,2656.2,2623.6,2657.0,2619.6
2011-11-24,2623.4,2629.0,2647.0,2607.8
2011-11-25,2630.0,2609.2,2630.0,2603.0
2011-11-28,2620.0,2617.8,2633.2,2606.6
2011-11-29,2633.4,2642.2,2650.8,2621.2
2011-11-30,2638.2,2563.0,2642.8,2555.0
2011-12-01,2626.0,2625.0,2676.2,2613.8
2011-12-02,2615.0,2605.2,2619.6,2591.0
2011-12-05,2603.8,2575.0,2611.8,2572.0
2011-12-06,2575.0,2561.4,2577.0,2553.0
2011-12-07,2575.0,2578.2,2578.2,2556.0
2011-12-08,2571.2,2572.0,2599.0,2543.0
2011-12-09,2565.0,2551.6,2571.0,2550.0
2011-12-12,2556.4,2532.0,2556.4,2528.2
2011-12-13,2524.0,2478.4,2526.2,2477.0
2011-12-14,2483.6,2456.2,2483.6,2451.0
2011-12-15,2448.8,2391.2,2448.8,2391.2
2011-12-16,2438.0,2434.0,2445.2,2395.0
2011-12-19,2428.0,2439.6,2439.6,2362.4
2011-12-20,2432.0,2420.8,2458.8,2417.6
2011-12-21,2434.0,2400.8,2456.0,2390.0
2011-12-22,2389.0,2400.6,2419.6,2351.2
2011-12-23,2401.6,2412.0,2443.2,2391.0
2011-12-26,2401.8,2395.0,2433.2,2389.0
2011-12-27,2392.8,2374.6,2415.0,2372.2
2011-12-28,2386.6,2372.6,2386.6,2345.4
2011-12-29,2364.8,2369.4,2388.0,2355.0
2011-12-30,2382.8,2404.8,2408.8,2380.0
2012-01-04,2410.8,2352.0,2428.8,2352.0
2012-01-05,2346.6,2334.0,2370.0,2334.0
2012-01-06,2338.0,2343.6,2343.6,2318.0
2012-01-09,2345.0,2412.0,2413.4,2325.0
2012-01-10,2422.0,2492.6,2494.8,2410.2
2012-01-11,2499.0,2481.0,2499.0,2470.2
2012-01-12,2474.4,2483.0,2507.0,2470.0
2012-01-13,2485.4,2446.6,2491.0,2429.6
2012-01-16,2430.2,2392.8,2442.0,2385.4
2012-01-17,2394.6,2535.2,2537.8,2379.6
2012-01-18,2532.0,2477.0,2546.0,2469.6
2012-01-19,2485.6,2525.4,2547.6,2477.6
2012-01-20,2538.0,2546.6,2563.6,2515.6
