Date,Open,Close,High,Low
2022-07-22,6987.0,6901.2,7043.2,6807.0
2022-07-25,6914.0,6823.0,6959.2,6790.2
2022-07-26,6833.2,6937.0,6937.8,6793.0
2022-07-27,6910.0,7015.0,7021.4,6910.0
2022-07-28,7068.8,7074.0,7126.4,7023.4
2022-07-29,7081.6,7044.8,7105.8,7027.8
2022-08-01,7032.0,7087.4,7089.6,6960.2
2022-08-02,7015.2,6905.0,7015.4,6774.0
2022-08-03,6935.0,6841.8,7009.6,6816.0
2022-08-04,6891.0,6843.0,6895.0,6729.0
2022-08-05,6863.8,7026.6,7028.4,6855.2
2022-08-08,7017.2,7081.2,7093.0,6987.0
2022-08-09,7068.2,7106.6,7110.0,7030.6
2022-08-10,7082.6,7115.0,7144.0,7075.0
2022-08-11,7165.0,7228.8,7235.0,7126.6
2022-08-12,7233.4,7170.2,7255.2,7153.6
2022-08-15,7166.6,7215.8,7248.0,7155.4
2022-08-16,7225.2,7263.0,7314.0,7208.8
2022-08-17,7267.6,7278.2,7296.6,7211.2
2022-08-18,7263.4,7316.6,7333.0,7253.0
2022-08-19,7350.2,7277.8,7377.8,7272.4
2022-08-22,7023.2,7079.0,7102.6,6971.8
2022-08-23,7078.4,7093.0,7106.2,7053.0
2022-08-24,7098.0,6805.0,7102.6,6791.6
2022-08-25,6828.2,6775.2,6834.6,6703.6
2022-08-26,6787.2,6747.8,6867.8,6723.4
2022-08-29,6664.4,6787.0,6813.8,6645.0
2022-08-30,6787.0,6774.0,6799.0,6716.0
2022-08-31,6754.2,6549.8,6768.4,6536.0
2022-09-01,6553.0,6520.2,6622.6,6486.0
2022-09-02,6538.0,6566.0,6610.0,6510.4
2022-09-05,6566.0,6589.4,6653.0,6531.2
2022-09-06,6607.8,6722.4,6726.0,6578.4
2022-09-07,6699.8,6760.0,6794.0,6690.2
2022-09-08,6777.0,6712.4,6786.8,6701.4
2022-09-09,6720.0,6761.0,6764.8,6680.0
2022-09-13,6767.0,6732.0,6800.0,6715.8
2022-09-14,6771.4,6767.0,6793.6,6724.8
2022-09-15,6805.8,6518.6,6805.8,6445.0
2022-09-16,6588.0,6529.4,6629.6,6521.2
