Date,Open,Close,High,Low
2020-03-30,2536,2448,2575,2405
2020-03-31,2468,2630,2630,2468
2020-04-01,2599,2697,2712,2599
2020-04-02,2720,2856,2856,2680
2020-04-03,2892,2920,2954,2805
2020-04-07,3000,3069,3069,2950
2020-04-08,3001,3001,3061,2956
2020-04-09,3045,3064,3089,3003
2020-04-10,3010,3062,3066,2972
2020-04-13,3150,3191,3229,3134
2020-04-14,3256,3219,3256,3150
2020-04-15,3178,3294,3390,3173
2020-04-16,3286,3289,3346,3232
2020-04-17,3322,3231,3345,3183
2020-04-20,3150,3262,3267,3138
2020-04-21,3226,3272,3298,3180
2020-04-22,3216,3182,3257,3119
2020-04-23,3191,3393,3399,3191
2020-04-24,3330,3438,3455,3330
2020-04-27,3408,3577,3605,3408
2020-04-28,3598,3391,3663,3349
2020-04-29,3419,3342,3493,3301
2020-04-30,3387,3418,3426,3347
2020-05-06,3475,3472,3530,3417
2020-05-07,3430,3430,3470,3401
2020-05-08,3490,3459,3490,3366
2020-05-11,3461,3360,3513,3340
2020-05-12,3387,3350,3387,3288
2020-05-13,3361,3242,3366,3225
2020-05-14,3245,3273,3288,3223
2020-05-15,3256,3293,3311,3243
2020-05-18,3294,3245,3298,3191
2020-05-19,3296,3377,3392,3263
2020-05-20,3398,3405,3441,3360
2020-05-21,3426,3406,3430,3385
2020-05-22,3400,3360,3453,3316
2020-05-25,3389,3452,3501,3385
2020-05-26,3443,3423,3457,3394
2020-05-27,3448,3413,3452,3391
2020-05-28,3418,3445,3460,3393
2020-05-29,3450,3455,3460,3417
2020-06-01,3440,3542,3552,3430
2020-06-02,3542,3620,3633,3539
2020-06-03,3619,3605,3621,3576
2020-06-04,3601,3534,3601,3529
2020-06-05,3534,3609,3622,3534
2020-06-08,3648,3568,3691,3555
2020-06-09,3559,3603,3617,3559
2020-06-10,3598,3566,3599,3555
2020-06-11,3574,3429,3575,3400
2020-06-12,3401,3364,3409,3288
2020-06-15,3401,3388,3443,3337
2020-06-16,3385,3482,3505,3366
2020-06-17,3504,3503,3531,3458
2020-06-18,3515,3491,3519,3473
2020-06-19,3499,3577,3591,3485
2020-06-22,3575,3538,3608,3515
2020-06-23,3541,3566,3585,3524
2020-06-24,3568,3538,3575,3480
2020-06-29,3451,3504,3523,3451
2020-06-30,3529,3583,3595,3518
2020-07-01,3580,3556,3593,3526
2020-07-02,3553,3624,3642,3544
2020-07-03,3629,3647,3650,3598
2020-07-06,3647,3598,3647,3553
2020-07-07,3598,3610,3643,3560
2020-07-08,3611,3606,3665,3588
2020-07-09,3606,3685,3693,3601
2020-07-10,3706,3646,3706,3613
2020-07-13,3646,3855,3921,3646
2020-07-14,3855,3871,3885,3804
2020-07-15,3858,3933,3965,3838
2020-07-16,3940,3919,3953,3885
2020-07-17,3915,3916,4030,3892
2020-07-20,3916,3921,3940,3822
2020-07-21,3960,4040,4070,3915
2020-07-22,4066,4063,4105,3987
2020-07-23,4050,4054,4068,4003
2020-07-24,4030,3996,4045,3957
2020-07-27,4020,3973,4080,3903
2020-07-28,3947,3948,4017,3891
2020-07-29,3972,4035,4035,3919
2020-07-30,4015,3931,4018,3886
2020-07-31,3912,3896,3954,3842
2020-08-03,3896,3906,3925,3830
2020-08-04,3900,3930,3969,3900
2020-08-05,3928,4043,4090,3890
2020-08-06,4055,4039,4084,3989
2020-08-07,4055,4012,4095,3978
2020-08-10,4019,3998,4100,3964
2020-08-11,4000,3942,4030,3924
2020-08-12,3925,3961,3975,3872
2020-08-13,3977,3914,3995,3900
2020-08-14,3920,3937,3940,3885
2020-08-17,3945,3933,4022,3911
2020-08-18,3925,3940,3973,3918
2020-08-19,3950,3944,3953,3868
2020-08-20,3960,3679,3980,3553
2020-08-21,3700,3705,3725,3648
2020-08-24,3679,3701,3709,3666
2020-08-25,3692,3693,3720,3620
2020-08-26,3700,3675,3708,3554
2020-08-27,3661,3706,3738,3657
2020-08-28,3702,3754,3763,3693
2020-08-31,3750,3746,3836,3714
2020-09-01,3741,3742,3772,3690
2020-09-02,3743,3649,3753,3615
2020-09-03,3635,3613,3675,3595
2020-09-04,3577,3597,3656,3571
2020-09-07,3604,3576,3610,3477
2020-09-08,3570,3586,3602,3556
2020-09-09,3550,3598,3627,3471
2020-09-10,3606,3481,3656,3448
