Date,Open,Close,High,Low
2018-10-08,7026,7070,7174,7026
2018-10-09,7074,7284,7292,7062
2018-10-10,7284,7324,7374,7272
2018-10-11,7318,7238,7338,7146
2018-10-12,7238,7214,7276,7142
2018-10-15,7212,7216,7252,7174
2018-10-16,7220,7138,7222,7066
2018-10-17,7136,7108,7138,7022
2018-10-18,7090,6928,7100,6872
2018-10-19,6900,6922,6970,6882
2018-10-22,6936,6866,6990,6842
2018-10-23,6870,6870,6922,6828
2018-10-24,6838,6780,6872,6748
2018-10-25,6798,6648,6812,6632
2018-10-26,6650,6658,6700,6644
2018-10-29,6662,6812,6870,6662
2018-10-30,6810,6836,6850,6768
2018-10-31,6802,6788,6874,6700
2018-11-01,6786,6690,6794,6686
2018-11-02,6678,6566,6694,6404
2018-11-05,6554,6546,6560,6466
2018-11-06,6554,6522,6606,6496
2018-11-07,6512,6344,6522,6286
2018-11-08,6370,6354,6412,6292
2018-11-09,6344,6260,6352,6216
2018-11-12,6224,6384,6422,6212
2018-11-13,6380,6336,6442,6320
2018-11-14,6338,6204,6372,6156
2018-11-15,6230,6262,6298,6220
2018-11-16,6278,6378,6432,6236
2018-11-19,6390,6322,6456,6316
2018-11-20,6300,6164,6334,6150
2018-11-21,6154,6066,6162,5954
2018-11-22,6080,5996,6106,5966
2018-11-23,5988,5878,6024,5878
2018-11-26,5800,5852,5858,5660
2018-11-27,5852,5732,5896,5714
2018-11-28,5744,5880,5884,5722
2018-11-29,5850,5808,5898,5758
2018-11-30,6020,6030,6058,5948
2018-12-03,5992,6124,6298,5916
2018-12-04,6134,6236,6250,6106
2018-12-05,6250,6486,6506,6206
2018-12-06,6540,6428,6600,6408
2018-12-07,6390,6636,6676,6362
2018-12-10,6650,6558,6684,6490
2018-12-11,6512,6436,6540,6346
2018-12-12,6466,6466,6488,6430
2018-12-13,6478,6460,6494,6404
2018-12-14,6432,6480,6530,6424
2018-12-17,6500,6538,6558,6470
2018-12-18,6550,6508,6582,6498
2018-12-19,6502,6462,6516,6432
2018-12-20,6468,6410,6480,6406
2018-12-21,6378,6300,6404,6268
2018-12-24,6290,6210,6294,6206
2018-12-25,5952,5812,5978,5740
2018-12-26,5776,5824,5912,5776
2018-12-27,5856,5822,6070,5818
2018-12-28,5820,5696,5820,5674
2019-01-02,5694,5650,5704,5620
2019-01-03,5652,5732,5760,5622
2019-01-04,5770,5906,5918,5744
2019-01-07,5950,5936,5964,5886
2019-01-08,5928,5972,6028,5928
2019-01-09,6008,6088,6128,5986
2019-01-10,6104,6124,6200,6104
2019-01-11,6136,6144,6174,6060
2019-01-14,5924,5930,5956,5896
2019-01-15,5946,6006,6012,5876
2019-01-16,6006,5998,6018,5948
2019-01-17,5978,5972,6016,5954
2019-01-18,5946,6122,6130,5928
2019-01-21,6004,6160,6188,6004
2019-01-22,6156,6192,6326,6156
2019-01-23,6180,6138,6200,6104
2019-01-24,6280,6266,6334,6206
2019-01-25,6120,6240,6292,6108
2019-01-28,6210,6126,6280,6112
2019-01-29,6122,6154,6200,6098
2019-01-30,6302,6318,6356,6256
2019-01-31,6336,6450,6482,6324
2019-02-01,6450,6472,6528,6426
2019-02-11,6418,6456,6510,6376
2019-02-12,6468,6528,6570,6468
2019-02-13,6580,6328,6598,6328
2019-02-14,6356,6324,6370,6292
2019-02-15,6328,6278,6360,6182
2019-02-18,6300,6378,6426,6246
2019-02-19,6378,6360,6398,6302
2019-02-20,6368,6340,6382,6302
2019-02-21,6320,6380,6458,6316
2019-02-22,6380,6380,6396,6316
2019-02-25,6408,6388,6438,6346
2019-02-26,6330,6314,6346,6224
2019-02-27,6324,6254,6344,6250
2019-02-28,6270,6254,6308,6236
2019-03-01,6258,6478,6480,6232
2019-03-04,6340,6396,6436,6312
2019-03-05,6400,6370,6414,6320
2019-03-06,6380,6454,6460,6308
2019-03-07,6456,6380,6508,6372
2019-03-08,6396,6208,6408,6178
2019-03-11,6188,6166,6216,6148
2019-03-12,6174,6202,6204,6126
2019-03-13,6210,6166,6236,6132
2019-03-14,6170,6154,6190,6142
2019-03-15,6158,6018,6162,5980
2019-03-18,6000,5934,6016,5930
2019-03-19,5944,5968,6026,5940
2019-03-20,5984,5974,6024,5910
2019-03-21,5956,5966,6008,5950
2019-03-22,5956,5984,5992,5942
2019-03-25,5960,5940,5984,5866
2019-03-26,5960,5928,5988,5924
2019-03-27,5940,5910,5962,5904
2019-03-28,5914,5884,5946,5870
2019-03-29,5870,5942,5984,5806
2019-04-01,5966,6030,6048,5950
2019-04-02,6036,5988,6056,5974
2019-04-03,5986,5996,6036,5984
2019-04-04,5998,6098,6108,5998
2019-04-08,6146,6216,6348,6144
2019-04-09,6206,6260,6304,6206
2019-04-10,6260,6250,6292,6238
2019-04-11,6488,6550,6570,6476
2019-04-12,6530,6614,6618,6506
2019-04-15,6620,6592,6756,6588
2019-04-16,6600,6640,6660,6548
2019-04-17,6650,6640,6676,6604
2019-04-18,6616,6418,6616,6376
2019-04-19,6460,6394,6488,6380
2019-04-22,5696,5720,5772,5686
2019-04-23,6520,6540,6564,6504
2019-04-24,6532,6550,6560,6530
2019-04-25,6292,6240,6310,6232
2019-04-26,6200,6154,6230,6126
2019-04-29,6130,6228,6232,6130
2019-04-30,5600,5618,5634,5580
2019-05-06,5542,5496,5542,5460
2019-05-07,6210,6206,6232,6182
2019-05-08,6188,6190,6210,6150
2019-05-09,5482,5480,5522,5434
2019-05-10,5482,5518,5550,5476
2019-05-13,5514,5416,5534,5410
2019-05-14,5412,5284,5442,5246
2019-05-15,5296,5310,5330,5282
2019-05-16,5730,5808,5822,5728
2019-05-17,5816,5748,5846,5736
2019-05-20,5320,5370,5374,5316
2019-05-21,5688,5668,5694,5618
2019-05-22,5680,5608,5688,5544
2019-05-23,5220,5232,5338,5220
2019-05-24,5224,5168,5244,5122
2019-05-27,5170,5230,5250,5148
2019-05-28,5234,5234,5264,5204
2019-05-29,5230,5244,5268,5224
2019-05-30,5228,5192,5230,5178
2019-05-31,5188,5154,5216,5146
2019-06-03,5122,4996,5134,4952
2019-06-04,5018,5000,5028,4976
2019-06-05,5004,4980,5034,4972
2019-06-06,4972,4962,4990,4910
2019-06-10,5046,5072,5108,4992
2019-06-11,5080,5054,5088,5028
2019-06-12,5054,4976,5070,4972
2019-06-13,4952,4994,5004,4922
2019-06-14,5000,4984,5036,4944
2019-06-17,4990,5034,5054,4972
2019-06-18,5026,5056,5068,5022
2019-06-19,5064,5188,5196,5044
2019-06-20,5180,5196,5214,5150
2019-06-21,5168,5140,5230,5122
2019-06-24,5148,5224,5244,5138
2019-06-25,5226,5202,5230,5184
2019-06-26,5208,5304,5318,5160
2019-06-27,5312,5318,5462,5286
2019-06-28,5330,5306,5374,5302
2019-07-01,5326,5510,5524,5316
2019-07-02,5526,5592,5608,5384
2019-07-03,5600,5508,5668,5426
2019-07-04,5534,5330,5556,5272
2019-07-05,5348,5314,5374,5256
2019-07-08,5296,5342,5384,5294
2019-07-09,5340,5274,5374,5248
2019-07-10,5284,5358,5384,5258
2019-07-11,5384,5422,5460,5338
2019-07-12,5416,5328,5420,5284
2019-07-15,5320,5318,5348,5242
2019-07-16,5318,5302,5328,5268
2019-07-17,5294,5322,5334,5256
2019-07-18,5320,5332,5360,5286
2019-07-19,5340,5272,5356,5202
2019-07-22,5290,5238,5316,5156
2019-07-23,5238,5150,5242,5150
2019-07-24,5160,5172,5198,5142
2019-07-25,5174,5160,5194,5146
2019-07-26,5166,5208,5238,5162
2019-07-29,5212,5138,5216,5126
2019-07-30,5144,5190,5224,5136
2019-07-31,5188,5220,5246,5188
2019-08-01,5230,5234,5244,5190
2019-08-02,5230,5154,5268,5102
2019-08-05,5156,5116,5200,5092
2019-08-06,5110,5146,5164,5102
2019-08-07,5148,5128,5184,5126
2019-08-08,5120,5154,5206,5078
2019-08-09,5142,5152,5178,5126
2019-08-12,5152,5158,5176,5108
2019-08-13,5158,5154,5182,5138
2019-08-14,5158,5250,5304,5154
2019-08-15,5222,5176,5272,5138
2019-08-16,5276,5254,5290,5236
2019-08-19,5250,5304,5326,5250
2019-08-20,5300,5272,5312,5228
2019-08-21,5278,5204,5278,5190
2019-08-22,5246,5160,5268,5104
2019-08-23,5172,5214,5230,5138
2019-08-26,5170,5158,5210,5128
2019-08-27,5168,5192,5216,5144
2019-08-28,5202,5210,5224,5154
2019-08-29,5208,5150,5244,5148
2019-08-30,5166,5166,5212,5140
2019-09-02,5166,5166,5186,5136
2019-09-03,5170,5194,5210,5138
2019-09-04,5172,5208,5232,5154
2019-09-05,5226,5250,5336,5214
2019-09-06,5270,5254,5316,5238
2019-09-09,5254,5288,5306,5250
2019-09-10,5280,5226,5322,5226
2019-09-11,5234,5154,5250,5130
2019-09-12,5148,5108,5156,5098
2019-09-16,5280,5286,5310,5210
2019-09-17,5348,5392,5456,5258
2019-09-18,5360,5236,5414,5216
2019-09-19,5224,5108,5228,5094
2019-09-20,5136,5122,5144,5110
2019-09-23,5112,5142,5162,5086
2019-09-24,5134,5116,5154,5104
2019-09-25,5110,5126,5136,5070
2019-09-26,5126,5116,5144,5098
2019-09-27,5104,5074,5128,5028
2019-09-30,5072,5116,5164,5020
2019-10-08,5092,5136,5184,5092
2019-10-09,5112,5184,5228,5112
