Date,Open,Close,High,Low
2013-07-05,6625,6610,6625,6610
2013-07-08,6610,6630,6630,6610
2013-07-09,6630,6590,6640,6590
2013-07-10,6595,6570,6605,6545
2013-07-11,6570,6625,6650,6560
2013-07-12,6635,6660,6680,6610
2013-07-15,6650,6655,6685,6640
2013-07-16,6635,6685,6685,6635
2013-07-18,6695,6735,6745,6685
2013-07-19,6810,6825,6840,6800
2013-07-22,6850,6805,6875,6800
2013-07-23,6815,6835,6845,6810
2013-07-24,6830,6830,6845,6820
2013-07-25,6835,6830,6845,6805
2013-07-26,6815,6815,6835,6795
2013-07-29,6835,6725,6860,6710
2013-07-30,6735,6650,6735,6650
2013-07-31,6660,6645,6670,6630
2013-08-01,6635,6680,6685,6635
2013-08-02,6695,6765,6775,6695
2013-08-05,6785,6780,6790,6760
2013-08-06,6770,6810,6815,6745
2013-08-07,6800,6785,6805,6765
2013-08-08,6760,6780,6795,6750
2013-08-09,6780,6815,6825,6775
2013-08-12,6815,6805,6825,6780
2013-08-13,6820,6805,6820,6780
2013-08-14,6815,6845,6850,6795
2013-08-15,6855,6755,6860,6755
2013-08-16,6755,6715,6775,6710
2013-08-19,6725,6720,6770,6710
2013-08-20,6720,6715,6755,6710
2013-08-21,6710,6680,6710,6500
2013-08-22,6695,6675,6695,6660
2013-08-23,6660,6655,6680,6650
2013-08-26,6670,6660,6675,6630
2013-08-27,6675,6700,6730,6670
2013-08-28,6705,6700,6710,6680
2013-08-29,6725,6675,6820,6660
2013-08-30,6700,6665,6700,6640
2013-09-02,6650,6640,6690,6615
2013-09-03,6640,6655,6670,6635
2013-09-04,6660,6660,6675,6635
2013-09-05,6660,6650,6665,6630
2013-09-06,6650,6680,6690,6640
2013-09-09,6685,6670,6695,6655
2013-09-10,6680,6660,6690,6660
2013-09-11,6640,6635,6665,6630
2013-09-12,6620,6670,6675,6615
2013-09-13,6665,6645,6665,6640
2013-09-16,6650,6635,6675,6635
2013-09-17,6625,6615,6645,6595
2013-09-18,6610,6615,6630,6605
2013-09-19,6610,6580,6615,6580
2013-09-20,6610,6580,6615,6580
2013-09-23,6610,6580,6615,6580
2013-09-24,6590,6585,6595,6550
2013-09-25,6580,6555,6595,6550
2013-09-26,6555,6545,6555,6530
2013-09-27,6535,6520,6550,6490
2013-09-30,6515,6520,6535,6510
2013-10-01,6505,6520,6540,6500
2013-10-09,6530,6530,6540,6520
2013-10-10,6535,6535,6545,6530
2013-10-11,6525,6550,6555,6520
2013-10-14,6565,6535,6580,6535
2013-10-15,6535,6560,6560,6530
2013-10-16,6570,6515,6575,6510
2013-10-17,6505,6535,6545,6490
2013-10-18,6545,6515,6560,6515
2013-10-21,6520,6515,6530,6505
2013-10-22,6520,6500,6540,6500
2013-10-23,6495,6425,6510,6410
2013-10-24,6410,6430,6435,6410
2013-10-25,6400,6420,6425,6390
2013-10-28,6425,6405,6470,6375
2013-10-29,6405,6405,6415,6390
2013-10-30,6410,6420,6425,6390
2013-10-31,6410,6395,6425,6395
2013-11-01,6385,6365,6395,6340
2013-11-04,6370,6360,6395,6355
2013-11-05,6355,6370,6375,6340
2013-11-06,6365,6355,6375,6350
2013-11-07,6350,6325,6350,6325
2013-11-08,6330,6335,6335,6315
2013-11-11,6330,6355,6390,6325
2013-11-12,6355,6365,6370,6355
2013-11-13,6365,6350,6370,6350
2013-11-14,6345,6350,6350,6325
2013-11-15,6345,6300,6360,6295
2013-11-18,6305,6325,6350,6305
2013-11-19,6335,6315,6345,6315
2013-11-20,6310,6325,6330,6305
2013-11-21,6335,6355,6355,6320
2013-11-22,6345,6350,6355,6330
2013-11-25,6355,6375,6375,6340
2013-11-26,6360,6370,6390,6355
2013-11-27,6380,6365,6385,6355
2013-11-28,6360,6335,6365,6335
2013-11-29,6335,6325,6340,6320
2013-12-02,6330,6315,6340,6310
2013-12-03,6315,6320,6330,6315
2013-12-04,6330,6320,6330,6310
2013-12-05,6325,6330,6340,6325
2013-12-06,6545,6520,6560,6520
2013-12-09,6515,6525,6530,6510
2013-12-10,6525,6515,6540,6510
