Date,Open,Close,High,Low
2018-10-08,6680,6700,6725,6660
2018-10-09,6730,6805,6815,6730
2018-10-10,6825,6850,6875,6750
2018-10-11,6810,6690,6810,6675
2018-10-12,6680,6685,6705,6615
2018-10-15,6690,6640,6710,6630
2018-10-16,6625,6500,6635,6460
2018-10-17,6505,6505,6530,6460
2018-10-18,6480,6440,6495,6405
2018-10-19,6440,6365,6460,6360
2018-10-22,6385,6415,6455,6380
2018-10-23,6415,6450,6470,6415
2018-10-24,6435,6445,6475,6400
2018-10-25,6420,6375,6435,6350
2018-10-26,6385,6405,6460,6375
2018-10-29,6410,6400,6475,6380
2018-10-30,6410,6355,6420,6340
2018-10-31,6345,6350,6390,6325
2018-11-01,6340,6305,6355,6275
2018-11-02,6295,6285,6330,6250
2018-11-05,6280,6280,6315,6255
2018-11-06,6280,6240,6295,6225
2018-11-07,6205,6235,6260,6205
2018-11-08,6225,6230,6250,6195
2018-11-09,6210,6220,6265,6205
2018-11-12,6255,6215,6315,6205
2018-11-13,6180,6220,6255,6165
2018-11-14,6160,6265,6265,6145
2018-11-15,6275,6270,6290,6245
2018-11-16,6300,6340,6345,6295
2018-11-19,6380,6320,6380,6295
2018-11-20,6320,6220,6340,6200
2018-11-21,6120,6250,6280,6085
2018-11-22,6250,6200,6280,6175
2018-11-23,6180,6115,6225,6110
2018-11-26,6070,6205,6210,6055
2018-11-27,6225,6155,6250,6135
2018-11-28,6200,6225,6240,6170
2018-11-29,6225,6220,6245,6200
2018-11-30,6250,6245,6255,6190
2018-12-03,6625,6580,6695,6470
2018-12-04,6575,6625,6645,6525
2018-12-05,6600,6640,6640,6575
2018-12-06,6640,6620,6655,6595
2018-12-07,6630,6565,6635,6550
2018-12-10,6550,6535,6590,6430
2018-12-11,6530,6485,6540,6460
2018-12-12,6495,6475,6520,6455
2018-12-13,6460,6510,6520,6455
2018-12-14,6270,6230,6280,6215
2018-12-17,6205,6285,6300,6205
2018-12-18,6270,6370,6380,6260
2018-12-19,6340,6425,6425,6335
2018-12-20,6485,6370,6485,6360
2018-12-21,6375,6380,6430,6355
2018-12-24,6380,6390,6405,6360
2018-12-25,6350,6310,6370,6295
2018-12-26,6340,6370,6425,6315
