Date,Open,Close,High,Low
2019-03-22,99.175,99.170,99.175,99.170
2019-04-02,99.055,99.065,99.065,99.055
2019-04-08,98.605,98.615,98.680,98.580
2019-04-11,98.685,98.640,98.685,98.420
2019-04-12,98.620,98.645,98.650,98.610
2019-04-15,98.425,98.400,98.425,98.305
2019-04-16,98.320,98.305,98.405,98.305
2019-04-17,98.225,98.435,98.435,98.155
2019-04-19,98.495,98.495,98.495,98.495
2019-04-22,98.375,98.360,98.375,98.360
2019-04-23,98.360,98.360,98.435,98.300
2019-04-24,98.450,98.205,98.465,98.200
2019-04-25,98.285,98.340,98.415,98.235
2019-04-26,98.420,98.465,98.465,98.415
2019-04-29,98.605,98.360,98.605,98.325
2019-04-30,98.425,98.600,98.600,98.415
2019-05-06,98.730,98.745,98.775,98.605
2019-05-07,98.680,98.670,98.735,98.650
2019-05-08,98.780,98.740,98.820,98.685
2019-05-09,98.785,98.800,98.800,98.725
2019-05-10,98.710,98.795,98.830,98.630
2019-05-13,98.865,98.940,98.965,98.850
2019-05-14,98.980,98.865,98.980,98.815
2019-05-15,98.800,98.905,98.910,98.765
2019-05-16,98.940,98.935,99.000,98.880
2019-05-17,98.890,98.935,98.940,98.850
2019-05-20,98.895,98.935,99.015,98.855
2019-05-21,98.890,98.870,98.935,98.805
2019-05-22,98.860,98.795,98.860,98.760
2019-05-23,99.210,99.325,99.330,99.195
2019-05-24,99.340,99.355,99.365,99.300
2019-05-27,99.260,99.020,99.265,98.975
2019-05-28,98.995,99.155,99.190,98.990
2019-05-29,99.265,99.360,99.395,99.230
2019-05-30,98.670,98.700,98.735,98.660
2019-05-31,99.420,99.290,99.420,99.290
2019-06-03,98.745,98.870,98.890,98.745
2019-06-04,98.850,98.940,98.945,98.850
2019-06-05,98.885,99.005,99.005,98.885
2019-06-06,98.960,98.975,99.015,98.955
2019-06-10,98.980,98.960,98.980,98.925
2019-06-11,98.870,98.760,98.870,98.760
2019-06-12,98.815,98.835,98.865,98.815
2019-06-13,98.895,98.965,98.980,98.895
2019-06-14,99.015,99.080,99.080,98.995
2019-06-17,99.000,99.000,99.000,99.000
2019-06-18,99.120,99.090,99.120,99.055
2019-06-19,99.055,99.040,99.090,99.030
2019-06-20,99.115,99.080,99.185,99.080
2019-06-21,99.020,99.120,99.145,99.015
2019-06-24,99.080,99.030,99.090,99.015
2019-06-25,99.110,99.085,99.140,99.040
2019-06-26,99.020,98.980,99.035,98.980
2019-06-27,99.010,98.965,99.035,98.960
2019-06-28,98.770,98.840,98.865,98.770
2019-07-01,99.015,99.140,99.185,99.005
2019-07-02,99.125,99.420,99.420,99.125
2019-07-03,99.445,99.490,99.520,99.440
2019-07-04,99.405,99.480,99.490,99.380
2019-07-05,99.450,99.360,99.450,99.360
2019-07-08,99.315,99.305,99.415,99.290
2019-07-09,99.330,99.400,99.415,99.330
2019-07-10,99.415,99.425,99.450,99.375
2019-07-11,99.485,99.430,99.535,99.415
2019-07-12,99.415,99.465,99.465,99.395
2019-07-15,99.505,99.370,99.580,99.370
2019-07-16,99.395,99.375,99.445,99.375
2019-07-17,99.420,99.405,99.470,99.390
2019-07-18,99.420,99.535,99.540,99.420
2019-07-19,99.555,99.505,99.555,99.465
2019-07-22,99.450,99.570,99.575,99.450
2019-07-23,99.655,99.545,99.730,99.515
2019-07-24,99.250,99.200,99.250,99.195
2019-07-25,99.430,99.450,99.465,99.430
2019-07-26,99.435,99.470,99.485,99.420
2019-07-29,99.445,99.350,99.445,99.340
2019-07-30,99.345,99.415,99.420,99.305
2019-07-31,99.480,99.555,99.555,99.480
2019-08-01,99.535,99.570,99.570,99.495
2019-08-02,99.725,99.705,99.800,99.660
2019-08-05,99.705,99.890,99.890,99.705
2019-08-06,100.020,99.885,100.030,99.870
2019-08-07,99.905,99.925,99.975,99.890
2019-08-08,99.915,99.940,99.955,99.890
2019-08-09,99.975,100.025,100.050,99.965
2019-08-12,99.945,100.030,100.040,99.945
2019-08-13,100.155,100.140,100.165,100.120
2019-08-14,100.120,100.120,100.215,100.040
2019-08-15,100.280,100.060,100.380,100.060
2019-08-16,100.190,100.185,100.245,100.115
2019-08-19,100.185,100.245,100.265,100.140
2019-08-20,100.220,100.265,100.310,100.210
2019-08-21,100.270,100.190,100.275,100.190
2019-08-22,100.205,100.235,100.260,100.200
2019-08-23,100.230,100.285,100.290,100.210
2019-08-26,100.415,100.350,100.460,100.340
2019-08-27,100.340,100.335,100.365,100.310
2019-08-28,100.300,100.300,100.340,100.295
2019-08-29,100.310,100.485,100.535,100.260
2019-09-02,100.260,100.190,100.260,100.160
2019-09-03,100.135,100.100,100.155,100.095
2019-09-04,100.105,100.140,100.150,100.085
2019-09-05,100.335,100.320,100.335,100.320
2019-09-06,100.275,100.325,100.440,100.270
2019-09-09,100.275,100.250,100.295,100.250
2019-09-10,100.245,100.140,100.250,100.140
2019-09-11,100.140,100.190,100.190,100.140
2019-09-12,99.755,99.635,99.775,99.635
2019-09-16,99.540,99.695,99.705,99.540
2019-09-17,99.730,99.575,99.730,99.575
2019-09-18,99.635,99.525,99.645,99.525
2019-09-19,99.555,99.605,99.610,99.550
2019-09-20,99.580,99.640,99.645,99.580
2019-09-23,99.640,99.660,99.695,99.640
2019-09-24,99.420,99.285,99.420,99.270
2019-09-25,99.635,99.640,99.645,99.560
2019-09-26,99.595,99.560,99.700,99.545
2019-09-27,99.530,99.435,99.550,99.435
2019-09-30,99.470,99.550,99.550,99.415
2019-10-08,99.605,99.685,99.685,99.605
2019-10-09,99.680,99.640,99.680,99.630
2019-10-10,99.575,99.575,99.575,99.575
