Date,Open,Close,High,Low
2019-05-09,99.805,99.805,99.805,99.805
2019-05-16,99.810,99.750,99.815,99.665
2019-05-17,99.905,99.910,99.935,99.850
2019-05-20,99.910,99.910,99.925,99.875
2019-05-21,99.900,99.895,99.905,99.890
2019-05-22,99.785,99.760,99.785,99.760
2019-05-23,99.750,99.765,99.775,99.750
2019-05-24,99.745,99.755,99.760,99.745
2019-05-27,100.085,100.040,100.085,100.040
2019-05-28,99.640,99.685,99.685,99.640
2019-05-29,99.725,99.755,99.755,99.720
2019-05-30,99.720,99.725,99.725,99.720
2019-05-31,100.240,100.190,100.240,100.190
2019-06-03,99.595,99.720,99.720,99.595
2019-06-04,99.760,99.770,99.770,99.740
2019-06-05,99.785,99.820,99.820,99.785
2019-06-06,99.820,99.820,99.825,99.820
2019-06-10,99.805,99.825,99.825,99.805
2019-06-11,99.810,99.780,99.810,99.775
2019-06-12,99.820,99.820,99.820,99.810
2019-06-13,99.810,99.810,99.820,99.810
2019-06-14,99.845,99.865,99.865,99.845
2019-06-17,99.935,99.900,99.940,99.890
2019-06-18,99.895,99.890,99.895,99.885
2019-06-19,99.910,99.880,99.910,99.880
2019-06-20,99.900,99.900,99.925,99.895
2019-06-21,99.945,99.935,99.965,99.935
2019-06-24,99.900,99.910,99.910,99.895
2019-06-25,99.855,99.930,99.950,99.855
2019-06-26,99.910,99.895,99.910,99.895
2019-06-27,99.725,99.725,99.725,99.725
2019-07-01,99.915,99.935,99.940,99.910
2019-07-02,99.745,99.795,99.795,99.745
2019-07-03,100.020,100.020,100.030,100.015
2019-07-04,100.010,100.030,100.035,100.010
2019-07-05,100.020,100.015,100.030,100.010
2019-07-08,100.000,99.980,100.010,99.975
2019-07-09,99.985,99.990,99.990,99.985
2019-07-10,99.990,99.990,99.990,99.985
2019-07-11,99.995,100.015,100.025,99.995
2019-07-12,100.010,100.020,100.020,100.010
2019-07-15,100.035,99.995,100.045,99.990
2019-07-16,99.995,99.995,100.005,99.990
2019-07-17,100.005,99.995,100.005,99.995
2019-07-18,100.000,100.035,100.035,100.000
2019-07-19,100.035,100.025,100.035,100.025
2019-07-22,100.025,100.050,100.050,100.015
2019-07-23,100.075,100.055,100.095,100.040
2019-07-24,100.040,100.025,100.040,100.025
2019-07-25,100.025,100.030,100.030,100.025
2019-07-26,100.035,100.045,100.045,100.035
2019-07-29,100.040,100.030,100.040,100.030
2019-07-30,100.015,100.025,100.030,100.015
2019-07-31,100.045,100.065,100.070,100.045
2019-08-01,100.065,100.070,100.070,100.065
2019-08-02,100.100,100.150,100.150,100.100
2019-08-05,100.160,100.250,100.250,100.160
2019-08-06,100.250,100.280,100.285,100.250
2019-08-07,100.270,100.280,100.290,100.265
2019-08-08,100.280,100.290,100.290,100.245
2019-08-09,100.280,100.325,100.325,100.280
2019-08-12,100.315,100.280,100.320,100.280
2019-08-13,100.295,100.325,100.340,100.295
2019-08-14,100.275,100.320,100.340,100.275
2019-08-15,100.390,100.290,100.390,100.280
2019-08-16,100.280,100.235,100.280,100.230
2019-08-19,100.240,100.255,100.260,100.230
2019-08-20,100.360,100.405,100.410,100.360
2019-08-21,100.395,100.360,100.395,100.360
2019-08-22,100.095,100.125,100.125,100.095
2019-08-23,100.405,100.410,100.415,100.375
2019-08-26,100.500,100.455,100.510,100.450
2019-08-27,100.200,100.190,100.200,100.180
2019-08-28,100.480,100.440,100.480,100.425
2019-08-29,100.440,100.460,100.475,100.425
2019-08-30,100.435,100.415,100.445,100.415
2019-09-02,100.170,100.145,100.170,100.145
2019-09-03,100.400,100.390,100.400,100.390
2019-09-04,100.155,100.165,100.180,100.150
2019-09-05,100.255,100.240,100.255,100.230
2019-09-06,100.225,100.250,100.255,100.225
2019-09-09,100.230,100.235,100.235,100.230
2019-09-10,100.210,100.220,100.220,100.200
2019-09-12,100.445,100.415,100.455,100.415
2019-09-16,100.110,100.155,100.165,100.105
2019-09-17,100.095,100.135,100.200,100.095
2019-09-18,100.135,100.115,100.145,100.110
2019-09-19,100.140,100.140,100.150,100.135
2019-09-20,100.150,100.145,100.155,100.140
2019-09-23,100.170,100.160,100.170,100.155
2019-09-24,100.180,100.145,100.180,100.140
2019-09-25,100.160,100.160,100.160,100.145
2019-09-26,100.140,100.120,100.155,100.120
2019-09-27,99.980,99.945,99.985,99.945
2019-09-30,100.095,100.125,100.125,100.075
2019-10-08,100.135,100.175,100.175,100.135
2019-10-09,100.190,100.170,100.190,100.165
2019-10-10,100.160,100.150,100.160,100.145
2019-10-11,100.100,100.110,100.110,100.080
2019-10-14,100.060,100.110,100.110,100.060
2019-10-15,100.100,100.110,100.135,100.095
2019-10-16,100.135,100.115,100.140,100.110
2019-10-17,100.130,100.140,100.140,100.125
2019-10-18,100.135,100.095,100.140,100.095
2019-10-21,100.095,100.050,100.095,100.040
2019-10-22,100.035,100.020,100.045,100.020
2019-10-23,99.905,99.905,99.905,99.885
2019-10-24,100.040,100.055,100.055,100.035
2019-10-25,100.045,100.040,100.065,100.040
2019-10-28,99.865,99.830,99.865,99.805
2019-10-29,99.965,99.940,99.980,99.940
2019-10-30,99.940,99.815,99.940,99.775
2019-10-31,99.855,99.935,99.935,99.830
2019-11-01,99.950,99.985,99.995,99.930
2019-11-04,99.945,99.985,99.985,99.945
2019-11-05,99.945,100.105,100.115,99.945
2019-11-06,100.440,100.070,100.445,100.050
2019-11-07,100.055,100.070,100.075,100.050
2019-11-08,100.025,100.095,100.095,100.025
2019-11-11,100.090,100.150,100.170,100.080
2019-11-12,100.185,100.105,100.185,100.105
2019-11-13,100.250,100.285,100.295,100.210
2019-11-14,100.280,100.270,100.295,100.265
2019-11-15,100.290,100.300,100.305,100.275
2019-11-18,100.320,100.390,100.395,100.315
2019-11-19,100.405,100.435,100.480,100.405
