Date,Open,Close,High,Low
2015-03-20,96.900,97.090,97.960,96.530
2015-03-23,97.100,97.020,97.100,96.840
2015-03-24,97.140,96.920,97.220,96.880
2015-03-25,97.020,96.850,97.030,96.760
2015-03-26,96.830,96.370,96.890,96.370
2015-03-27,96.300,96.490,96.510,95.980
2015-03-30,96.070,96.160,96.400,96.000
2015-03-31,95.800,95.650,95.900,95.570
2015-04-01,95.660,96.100,96.100,95.650
2015-04-02,96.300,96.320,96.430,96.200
2015-04-03,96.320,96.010,96.380,96.000
2015-04-07,96.000,95.930,96.310,95.800
2015-04-08,96.000,95.160,96.100,95.130
2015-04-09,95.300,95.260,95.400,95.190
2015-04-10,95.350,95.190,95.420,95.170
2015-04-13,95.180,95.630,95.680,95.180
2015-04-14,95.700,95.570,96.000,95.530
2015-04-15,95.900,96.150,96.290,95.780
2015-04-16,96.740,96.180,96.740,95.860
2015-04-17,96.190,96.300,96.500,96.050
2015-04-20,97.100,97.250,97.280,96.670
2015-04-21,97.290,97.390,97.950,97.260
2015-04-22,97.400,97.420,97.610,97.310
2015-04-23,97.360,97.340,97.460,96.940
2015-04-24,97.220,97.030,97.250,96.820
2015-04-27,97.080,97.760,97.850,97.080
2015-04-28,97.600,97.740,97.840,97.580
2015-04-29,97.670,97.690,97.780,97.520
2015-04-30,97.690,97.960,98.100,97.690
2015-05-04,97.910,97.600,97.910,97.540
2015-05-05,97.510,97.500,97.680,97.490
2015-05-06,97.420,97.150,97.470,97.070
2015-05-07,97.140,97.200,97.370,97.100
2015-05-08,97.300,97.450,97.610,97.290
2015-05-11,97.410,97.320,97.500,96.500
2015-05-12,97.310,96.990,97.460,96.880
2015-05-13,97.020,97.220,97.350,96.960
2015-05-14,97.420,97.100,97.530,97.000
2015-05-15,97.150,97.180,97.350,97.120
2015-05-18,97.200,96.710,97.290,96.680
2015-05-19,96.690,96.560,96.840,96.470
2015-05-20,96.570,96.880,96.920,96.550
2015-05-21,96.900,96.680,96.900,96.470
2015-05-22,96.670,96.740,96.810,96.670
2015-05-25,96.700,96.520,96.820,96.460
2015-05-26,96.500,95.660,96.500,95.210
2015-05-27,95.670,95.800,95.960,95.580
2015-05-28,95.650,95.000,95.740,94.810
2015-05-29,95.080,94.920,95.140,94.830
2015-06-01,94.930,94.210,94.960,93.900
2015-06-02,94.580,94.990,95.100,94.420
2015-06-03,94.880,95.060,95.400,94.650
2015-06-04,95.070,94.910,95.260,94.560
2015-06-05,94.980,95.300,95.370,94.970
2015-06-08,95.210,95.560,95.620,95.190
2015-06-09,95.540,95.470,95.680,95.380
2015-06-10,95.430,94.980,95.430,94.920
2015-06-11,94.980,94.830,95.060,94.780
2015-06-12,94.850,94.620,95.050,94.510
2015-06-15,94.550,94.210,94.620,94.200
2015-06-16,94.290,95.130,95.140,94.260
2015-06-17,95.100,94.960,95.200,94.700
2015-06-18,95.000,95.250,95.410,94.920
2015-06-19,95.250,95.020,95.370,94.820
2015-06-23,94.890,94.910,95.030,94.580
2015-06-24,94.900,94.890,94.980,94.710
2015-06-25,94.780,94.800,95.310,94.700
2015-06-26,94.800,94.710,94.940,94.630
2015-06-29,95.010,94.540,95.050,94.390
2015-06-30,94.600,94.750,94.960,94.540
2015-07-01,94.820,94.640,94.860,94.600
2015-07-02,94.650,94.610,94.690,94.360
2015-07-03,94.700,95.220,95.270,94.650
2015-07-06,95.500,95.920,96.050,95.310
2015-07-07,96.180,96.280,96.380,95.970
2015-07-08,96.480,95.800,96.980,95.340
2015-07-09,95.860,96.150,96.580,95.720
2015-07-10,96.000,95.950,96.010,95.600
2015-07-13,95.850,95.720,96.120,95.670
2015-07-14,95.820,95.570,95.820,95.380
2015-07-15,95.380,95.440,95.580,95.280
2015-07-16,95.780,95.750,95.780,95.480
2015-07-17,95.750,95.800,95.910,95.610
2015-07-20,95.810,95.750,95.930,95.670
2015-07-21,95.700,95.540,95.750,95.530
2015-07-22,95.540,95.630,95.730,95.380
2015-07-23,95.780,95.910,95.960,95.710
2015-07-24,95.980,95.860,96.160,95.830
2015-07-27,95.890,96.040,96.040,95.580
2015-07-28,96.000,96.030,96.130,95.890
2015-07-29,96.040,96.110,96.180,95.960
2015-07-30,96.130,95.980,96.170,95.780
2015-07-31,96.100,95.540,96.100,95.450
2015-08-03,95.360,95.560,95.710,95.360
2015-08-04,95.560,95.710,95.840,95.560
2015-08-05,95.720,95.610,95.790,95.570
2015-08-06,95.540,95.880,95.890,95.500
2015-08-07,95.810,95.920,95.940,95.700
2015-08-10,95.930,95.680,95.980,95.600
2015-08-11,95.610,95.190,95.700,95.160
2015-08-12,95.120,95.330,95.350,94.800
2015-08-13,95.330,95.320,95.400,95.180
2015-08-14,95.540,95.640,95.690,95.440
2015-08-17,95.110,95.320,95.450,95.110
2015-08-18,95.170,95.500,95.510,95.110
2015-08-19,95.520,95.370,95.520,95.240
2015-08-20,95.330,95.450,95.460,95.290
2015-08-21,95.500,95.520,95.680,95.440
2015-08-24,95.550,95.790,95.820,95.550
2015-08-25,95.950,95.800,95.980,95.740
2015-08-26,95.950,96.000,96.040,95.810
2015-08-27,96.080,96.400,96.440,96.000
2015-08-28,96.280,96.250,96.450,96.140
2015-08-31,96.210,96.760,96.860,96.190
2015-09-01,96.820,96.920,97.040,96.810
2015-09-02,96.940,96.620,97.000,96.520
2015-09-07,96.600,96.420,96.600,96.400
2015-09-08,96.380,96.380,96.480,96.080
2015-09-09,96.320,96.190,96.490,96.190
2015-09-10,96.180,96.390,96.470,96.060
2015-09-11,96.480,96.250,96.480,96.250
2015-09-14,96.400,96.410,96.460,96.270
2015-09-15,96.450,96.650,96.680,96.330
2015-09-16,96.680,96.540,96.710,96.450
2015-09-17,96.460,96.360,96.550,96.220
2015-09-18,96.380,96.390,96.650,96.350
2015-09-21,96.390,96.420,96.470,96.320
2015-09-22,96.440,96.260,96.460,96.170
2015-09-23,96.300,96.310,96.420,96.250
2015-09-24,96.290,96.510,96.530,96.200
2015-09-25,96.530,96.670,96.740,96.440
2015-09-28,96.660,96.930,96.970,96.650
2015-09-29,97.000,97.230,97.310,97.000
2015-09-30,97.210,97.320,97.330,97.050
2015-10-08,97.250,97.270,97.290,97.060
2015-10-09,97.250,98.130,98.150,97.230
2015-10-12,98.130,98.180,98.450,97.930
2015-10-13,98.210,98.720,98.890,98.090
2015-10-14,98.720,98.710,99.250,98.350
2015-10-15,98.600,98.530,98.780,98.330
2015-10-16,98.450,98.070,98.480,98.000
2015-10-19,98.050,98.220,98.300,98.050
2015-10-20,98.320,99.170,99.170,98.260
2015-10-21,99.170,98.890,99.320,98.810
2015-10-22,98.810,99.290,99.290,98.810
2015-10-23,99.290,98.960,99.480,98.920
2015-10-26,99.050,99.250,99.360,98.790
2015-10-27,99.400,99.760,99.850,99.250
2015-10-28,99.700,99.390,99.930,99.290
2015-10-29,99.150,98.680,99.250,98.680
2015-10-30,98.610,98.830,98.960,98.500
2015-11-02,98.890,98.810,99.170,98.710
2015-11-03,98.820,98.600,98.880,98.560
2015-11-04,98.570,98.360,98.690,98.190
2015-11-05,98.300,98.670,98.690,98.170
2015-11-06,98.680,98.250,98.740,98.190
2015-11-09,97.900,97.290,97.970,97.280
2015-11-10,97.310,97.660,97.680,97.230
2015-11-11,97.710,98.180,98.180,97.640
2015-11-12,98.000,98.080,98.240,97.470
2015-11-13,98.350,97.940,98.530,97.920
2015-11-16,97.970,98.340,98.360,97.870
2015-11-17,98.330,98.520,98.570,98.210
2015-11-18,98.510,97.970,98.610,97.940
2015-11-19,97.920,98.210,98.360,97.890
2015-11-20,98.320,98.630,98.680,98.180
2015-11-23,98.500,98.500,98.760,98.000
2015-11-24,98.050,98.510,98.550,97.900
2015-11-25,98.590,98.590,98.690,98.420
2015-11-26,98.610,98.940,99.030,98.360
2015-11-27,98.930,98.690,99.070,98.570
2015-11-30,98.690,99.010,99.240,98.630
2015-12-01,99.110,98.750,99.180,98.660
