Date,Open,Close,High,Low
2019-02-25,98.025,97.980,98.125,97.940
2019-02-26,97.940,97.740,98.105,97.700
2019-02-27,97.885,98.170,98.220,97.830
2019-02-28,97.625,98.050,98.885,97.625
2019-03-01,96.500,96.455,96.640,96.455
2019-03-04,96.395,96.650,96.675,96.300
2019-03-05,96.630,96.735,96.775,96.620
2019-03-06,96.775,96.805,96.970,96.760
2019-03-07,97.045,97.300,97.300,96.995
2019-03-08,97.480,97.400,97.565,97.400
2019-03-11,97.590,97.360,97.590,97.330
2019-03-12,97.265,97.425,97.435,97.215
2019-03-13,97.450,97.465,97.575,97.380
2019-03-14,97.370,97.200,97.380,97.200
2019-03-15,97.125,97.350,97.415,96.990
2019-03-18,97.315,97.205,97.315,97.105
2019-03-19,97.270,97.100,97.325,97.100
2019-03-20,97.190,97.120,97.250,97.075
2019-03-21,97.190,97.370,97.395,97.190
2019-03-22,97.385,97.500,97.525,97.385
2019-03-25,97.605,97.840,97.840,97.605
2019-03-26,97.800,97.780,97.905,97.715
2019-03-27,98.030,97.645,98.030,97.645
2019-03-28,97.765,97.730,97.990,97.720
2019-03-29,97.620,97.595,97.710,97.575
2019-04-01,97.505,97.145,97.505,97.125
2019-04-02,97.070,96.910,97.070,96.860
2019-04-03,96.950,96.385,96.990,96.300
2019-04-04,96.370,96.100,96.370,96.085
2019-04-08,96.180,96.310,96.390,96.025
2019-04-09,96.200,96.105,96.335,96.105
2019-04-10,96.100,96.305,96.370,96.030
2019-04-11,96.360,96.445,96.530,96.265
2019-04-12,96.390,96.260,96.470,96.230
2019-04-15,95.890,96.000,96.010,95.660
2019-04-16,95.915,95.760,96.010,95.695
2019-04-17,95.825,96.020,96.070,95.555
2019-04-18,96.060,96.095,96.120,95.980
2019-04-19,96.085,95.990,96.180,95.960
2019-04-22,95.930,95.745,95.945,95.740
2019-04-23,95.715,95.800,95.870,95.560
2019-04-24,95.815,95.405,95.820,95.400
2019-04-25,95.495,95.605,95.810,95.475
2019-04-26,95.655,95.900,95.935,95.655
2019-04-29,95.980,95.775,95.980,95.720
2019-04-30,95.850,96.225,96.240,95.850
2019-05-06,96.480,96.395,96.610,96.300
2019-05-07,96.300,96.325,96.410,96.240
2019-05-08,96.450,96.440,96.500,96.350
2019-05-09,96.530,96.670,96.670,96.480
2019-05-10,96.515,96.735,96.745,96.390
2019-05-13,96.800,96.990,97.000,96.800
2019-05-14,96.990,96.845,97.085,96.795
2019-05-15,96.840,96.870,96.940,96.635
2019-05-16,96.920,96.890,97.035,96.810
2019-05-17,96.800,96.865,96.895,96.740
2019-05-20,96.855,96.880,97.000,96.740
2019-05-21,96.830,96.640,96.830,96.600
2019-05-22,97.160,97.095,97.170,97.005
2019-05-23,97.250,97.350,97.375,97.170
2019-05-24,97.410,97.305,97.430,97.290
2019-05-27,97.245,96.870,97.245,96.695
2019-05-28,96.855,97.135,97.200,96.855
2019-05-29,97.290,97.470,97.490,97.255
2019-05-30,97.470,97.505,97.600,97.345
2019-05-31,97.435,97.505,97.610,97.435
2019-06-03,96.650,96.725,96.785,96.650
2019-06-05,97.950,98.060,98.060,97.950
2019-06-06,96.990,96.960,97.080,96.930
2019-06-10,96.920,96.910,96.980,96.840
2019-06-11,96.875,96.610,96.875,96.605
2019-06-12,96.595,96.655,96.765,96.595
2019-06-13,96.720,96.855,96.930,96.720
2019-06-14,96.950,97.080,97.095,96.900
2019-06-17,97.100,97.200,97.250,97.100
2019-06-18,97.155,97.050,97.195,96.975
2019-06-19,96.955,96.935,97.025,96.910
2019-06-20,97.100,96.955,97.175,96.955
2019-06-21,96.930,97.040,97.125,96.875
2019-06-24,97.020,96.920,97.020,96.885
2019-06-25,96.965,96.985,97.130,96.960
2019-06-26,96.980,96.835,97.020,96.820
2019-06-27,96.950,96.780,96.955,96.780
2019-06-28,96.825,97.095,97.160,96.810
2019-07-01,97.000,97.210,97.250,96.900
2019-07-02,97.145,97.670,97.700,97.145
2019-07-03,97.760,97.860,97.900,97.710
2019-07-04,97.815,97.815,97.840,97.670
2019-07-05,97.755,97.675,97.780,97.650
2019-07-08,97.620,97.590,97.840,97.550
2019-07-09,97.625,97.765,97.775,97.615
2019-07-10,97.795,97.715,97.865,97.630
2019-07-11,97.795,97.745,98.030,97.735
2019-07-12,97.735,97.870,97.870,97.665
2019-07-15,97.950,97.610,98.080,97.600
2019-07-16,97.635,97.675,97.795,97.635
2019-07-17,97.765,97.690,97.780,97.650
2019-07-18,97.780,97.915,97.950,97.765
2019-07-19,97.950,97.870,97.990,97.765
2019-07-22,97.830,97.980,98.000,97.755
2019-07-23,98.045,97.985,98.425,97.935
2019-07-24,97.880,97.750,97.945,97.740
2019-07-25,97.780,97.790,97.840,97.745
2019-07-26,97.780,97.835,97.870,97.750
2019-07-29,97.825,97.610,97.845,97.590
2019-07-30,97.620,97.695,97.705,97.505
2019-07-31,97.800,97.940,97.945,97.785
2019-08-01,97.945,97.995,98.010,97.815
2019-08-02,98.330,98.285,98.360,98.220
2019-08-05,98.285,98.595,98.600,98.220
2019-08-06,98.850,98.630,98.850,98.550
2019-08-07,98.640,98.715,98.750,98.630
2019-08-08,98.675,98.725,98.730,98.615
2019-08-09,98.745,98.890,98.950,98.740
2019-08-12,98.800,98.825,98.935,98.780
2019-08-13,99.010,99.020,99.070,98.945
2019-08-14,98.825,99.020,99.160,98.825
2019-08-15,99.400,99.185,99.550,99.155
2019-08-16,99.235,99.200,99.235,99.105
2019-08-19,99.210,99.290,99.340,99.125
2019-08-20,99.240,99.250,99.320,99.145
2019-08-21,99.205,99.045,99.245,99.045
2019-08-22,99.045,99.135,99.170,99.005
2019-08-23,99.055,99.200,99.235,99.055
2019-08-26,99.390,99.290,99.490,99.280
