Date,Open,Close,High,Low
2019-09-25,15575,15575,15760,15280
2019-09-26,15565,15705,15935,15550
2019-09-27,15715,15725,15800,15580
2019-09-30,15735,15700,15790,15635
2019-10-08,15630,15675,15800,15545
2019-10-09,15630,15675,15695,15630
2019-10-10,15685,15765,15895,15600
2019-10-11,15800,15745,15800,15705
2019-10-14,15775,15765,15830,15735
2019-10-15,15735,15440,15820,15165
2019-10-16,15405,15490,15585,15405
2019-10-17,15465,15180,15510,15115
2019-10-18,15175,15020,15245,14790
2019-10-21,15180,14850,15200,14680
2019-10-22,14850,14895,14980,14770
2019-10-23,14940,14975,15150,14840
2019-10-24,14975,15005,15130,14940
2019-10-25,15060,14960,15080,14815
2019-10-28,14960,15005,15065,14855
2019-10-29,15065,15025,15225,14965
2019-10-30,15020,15065,15065,14965
2019-10-31,15115,14985,15115,14925
2019-11-01,14990,15000,15000,14850
2019-11-04,14955,14975,15005,14950
2019-11-05,14960,14910,15000,14875
2019-11-06,14910,14930,14975,14865
2019-11-07,14955,14920,14965,14850
2019-11-08,14940,14780,14940,14775
2019-11-11,14765,14210,14780,14200
2019-11-12,14205,14385,14425,14170
2019-11-13,14345,14360,14480,14250
2019-11-14,14350,14370,14430,14270
2019-11-15,14365,14375,14440,14200
2019-11-18,14375,14300,14405,14115
2019-11-19,14205,14380,14505,14205
2019-11-20,14380,14415,14485,14335
2019-11-21,14400,14375,14405,14260
2019-11-22,14420,14530,14580,14315
2019-11-25,14540,14525,14595,14455
2019-11-26,14555,14370,14565,14355
2019-11-27,14360,14220,14380,14185
2019-11-28,14220,14110,14260,14095
2019-11-29,14080,14005,14135,14000
2019-12-02,13975,13930,14075,13905
2019-12-03,13930,14020,14075,13925
2019-12-04,14015,13850,14095,13835
2019-12-05,13870,13880,13980,13765
2019-12-06,13875,13950,14015,13850
2019-12-09,13970,13935,14130,13785
2019-12-10,13920,13985,14030,13860
2019-12-11,13985,14200,14280,13940
2019-12-12,14275,14235,14395,14200
2019-12-13,14265,14275,14295,14115
2019-12-16,14350,14255,14375,14190
2019-12-17,14220,14300,14325,14220
2019-12-18,14300,14295,14345,14230
2019-12-19,14290,14395,14395,14255
2019-12-20,14410,14340,14430,14310
2019-12-23,14340,14440,14470,14330
2019-12-24,14440,14310,14480,14235
2019-12-25,14330,14240,14330,14240
2019-12-26,14240,14270,14290,14240
2019-12-27,14260,14240,14320,14070
2019-12-30,14220,14345,14355,14220
2019-12-31,14175,14410,14860,14175
2020-01-02,14390,13805,14400,13795
2020-01-03,13805,13750,13935,13745
2020-01-06,13750,13895,13975,13730
2020-01-07,13930,13930,13965,13850
2020-01-08,13970,13965,14100,13905
2020-01-09,13925,13950,14065,13925
2020-01-10,14000,14065,14100,13925
2020-01-13,14115,14030,14140,14000
2020-01-14,13980,13840,14030,13830
2020-01-15,13875,13830,13895,13815
2020-01-16,13845,13935,13950,13845
2020-01-17,13950,13840,14010,13790
2020-01-20,13810,13860,13870,13810
2020-01-21,13820,13865,13940,13795
2020-01-22,13875,13850,13915,13760
2020-01-23,13820,13705,13850,13680
2020-02-03,13485,13030,13485,12920
2020-02-04,13090,13245,13295,13020
2020-02-05,13185,13235,13330,13160
2020-02-06,13260,13265,13360,13230
2020-02-07,13260,13270,13300,13185
2020-02-10,13210,13290,13325,13185
2020-02-11,13260,13395,13425,13260
2020-02-12,13425,13500,13560,13390
2020-02-13,13560,13465,13650,13465
2020-02-14,13450,13295,13580,13280
2020-02-17,13350,13345,13365,13300
2020-02-18,13315,13250,13340,13215
2020-02-19,13220,13175,13275,13175
2020-02-20,13160,13250,13250,13155
2020-02-21,13250,13200,13325,13195
2020-02-24,13175,13085,13220,13040
2020-02-25,13070,12980,13070,12960
2020-02-26,12960,12660,12985,12650
2020-02-27,12660,12690,12800,12645
2020-02-28,12680,12470,12680,12390
2020-03-02,12500,12650,12735,12485
2020-03-03,12680,12675,12850,12640
2020-03-04,12700,12580,12725,12550
2020-03-05,12570,12645,12710,12510
2020-03-06,12650,12595,12665,12550
2020-03-09,12400,12200,12450,12110
2020-03-10,12230,12445,12525,12230
2020-03-11,12460,12370,12470,12330
2020-03-12,12340,12260,12345,12150
2020-03-13,12050,12180,12295,11990
2020-03-16,12195,12215,12400,12170
2020-03-17,12215,12200,12220,12100
2020-03-18,12190,12045,12275,12020
2020-03-19,12135,11945,12135,11700
2020-03-20,11950,11985,12045,11905
2020-03-23,11865,11800,11900,11680
2020-03-24,11800,11800,11880,11730
2020-03-25,11900,11980,11980,11855
2020-03-26,12000,11950,12040,11920
2020-03-27,12000,12070,12080,11910
2020-03-30,12030,11880,12035,11820
2020-03-31,11890,11980,12045,11890
2020-04-01,11995,11985,12060,11930
2020-04-02,11935,11955,11995,11825
2020-04-03,12030,11915,12035,11910
2020-04-07,11985,12050,12190,11950
2020-04-08,12030,12205,12245,11980
2020-04-09,12245,12295,12320,12160
2020-04-10,12405,12455,12470,12270
2020-04-13,12395,12510,12695,12380
2020-04-14,12635,12805,12840,12550
2020-04-15,12820,12860,13225,12795
2020-04-16,12845,12695,12845,12670
2020-04-17,12780,12945,12960,12760
2020-04-20,12940,13320,13390,12895
2020-04-21,13300,13030,13520,12740
2020-04-22,13015,12950,13060,12840
2020-04-23,12995,13035,13170,12875
2020-04-24,12960,12940,13180,12830
