Date,Open,Close,High,Low
2015-05-18,440.0,437.6,440.2,437.6
2015-05-19,436.0,437.0,437.6,436.0
2015-05-20,436.8,435.8,437.0,434.8
2015-05-21,438.0,443.2,446.8,437.8
2015-05-22,439.2,441.4,443.8,439.2
2015-05-25,439.2,440.2,441.8,439.2
2015-05-26,441.0,441.4,447.8,439.2
2015-05-27,440.0,440.8,444.2,438.8
2015-05-28,440.8,439.8,441.0,439.6
2015-05-29,441.4,442.6,442.6,439.8
2015-06-01,443.0,440.8,443.0,440.2
2015-06-02,440.6,440.2,442.6,440.2
2015-06-03,442.2,440.0,442.2,440.0
2015-06-04,440.8,440.0,441.0,438.6
2015-06-05,440.8,438.4,440.8,438.0
2015-06-08,438.0,438.0,438.4,437.4
2015-06-09,438.0,438.0,438.0,438.0
2015-06-10,439.0,439.0,439.0,437.0
2015-06-11,440.0,437.4,440.0,437.2
2015-06-12,437.0,428.0,437.0,428.0
2015-06-15,430.0,428.8,430.6,428.8
2015-06-16,425.0,426.8,428.0,425.0
2015-06-17,425.0,422.6,426.0,421.6
2015-06-18,422.0,421.8,422.4,420.4
2015-06-19,418.0,420.8,422.6,414.4
2015-06-24,428.0,421.2,428.0,421.2
2015-06-25,423.0,420.0,423.0,419.2
2015-06-26,419.6,420.0,420.4,419.0
2015-06-29,419.4,420.0,420.0,411.8
2015-06-30,416.2,416.6,418.2,413.2
2015-07-01,414.0,415.0,417.4,414.0
2015-07-02,414.0,415.2,415.2,412.2
2015-07-03,415.0,414.2,417.2,413.6
2015-07-06,413.2,409.2,413.4,404.2
2015-07-07,409.2,406.8,409.2,400.0
2015-07-08,402.6,390.6,402.6,390.6
2015-07-09,370.2,395.0,401.0,370.2
2015-07-10,396.4,393.4,397.0,392.6
2015-07-13,395.0,390.0,396.8,381.8
2015-07-14,392.6,391.2,392.6,390.8
2015-07-15,393.6,390.2,393.6,389.8
2015-07-16,390.2,390.8,392.2,390.0
2015-07-17,390.0,392.4,392.8,390.0
2015-07-20,389.2,391.2,392.6,389.2
2015-07-21,392.8,391.0,392.8,389.0
2015-07-22,390.0,382.6,390.6,382.2
2015-07-23,379.2,380.6,384.6,379.0
2015-07-24,382.0,381.0,382.4,380.0
2015-07-27,382.2,381.4,383.0,379.8
2015-07-28,381.2,377.8,382.4,375.8
2015-07-29,379.8,377.4,380.8,376.0
2015-07-30,377.6,375.2,379.6,375.2
2015-07-31,376.0,377.0,378.2,375.4
2015-08-03,378.4,376.2,378.6,373.8
2015-08-04,375.4,376.2,377.6,375.2
2015-08-05,376.6,376.6,377.2,376.2
2015-08-06,376.6,374.8,376.6,370.6
2015-08-07,375.2,372.4,375.2,371.8
2015-08-10,372.4,370.6,373.6,365.2
2015-08-11,371.4,373.2,375.8,371.0
2015-08-12,372.8,375.8,375.8,372.0
2015-08-13,375.8,379.0,381.4,375.8
2015-08-14,377.2,378.2,378.2,377.0
2015-08-17,378.0,377.0,378.2,377.0
2015-08-18,377.2,374.4,377.6,373.6
2015-08-19,374.0,374.6,374.8,371.4
2015-08-20,374.4,372.4,376.0,372.2
2015-08-21,373.0,372.2,374.0,372.2
2015-08-24,372.8,363.6,373.0,362.2
2015-08-25,362.2,363.0,365.2,359.6
2015-08-26,369.0,359.4,369.0,358.4
2015-08-27,360.8,363.4,365.0,360.8
2015-08-28,363.4,364.4,369.6,363.0
2015-08-31,364.0,363.8,365.4,362.2
2015-09-01,364.0,364.2,365.8,362.4
2015-09-02,364.8,362.8,366.0,361.2
2015-09-03,360.0,360.8,362.4,356.2
2015-09-08,362.0,363.0,363.2,361.8
2015-09-09,364.0,364.8,366.2,363.2
2015-09-10,364.0,365.0,365.0,363.2
2015-09-11,364.6,365.0,366.0,364.6
2015-09-14,365.0,364.2,366.0,363.0
2015-09-15,363.2,362.0,364.4,361.4
2015-09-16,362.2,363.2,364.6,361.6
2015-09-17,363.4,362.8,363.6,362.0
2015-09-18,362.6,363.2,363.4,362.0
2015-09-21,362.8,359.4,363.0,359.2
2015-09-22,360.2,358.4,360.6,358.4
2015-09-23,358.8,359.2,359.6,357.6
2015-09-24,358.6,358.0,359.0,357.4
2015-09-25,359.4,357.4,359.4,357.4
2015-09-28,357.4,350.8,357.8,350.2
2015-09-29,350.0,348.2,351.4,346.6
2015-09-30,348.2,347.0,348.8,345.4
2015-10-01,348.0,348.6,350.0,348.0
2015-10-09,348.6,350.4,351.2,348.0
2015-10-12,350.0,349.2,350.4,348.2
2015-10-13,348.0,346.6,348.0,346.6
2015-10-14,345.8,340.4,347.0,340.0
2015-10-15,341.4,339.4,341.4,338.2
2015-10-16,339.0,337.4,339.0,337.0
2015-10-19,336.8,337.2,338.8,336.6
2015-10-20,336.8,335.0,337.2,334.8
2015-10-21,334.8,332.4,334.8,332.0
2015-10-22,333.0,333.2,334.6,331.8
2015-10-23,333.4,331.4,333.4,329.2
2015-10-26,330.6,323.8,331.2,323.2
2015-10-27,324.0,324.4,326.0,322.0
2015-10-28,324.4,322.6,324.8,321.8
2015-10-29,322.0,322.2,324.2,320.2
2015-10-30,322.2,317.4,322.8,317.2
2015-11-02,317.4,313.8,317.4,313.4
2015-11-03,313.8,309.6,314.4,309.6
2015-11-04,310.0,310.8,313.4,309.8
2015-11-05,310.6,307.0,314.4,306.2
2015-11-06,307.0,306.6,308.4,302.6
2015-11-09,306.2,308.2,308.6,306.0
2015-11-10,308.2,309.8,310.0,306.4
2015-11-11,309.2,303.0,310.0,302.0
2015-11-12,302.8,299.8,303.8,298.2
2015-11-13,298.8,300.0,301.8,296.0
2015-11-16,301.6,300.2,304.6,298.6
2015-11-17,301.0,300.2,301.6,296.4
2015-11-18,300.0,296.4,301.8,295.2
2015-11-19,296.2,287.6,297.0,286.4
2015-11-20,287.2,287.4,289.8,285.2
2015-11-23,287.4,287.4,290.2,286.2
2015-11-24,287.6,283.2,288.2,278.4
2015-11-25,282.6,289.4,292.8,280.6
2015-11-26,288.4,294.2,298.6,286.0
2015-11-27,293.6,294.2,298.8,291.4
2015-11-30,293.0,292.8,296.4,288.2
2015-12-01,293.0,294.6,297.6,292.6
2015-12-02,294.2,297.4,299.8,291.8
