Date,Open,Close,High,Low
2018-10-08,658.8,663.2,663.8,652.2
2018-10-09,663.4,670.8,673.4,657.2
2018-10-10,637.8,636.6,644.2,634.2
2018-10-11,637.4,633.0,639.8,630.8
2018-10-12,633.2,636.6,637.8,632.6
2018-10-15,636.8,632.0,639.2,631.2
2018-10-16,632.2,627.8,633.4,626.4
2018-10-17,626.6,626.0,629.4,623.0
2018-10-18,626.0,621.0,626.0,620.0
2018-10-19,621.6,613.6,621.6,612.0
2018-10-22,613.4,616.2,618.6,612.0
2018-10-23,616.0,618.0,619.6,615.2
2018-10-24,618.0,620.6,622.8,614.2
2018-10-25,620.8,615.2,620.8,613.2
2018-10-26,615.0,612.4,619.0,607.6
2018-10-29,612.2,617.2,619.6,612.0
2018-10-30,615.8,617.0,617.8,614.0
2018-10-31,617.0,605.6,617.4,605.2
2018-11-01,607.8,603.4,607.8,602.6
2018-11-02,604.4,603.8,606.8,597.4
2018-11-05,604.0,603.2,604.8,600.0
2018-11-06,603.8,602.0,603.8,600.6
2018-11-07,600.0,595.6,602.0,595.0
2018-11-08,595.6,598.0,598.4,592.8
2018-11-09,596.2,595.6,598.6,595.0
2018-11-12,578.6,577.0,581.0,574.0
2018-11-13,576.6,573.8,577.0,571.2
2018-11-14,575.0,586.2,589.0,573.8
2018-11-15,582.0,578.2,583.0,574.6
2018-11-16,581.4,581.6,583.6,578.4
2018-11-19,581.6,574.8,581.6,547.6
2018-11-20,576.6,576.2,579.6,573.2
2018-11-21,576.2,576.6,577.8,570.2
2018-11-22,577.0,576.0,579.6,575.0
2018-11-23,575.8,569.6,578.8,569.6
2018-11-26,568.8,567.8,572.0,560.6
2018-11-27,567.4,566.6,570.6,563.8
2018-11-28,566.8,568.6,571.0,566.2
2018-11-29,569.0,561.0,570.8,560.2
2018-11-30,561.6,563.2,564.8,560.0
2018-12-03,564.4,568.8,579.6,562.0
2018-12-04,568.2,563.0,569.6,561.0
2018-12-05,562.8,561.4,567.8,560.2
2018-12-06,598.0,607.8,609.8,596.0
2018-12-07,607.0,615.8,619.0,605.2
2018-12-10,615.0,615.4,618.2,612.0
2018-12-11,615.0,615.6,618.0,611.0
2018-12-12,616.0,614.0,617.0,613.0
2018-12-13,614.0,614.6,616.8,611.2
2018-12-14,613.2,610.8,613.8,610.4
2018-12-17,610.0,598.0,610.0,597.8
2018-12-18,597.6,594.2,600.0,592.2
2018-12-19,569.6,571.4,573.0,568.6
2018-12-20,571.0,568.6,572.2,568.2
2018-12-21,568.2,569.6,570.4,566.8
2018-12-24,569.8,572.6,576.0,569.2
2018-12-25,570.8,566.2,571.8,565.0
2018-12-26,565.0,566.0,569.8,564.8
2018-12-27,568.6,571.8,576.0,568.6
2018-12-28,571.0,573.2,576.4,571.0
2019-01-02,573.8,574.8,577.6,573.6
2019-01-03,570.8,569.4,571.4,565.2
2019-01-04,568.2,571.8,574.8,568.2
2019-01-07,572.6,577.8,578.6,571.0
2019-01-08,577.0,574.0,577.8,572.6
2019-01-09,572.8,570.2,574.6,570.2
2019-01-10,570.4,569.8,573.8,568.4
2019-01-11,569.4,570.0,571.0,566.0
2019-01-14,569.6,584.0,589.6,567.8
2019-01-15,583.4,581.2,584.6,576.8
2019-01-16,578.2,585.8,589.4,578.2
2019-01-17,587.4,587.6,588.0,584.0
2019-01-18,588.8,592.6,597.6,586.8
2019-01-21,593.6,589.8,596.4,583.6
2019-01-22,587.0,579.2,589.2,578.6
2019-01-23,578.4,582.6,584.8,577.4
2019-01-24,583.6,575.2,584.0,575.2
2019-01-25,575.2,578.8,585.0,573.6
2019-01-28,579.2,580.6,583.2,577.0
2019-01-29,580.6,577.0,580.8,574.4
2019-01-30,577.0,576.8,582.8,576.0
2019-01-31,578.0,590.4,592.4,576.6
2019-02-01,591.6,593.2,594.6,587.8
2019-02-11,593.2,586.6,595.6,581.2
2019-02-12,585.6,586.0,590.0,583.0
2019-02-13,589.2,590.4,594.0,587.8
2019-02-14,591.4,592.0,594.6,589.2
2019-02-15,593.8,593.6,596.4,592.2
2019-02-18,595.0,588.8,599.2,587.2
2019-02-19,588.8,590.2,590.2,586.4
2019-02-20,590.0,592.0,592.4,587.0
2019-02-21,590.6,590.2,598.6,587.4
2019-02-22,590.0,588.2,590.0,584.2
2019-02-25,588.0,594.0,595.8,586.2
2019-02-26,594.0,596.0,596.6,589.4
2019-02-27,595.8,603.2,605.0,594.2
2019-02-28,605.0,605.6,607.0,601.2
2019-03-01,606.0,611.4,611.6,604.2
2019-03-04,613.0,610.6,614.2,609.0
2019-03-05,613.4,604.2,613.4,601.6
2019-03-06,603.2,604.2,607.8,602.2
2019-03-07,604.8,605.4,607.6,604.2
2019-03-08,604.6,597.2,605.0,596.4
2019-03-11,596.0,590.8,597.0,590.2
2019-03-12,592.0,588.6,593.4,587.6
2019-03-13,588.0,587.4,591.6,586.4
2019-03-14,587.0,589.0,590.0,586.8
2019-03-15,590.0,590.2,592.6,589.0
2019-03-18,589.2,588.0,589.8,586.2
2019-03-19,588.0,587.0,588.6,586.2
2019-03-20,588.0,589.2,590.8,583.8
2019-03-21,589.4,590.0,591.0,589.0
2019-03-22,589.4,589.8,590.8,588.0
2019-03-25,589.2,588.8,593.4,587.6
2019-03-26,589.2,590.0,591.0,587.8
2019-03-27,589.6,587.6,590.6,587.0
2019-03-28,587.8,588.8,589.8,587.4
2019-03-29,588.8,588.6,589.6,587.0
2019-04-01,580.0,589.0,589.6,579.6
2019-04-02,596.8,593.4,598.0,593.0
2019-04-03,594.6,602.0,602.4,594.2
2019-04-04,603.0,601.0,603.8,599.4
2019-04-08,603.0,605.6,608.8,603.0
2019-04-09,606.0,603.4,607.6,598.4
2019-04-10,604.2,603.4,608.4,603.0
2019-04-11,592.4,591.8,592.4,589.4
2019-04-12,605.0,605.8,606.2,603.4
2019-04-15,605.8,606.4,607.2,603.0
2019-04-16,594.4,594.8,596.8,592.2
2019-04-17,606.8,602.8,607.6,602.2
2019-04-18,603.0,600.2,603.2,600.0
2019-04-19,587.8,588.2,589.6,587.0
2019-04-22,588.0,596.8,603.2,586.4
2019-04-23,609.0,609.6,613.8,607.6
2019-04-24,609.6,611.8,613.0,608.4
2019-04-25,612.8,612.2,614.0,610.6
2019-04-26,613.0,616.4,617.4,612.8
2019-04-29,615.8,617.2,617.4,613.4
2019-04-30,617.2,621.8,622.0,617.2
2019-05-06,617.6,618.8,620.0,609.6
2019-05-07,618.6,614.2,619.0,612.4
2019-05-08,614.0,610.8,614.0,609.2
2019-05-09,610.2,610.4,613.4,608.4
2019-05-10,611.2,612.0,613.4,611.0
2019-05-13,611.0,615.0,616.8,611.0
2019-05-14,615.0,611.6,615.4,611.0
2019-05-15,613.0,611.2,614.6,607.0
2019-05-16,611.2,611.2,612.6,609.2
2019-05-17,610.8,608.4,611.6,607.0
2019-05-20,607.0,610.0,612.8,607.0
2019-05-21,609.2,607.8,610.6,607.0
2019-05-22,605.0,604.4,608.4,604.4
2019-05-23,604.0,605.6,607.4,603.0
2019-05-24,605.0,602.2,606.0,601.8
2019-05-27,600.4,598.2,601.8,597.6
2019-05-28,597.0,597.4,603.2,596.8
2019-05-29,595.2,590.4,595.8,588.6
2019-05-30,588.4,588.6,589.8,586.8
2019-05-31,585.0,578.4,588.4,578.0
2019-06-03,580.0,584.8,586.4,580.0
2019-06-04,587.6,588.2,590.6,585.6
2019-06-05,588.2,588.0,589.4,586.2
2019-06-06,583.8,586.0,588.8,583.2
2019-06-10,595.0,596.8,598.6,594.4
2019-06-11,597.0,601.4,603.8,594.0
2019-06-12,600.8,601.6,602.0,598.8
2019-06-13,593.2,591.4,594.0,589.2
2019-06-14,592.0,590.8,592.0,586.6
2019-06-17,590.8,592.0,593.8,588.0
2019-06-18,590.6,597.0,599.0,589.2
2019-06-19,598.4,595.4,600.4,594.0
2019-06-20,595.6,600.2,600.2,595.6
2019-06-21,600.6,600.8,605.0,596.6
2019-06-24,602.0,601.8,608.0,599.2
2019-06-25,602.6,601.4,604.2,599.2
2019-06-26,597.2,595.0,601.8,594.6
2019-06-27,595.4,596.2,599.6,593.6
2019-06-28,596.6,601.0,601.8,595.4
2019-07-01,602.2,597.0,603.0,593.8
2019-07-02,596.4,597.4,599.4,593.4
2019-07-03,596.0,588.4,596.2,588.2
2019-07-04,588.4,586.4,590.2,585.4
2019-07-05,585.2,590.4,591.6,585.2
2019-07-08,589.4,588.2,595.2,587.4
2019-07-09,586.6,587.2,589.2,585.6
2019-07-10,587.2,587.0,588.8,585.2
2019-07-11,588.0,586.6,589.6,586.0
2019-07-12,586.6,587.0,588.0,584.0
2019-07-15,587.0,585.2,589.4,585.0
2019-07-16,585.0,587.6,587.8,584.8
2019-07-17,585.8,582.2,588.0,582.0
2019-07-18,583.2,583.2,584.6,582.2
2019-07-19,583.6,588.0,589.0,583.6
2019-07-22,587.8,589.0,591.8,586.2
2019-07-23,589.0,592.2,592.6,589.0
2019-07-24,592.2,591.4,593.8,589.6
2019-07-25,593.0,591.8,593.0,590.6
2019-07-26,592.0,590.0,592.6,587.8
2019-07-29,590.0,589.2,591.2,587.0
2019-07-30,588.0,586.2,588.8,584.4
2019-07-31,588.4,586.8,590.0,584.4
2019-08-01,587.4,581.0,587.6,581.0
2019-08-02,581.4,579.0,583.2,579.0
2019-08-05,579.0,575.0,581.2,574.8
2019-08-06,576.2,575.0,579.8,575.0
2019-08-07,568.4,569.4,570.2,567.6
2019-08-08,575.4,576.0,577.8,573.8
2019-08-09,576.4,575.4,577.4,574.0
2019-08-12,575.2,577.2,578.4,574.0
2019-08-13,576.8,573.0,577.2,572.6
2019-08-14,573.2,578.0,580.6,573.2
2019-08-15,576.2,579.6,580.0,575.2
2019-08-16,580.2,581.4,582.6,579.0
2019-08-19,581.2,582.8,583.2,578.2
2019-08-20,584.4,585.0,585.0,581.4
2019-08-21,584.6,583.2,584.6,577.6
2019-08-22,583.2,587.0,588.8,582.8
2019-08-23,586.0,585.8,588.4,584.6
2019-08-26,574.8,576.0,581.8,574.6
