Date,Open,Close,High,Low
2019-08-09,1745,1747,1806,1727
2019-08-12,1759,1774,1787,1742
2019-08-13,1798,1816,1823,1761
2019-08-14,1815,1778,1825,1765
2019-08-15,1789,1782,1795,1768
2019-08-16,1782,1779,1794,1773
2019-08-19,1783,1780,1788,1770
2019-08-20,1782,1778,1785,1776
2019-08-21,1777,1766,1778,1750
2019-08-22,1768,1773,1778,1767
2019-08-23,1778,1770,1778,1765
2019-08-26,1765,1786,1793,1764
2019-08-27,1783,1785,1804,1779
2019-08-28,1788,1795,1801,1786
2019-08-29,1798,1832,1861,1797
2019-08-30,1837,1838,1849,1828
2019-09-02,1842,1844,1872,1831
2019-09-03,1842,1836,1851,1833
2019-09-04,1842,1854,1883,1838
2019-09-05,1852,1855,1873,1851
2019-09-06,1865,1862,1868,1855
2019-09-09,1871,1868,1881,1863
2019-09-10,1870,1854,1878,1848
2019-09-11,1851,1860,1862,1851
2019-09-12,1858,1856,1866,1856
2019-09-16,1860,1836,1866,1821
2019-09-17,1840,1829,1840,1823
2019-09-18,1826,1833,1835,1812
2019-09-19,1833,1827,1842,1825
2019-09-20,1830,1812,1830,1805
2019-09-23,1817,1823,1825,1812
2019-09-24,1823,1828,1838,1819
2019-09-25,1826,1817,1828,1815
2019-09-26,1821,1815,1824,1805
2019-09-27,1814,1814,1817,1808
2019-09-30,1816,1817,1825,1812
2019-10-08,1803,1812,1823,1794
2019-10-09,1808,1827,1831,1808
2019-10-10,1829,1817,1838,1816
2019-10-11,1820,1815,1820,1810
2019-10-14,1812,1800,1816,1796
2019-10-15,1794,1797,1800,1792
2019-10-16,1801,1791,1802,1790
2019-10-17,1786,1778,1788,1775
2019-10-18,1778,1778,1786,1775
2019-10-21,1776,1770,1780,1766
2019-10-22,1769,1750,1771,1742
2019-10-23,1750,1746,1754,1745
2019-10-24,1749,1757,1759,1749
2019-10-25,1756,1757,1764,1753
2019-10-28,1759,1766,1769,1758
2019-10-29,1764,1766,1773,1759
2019-10-30,1763,1771,1774,1763
2019-10-31,1770,1760,1774,1758
2019-11-01,1760,1764,1764,1756
2019-11-04,1765,1756,1767,1756
2019-11-05,1756,1774,1779,1755
2019-11-06,1775,1760,1778,1760
2019-11-07,1763,1750,1765,1748
2019-11-08,1753,1732,1753,1729
2019-11-11,1732,1730,1739,1723
2019-11-12,1731,1736,1741,1728
2019-11-13,1738,1736,1748,1734
2019-11-14,1739,1725,1742,1720
2019-11-15,1728,1734,1736,1723
2019-11-18,1731,1701,1733,1695
2019-11-19,1699,1701,1707,1687
2019-11-20,1699,1696,1710,1690
2019-11-21,1699,1695,1699,1689
2019-11-22,1697,1718,1719,1697
2019-11-25,1728,1744,1750,1719
2019-11-26,1747,1723,1748,1720
2019-11-27,1722,1741,1747,1722
2019-11-28,1741,1734,1745,1730
2019-11-29,1734,1735,1738,1724
2019-12-02,1730,1721,1735,1718
2019-12-03,1724,1715,1728,1711
2019-12-04,1715,1742,1748,1713
2019-12-05,1742,1751,1757,1732
2019-12-06,1748,1738,1755,1737
2019-12-09,1749,1745,1760,1742
2019-12-10,1745,1739,1753,1738
2019-12-11,1737,1736,1742,1731
2019-12-12,1732,1741,1750,1732
2019-12-13,1744,1736,1755,1732
2019-12-16,1706,1703,1722,1682
2019-12-17,1697,1702,1714,1686
2019-12-18,1703,1706,1715,1702
2019-12-19,1702,1714,1714,1701
2019-12-20,1720,1702,1720,1702
2019-12-23,1700,1706,1712,1698
2019-12-24,1700,1692,1701,1677
2019-12-25,1692,1678,1698,1677
2019-12-26,1682,1677,1682,1675
2019-12-27,1676,1649,1678,1645
2019-12-30,1651,1647,1653,1642
2019-12-31,1697,1703,1713,1696
2020-01-02,1610,1633,1643,1610
2020-01-03,1704,1705,1706,1695
2020-01-06,1705,1709,1714,1705
2020-01-07,1712,1717,1720,1710
2020-01-08,1723,1722,1745,1713
2020-01-09,1715,1714,1721,1712
2020-01-10,1717,1714,1722,1710
2020-01-13,1715,1722,1729,1712
2020-01-14,1720,1716,1733,1716
2020-01-15,1719,1716,1723,1714
2020-01-16,1722,1719,1726,1715
2020-01-17,1718,1712,1720,1710
2020-01-20,1713,1717,1722,1706
2020-01-21,1716,1699,1721,1696
2020-01-22,1695,1692,1703,1690
2020-01-23,1695,1692,1699,1689
2020-02-03,1658,1646,1670,1603
2020-02-04,1647,1666,1670,1647
2020-02-05,1666,1677,1692,1666
2020-02-06,1681,1683,1685,1677
2020-02-07,1679,1687,1688,1679
2020-02-10,1686,1692,1698,1685
2020-02-11,1693,1710,1711,1693
2020-02-12,1713,1710,1720,1702
2020-02-13,1715,1707,1715,1703
2020-02-14,1705,1708,1711,1699
2020-02-17,1715,1715,1727,1706
2020-02-18,1716,1715,1720,1712
2020-02-19,1711,1718,1720,1711
2020-02-20,1718,1717,1719,1710
2020-02-21,1718,1728,1735,1714
2020-02-24,1735,1734,1739,1725
2020-02-25,1727,1736,1743,1726
2020-02-26,1732,1728,1740,1721
2020-02-27,1720,1702,1720,1702
2020-02-28,1695,1708,1713,1692
2020-03-02,1710,1708,1713,1706
2020-03-03,1714,1710,1716,1707
2020-03-04,1711,1721,1732,1711
2020-03-05,1733,1737,1737,1727
2020-03-06,1737,1736,1741,1730
2020-03-09,1688,1680,1723,1677
2020-03-10,1688,1687,1695,1677
2020-03-11,1690,1672,1693,1667
2020-03-12,1676,1652,1677,1651
2020-03-13,1647,1655,1657,1641
2020-03-16,1649,1633,1649,1627
2020-03-17,1628,1630,1638,1621
2020-03-18,1630,1607,1630,1604
2020-03-19,1600,1549,1600,1549
2020-03-20,1577,1553,1600,1542
2020-03-23,1530,1535,1545,1523
2020-03-24,1552,1550,1553,1538
2020-03-25,1553,1544,1554,1540
2020-03-26,1542,1561,1570,1541
2020-03-27,1564,1559,1569,1550
2020-03-30,1545,1549,1558,1545
2020-03-31,1551,1546,1558,1542
2020-04-01,1554,1552,1561,1548
2020-04-02,1551,1561,1568,1541
2020-04-03,1570,1557,1570,1555
2020-04-07,1571,1602,1610,1568
2020-04-08,1600,1577,1605,1572
2020-04-09,1579,1578,1586,1568
2020-04-10,1672,1681,1689,1659
2020-04-13,1690,1703,1709,1679
2020-04-14,1708,1712,1724,1700
2020-04-15,1715,1703,1718,1699
2020-04-16,1706,1696,1710,1695
2020-04-17,1694,1694,1706,1678
2020-04-20,1695,1696,1704,1682
2020-04-21,1690,1700,1704,1686
2020-04-22,1697,1719,1720,1695
2020-04-23,1719,1718,1728,1710
2020-04-24,1717,1699,1717,1699
2020-04-27,1696,1701,1708,1696
2020-04-28,1699,1696,1699,1689
2020-04-29,1490,1488,1493,1486
2020-04-30,1682,1683,1700,1668
2020-05-06,1680,1680,1690,1680
2020-05-07,1498,1500,1504,1496
2020-05-08,1500,1500,1502,1495
2020-05-11,1500,1497,1503,1495
2020-05-12,1499,1510,1512,1499
2020-05-13,1510,1510,1516,1505
2020-05-14,1512,1511,1518,1505
2020-05-15,1520,1521,1523,1514
2020-05-18,1522,1522,1528,1516
2020-05-19,1528,1505,1528,1496
2020-05-20,1507,1514,1518,1506
2020-05-21,1516,1516,1520,1514
2020-05-22,1516,1511,1516,1504
2020-05-25,1512,1520,1524,1512
2020-05-26,1523,1517,1524,1513
2020-05-27,1517,1520,1522,1516
2020-05-28,1518,1518,1522,1514
2020-05-29,1521,1515,1524,1510
2020-06-01,1520,1518,1522,1516
2020-06-02,1518,1518,1520,1514
2020-06-03,1521,1529,1530,1520
2020-06-04,1526,1527,1537,1524
2020-06-05,1530,1532,1533,1528
2020-06-08,1538,1535,1540,1531
2020-06-09,1535,1520,1536,1518
2020-06-10,1519,1517,1523,1517
