Date,Open,Close,High,Low
2015-04-20,2524,2524,2524,2524
2015-04-21,2451,2451,2451,2451
2015-04-23,2580,2619,2619,2501
2015-04-29,2610,2660,2660,2610
2015-05-11,2433,2433,2433,2433
2015-05-12,2489,2531,2531,2342
2015-05-13,2414,2496,2538,2414
2015-05-14,2452,2452,2452,2452
2015-05-15,2446,2446,2446,2446
2015-05-19,2518,2494,2544,2462
2015-05-27,2402,2494,2494,2402
2015-05-28,2546,2546,2546,2546
2015-06-10,2735,2735,2735,2735
2015-06-12,2772,2715,2835,2700
2015-06-19,2634,2634,2634,2634
2015-06-24,2670,2699,2699,2670
2015-06-25,2704,2581,2704,2581
2015-06-30,2724,2722,2725,2722
2015-07-01,2739,2739,2739,2739
2015-07-03,2765,2681,2765,2680
2015-07-06,2637,2638,2638,2637
2015-07-08,2493,2476,2493,2476
2015-07-09,2480,2500,2500,2480
2015-07-24,2582,2408,2582,2408
2015-08-05,2449,2399,2449,2399
2015-08-11,2455,2385,2472,2377
2015-08-13,2460,2337,2460,2337
2015-08-26,2400,2400,2400,2400
2015-09-02,2501,2381,2501,2381
2015-09-07,2421,2421,2443,2421
2015-09-15,2360,2359,2360,2359
2015-09-16,2412,2356,2414,2356
2015-09-30,2383,2383,2383,2383
2015-10-14,2389,2389,2389,2389
2015-10-15,2400,2379,2479,2361
2015-10-20,2366,2366,2366,2366
2015-10-21,2271,2333,2333,2271
2015-10-22,2352,2357,2357,2352
2015-10-26,2361,2386,2386,2361
2015-10-27,2428,2428,2428,2428
2015-10-28,2339,2339,2339,2339
2015-11-02,2366,2366,2366,2366
2015-11-03,2367,2374,2374,2367
2015-11-04,2366,2351,2398,2351
2015-11-05,2320,2308,2320,2308
2015-11-06,2370,2365,2370,2365
2015-11-09,2349,2349,2349,2349
2015-11-25,2353,2366,2366,2353
2015-11-26,2379,2379,2379,2379
2015-11-27,2379,2413,2413,2379
2015-12-01,2410,2410,2410,2410
2015-12-02,2410,2410,2419,2410
2015-12-03,2410,2410,2410,2410
2015-12-07,2410,2459,2460,2337
2015-12-08,2450,2450,2450,2450
2015-12-09,2450,2450,2450,2450
2015-12-10,2475,2480,2480,2475
2015-12-11,2520,2540,2540,2520
2015-12-14,2599,2596,2600,2596
2015-12-15,2650,2596,2650,2596
2015-12-16,2596,2629,2629,2596
2015-12-17,2615,2615,2615,2615
2015-12-18,2615,2615,2615,2615
2015-12-21,2615,2615,2615,2615
2015-12-22,2615,2719,2720,2615
2015-12-23,2690,2582,2690,2579
2015-12-24,2473,2472,2474,2472
2015-12-25,2242,2320,2353,2242
2015-12-28,2329,2320,2329,2310
2016-01-04,2350,2350,2350,2350
2016-02-15,2514,2514,2514,2514
2016-03-09,2543,2543,2543,2543
2016-04-12,2605,2605,2605,2605
2016-04-21,2275,2275,2275,2275
2016-04-26,2700,2699,2700,2699
2016-04-27,2512,2512,2512,2512
2016-04-28,2416,2416,2416,2416
2016-05-03,2296,2536,2536,2296
2016-05-04,2442,2442,2442,2442
2016-05-05,2476,2506,2506,2476
2016-05-09,2460,2400,2510,2386
2016-05-18,2312,2312,2312,2312
2016-05-20,2247,2269,2269,2247
2016-05-23,2173,2290,2315,2173
2016-05-24,2309,2345,2345,2309
2016-05-25,2281,2305,2305,2281
2016-05-31,2289,2289,2289,2289
2016-06-03,2318,2339,2374,2318
2016-07-25,2362,2362,2362,2362
2016-07-27,2275,2275,2275,2275
2016-07-29,2222,2314,2405,2222
2016-08-03,2306,2306,2306,2306
2016-09-05,2356,2356,2356,2356
2016-09-20,2168,2296,2296,2168
2016-09-28,2158,2322,2322,2158
2016-10-14,2193,2336,2336,2192
2016-10-17,2250,2345,2345,2250
2016-10-20,2411,2411,2411,2411
2016-11-04,2450,2402,2450,2402
2016-11-18,2511,2389,2511,2332
2016-12-02,2460,2460,2460,2460
2017-01-03,2770,2770,2770,2770
2017-01-05,2454,2454,2454,2454
2017-02-23,2552,2357,2552,2357
2017-02-24,2445,2445,2445,2445
2017-02-27,2479,2479,2479,2479
2017-03-02,2498,2426,2579,2426
2017-03-13,2389,2462,2462,2389
2017-03-14,2421,2421,2421,2421
2017-03-15,2431,2431,2431,2431
2017-04-06,2604,2604,2604,2604
2017-05-04,2417,2417,2417,2417
2017-05-22,2457,2457,2457,2457
2017-05-24,2361,2369,2369,2361
2017-06-09,2413,2306,2413,2306
2017-06-26,2406,2282,2406,2282
2017-07-05,2405,2406,2406,2405
2017-07-13,2472,2472,2472,2472
2017-07-31,2540,2540,2540,2540
2017-08-04,2472,2472,2472,2472
2017-08-14,2500,2500,2500,2500
2017-08-29,2550,2550,2550,2550
2017-09-01,2555,2555,2555,2555
2018-02-22,2478,2624,2624,2478
2018-02-23,2654,2642,2654,2578
2018-03-05,2520,2520,2520,2520
2018-04-09,2500,2504,2504,2500
2018-04-18,2558,2402,2558,2402
2018-04-26,2480,2480,2480,2480
2018-05-02,2214,2214,2214,2214
2018-05-15,2330,2330,2330,2330
