Date,Open,Close,High,Low
2007-10-30,8585,8659,8659,8585
2007-10-31,8935,8807,8935,8785
2007-11-01,8737,8751,8789,8735
2007-11-02,8935,8833,8935,8785
2007-11-05,8785,8775,8799,8755
2007-11-06,8785,8835,8863,8785
2007-11-07,8831,8901,8905,8831
2007-11-08,8965,9051,9113,8965
2007-11-09,8995,9095,9133,8995
2007-11-12,9095,9145,9183,9095
2007-11-13,9145,9071,9165,9055
2007-11-14,9015,9183,9205,8997
2007-11-15,9185,9135,9195,9107
2007-11-16,9179,9135,9205,9117
2007-11-19,9135,8959,9135,8937
2007-11-20,8983,8957,9033,8893
2007-11-21,8923,8655,8923,8595
2007-11-22,8735,8925,8927,8725
2007-11-23,8855,8971,9011,8855
2007-11-26,8995,8945,9011,8883
2007-11-27,9005,9039,9101,8999
2007-11-28,8995,8935,8995,8905
2007-11-29,8867,8785,8891,8785
2007-11-30,8811,8757,8835,8635
2007-12-03,8735,8735,8781,8695
2007-12-04,8735,8745,8835,8733
2007-12-05,8745,8805,8835,8745
2007-12-06,8821,8811,8871,8765
2007-12-07,8787,8715,8787,8707
2007-12-10,8755,8793,8795,8663
2007-12-11,8767,8757,8801,8727
2007-12-12,8737,8811,8843,8737
2007-12-13,8823,8753,8823,8735
2007-12-14,8827,8945,9109,8795
2007-12-17,8885,8947,8963,8885
2007-12-18,8983,9021,9033,8957
2007-12-19,9021,8915,9021,8915
2007-12-20,8885,9021,9051,8885
2007-12-21,9043,8985,9043,8977
2007-12-24,8987,9053,9075,8945
2007-12-25,9033,9231,9269,9005
2007-12-26,9279,9251,9279,9191
2007-12-27,9275,9481,9483,9255
2007-12-28,9493,9535,9721,9493
2007-12-31,9535,9533,9645,9443
2008-01-03,9535,9531,9595,9479
2008-01-04,9615,9659,9771,9615
2008-01-07,9685,9669,9731,9645
2008-01-08,9655,9683,9749,9639
2008-01-09,9705,9705,9739,9643
2008-01-10,9765,9811,9815,9685
2008-01-11,9745,9865,9905,9745
2008-01-14,9865,10077,10115,9865
2008-01-15,10223,10363,10363,10185
2008-01-16,10515,10487,10531,10315
2008-01-17,10479,10305,10483,10203
2008-01-18,10255,10479,10481,10203
2008-01-21,10415,10165,10433,10117
2008-01-22,10185,10205,10271,10137
2008-01-23,9935,9811,9951,9811
2008-01-24,9839,9719,9883,9673
2008-01-25,9373,9597,9615,9373
2008-01-28,9709,9821,9863,9709
2008-01-29,9815,9797,9873,9761
2008-01-30,9893,9951,9955,9841
2008-01-31,9983,9965,10035,9953
2008-02-01,9961,9993,10071,9925
2008-02-04,10083,10033,10123,10025
2008-02-05,10095,10153,10197,9985
2008-02-06,10285,10463,10463,10237
2008-02-14,10385,10503,10583,10385
2008-02-15,10535,10677,10717,10535
2008-02-18,10845,10953,11053,10845
2008-02-19,10983,11045,11323,10953
2008-02-20,11103,11055,11153,10815
2008-02-21,11093,11095,11175,10985
2008-02-22,11195,11311,11355,11147
2008-02-25,11265,11289,11355,11165
2008-02-26,11523,11741,11741,11445
2008-02-27,11795,11587,12085,11385
2008-02-28,11815,11991,12175,11815
2008-02-29,12033,11915,12115,11835
2008-03-03,12135,12387,12387,11997
2008-03-04,12555,12747,12747,12555
2008-03-05,13227,12745,13227,12231
2008-03-06,12333,12329,12435,12329
2008-03-07,12335,12401,12623,11935
2008-03-10,11883,11883,12085,11883
2008-03-11,11429,11429,11429,11429
2008-03-12,11263,11531,11661,11263
2008-03-13,11595,11205,11653,11043
2008-03-14,11355,11505,11653,11135
2008-03-17,11485,11471,11585,11335
2008-03-18,11021,11021,11125,11021
2008-03-19,10613,10613,10613,10613
2008-03-20,10235,10415,10679,10235
2008-03-21,10009,10133,10231,10009
2008-03-24,10005,10065,10181,9987
