Date,Open,Close,High,Low
1997-04-15,10865,11225,11255,10865
1997-04-16,11185,11245,11485,11185
1997-04-17,11105,11385,11395,11105
1997-04-18,11415,11245,11415,11245
1997-04-21,11185,11105,11295,11105
1997-04-22,11085,11085,11285,10985
1997-04-23,11035,11085,11285,11035
1997-04-24,11095,11025,11145,11025
1997-04-25,11025,10995,11145,10965
1997-04-28,10685,10685,11435,10685
1997-04-29,10795,10505,10795,10505
1997-04-30,10685,10565,10745,10495
1997-05-01,10545,10305,10635,10285
1997-05-06,10195,10235,10425,10185
1997-05-07,10235,10215,10485,10205
1997-05-08,10185,10185,10325,10105
1997-05-09,10035,10385,10385,9985
1997-05-12,10085,10335,10355,10065
1997-05-13,10085,10215,10245,10085
1997-05-14,10235,10095,10235,10085
1997-05-15,10085,10175,10175,9955
1997-05-16,10105,10005,10155,10005
1997-05-19,10035,10005,10035,9985
1997-05-20,10005,10015,10035,9995
1997-05-21,9965,9985,10015,9925
1997-05-22,9885,9935,10085,9785
1997-05-23,9685,10085,10085,9685
1997-05-26,9985,9885,10005,9885
1997-05-27,9975,10085,10185,9975
1997-05-28,10085,10185,10245,9905
1997-05-29,10245,10255,10265,10105
1997-05-30,10245,10295,10365,10235
1997-06-02,10265,10085,10265,10085
1997-06-03,10185,10185,10325,10045
1997-06-04,10235,10185,10375,10185
1997-06-05,10375,10325,10375,10065
1997-06-06,10365,10275,10365,10175
1997-06-09,10295,10225,10295,10075
1997-06-10,10275,10215,10275,10105
1997-06-11,10225,10115,10225,10115
1997-06-12,10275,10025,10275,9965
1997-06-13,10035,10115,10115,9985
1997-06-16,10195,9915,10195,9905
1997-06-17,9995,10015,10095,9915
1997-06-18,9975,10015,10045,9945
1997-06-19,9985,10055,10105,9985
1997-06-20,9955,9995,10025,9955
1997-06-23,9955,10045,10045,9955
1997-06-24,10045,10105,10105,9985
1997-06-25,10065,10085,10125,10065
1997-06-26,10115,10075,10115,10075
1997-06-27,10285,10095,10285,10065
1997-06-30,10075,10105,10135,10065
1997-07-03,10105,10115,10125,10105
1997-07-04,10035,10075,10105,10035
1997-07-07,10095,10085,10115,10075
1997-07-08,10025,9595,10035,9595
1997-07-09,10035,10155,10165,10035
1997-07-10,10085,10165,10285,10085
1997-07-11,9895,9895,9975,9855
1997-07-14,10055,9985,10235,9955
1997-07-15,10045,9885,10045,9855
1997-07-16,9885,9855,9885,9695
1997-07-17,9755,9945,9945,9755
1997-07-18,9795,9725,9835,9725
1997-07-21,9945,9855,9945,9845
1997-07-22,10085,9945,10085,9925
1997-07-23,9895,9985,10085,9895
1997-07-24,10035,10015,10115,9975
1997-07-25,10075,9975,10075,9975
1997-07-28,10045,9975,10045,9975
1997-07-29,11125,11025,11235,10995
1997-07-30,11075,10945,11075,10945
1997-07-31,10985,10755,10985,10695
1997-08-01,10595,10485,10635,10485
1997-08-04,10585,10585,10695,10565
1997-08-05,10585,10615,10645,10585
