Date,Open,Close,High,Low
2018-09-20,12435,12885,13020,12435
2018-09-21,12890,12770,12920,12715
2018-09-25,12750,12825,12865,12655
2018-09-26,12825,12820,12930,12750
2018-09-27,12800,12600,12820,12600
2018-09-28,12580,12665,12675,12505
2018-10-08,12800,12655,12820,12560
2018-10-09,12655,13085,13195,12650
2018-10-10,13070,12920,13085,12850
2018-10-11,12900,12515,12935,12485
2018-10-12,12530,12645,12680,12530
2018-10-15,12645,12550,12720,12510
2018-10-16,12555,12445,12640,12280
2018-10-17,12475,12575,12655,12425
2018-10-18,12535,12300,12560,12250
2018-10-19,12345,12330,12395,12225
2018-10-22,12345,12375,12490,12335
2018-10-23,12365,12255,12425,12250
2018-10-24,12235,12260,12295,12160
2018-10-25,12280,12105,12350,11885
2018-10-26,12215,12150,12215,12070
2018-10-29,12135,11660,12165,11610
2018-10-30,11705,11675,11735,11555
2018-10-31,11650,11550,11660,11445
2018-11-01,11545,11585,11655,11460
2018-11-02,11615,11675,11735,11520
2018-11-05,11675,11435,11720,11300
2018-11-06,11465,11540,11550,11395
2018-11-07,11580,11575,11685,11500
2018-11-08,11550,11580,11650,11505
2018-11-09,11580,11525,11590,11465
2018-11-12,11515,11395,11595,11185
2018-11-13,11385,11440,11450,11250
2018-11-14,11425,11410,11470,11245
2018-11-15,11410,11345,11440,11305
2018-11-16,11350,11375,11420,11260
2018-11-19,11390,11305,11410,11275
2018-11-20,11300,11140,11335,11050
2018-11-21,11160,11095,11160,10815
2018-11-22,11125,11035,11130,10985
2018-11-23,11025,10990,11065,10850
2018-11-26,10980,11155,11185,10930
2018-11-27,11145,11005,11155,10955
2018-11-28,11030,11135,11210,10965
2018-11-29,11140,11120,11265,11050
2018-11-30,10895,10915,10965,10860
2018-12-03,10900,10885,11310,10725
2018-12-04,10880,10915,10940,10820
2018-12-05,10915,10980,10980,10830
2018-12-06,10985,10945,11075,10900
2018-12-07,10910,10970,11025,10870
2018-12-10,10970,10965,11115,10925
2018-12-11,10965,10885,10990,10805
2018-12-12,10900,10955,10965,10865
2018-12-13,10970,11065,11095,10940
2018-12-14,11050,11010,11060,10955
2018-12-17,11030,11050,11110,10985
2018-12-18,11090,11120,11220,11040
2018-12-19,11120,11005,11150,10985
2018-12-20,11025,11170,11200,11015
2018-12-21,11715,11610,11760,11535
2018-12-24,11580,11630,11630,11535
2018-12-25,11610,11335,11665,11205
2018-12-26,11340,11320,11390,11310
2018-12-27,11355,11550,11600,11335
2018-12-28,11515,11600,11680,11490
2019-01-02,11600,11575,11625,11515
2019-01-03,11580,11735,11755,11570
2019-01-04,11755,12120,12125,11750
2019-01-07,12250,11965,12275,11880
2019-01-08,11950,11965,12010,11885
2019-01-09,11955,12060,12110,11950
2019-01-10,12015,11915,12030,11890
