Date,Open,Close,High,Low
2018-09-20,49370,49170,49430,49080
2018-09-21,49180,49490,49790,48930
2018-09-25,50200,50130,50200,49770
2018-09-26,50470,50310,50580,50180
2018-09-27,50370,49950,50490,49910
2018-09-28,49910,50020,50080,49560
2018-10-08,50000,49850,50080,49660
2018-10-09,49900,50380,50380,49860
2018-10-10,50170,50680,51000,50060
2018-10-11,50700,49830,50840,49610
2018-10-12,50030,50650,50740,49910
2018-10-15,50630,50470,50970,50340
2018-10-16,50660,50060,50870,49960
2018-10-17,50210,50160,50250,49840
2018-10-18,50270,49980,50440,49870
2018-10-19,49890,50160,50210,49720
2018-10-22,50480,50540,50610,50250
2018-10-23,50710,50100,50780,50040
2018-10-24,49920,50270,50290,49850
2018-10-25,50110,49770,50270,49390
2018-10-26,50080,49750,50350,49720
2018-10-29,49730,49800,50190,49600
2018-10-30,50130,49660,50180,49600
2018-10-31,49390,49060,49390,48860
2018-11-01,48950,48670,49230,48450
2018-11-02,48840,49890,50020,48770
2018-11-05,49970,49870,50390,49790
2018-11-06,49760,49740,49970,49550
2018-11-07,49740,49540,49960,49300
2018-11-08,49690,49520,49780,49420
2018-11-09,49370,49350,49680,49200
2018-11-12,49230,48950,49290,48930
2018-11-13,48920,49140,49170,48730
2018-11-14,49100,48850,49370,48780
2018-11-15,49020,49500,49550,48950
2018-11-16,49530,49530,49750,49410
2018-11-19,49480,49700,49830,49370
2018-11-20,49760,49570,49970,49520
2018-11-21,49690,49420,49940,48750
2018-11-22,49570,49610,49710,49300
2018-11-23,49550,49430,49820,49400
2018-11-26,49250,49260,49430,49030
2018-11-27,49340,48770,49410,48510
2018-11-28,48800,49210,49240,48500
2018-11-29,49200,49500,49770,49060
2018-11-30,49590,49720,49720,49450
2018-12-03,49610,50250,50790,49380
2018-12-04,50140,49660,50350,49620
2018-12-05,49650,49390,49710,49100
2018-12-06,49300,49040,49390,49020
2018-12-07,48830,49240,49310,48770
2018-12-10,49310,48970,49310,48940
2018-12-11,48970,49100,49210,48860
2018-12-12,49200,49110,49480,49080
2018-12-13,49060,49360,49360,49050
2018-12-14,49310,48910,49430,48910
2018-12-17,48800,49220,49300,48770
2018-12-18,49100,48900,49160,48850
2018-12-19,48750,48120,48760,48100
2018-12-20,48100,48240,48480,47780
2018-12-21,48330,48450,48640,48200
2018-12-24,48360,48070,48500,48040
2018-12-25,48000,47990,48170,47460
2018-12-26,47950,47990,48050,47770
2018-12-27,48350,48240,48600,48150
2018-12-28,48160,48310,48350,47930
2019-01-02,47960,47620,48150,47610
2019-01-03,47260,47330,47470,47000
2019-01-04,47230,47180,47400,46250
2019-01-07,47180,47450,47690,46840
2019-01-08,47420,47350,47500,47200
2019-01-09,47410,47650,47770,47250
2019-01-10,47670,47500,47720,47370
2019-01-11,47360,47290,47360,46980
2019-01-14,47160,46900,47250,46750
2019-01-15,46850,46990,47060,46710
2019-01-16,46930,47390,47410,46900
2019-01-17,47280,47370,47480,47180
2019-01-18,47280,47840,47870,47210
2019-01-21,47900,47770,48250,47670
2019-01-22,47620,47540,47850,47510
2019-01-23,47560,47520,47690,47330
2019-01-24,47430,47310,47610,47270
2019-01-25,47280,47390,47500,47110
2019-01-28,47250,47590,47910,47180
2019-01-29,47640,47610,47700,47400
2019-01-30,47660,47740,47970,47660
2019-01-31,47890,48170,48280,47820
2019-02-01,48300,48370,48450,48040
2019-02-11,48710,48300,48740,48290
2019-02-12,48440,48260,48570,48210
2019-02-13,48150,48280,48320,47960
2019-02-14,48190,48490,48550,48150
2019-02-15,48480,48090,48520,48020
2019-02-18,48400,49010,49070,48290
2019-02-19,49050,49180,49280,48980
2019-02-20,49120,49520,49610,49060
2019-02-21,49580,49540,49920,49430
2019-02-22,49590,49760,49770,49400
2019-02-25,50150,50430,50510,49920
2019-02-26,50280,50150,50300,49870
2019-02-27,50100,50040,50280,49950
2019-02-28,50180,50150,50410,50070
2019-03-01,50250,50490,50500,50050
2019-03-04,50520,49940,50780,49930
2019-03-05,49650,49500,49710,49360
2019-03-06,50000,49840,50080,49730
2019-03-07,49890,49520,49950,49440
2019-03-08,49510,49420,49620,49370
2019-03-11,49210,49630,49680,49190
2019-03-12,49610,49900,49920,49390
2019-03-13,50060,49590,50110,49540
2019-03-14,49660,49290,49690,49260
2019-03-15,49090,49160,49250,48620
2019-03-18,49000,49210,49310,48830
2019-03-19,49300,49160,49300,48990
2019-03-20,49210,49070,49320,49020
2019-03-21,49030,49280,49310,48970
2019-03-22,49100,48800,49150,48800
2019-03-25,48480,48020,48620,48000
2019-03-26,48100,48150,48270,48030
2019-03-27,48190,48280,48370,48120
2019-03-28,48460,48430,48540,48210
2019-03-29,48590,48920,48980,48480
2019-04-01,49340,49570,49580,49210
2019-04-02,49550,49410,49580,49130
2019-04-03,49230,49590,49620,49100
2019-04-04,49410,49640,49740,49330
2019-04-08,49240,49310,49470,49210
2019-04-09,49470,49880,49990,49380
2019-04-10,49860,49570,49990,49500
2019-04-11,49380,49270,49530,49190
2019-04-12,49230,49280,49380,48990
2019-04-15,49720,49400,49750,49400
2019-04-16,49400,49480,49660,49220
2019-04-17,49480,49510,49710,49390
2019-04-18,49770,49460,49990,49410
2019-04-19,49250,49500,49520,49160
2019-04-22,49620,49240,49620,49120
2019-04-23,49100,49170,49270,49070
2019-04-24,49080,48950,49120,48860
2019-04-25,49050,49140,49310,49000
2019-04-26,48950,48900,48950,48750
2019-04-29,48960,48860,49020,48810
2019-04-30,48830,48950,49080,48780
2019-05-06,47690,47990,48130,47420
2019-05-07,48070,48280,48430,47960
2019-05-08,47890,47840,48050,47770
2019-05-09,47620,47560,47790,47540
2019-05-10,47510,47740,48060,47370
2019-05-13,47800,47620,47920,47600
2019-05-14,47550,47490,47640,47350
2019-05-15,47490,47710,47750,47390
2019-05-16,47550,47770,47860,47510
2019-05-17,48010,47630,48110,47490
2019-05-20,47740,47620,47840,47580
2019-05-21,47580,47670,47780,47530
2019-05-22,47600,47130,47630,47100
2019-05-23,47000,46690,47060,46550
2019-05-24,46670,47130,47170,46530
2019-05-27,47060,47250,47280,46990
2019-05-28,47210,47100,47290,47070
2019-05-29,47190,46840,47240,46800
2019-05-30,46660,46530,46830,46470
2019-05-31,46400,46250,46550,46160
2019-06-03,46210,46180,46430,46110
2019-06-04,46340,46270,46490,46230
2019-06-05,46250,46550,46660,46220
2019-06-06,46380,46020,46390,45860
2019-06-10,46110,46260,46390,46050
2019-06-11,46230,46900,46940,46230
2019-06-12,46980,46460,47000,46390
2019-06-13,46450,46250,46580,46170
2019-06-14,46250,46300,46580,46220
2019-06-17,46300,46120,46310,46020
2019-06-18,46050,46300,46390,45960
2019-06-19,46600,46800,46980,46490
