Date,Open,Close,High,Low
1999-01-06,16960,16870,16960,16870
1999-01-07,16910,16860,16910,16820
1999-01-08,16940,16820,16940,16820
1999-01-11,16820,16860,16870,16820
1999-01-12,17260,17160,17260,17060
1999-01-13,16920,16940,16960,16910
1999-01-14,17160,17210,17260,17160
1999-01-15,17060,17060,17110,17060
1999-01-18,17040,16870,17040,16860
1999-01-19,16860,16810,16860,16810
1999-01-20,16790,16820,16840,16760
1999-01-21,17060,17060,17060,17040
1999-01-22,16810,16660,16810,16660
1999-01-25,16700,16680,16720,16680
1999-01-26,16790,16840,16840,16790
1999-01-27,16780,16800,16830,16780
1999-01-28,16830,16850,16850,16830
1999-01-29,17100,17130,17130,17100
1999-02-01,16980,16990,16990,16980
1999-02-02,16810,16920,16930,16810
1999-02-03,17320,17380,17380,17320
1999-02-04,16960,17040,17060,16960
1999-02-05,17050,17060,17080,17040
1999-02-08,17120,17090,17150,17090
1999-02-09,17260,17130,17260,17080
1999-02-10,17080,17100,17120,17080
1999-02-11,17060,17080,17080,17060
1999-02-12,17240,17230,17250,17210
1999-02-15,17220,17240,17240,17220
1999-02-24,17070,16860,17070,16850
1999-02-25,16930,16920,17020,16920
1999-02-26,16950,16970,16970,16930
1999-03-01,17170,17160,17170,17160
1999-03-02,16920,16870,16920,16820
1999-03-03,16770,16730,16780,16700
1999-03-04,16820,16790,16820,16700
1999-03-05,16780,16720,16780,16720
1999-03-08,16670,16710,16750,16670
1999-03-09,16710,16460,16710,16410
1999-03-10,16470,16310,16470,16260
1999-03-11,16280,16240,16410,16180
1999-03-12,16220,16310,16310,16210
1999-03-15,16270,16260,16270,16230
1999-03-16,16200,16180,16200,16140
1999-03-17,16170,16150,16170,16090
1999-03-18,16210,16160,16210,16150
1999-03-19,16310,16290,16320,16240
1999-03-22,16440,16460,16460,16370
1999-03-23,16520,16440,16540,16430
1999-03-24,16700,16750,16830,16650
1999-03-25,16630,16590,16670,16570
1999-03-26,16540,16690,16710,16540
1999-03-29,16690,16720,16730,16680
1999-03-30,16650,16660,16680,16650
1999-03-31,16680,16660,16720,16640
1999-04-01,16600,16700,16750,16600
1999-04-02,16750,16730,16780,16700
1999-04-05,16760,16770,16790,16760
1999-04-06,16800,16800,16800,16790
1999-04-07,16800,16860,16880,16800
1999-04-08,16870,16940,16950,16870
1999-04-09,17050,17110,17130,17020
1999-04-12,16850,17090,17150,16850
1999-04-13,17250,17300,17330,17220
1999-04-14,17200,17210,17250,17200
1999-04-15,17520,17450,17520,17420
1999-04-16,17400,17390,17430,17360
1999-04-19,17580,17450,17580,17420
1999-04-20,17370,17330,17380,17330
1999-04-21,17370,17390,17410,17370
1999-04-22,17330,17320,17330,17310
1999-04-23,17380,17330,17380,17300
1999-04-26,17400,17400,17420,17380
1999-04-27,17300,17290,17300,17280
1999-04-28,17300,17300,17300,17290
1999-04-29,17390,17410,17430,17390
1999-04-30,17300,17300,17300,17260
1999-05-03,17300,17300,17320,17230
1999-05-05,17260,17320,17320,17260
1999-05-06,17270,17280,17280,17270
1999-05-07,17240,17300,17300,17240
1999-05-10,17400,17430,17440,17400
1999-05-11,17370,17340,17400,17340
1999-05-12,17280,17320,17330,17280
1999-05-13,17420,17420,17430,17370
1999-05-14,17350,17420,17420,17350
1999-05-17,17440,17450,17470,17440
1999-05-18,17440,17420,17450,17420
1999-05-19,17380,17460,17460,17380
1999-05-20,17380,17330,17390,17330
1999-05-21,17370,17370,17420,17370
1999-05-24,17420,17470,17470,17420
1999-05-25,17170,17130,17190,17120
1999-05-26,17340,17390,17390,17340
1999-05-27,17120,17140,17190,17120
1999-05-28,17100,16920,17100,16920
1999-05-31,16560,16590,16680,16560
1999-06-01,16580,16810,16840,16580
1999-06-02,16890,16850,16920,16740
1999-06-03,16970,16980,17040,16970
1999-06-04,16900,16800,16900,16780
1999-06-07,16920,16970,17000,16910
1999-06-08,16890,16930,16950,16870
1999-06-09,16970,16970,16970,16920
1999-06-10,17170,17160,17170,17120
1999-06-11,17020,17000,17070,16970
1999-06-14,17020,16990,17020,16970
1999-06-15,17020,17030,17080,17010
1999-06-16,17420,17130,17420,17110
1999-06-17,16920,16820,16940,16820
1999-06-18,16870,16920,16920,16870
1999-06-21,16990,17000,17000,16980
1999-06-22,17100,17070,17100,17050
1999-06-23,17030,17090,17090,17030
1999-06-24,17040,17060,17070,17040
1999-06-25,17070,17070,17070,17060
1999-06-28,17120,17160,17220,17120
1999-06-29,17170,17210,17210,17170
1999-06-30,17210,17220,17220,17210
1999-07-01,17200,17180,17210,17180
1999-07-02,17360,17450,17500,17360
1999-07-05,17270,17270,17270,17240
1999-07-06,17200,17260,17270,17200
1999-07-07,17180,17150,17190,17150
1999-07-08,17170,17160,17170,17160
1999-07-09,17230,17300,17320,17230
1999-07-13,17270,17340,17370,17270
1999-07-14,17410,17420,17440,17410
1999-07-15,17380,17450,17460,17380
1999-07-16,17420,17400,17420,17400
1999-07-19,17270,17290,17310,17270
1999-07-20,17380,17320,17380,17320
1999-07-21,17370,17380,17380,17370
1999-07-22,17350,17300,17350,17300
1999-07-23,17240,17320,17320,17240
1999-07-26,17320,17340,17350,17320
1999-07-27,17520,17400,17520,17380
1999-07-28,17450,17410,17450,17410
1999-07-29,17420,17420,17420,17410
1999-08-02,17370,17300,17370,17300
1999-08-03,17370,17420,17420,17370
1999-08-04,17400,17380,17400,17380
1999-08-05,17410,17410,17410,17390
1999-08-06,17440,17420,17440,17420
1999-08-09,17420,17440,17440,17420
1999-08-10,17460,17520,17520,17460
1999-08-11,17530,17540,17540,17520
1999-08-12,17520,17520,17520,17520
1999-08-13,17520,17570,17570,17520
