Date,Open,Close,High,Low
2018-09-20,3480,3499,3510,3467
2018-09-21,3510,3517,3529,3499
2018-09-25,3506,3518,3521,3500
2018-09-26,3527,3562,3575,3527
2018-09-27,3556,3551,3568,3544
2018-09-28,3531,3511,3531,3502
2018-10-08,3621,3568,3621,3561
2018-10-09,3553,3569,3578,3551
2018-10-10,3561,3570,3574,3553
2018-10-11,3561,3560,3566,3546
2018-10-12,3590,3591,3605,3578
2018-10-15,3618,3604,3619,3597
2018-10-16,3619,3593,3619,3584
2018-10-17,3605,3595,3616,3580
2018-10-18,3602,3566,3605,3557
2018-10-19,3572,3593,3597,3569
2018-10-22,3597,3587,3598,3585
2018-10-23,3586,3598,3598,3579
2018-10-24,3619,3627,3635,3618
2018-10-25,3620,3638,3644,3616
2018-10-26,3634,3613,3638,3610
2018-10-29,3613,3608,3641,3606
2018-10-30,3620,3580,3625,3574
2018-10-31,3574,3556,3584,3550
2018-11-01,3543,3552,3553,3533
2018-11-02,3546,3561,3577,3542
2018-11-05,3553,3563,3583,3550
2018-11-06,3562,3561,3570,3548
2018-11-07,3563,3545,3564,3531
2018-11-08,3558,3543,3561,3536
2018-11-09,3546,3522,3546,3514
2018-11-12,3521,3488,3521,3487
2018-11-13,3486,3477,3490,3473
2018-11-14,3473,3472,3485,3462
2018-11-15,3464,3498,3498,3457
2018-11-16,3485,3509,3513,3482
2018-11-19,3507,3514,3524,3501
2018-11-20,3517,3517,3524,3510
2018-11-21,3520,3513,3535,3490
2018-11-22,3528,3530,3537,3517
2018-11-23,3534,3517,3534,3515
2018-11-26,3503,3506,3508,3492
2018-11-27,3507,3485,3507,3483
2018-11-28,3490,3479,3499,3470
2018-11-29,3480,3510,3519,3476
2018-11-30,3506,3500,3514,3496
2018-12-03,3500,3498,3504,3468
2018-12-04,3502,3503,3516,3486
2018-12-05,3510,3499,3511,3490
2018-12-06,3499,3500,3510,3499
2018-12-07,3496,3500,3505,3495
2018-12-10,3505,3532,3536,3502
2018-12-11,3527,3522,3527,3514
2018-12-12,3522,3511,3538,3493
2018-12-13,3521,3531,3536,3512
2018-12-14,3530,3520,3530,3520
2018-12-17,3550,3508,3550,3500
