Date,Open,Close,High,Low
2015-03-27,101870,101080,102710,100650
2015-03-30,99010,98430,100000,96820
2015-03-31,98000,95040,98200,93840
2015-04-01,93940,92500,94130,91270
2015-04-02,92870,96160,96600,92550
2015-04-03,96000,97300,97800,95660
2015-04-07,97500,96420,97980,95950
2015-04-08,94500,93950,95630,93300
2015-04-09,94450,94300,95260,93880
2015-04-10,94500,94540,94970,93180
2015-04-13,94280,95230,95670,93700
2015-04-14,94780,93100,95070,92810
2015-04-15,92700,94730,95000,92640
2015-04-16,94610,95400,95900,94260
2015-04-17,96280,95850,96660,95010
2015-04-20,95980,95410,96550,95200
2015-04-21,95330,95880,96800,94900
2015-04-22,95910,96330,96720,95750
2015-04-23,96120,95860,96500,95600
2015-04-24,95840,97830,97900,95700
2015-04-27,98000,101490,101490,97990
2015-04-28,102490,102650,104530,101420
2015-04-29,102350,101020,104400,100500
2015-04-30,101190,106010,106980,101160
2015-05-04,106010,107580,108900,105450
2015-05-05,107850,107960,109230,106160
2015-05-06,110000,113380,113380,109690
2015-05-07,114580,112500,115300,111050
2015-05-08,113700,112300,114100,110000
2015-05-11,111810,113880,114430,111060
2015-05-12,113300,111600,115060,111270
2015-05-13,112280,111750,113650,110780
2015-05-14,112100,109400,112100,107060
2015-05-15,108980,110210,110960,108540
2015-05-18,109390,108610,109690,108200
2015-05-19,108300,106430,108890,106160
2015-05-20,105500,102340,105990,102340
2015-05-21,100490,101070,102550,100170
2015-05-22,100960,100070,103370,96710
2015-05-25,98900,99480,100580,98110
2015-05-26,99670,100010,101900,99660
2015-05-27,99990,100670,101180,99200
2015-05-28,97780,99470,100100,97740
2015-05-29,99140,97600,99670,96250
2015-06-01,97500,96810,97800,96360
2015-06-02,97190,100280,100500,97020
2015-06-03,100380,99060,101100,99040
2015-06-04,99200,98530,99940,97690
2015-06-05,98650,98390,99480,98060
2015-06-08,98750,100570,100600,98330
2015-06-09,100850,100910,102180,100660
2015-06-10,101360,101330,101770,100570
2015-06-11,101850,101500,102200,101300
2015-06-12,101600,98070,101640,97800
2015-06-15,98400,97580,98880,97400
2015-06-16,97400,95700,98050,95340
2015-06-17,96000,95280,96360,94700
2015-06-18,96300,96300,96810,95830
2015-06-19,96020,94610,96180,94440
2015-06-23,94280,95050,95330,94100
2015-06-24,95510,96390,96700,95350
2015-06-25,96010,94850,96220,94800
2015-06-26,94760,93850,95170,93020
2015-06-29,93650,90360,93680,89510
2015-06-30,88880,87330,89410,87330
2015-07-01,87330,88360,89980,86680
2015-07-02,88000,89450,89880,87570
2015-07-03,89850,89240,90670,88080
2015-07-06,89100,85530,89340,85260
2015-07-07,85750,84220,87360,84050
2015-07-08,82400,81630,82400,81630
2015-07-09,75230,83600,86050,75230
2015-07-10,84100,84570,85170,82950
2015-07-13,84040,82250,84170,80600
2015-07-14,84510,84500,85800,83680
2015-07-15,84880,86970,87120,84330
2015-07-16,86850,85430,87240,83630
2015-07-17,84680,85600,85760,84620
2015-07-20,84800,85320,85660,84450
2015-07-21,85480,87870,87950,85260
2015-07-22,87670,85220,87880,84530
2015-07-23,85300,84410,85620,83700
2015-07-24,84190,83360,84880,82900
2015-07-27,83290,82650,84950,82620
2015-07-28,81300,82740,83420,81150
2015-07-29,83300,84330,84770,83110
2015-07-30,83590,82620,84420,82500
2015-07-31,82000,81780,83000,81720
2015-08-03,82200,80340,83180,80160
2015-08-04,80350,81100,81220,79800
2015-08-05,81300,81190,81800,80290
2015-08-06,81500,80780,81640,80500
2015-08-07,80700,80700,81130,79930
2015-08-10,80620,82200,82490,80280
2015-08-11,82190,82370,84300,81980
2015-08-12,81240,82690,82840,80050
2015-08-13,82700,82690,83500,81750
2015-08-14,83350,82300,83430,82200
2015-08-17,82800,82880,83200,82230
2015-08-18,82880,81130,83250,81100
2015-08-19,81090,81860,81950,80620
2015-08-20,81600,80650,81850,79800
2015-08-21,81550,80370,81560,80300
2015-08-24,80000,76800,80100,76800
2015-08-25,74200,73600,76730,73050
2015-08-26,75750,74360,76230,74200
2015-08-27,74300,76160,76200,74100
2015-08-28,76400,78610,78900,76360
2015-08-31,78200,76810,79300,76790
2015-09-01,76460,75810,77370,75800
2015-09-02,76000,76510,76690,75560
2015-09-07,76200,77000,77200,76190
2015-09-08,76870,76190,76940,75300
2015-09-09,77090,77790,78870,76730
2015-09-10,78210,78710,78720,77120
2015-09-11,79400,79410,80220,78750
2015-09-14,79100,78260,79900,78230
2015-09-15,77480,76960,78060,76860
2015-09-16,77320,78950,79380,77270
2015-09-17,78800,78590,79330,78300
2015-09-18,78110,77890,78580,77810
2015-09-21,77200,78110,78190,76320
2015-09-22,77790,77090,77970,76940
2015-09-23,76780,76740,76980,76030
2015-09-24,76940,76760,77110,76300
2015-09-25,76680,77100,77850,76600
2015-09-28,77300,77410,77800,77100
2015-09-29,77210,75540,77420,75500
2015-09-30,76260,77100,77110,75950
2015-10-08,78200,77450,78530,77100
2015-10-09,77510,79450,79470,77360
2015-10-12,81000,80310,81000,79000
2015-10-13,80370,79620,80380,78820
2015-10-14,79300,79270,79880,78970
2015-10-15,79400,80340,80700,79200
2015-10-16,80230,80390,80900,79900
2015-10-19,80280,79150,80650,79110
2015-10-20,79150,78320,79290,78050
2015-10-21,78450,78130,78690,77900
2015-10-22,78100,78660,79600,77710
2015-10-23,78960,79980,80010,78590
2015-10-26,79980,78590,79980,78450
2015-10-27,78720,79150,79280,78270
2015-10-28,79200,79160,79580,78800
2015-10-29,79080,79130,79900,78650
2015-10-30,79000,77150,79350,77130
2015-11-02,77100,76590,77390,76460
2015-11-03,76700,76330,77250,76190
2015-11-04,76200,76510,76680,75720
2015-11-05,76190,74820,76970,74780
2015-11-06,75800,74990,75800,74560
2015-11-09,74800,73990,75200,73760
2015-11-10,74100,73890,74220,72430
2015-11-11,73450,72930,73680,72750
2015-11-12,73000,73290,73750,72550
2015-11-13,72700,72930,73640,72270
2015-11-16,72830,73180,73600,72700
2015-11-17,73350,71240,73350,70530
2015-11-18,71450,70950,71740,70110
2015-11-19,70700,69770,71020,69220
2015-11-20,69600,68740,69790,68500
2015-11-23,69000,64980,69200,64980
2015-11-24,64180,64970,65730,63310
2015-11-25,64800,68250,68250,64550
2015-11-26,67900,70800,72780,67360
2015-11-27,70790,69370,72160,69010
2015-11-30,68760,69100,69150,67680
2015-12-01,68900,68970,70350,68680
2015-12-02,69000,70150,70940,68760
2015-12-03,69600,68150,71130,68130
2015-12-04,68290,68880,69470,68200
2015-12-07,70000,70590,70830,69380
2015-12-08,70000,68170,70110,67670
2015-12-09,67900,68170,68440,66930
2015-12-10,68350,67490,69020,67300
2015-12-11,67130,69030,69050,66810
2015-12-14,68630,68750,68970,67800
2015-12-15,69500,69670,71050,69300
2015-12-16,69400,70250,70310,69140
2015-12-17,70330,69820,71100,69750
2015-12-18,69800,70500,70650,69750
2015-12-21,70600,71130,71300,70170
2015-12-22,71010,70840,71710,70600
2015-12-23,70730,70220,70990,69750
2015-12-24,70180,69400,70700,69390
2015-12-25,69400,69130,69780,68970
2015-12-28,69280,68050,69470,68000
2015-12-29,68030,69310,69390,67900
2015-12-30,69030,70070,70690,69020
2015-12-31,70100,70630,70960,69880
2016-01-04,70810,68930,70960,68560
2016-01-05,69200,69510,69610,68500
2016-01-06,69380,68820,69750,68360
2016-01-07,69000,67480,69410,67340
2016-01-08,67460,67920,68550,66510
2016-01-11,67910,67000,68660,66780
