Date,Open,Close,High,Low
2018-10-08,2328,2396,2400,2328
2018-10-09,2400,2395,2400,2391
2018-10-10,2397,2385,2397,2376
2018-10-11,2380,2410,2410,2379
2018-10-12,2415,2430,2433,2407
2018-10-15,2425,2419,2435,2412
2018-10-16,2424,2408,2425,2401
2018-10-17,2409,2417,2418,2408
2018-10-18,2416,2416,2427,2413
2018-10-19,2412,2425,2444,2412
2018-10-22,2439,2449,2449,2426
2018-10-23,2447,2443,2466,2442
2018-10-24,2439,2456,2456,2439
2018-10-25,2455,2467,2474,2452
2018-10-26,2465,2466,2477,2455
2018-10-29,2468,2475,2476,2461
2018-10-30,2472,2485,2488,2470
2018-10-31,2480,2472,2484,2456
2018-11-01,2473,2456,2473,2456
2018-11-02,2442,2442,2449,2429
2018-11-05,2442,2450,2454,2441
2018-11-06,2449,2448,2453,2442
2018-11-07,2449,2450,2465,2441
2018-11-08,2449,2449,2456,2443
2018-11-09,2449,2469,2470,2449
2018-11-12,2469,2474,2480,2467
2018-11-13,2473,2459,2483,2448
2018-11-14,2458,2440,2463,2434
2018-11-15,2433,2417,2445,2413
2018-11-16,2418,2427,2435,2405
2018-11-19,2427,2423,2432,2414
2018-11-20,2422,2405,2427,2403
2018-11-21,2400,2414,2419,2389
2018-11-22,2409,2391,2416,2390
2018-11-23,2391,2396,2399,2388
2018-11-26,2396,2399,2410,2393
2018-11-27,2399,2409,2413,2391
2018-11-28,2411,2427,2429,2398
2018-11-29,2427,2415,2435,2412
2018-11-30,2412,2415,2419,2398
2018-12-03,2400,2367,2407,2364
2018-12-04,2366,2356,2371,2346
2018-12-05,2356,2364,2373,2351
2018-12-06,2366,2359,2369,2358
2018-12-07,2358,2338,2365,2323
2018-12-10,2316,2342,2355,2316
2018-12-11,2345,2351,2352,2333
2018-12-12,2356,2356,2362,2349
2018-12-13,2354,2356,2357,2343
2018-12-14,2352,2354,2362,2349
2018-12-17,2353,2345,2354,2333
2018-12-18,2342,2344,2351,2332
2018-12-19,2341,2349,2351,2339
2018-12-20,2345,2349,2350,2343
2018-12-21,2345,2346,2356,2342
2018-12-24,2338,2340,2347,2333
2018-12-25,2340,2351,2355,2340
2018-12-26,2354,2357,2358,2346
2018-12-27,2357,2344,2357,2344
2018-12-28,2348,2350,2390,2345
2019-01-02,2351,2344,2351,2342
2019-01-03,2348,2359,2369,2345
2019-01-04,2360,2357,2360,2351
2019-01-07,2356,2340,2359,2337
2019-01-08,2339,2318,2339,2318
2019-01-09,2323,2323,2325,2316
2019-01-10,2321,2313,2323,2311
2019-01-11,2311,2309,2315,2304
2019-01-14,2309,2297,2309,2290
2019-01-15,2295,2300,2302,2293
2019-01-16,2298,2310,2320,2290
2019-01-17,2304,2297,2310,2295
2019-01-18,2300,2301,2305,2296
2019-01-21,2301,2316,2320,2301
2019-01-22,2316,2326,2327,2315
2019-01-23,2323,2318,2331,2315
2019-01-24,2316,2317,2318,2310
2019-01-25,2317,2347,2350,2317
2019-01-28,2345,2345,2346,2336
2019-01-29,2343,2354,2356,2343
2019-01-30,2353,2358,2364,2352
2019-01-31,2351,2355,2366,2345
2019-02-01,2345,2360,2365,2345
2019-02-11,2444,2363,2444,2351
2019-02-12,2368,2357,2368,2353
2019-02-13,2355,2345,2355,2342
2019-02-14,2348,2326,2348,2324
2019-02-15,2323,2323,2332,2319
2019-02-18,2323,2304,2323,2301
2019-02-19,2302,2306,2315,2292
2019-02-20,2305,2292,2305,2289
