Date,Open,Close,High,Low
2018-09-20,3770,3782,3821,3754
2018-09-21,3781,3814,3815,3762
2018-09-25,3818,3748,3825,3740
2018-09-26,3748,3731,3759,3702
2018-09-27,3745,3700,3760,3693
2018-09-28,3701,3687,3702,3638
2018-10-08,3710,3686,3710,3653
2018-10-09,3688,3739,3739,3678
2018-10-10,3731,3745,3765,3716
2018-10-11,3742,3715,3742,3666
2018-10-12,3716,3743,3768,3696
2018-10-15,3743,3753,3765,3719
2018-10-16,3766,3722,3766,3711
2018-10-17,3722,3735,3739,3680
2018-10-18,3731,3680,3744,3675
2018-10-19,3678,3664,3695,3659
2018-10-22,3674,3699,3718,3664
2018-10-23,3702,3686,3714,3682
2018-10-24,3675,3732,3734,3673
2018-10-25,3734,3739,3745,3695
2018-10-26,3737,3713,3753,3702
2018-10-29,3715,3648,3739,3628
2018-10-30,3655,3646,3690,3635
2018-10-31,3639,3606,3653,3575
2018-11-01,3620,3505,3630,3504
2018-11-02,3510,3568,3573,3500
2018-11-05,3567,3582,3588,3536
2018-11-06,3578,3543,3592,3537
2018-11-07,3541,3520,3552,3505
2018-11-08,3529,3500,3537,3421
2018-11-09,3493,3436,3498,3435
2018-11-12,3436,3406,3450,3344
2018-11-13,3399,3421,3442,3398
2018-11-14,3411,3418,3427,3366
2018-11-15,3416,3427,3449,3378
2018-11-16,3423,3420,3463,3406
2018-11-19,3405,3436,3493,3397
2018-11-20,3429,3392,3454,3386
2018-11-21,3382,3431,3440,3347
2018-11-22,3432,3397,3448,3391
2018-11-23,3393,3292,3407,3291
2018-11-26,3270,3170,3297,3150
2018-11-27,3180,3160,3249,3150
2018-11-28,3385,3450,3473,3345
2018-11-29,3449,3445,3483,3415
2018-11-30,3442,3458,3474,3408
2018-12-03,3459,3537,3654,3418
2018-12-04,3538,3600,3616,3523
2018-12-05,3613,3692,3695,3602
2018-12-06,3705,3638,3705,3625
2018-12-07,3618,3661,3683,3609
2018-12-10,3669,3620,3669,3617
2018-12-11,3619,3648,3649,3595
2018-12-12,3663,3651,3679,3646
2018-12-13,3658,3765,3787,3651
2018-12-14,3754,3745,3760,3731
2018-12-17,3742,3752,3776,3737
2018-12-18,3749,3755,3758,3732
2018-12-19,3759,3761,3806,3751
2018-12-20,3752,3769,3785,3752
2018-12-21,3785,3780,3810,3763
2018-12-24,3783,3745,3783,3741
2018-12-25,3242,3201,3242,3170
2018-12-26,3206,3187,3209,3173
2018-12-27,3190,3156,3218,3145
2018-12-28,3170,3171,3187,3144
2019-01-02,3171,3123,3186,3118
2019-01-03,3124,3170,3175,3119
2019-01-04,3177,3185,3197,3150
2019-01-07,3199,3236,3237,3176
2019-01-08,3228,3222,3236,3210
2019-01-09,3238,3256,3279,3221
2019-01-10,3260,3256,3276,3247
2019-01-11,3256,3277,3283,3245
2019-01-14,3280,3305,3306,3266
2019-01-15,3308,3273,3308,3255
2019-01-16,3268,3300,3302,3268
2019-01-17,3300,3314,3326,3293
2019-01-18,3317,3371,3377,3296
2019-01-21,3375,3376,3395,3361
2019-01-22,3389,3391,3446,3370
2019-01-23,3389,3395,3407,3378
2019-01-24,3386,3418,3420,3386
2019-01-25,3427,3436,3470,3414
2019-01-28,3437,3415,3469,3409
2019-01-29,3415,3409,3424,3391
2019-01-30,3410,3412,3477,3401
2019-01-31,3411,3438,3439,3400
2019-02-01,3431,3465,3465,3431
2019-02-11,3541,3512,3578,3505
2019-02-12,3500,3497,3531,3486
2019-02-13,3497,3446,3515,3433
2019-02-14,3450,3430,3459,3417
2019-02-15,3424,3365,3438,3358
2019-02-18,3373,3440,3447,3372
2019-02-19,3458,3453,3492,3442
2019-02-20,3455,3459,3469,3402
2019-02-21,3468,3465,3490,3446
2019-02-22,3466,3503,3508,3453
2019-02-25,3511,3491,3541,3482
2019-02-26,3485,3543,3549,3477
2019-02-27,3543,3521,3547,3502
2019-02-28,3525,3550,3550,3504
2019-03-01,3550,3585,3587,3538
2019-03-04,3595,3572,3608,3551
2019-03-05,3571,3551,3589,3533
2019-03-06,3557,3499,3572,3495
2019-03-07,3503,3534,3550,3494
2019-03-08,3533,3494,3535,3483
2019-03-11,3475,3446,3483,3435
2019-03-12,3450,3518,3518,3450
2019-03-13,3520,3483,3529,3480
2019-03-14,3480,3458,3509,3456
2019-03-15,3461,3433,3473,3420
2019-03-18,3440,3455,3474,3433
2019-03-19,3456,3450,3482,3428
2019-03-20,3458,3439,3479,3431
