Date,Open,Close,High,Low
2018-10-08,2150.0,2191.0,2206.5,2150.0
2018-10-09,2208.0,2272.5,2277.0,2191.5
2018-10-10,2270.0,2317.0,2339.0,2270.0
2018-10-11,2320.0,2304.0,2323.0,2271.5
2018-10-12,2302.0,2375.0,2379.0,2296.0
2018-10-15,2375.0,2338.0,2397.0,2334.5
2018-10-16,2345.0,2315.0,2470.0,2285.5
2018-10-17,2315.0,2350.0,2354.0,2296.0
2018-10-18,2349.0,2262.0,2359.0,2257.0
2018-10-19,2262.0,2231.5,2287.0,2225.0
2018-10-22,2239.0,2246.0,2284.0,2231.0
2018-10-23,2256.0,2247.0,2274.5,2231.0
2018-10-24,2245.0,2284.5,2285.0,2235.0
2018-10-25,2284.0,2312.0,2316.0,2268.0
2018-10-26,2310.0,2282.5,2324.0,2277.5
2018-10-29,2278.0,2223.0,2296.0,2220.5
2018-10-30,2225.0,2234.0,2252.5,2213.5
2018-10-31,2232.5,2210.0,2242.0,2188.0
2018-11-01,2220.5,2165.0,2222.5,2161.5
2018-11-02,2160.0,2187.0,2190.5,2129.0
2018-11-05,2185.0,2215.5,2225.0,2182.0
2018-11-06,2216.5,2187.5,2222.0,2172.0
2018-11-07,2189.0,2128.0,2189.0,2110.0
2018-11-08,2135.0,2088.5,2145.0,2045.5
2018-11-09,2085.5,2081.5,2113.5,2055.0
2018-11-12,2075.0,1978.0,2081.5,1975.0
2018-11-13,1979.5,1975.5,1988.5,1958.0
2018-11-14,1970.5,2025.0,2039.5,1959.5
2018-11-15,2025.0,2058.5,2059.5,2004.5
2018-11-16,2060.5,2067.5,2092.5,2046.0
2018-11-19,2067.0,2084.0,2119.0,2050.0
2018-11-20,2077.0,2032.5,2104.0,2028.0
2018-11-21,2021.0,2051.0,2058.0,1964.5
2018-11-22,2053.0,2036.5,2063.5,2015.0
2018-11-23,2033.0,1980.0,2056.5,1979.5
2018-11-26,1970.0,1882.0,1970.0,1881.0
2018-11-27,1885.0,1797.0,1888.0,1781.5
2018-11-28,1792.0,1808.5,1848.0,1770.5
2018-11-29,1809.5,1831.5,1858.0,1805.0
2018-11-30,1840.0,1830.0,1846.5,1810.5
2018-12-03,1831.0,1905.5,1957.5,1820.0
2018-12-04,1901.0,1931.0,1969.0,1885.0
2018-12-05,1950.0,1986.0,1996.0,1938.0
2018-12-06,2340.0,2324.5,2344.5,2304.0
2018-12-07,2317.5,2432.0,2449.5,2306.0
2018-12-10,2430.0,2371.5,2447.5,2340.0
2018-12-11,2365.0,2354.0,2370.0,2326.0
2018-12-12,2361.0,2352.5,2381.0,2347.5
2018-12-13,2353.0,2406.0,2423.0,2352.5
2018-12-14,2412.0,2401.0,2423.0,2392.0
2018-12-17,2403.0,2395.5,2418.0,2385.5
2018-12-18,2401.0,2369.0,2401.0,2352.0
2018-12-19,2362.5,2386.5,2388.0,2362.5
2018-12-20,2380.0,2401.0,2404.0,2378.0
2018-12-21,2403.5,2388.0,2403.5,2376.5
2018-12-24,2385.0,2384.0,2394.0,2362.0
2018-12-25,2379.0,2367.0,2381.0,2358.0
2018-12-26,2355.0,2361.0,2365.0,2285.5
2018-12-27,2360.0,2387.5,2404.0,2351.0
2018-12-28,2372.0,2294.0,2391.0,2290.0
2019-01-02,1788.0,1770.0,1797.0,1767.0
2019-01-03,1771.0,1817.0,1821.0,1740.0
2019-01-04,1821.0,1835.5,1842.0,1810.0
2019-01-07,1846.0,1861.5,1872.0,1825.5
2019-01-08,1862.0,1851.0,1866.0,1840.0
2019-01-09,1858.0,1850.0,1876.0,1848.0
2019-01-10,1844.5,1844.0,1870.0,1840.0
2019-01-11,1842.5,1895.5,1899.0,1839.0
2019-01-14,1893.0,1934.5,1941.5,1883.0
2019-01-15,1935.0,1945.5,1952.5,1920.0
2019-01-16,1945.0,1975.0,1983.5,1939.0
2019-01-17,1974.0,1959.0,1974.5,1954.0
2019-01-18,1954.0,1981.0,1990.0,1946.0
2019-01-21,1981.5,1960.5,1993.5,1955.0
2019-01-22,1961.0,1953.5,1995.0,1950.5
2019-01-23,1951.5,1975.0,1982.0,1951.5
2019-01-24,1985.0,1972.0,1991.5,1965.0
2019-01-25,1970.5,1975.5,1997.0,1967.0
2019-01-28,1970.0,1972.0,2021.5,1967.0
2019-01-29,1975.0,1962.5,1979.5,1952.0
2019-01-30,1962.5,1961.0,2002.5,1959.0
2019-01-31,1962.0,1997.0,2006.0,1951.0
2019-02-01,1997.0,2028.5,2030.0,1982.0
2019-02-11,2050.0,2024.5,2086.5,2014.0
2019-02-12,2018.0,2038.0,2051.0,2017.0
2019-02-13,2035.0,1999.0,2050.0,1969.5
2019-02-14,2004.0,2009.5,2024.0,1986.5
2019-02-15,2010.0,1971.0,2014.0,1963.0
2019-02-18,1980.0,1994.0,2022.0,1978.0
2019-02-19,1997.0,2010.0,2014.5,1988.0
2019-02-20,2025.0,2029.0,2035.0,1995.0
2019-02-21,2034.0,2042.0,2057.5,2033.0
2019-02-22,2046.0,2080.0,2081.0,2040.5
2019-02-25,2085.0,2060.5,2112.5,2058.0
2019-02-26,2055.0,2065.5,2072.0,2038.0
2019-02-27,2066.0,2052.0,2069.0,2040.0
2019-02-28,2055.0,2049.5,2065.0,2030.0
2019-03-01,2055.0,2088.0,2090.0,2042.5
2019-03-04,2090.0,2041.5,2096.0,2033.0
2019-03-05,2040.0,2024.0,2042.0,2012.5
2019-03-06,2029.0,2002.0,2032.0,2001.0
2019-03-07,2000.0,2027.0,2035.5,1994.0
2019-03-08,2026.0,1980.5,2028.0,1976.5
2019-03-11,1970.0,1907.0,1980.0,1907.0
2019-03-12,1909.0,1953.5,1955.5,1908.0
2019-03-13,1956.0,1939.0,1965.0,1929.5
2019-03-14,1939.0,1959.0,1968.5,1923.0
2019-03-15,1957.0,1944.0,1980.0,1918.0
2019-03-18,1940.0,1919.0,1943.5,1915.0
2019-03-19,1920.0,1920.0,1936.5,1905.0
2019-03-20,1925.0,1924.5,1932.5,1914.0
2019-03-21,1921.0,1930.0,1948.0,1918.0
2019-03-22,1925.0,1963.0,1964.0,1921.0
2019-03-25,1955.0,1956.5,1978.0,1955.0
2019-03-26,1958.0,1942.0,1959.0,1936.5
2019-03-27,1941.5,1919.0,1950.5,1916.0
2019-03-28,1918.0,1924.0,1940.0,1914.0
2019-03-29,1920.0,1945.0,1958.0,1916.0
2019-04-01,1946.0,1995.0,1995.0,1945.0
2019-04-02,1996.0,1995.5,2017.0,1981.0
2019-04-03,1995.5,2022.5,2028.5,1988.0
2019-04-04,2022.0,2036.0,2038.5,2011.0
2019-04-08,2025.0,2048.5,2055.0,2022.5
2019-04-09,2042.5,2017.0,2049.5,2000.0
2019-04-10,2010.5,2009.0,2032.0,2003.0
2019-04-11,2010.0,1993.5,2015.0,1980.5
2019-04-12,1995.5,2010.0,2012.0,1975.0
2019-04-15,2020.0,2028.5,2039.5,2002.5
2019-04-16,2036.0,2036.5,2038.0,2015.0
2019-04-17,2036.0,2030.5,2036.0,2021.0
2019-04-18,2032.0,2010.0,2037.0,2007.5
2019-04-19,2005.0,2037.0,2042.5,2005.0
2019-04-22,2030.0,2026.0,2047.0,2021.5
2019-04-23,2032.5,2030.0,2037.0,2025.0
2019-04-24,2032.0,2035.0,2035.0,2020.0
2019-04-25,2030.0,2030.0,2046.5,2028.0
2019-04-26,2031.0,2026.5,2041.0,2025.5
2019-04-29,2022.0,2048.0,2055.5,2021.0
2019-04-30,2044.0,2068.5,2070.0,2039.0
2019-05-06,2065.0,2109.0,2109.0,2061.5
2019-05-07,2020.0,2056.5,2071.5,2012.0
2019-05-08,2051.5,2079.5,2094.5,2043.5
2019-05-09,2088.0,2071.5,2090.0,2064.0
2019-05-10,2063.0,2082.5,2085.0,2063.0
