Date,Open,Close,High,Low
2018-10-08,1200.0,1254.0,1255.0,1200.0
2018-10-09,1254.0,1257.0,1273.0,1250.0
2018-10-10,1258.0,1284.0,1315.0,1257.0
2018-10-11,1280.0,1278.0,1293.0,1268.5
2018-10-12,1280.0,1287.0,1297.5,1276.0
2018-10-15,1287.5,1273.5,1298.0,1270.5
2018-10-16,1273.5,1287.0,1295.0,1269.5
2018-10-17,1288.0,1313.0,1321.0,1282.0
2018-10-18,1313.0,1295.0,1316.0,1288.0
2018-10-19,1290.5,1275.0,1299.0,1273.0
2018-10-22,1280.0,1282.5,1297.5,1275.0
2018-10-23,1290.5,1287.0,1302.0,1277.5
2018-10-24,1286.0,1297.5,1297.5,1281.0
2018-10-25,1296.5,1305.0,1308.0,1283.5
2018-10-26,1305.0,1296.0,1315.0,1289.0
2018-10-29,1290.5,1284.5,1302.5,1282.0
2018-10-30,1285.0,1285.5,1296.5,1282.5
2018-10-31,1285.0,1285.0,1291.5,1270.0
2018-11-01,1285.0,1263.0,1288.0,1259.0
2018-11-02,1260.0,1232.0,1263.0,1218.0
2018-11-05,1229.5,1256.0,1320.0,1229.5
2018-11-06,1251.0,1248.0,1265.0,1244.0
2018-11-07,1251.0,1244.0,1251.0,1226.0
2018-11-08,1242.0,1222.5,1249.0,1212.0
2018-11-09,1225.0,1199.0,1228.5,1197.5
2018-11-12,1200.0,1172.0,1214.5,1171.5
2018-11-13,1179.5,1177.0,1185.0,1171.0
2018-11-14,1179.0,1188.0,1206.0,1176.5
2018-11-15,1190.0,1218.5,1220.0,1189.5
2018-11-16,1220.0,1231.5,1247.0,1213.5
2018-11-19,1229.5,1225.5,1239.0,1218.5
2018-11-20,1225.0,1204.5,1230.0,1199.0
2018-11-21,1205.0,1231.0,1237.0,1176.0
2018-11-22,1231.0,1227.5,1236.5,1221.5
2018-11-23,1228.0,1209.0,1246.0,1208.0
2018-11-26,1200.0,1141.0,1200.0,1141.0
2018-11-27,1138.5,1127.0,1156.5,1106.5
2018-11-28,1121.0,1139.5,1153.0,1116.5
2018-11-29,1138.0,1157.5,1165.0,1138.0
2018-11-30,1160.0,1150.5,1164.0,1143.0
2018-12-03,1149.5,1180.0,1233.0,1146.0
2018-12-04,1171.0,1193.5,1198.5,1170.0
2018-12-05,1220.0,1208.0,1220.0,1184.0
2018-12-06,1207.5,1188.5,1212.5,1177.0
2018-12-07,1182.0,1217.5,1221.5,1171.5
2018-12-10,1217.0,1194.5,1225.0,1185.0
2018-12-11,1195.0,1193.0,1199.5,1176.0
2018-12-12,1438.0,1433.5,1438.0,1418.0
2018-12-13,1433.5,1434.0,1444.0,1427.0
2018-12-14,1430.5,1430.5,1437.0,1422.5
2018-12-17,1435.0,1442.0,1447.0,1428.0
2018-12-18,1442.0,1435.0,1443.5,1432.0
2018-12-19,1433.5,1438.0,1445.0,1433.5
2018-12-20,1438.0,1442.0,1446.0,1437.5
2018-12-21,1440.0,1429.0,1442.5,1400.0
2018-12-24,1425.0,1424.0,1428.5,1415.0
2018-12-25,1420.0,1435.0,1438.0,1420.0
2018-12-26,1434.0,1432.0,1442.0,1422.5
2018-12-27,1432.5,1451.0,1452.5,1432.5
2018-12-28,1255.0,1261.5,1264.0,1249.0
2019-01-02,1260.0,1233.0,1260.0,1232.0
2019-01-03,1235.0,1254.0,1256.0,1233.0
2019-01-04,1254.0,1265.0,1270.0,1248.0
2019-01-07,1268.0,1276.0,1280.5,1258.0
2019-01-08,1274.0,1269.0,1277.5,1264.5
2019-01-09,1269.0,1273.0,1283.0,1264.0
2019-01-10,1274.0,1279.0,1283.0,1269.0
2019-01-11,1279.5,1315.5,1316.0,1279.5
2019-01-14,1314.0,1322.0,1333.5,1308.0
2019-01-15,1322.0,1315.0,1323.5,1304.5
2019-01-16,1313.0,1317.0,1324.5,1306.5
2019-01-17,1318.0,1319.0,1319.5,1308.5
2019-01-18,1315.0,1325.0,1328.5,1312.0
2019-01-21,1324.5,1303.0,1335.0,1297.5
2019-01-22,1302.5,1299.0,1315.0,1294.5
2019-01-23,1300.0,1312.0,1315.0,1293.0
2019-01-24,1313.0,1300.5,1317.5,1300.0
2019-01-25,1299.5,1296.5,1314.0,1294.0
2019-01-28,1297.0,1305.5,1316.5,1291.0
2019-01-29,1307.0,1291.0,1307.5,1284.0
2019-01-30,1295.5,1292.0,1311.5,1291.5
2019-01-31,1294.0,1347.0,1353.0,1285.0
2019-02-01,1350.0,1365.0,1365.0,1342.0
2019-02-11,1380.0,1356.5,1398.0,1343.5
2019-02-12,1353.0,1372.0,1381.5,1350.5
2019-02-13,1372.0,1359.5,1377.5,1347.5
2019-02-14,1361.0,1355.0,1366.0,1346.5
2019-02-15,1357.0,1356.5,1363.5,1348.0
2019-02-18,1360.0,1345.0,1374.5,1335.5
2019-02-19,1347.0,1342.5,1353.0,1337.0
2019-02-20,1342.5,1354.5,1357.5,1334.0
2019-02-21,1363.0,1372.5,1382.5,1363.0
2019-02-22,1376.5,1390.5,1393.5,1372.0
2019-02-25,1390.0,1390.0,1403.5,1376.0
2019-02-26,1388.0,1390.0,1402.5,1376.5
2019-02-27,1389.5,1393.5,1405.0,1383.0
2019-02-28,1392.5,1391.0,1398.5,1382.0
2019-03-01,1391.5,1406.5,1408.0,1383.5
2019-03-04,1407.0,1379.0,1410.5,1373.0
2019-03-05,1380.0,1373.5,1383.0,1365.0
2019-03-06,1374.5,1366.0,1379.5,1361.5
2019-03-07,1364.0,1370.0,1375.0,1360.0
2019-03-08,1371.5,1341.0,1375.0,1341.0
2019-03-11,1340.5,1319.0,1346.0,1317.5
2019-03-12,1318.0,1331.0,1342.0,1317.0
2019-03-13,1331.0,1332.0,1346.0,1331.0
2019-03-14,1332.0,1329.5,1339.5,1323.0
2019-03-15,1325.0,1330.5,1341.5,1322.0
2019-03-18,1330.0,1325.5,1334.5,1322.5
2019-03-19,1329.0,1322.0,1340.0,1320.0
2019-03-20,1325.0,1312.0,1331.0,1310.5
2019-03-21,1310.0,1317.0,1326.5,1310.0
2019-03-22,1313.0,1327.5,1331.0,1313.0
2019-03-25,1328.5,1323.0,1337.0,1322.0
2019-03-26,1321.0,1327.0,1331.0,1316.0
2019-03-27,1330.0,1321.0,1339.0,1312.0
2019-03-28,1323.5,1323.0,1331.0,1318.0
2019-03-29,1322.0,1318.0,1328.5,1316.0
2019-04-01,1321.0,1337.5,1345.0,1311.0
2019-04-02,1340.0,1325.5,1340.0,1325.0
2019-04-03,1323.0,1331.5,1336.0,1320.0
2019-04-04,1329.0,1335.5,1339.0,1326.5
2019-04-08,1339.5,1360.0,1362.5,1338.5
2019-04-09,1364.0,1336.0,1365.0,1330.0
2019-04-10,1227.5,1233.5,1239.0,1226.0
2019-04-11,1230.5,1226.0,1233.5,1219.0
2019-04-12,1223.0,1224.0,1228.0,1217.5
2019-04-15,1230.0,1226.5,1232.5,1223.5
2019-04-16,1230.5,1220.5,1231.0,1217.0
2019-04-17,1222.0,1223.5,1224.0,1218.5
2019-04-18,1222.5,1224.0,1229.0,1218.0
2019-04-19,1223.0,1230.0,1230.0,1223.0
2019-04-22,1227.5,1225.0,1237.0,1221.5
2019-04-23,1220.0,1216.0,1231.0,1216.0
2019-04-24,1215.0,1218.5,1223.5,1213.0
2019-04-25,1223.0,1208.0,1223.0,1198.0
2019-04-26,1206.0,1190.5,1214.5,1190.0
2019-04-29,1190.5,1212.0,1220.0,1180.5
2019-04-30,1210.0,1170.0,1225.0,1160.0
2019-05-06,1166.0,1160.0,1210.0,1160.0
2019-05-07,1325.0,1334.0,1342.0,1323.5
2019-05-08,1334.0,1329.0,1337.0,1328.0
2019-05-09,1327.5,1317.5,1329.0,1315.0
2019-05-10,1314.5,1322.0,1322.0,1311.5
2019-05-13,1322.0,1313.5,1325.0,1313.5
2019-05-14,1314.0,1301.5,1321.5,1298.5
2019-05-15,1301.0,1331.0,1332.0,1300.0
2019-05-16,1326.5,1330.0,1335.0,1319.0
2019-05-17,1330.0,1347.0,1348.5,1330.0
2019-05-20,1341.0,1339.5,1353.0,1336.5
2019-05-21,1340.0,1350.5,1356.0,1331.0
2019-05-22,1355.5,1338.5,1372.0,1335.0
2019-05-23,1336.5,1347.0,1355.0,1330.0
2019-05-24,1341.0,1379.5,1382.5,1341.0
2019-05-27,1381.0,1357.0,1391.5,1355.0
2019-05-28,1357.0,1351.5,1370.5,1350.5
2019-05-29,1350.5,1360.5,1362.5,1348.0
2019-05-30,1360.5,1365.5,1384.0,1357.5
2019-05-31,1365.0,1348.0,1377.5,1348.0
2019-06-03,1348.0,1334.5,1352.5,1333.0
2019-06-04,1338.5,1346.5,1350.5,1334.0
2019-06-05,1345.0,1342.0,1348.0,1338.5
2019-06-06,1340.0,1350.0,1359.0,1331.0
2019-06-10,1350.5,1369.0,1369.0,1344.5
2019-06-11,1369.0,1382.5,1383.0,1356.5
2019-06-12,1380.5,1358.0,1382.5,1357.0
2019-06-13,1356.5,1365.0,1366.5,1354.0
2019-06-14,1367.0,1350.0,1372.0,1350.0
2019-06-17,1346.5,1343.5,1357.5,1342.5
2019-06-18,1343.5,1344.0,1345.5,1336.5
2019-06-19,1344.0,1347.5,1358.5,1338.5
2019-06-20,1345.0,1352.5,1363.5,1345.0
2019-06-21,1354.0,1349.0,1354.0,1340.5
2019-06-24,1348.0,1340.0,1355.0,1335.0
2019-06-25,1344.0,1351.5,1354.0,1338.5
2019-06-26,1350.0,1353.5,1366.0,1349.0
2019-06-27,1354.5,1346.0,1368.5,1344.5
2019-06-28,1353.5,1359.5,1365.0,1346.0
2019-07-01,1368.0,1371.5,1372.0,1350.5
2019-07-02,1370.0,1370.0,1376.5,1364.5
2019-07-03,1369.5,1351.0,1373.5,1350.0
2019-07-04,1351.0,1359.5,1360.0,1345.0
2019-07-05,1363.0,1351.0,1363.0,1348.0
2019-07-08,1349.0,1353.5,1357.0,1349.0
2019-07-09,1354.0,1357.5,1368.0,1354.0
2019-07-10,1357.0,1358.5,1359.0,1350.0
2019-07-11,1355.0,1371.5,1381.0,1353.0
2019-07-12,1372.0,1374.0,1385.0,1370.0
2019-07-15,1372.0,1377.0,1387.5,1365.5
2019-07-16,1373.0,1397.5,1398.0,1373.0
2019-07-17,1398.0,1405.0,1408.0,1393.0
2019-07-18,1400.0,1407.0,1411.5,1396.0
2019-07-19,1410.0,1402.5,1410.0,1385.5
2019-07-22,1397.0,1381.0,1403.0,1380.5
2019-07-23,1380.0,1381.5,1388.0,1379.5
2019-07-24,1382.0,1392.0,1395.5,1374.5
2019-07-25,1392.0,1394.0,1395.5,1389.0
2019-07-26,1393.0,1406.0,1406.5,1390.5
2019-07-29,1404.0,1389.0,1405.5,1385.5
2019-07-30,1386.0,1388.0,1396.0,1379.0
2019-07-31,1386.0,1390.0,1399.0,1386.0
2019-08-01,1392.5,1382.5,1392.5,1380.0
2019-08-02,1376.0,1361.5,1382.5,1352.0
2019-08-05,1361.5,1343.5,1365.0,1342.0
2019-08-06,1341.5,1346.0,1351.5,1339.0
2019-08-07,1350.0,1326.0,1350.0,1324.0
2019-08-08,1326.0,1329.0,1335.0,1319.5
2019-08-09,1327.0,1318.5,1334.0,1304.5
2019-08-12,1315.0,1335.0,1339.5,1311.5
2019-08-13,1335.0,1328.0,1344.0,1310.5
2019-08-14,1323.0,1313.0,1350.0,1309.5
2019-08-15,1308.0,1328.0,1334.0,1307.5
2019-08-16,1333.0,1328.5,1337.5,1325.5
2019-08-19,1331.0,1338.5,1344.0,1327.0
2019-08-20,1334.5,1338.0,1342.0,1334.5
2019-08-21,1409.0,1400.0,1410.0,1395.5
2019-08-22,1398.5,1406.0,1408.0,1396.0
2019-08-23,1413.0,1403.5,1413.0,1399.5
2019-08-26,1405.0,1406.0,1418.0,1403.0
2019-08-27,1411.0,1401.0,1411.0,1400.0
2019-08-28,1400.0,1405.0,1410.0,1400.0
2019-08-29,1400.0,1405.0,1408.0,1400.0
2019-08-30,1404.0,1438.0,1438.0,1403.5
2019-09-02,1470.0,1442.0,1470.0,1432.5
2019-09-03,1252.5,1247.5,1253.0,1244.0
2019-09-04,1248.5,1253.5,1255.5,1240.5
2019-09-05,1250.0,1261.0,1273.0,1249.5
2019-09-06,1261.0,1255.5,1268.5,1255.5
2019-09-09,1255.0,1266.0,1270.5,1252.0
2019-09-10,1262.5,1263.0,1268.5,1260.0
