Date,Open,Close,High,Low
2018-07-16,3028,2994,3088,2971
2018-07-17,2951,2869,2951,2848
2018-07-18,2872,2881,2923,2862
2018-07-19,2889,2929,2995,2881
2018-07-20,2908,2987,3008,2903
2018-07-23,2986,2987,3019,2960
2018-07-24,3030,3062,3072,2993
2018-07-25,3072,3116,3203,3048
2018-07-26,3093,3134,3151,3093
2018-07-27,3127,3134,3150,3106
2018-07-30,3142,3151,3172,3108
2018-07-31,3180,3140,3213,3132
2018-08-01,3140,3089,3160,3087
2018-08-02,3070,3098,3107,3033
2018-08-03,3086,3177,3193,3080
2018-08-06,3172,3170,3184,3116
2018-08-07,3190,3249,3303,3170
2018-08-08,3265,3192,3285,3176
2018-08-09,3161,3172,3205,3145
2018-08-10,3183,3141,3227,3130
2018-08-13,3160,3175,3197,3150
2018-08-14,3182,3170,3214,3155
2018-08-15,3199,3154,3223,3135
2018-08-16,3140,3025,3162,2991
2018-08-17,3040,3013,3044,2968
2018-08-20,3048,3032,3082,2976
2018-08-21,3028,3052,3075,3016
2018-08-22,3078,3089,3102,3061
2018-08-23,3111,3120,3147,3100
2018-08-24,3120,3159,3164,3093
2018-08-27,3172,3126,3175,3123
2018-08-28,3138,3136,3166,3115
2018-08-29,3148,3094,3154,3094
2018-08-30,3120,3188,3190,3114
2018-08-31,3188,3199,3204,3173
2018-09-03,3190,3158,3193,3130
2018-09-04,3173,3156,3197,3131
2018-09-05,3195,3107,3208,3098
2018-09-06,3107,3102,3124,3078
2018-09-07,3108,3095,3118,3057
2018-09-10,3097,3143,3143,3063
2018-09-11,3133,3121,3167,3113
2018-09-12,3108,3188,3233,3102
2018-09-13,3199,3167,3214,3152
2018-09-14,3162,3115,3168,3105
2018-09-17,3119,3127,3143,3097
2018-09-18,3138,3114,3152,3084
2018-09-19,3140,3173,3176,3133
2018-09-20,3156,3193,3201,3146
2018-09-21,3181,3171,3192,3162
2018-09-25,3211,3273,3300,3211
2018-09-26,3282,3327,3333,3269
2018-09-27,3305,3357,3366,3286
2018-09-28,3358,3371,3374,3321
2018-10-08,3411,3470,3479,3389
2018-10-09,3445,3648,3648,3445
2018-10-10,3648,3650,3675,3572
2018-10-11,3631,3482,3642,3434
2018-10-12,3488,3514,3529,3418
2018-10-15,3509,3500,3525,3456
2018-10-16,3500,3426,3505,3406
2018-10-17,3420,3503,3507,3403
2018-10-18,3474,3462,3480,3392
2018-10-19,3430,3467,3476,3411
2018-10-22,3483,3568,3583,3483
2018-10-23,3544,3523,3574,3520
2018-10-24,3489,3466,3489,3402
2018-10-25,3493,3432,3503,3376
2018-10-26,3460,3495,3504,3428
2018-10-29,3492,3469,3570,3461
2018-10-30,3464,3526,3538,3461
2018-10-31,3478,3469,3478,3417
2018-11-01,3468,3415,3521,3363
2018-11-02,3412,3406,3432,3301
2018-11-05,3388,3427,3438,3363
2018-11-06,3442,3458,3474,3426
2018-11-07,3470,3493,3526,3448
2018-11-08,3535,3480,3546,3426
2018-11-09,3465,3400,3472,3371
2018-11-12,3366,3392,3401,3266
2018-11-13,3389,3333,3418,3313
2018-11-14,3325,3171,3355,3163
2018-11-15,3199,3206,3216,3145
2018-11-16,3211,3215,3232,3164
2018-11-19,3070,3051,3087,3036
2018-11-20,3040,3034,3064,3005
2018-11-21,3035,2916,3036,2862
2018-11-22,2931,2913,2940,2886
2018-11-23,2913,2838,2928,2810
2018-11-26,2785,2774,2815,2722
2018-11-27,2775,2753,2824,2735
2018-11-28,2775,2816,2860,2753
2018-11-29,2783,2704,2786,2696
2018-11-30,2730,2709,2735,2697
2018-12-03,2681,2742,2783,2635
2018-12-04,2738,2786,2806,2730
2018-12-05,2799,2780,2827,2742
2018-12-06,2802,2750,2830,2744
2018-12-07,2700,2688,2745,2662
2018-12-10,2720,2760,2804,2703
2018-12-11,2745,2702,2768,2685
2018-12-12,2720,2726,2752,2715
2018-12-13,2741,2664,2756,2640
2018-12-14,2630,2664,2710,2622
2018-12-17,2660,2645,2677,2621
2018-12-18,2660,2580,2665,2565
2018-12-19,2567,2486,2585,2474
2018-12-20,2487,2478,2492,2466
2018-12-21,2450,2504,2527,2450
2018-12-24,2475,2502,2526,2463
2018-12-25,2484,2349,2510,2349
2018-12-26,2350,2335,2371,2326
2018-12-27,2350,2428,2482,2331
2018-12-28,2412,2402,2435,2381
2019-01-02,2400,2372,2417,2358
2019-01-03,2375,2408,2419,2365
2019-01-04,2435,2492,2502,2435
2019-01-07,2502,2526,2535,2483
2019-01-08,2528,2528,2550,2493
2019-01-09,2543,2564,2585,2529
2019-01-10,2568,2638,2656,2568
2019-01-11,2645,2646,2657,2618
2019-01-14,2644,2583,2644,2578
2019-01-15,2591,2620,2630,2575
2019-01-16,2622,2636,2648,2613
2019-01-17,2619,2623,2628,2595
2019-01-18,2599,2698,2710,2587
2019-01-21,2691,2740,2762,2690
2019-01-22,2732,2711,2755,2695
