Date,Open,Close,High,Low
2018-10-08,1952,1968,1973,1951
2018-10-09,1970,1968,1976,1965
2018-10-10,1967,1952,1968,1942
2018-10-11,1947,1969,1970,1943
2018-10-12,1970,1970,1974,1965
2018-10-15,1970,1958,1975,1955
2018-10-16,1960,1959,1965,1958
2018-10-17,1960,1963,1964,1955
2018-10-18,1965,1969,1973,1963
2018-10-19,1969,1977,1984,1967
2018-10-22,1980,1989,1991,1980
2018-10-23,1995,1985,1998,1984
2018-10-24,1985,1989,1990,1982
2018-10-25,1988,1993,1996,1987
2018-10-26,1995,1990,1998,1983
2018-10-29,1992,2002,2002,1986
2018-10-30,2002,2017,2018,2000
2018-10-31,2017,2000,2017,1992
2018-11-01,2000,1998,2004,1994
2018-11-02,1980,1981,1990,1970
2018-11-05,1976,1989,1994,1976
2018-11-06,1990,1993,1993,1986
2018-11-07,1995,1991,2004,1991
2018-11-08,1997,1998,2001,1988
2018-11-09,1992,2010,2011,1992
2018-11-12,2016,2019,2028,2013
2018-11-13,2017,1995,2020,1988
2018-11-14,1909,1897,1911,1894
2018-11-15,1898,1880,1907,1879
2018-11-16,1881,1887,1893,1881
2018-11-19,1890,1898,1902,1885
2018-11-20,1900,1891,1905,1886
2018-11-21,1887,1901,1902,1883
2018-11-22,1903,1887,1903,1883
2018-11-23,1887,1891,1896,1887
2018-11-26,1896,1904,1907,1894
2018-11-27,1905,1914,1915,1900
2018-11-28,1916,1924,1925,1903
2018-11-29,1926,1918,1930,1917
2018-11-30,1919,1917,1921,1909
2018-12-03,1894,1880,1912,1866
2018-12-04,1880,1864,1881,1864
2018-12-05,1865,1877,1882,1863
2018-12-06,1878,1893,1896,1874
2018-12-07,1905,1887,1906,1883
2018-12-10,1885,1898,1903,1885
2018-12-11,1900,1904,1907,1891
2018-12-12,1906,1905,1909,1901
2018-12-13,1905,1904,1907,1898
2018-12-14,1903,1906,1907,1891
2018-12-17,1900,1898,1902,1893
2018-12-18,1898,1887,1898,1886
2018-12-19,1888,1902,1908,1886
2018-12-20,1900,1903,1907,1899
2018-12-21,1902,1895,1902,1892
2018-12-24,1889,1865,1890,1865
2018-12-25,1869,1879,1883,1860
2018-12-26,1880,1880,1888,1874
2018-12-27,1884,1876,1885,1873
2018-12-28,1880,1889,1891,1880
2019-01-02,1885,1886,1888,1877
2019-01-03,1887,1895,1898,1884
2019-01-04,1894,1891,1896,1887
2019-01-07,1891,1890,1895,1880
2019-01-08,1890,1875,1890,1869
2019-01-09,1875,1884,1885,1873
2019-01-10,1878,1877,1882,1872
2019-01-11,1872,1864,1876,1863
2019-01-14,1860,1845,1860,1844
2019-01-15,1847,1845,1850,1842
2019-01-16,1842,1858,1868,1835
2019-01-17,1856,1850,1860,1846
2019-01-18,1850,1854,1859,1850
2019-01-21,1856,1867,1872,1856
2019-01-22,1867,1874,1876,1865
2019-01-23,1874,1868,1878,1866
2019-01-24,1868,1867,1870,1860
2019-01-25,1872,1893,1904,1869
2019-01-28,1893,1883,1893,1878
2019-01-29,1881,1891,1892,1881
2019-01-30,1891,1898,1901,1891
2019-01-31,1901,1895,1901,1883
2019-02-01,1896,1898,1902,1891
2019-02-11,1898,1897,1900,1888
2019-02-12,1895,1892,1901,1890
2019-02-13,1888,1876,1888,1875
2019-02-14,1872,1858,1873,1856
2019-02-15,1860,1862,1869,1857
2019-02-18,1856,1846,1858,1844
2019-02-19,1845,1854,1861,1843
2019-02-20,1845,1840,1850,1840
2019-02-21,1840,1841,1850,1838
2019-02-22,1839,1842,1846,1832
2019-02-25,1825,1821,1827,1815
2019-02-26,1819,1826,1838,1819
2019-02-27,1827,1828,1833,1824
2019-02-28,1819,1841,1842,1819
2019-03-01,1839,1835,1844,1828
2019-03-04,1842,1832,1853,1832
2019-03-05,1830,1845,1845,1829
2019-03-06,1837,1837,1840,1830
2019-03-07,1836,1858,1879,1829
2019-03-08,1857,1862,1869,1855
2019-03-11,1864,1878,1879,1856
2019-03-12,1878,1881,1884,1872
2019-03-13,1881,1865,1888,1861
2019-03-14,1868,1874,1875,1861
2019-03-15,1874,1878,1885,1872
2019-03-18,1880,1893,1895,1874
2019-03-19,1895,1886,1896,1881
2019-03-20,1886,1863,1887,1859
2019-03-21,1865,1858,1866,1855
2019-03-22,1850,1842,1852,1838
2019-03-25,1839,1839,1847,1833
2019-03-26,1837,1847,1849,1835
2019-03-27,1818,1815,1825,1813
2019-03-28,1813,1806,1816,1804
2019-03-29,1807,1819,1820,1807
2019-04-01,1820,1819,1823,1808
2019-04-02,1821,1823,1826,1816
2019-04-03,1828,1826,1828,1816
2019-04-04,1830,1849,1850,1828
2019-04-08,1853,1839,1854,1835
2019-04-09,1838,1833,1842,1827
2019-04-10,1834,1838,1842,1830
2019-04-11,1838,1843,1844,1836
2019-04-12,1842,1849,1849,1836
2019-04-15,1849,1859,1862,1844
2019-04-16,1859,1862,1865,1852
2019-04-17,1865,1864,1868,1861
2019-04-18,1864,1859,1864,1841
2019-04-19,1886,1895,1899,1885
2019-04-22,1862,1879,1879,1861
2019-04-23,1906,1909,1913,1903
2019-04-24,1911,1908,1919,1905
2019-04-25,1905,1907,1910,1903
2019-04-26,1907,1895,1909,1891
2019-04-29,1902,1906,1911,1895
2019-04-30,1934,1931,1934,1922
2019-05-06,1914,1907,1922,1906
2019-05-07,1949,1952,1954,1942
2019-05-08,1952,1945,1952,1942
2019-05-09,1907,1913,1919,1907
2019-05-10,1950,1951,1955,1944
2019-05-13,1953,1975,1976,1949
2019-05-14,1978,1979,1981,1967
2019-05-15,1980,1996,1998,1973
