Date,Open,Close,High,Low
2018-10-08,1314,1294,1323,1273
2018-10-09,1295,1308,1310,1291
2018-10-10,1308,1315,1317,1305
2018-10-11,1314,1299,1314,1296
2018-10-12,1300,1308,1310,1297
2018-10-15,1308,1290,1311,1282
2018-10-16,1291,1286,1294,1281
2018-10-17,1286,1291,1294,1279
2018-10-18,1290,1272,1292,1269
2018-10-19,1268,1278,1286,1261
2018-10-22,1277,1288,1291,1275
2018-10-23,1288,1286,1292,1283
2018-10-24,1285,1297,1297,1284
2018-10-25,1295,1290,1298,1284
2018-10-26,1293,1297,1304,1291
2018-10-29,1296,1288,1296,1281
2018-10-30,1288,1294,1303,1288
2018-10-31,1288,1288,1292,1280
2018-11-01,1286,1286,1295,1281
2018-11-02,1288,1292,1294,1270
2018-11-05,1292,1287,1297,1286
2018-11-06,1285,1277,1290,1275
2018-11-07,1278,1272,1281,1268
2018-11-08,1273,1244,1274,1226
2018-11-09,1244,1228,1247,1227
2018-11-12,1226,1208,1231,1205
2018-11-13,1206,1210,1218,1200
2018-11-14,1211,1212,1216,1202
2018-11-15,1212,1214,1216,1207
2018-11-16,1213,1226,1234,1213
2018-11-19,1228,1240,1248,1223
2018-11-20,1240,1242,1247,1234
2018-11-21,1243,1252,1255,1221
2018-11-22,1252,1258,1260,1242
2018-11-23,1259,1241,1262,1240
2018-11-26,1240,1220,1246,1213
2018-11-27,1221,1228,1239,1218
2018-11-28,1229,1234,1237,1220
2018-11-29,1233,1233,1244,1228
2018-11-30,1232,1229,1239,1224
2018-12-03,1230,1245,1272,1226
2018-12-04,1248,1251,1254,1236
2018-12-05,1250,1254,1259,1244
2018-12-06,1254,1251,1260,1247
2018-12-07,1250,1270,1271,1249
2018-12-10,1270,1270,1285,1263
2018-12-11,1269,1266,1285,1260
2018-12-12,1266,1272,1275,1264
2018-12-13,1294,1293,1305,1289
2018-12-14,1292,1298,1302,1292
2018-12-17,1301,1310,1314,1293
2018-12-18,1310,1312,1315,1305
2018-12-19,1310,1314,1317,1305
2018-12-20,1314,1315,1320,1313
2018-12-21,1315,1320,1325,1313
2018-12-24,1323,1314,1328,1310
2018-12-25,1312,1312,1317,1305
2018-12-26,1310,1314,1318,1309
2018-12-27,1315,1307,1316,1306
2018-12-28,1278,1285,1287,1273
2019-01-02,1292,1276,1292,1275
2019-01-03,1275,1295,1296,1273
2019-01-04,1294,1306,1310,1291
2019-01-07,1306,1305,1310,1297
2019-01-08,1306,1299,1306,1297
2019-01-09,1299,1299,1305,1295
2019-01-10,1299,1295,1306,1294
2019-01-11,1295,1310,1312,1295
2019-01-14,1308,1303,1310,1303
2019-01-15,1305,1299,1306,1296
2019-01-16,1299,1305,1310,1296
2019-01-17,1304,1297,1306,1297
2019-01-18,1298,1305,1308,1287
2019-01-21,1307,1330,1335,1304
2019-01-22,1328,1323,1329,1320
2019-01-23,1324,1323,1331,1320
2019-01-24,1324,1327,1329,1318
2019-01-25,1326,1330,1340,1324
2019-01-28,1331,1333,1353,1330
2019-01-29,1332,1332,1338,1329
2019-01-30,1334,1347,1354,1332
2019-01-31,1348,1354,1359,1344
2019-02-01,1354,1366,1372,1353
2019-02-11,1383,1370,1383,1366
2019-02-12,1371,1353,1371,1352
2019-02-13,1353,1339,1358,1337
2019-02-14,1338,1330,1341,1328
2019-02-15,1330,1318,1334,1311
2019-02-18,1318,1316,1324,1312
2019-02-19,1317,1343,1344,1316
2019-02-20,1344,1337,1345,1330
2019-02-21,1335,1334,1340,1316
2019-02-22,1333,1332,1333,1321
2019-02-25,1332,1331,1339,1326
2019-02-26,1330,1333,1337,1320
2019-02-27,1332,1334,1340,1328
2019-02-28,1336,1303,1341,1300
2019-03-01,1297,1309,1312,1296
2019-03-04,1310,1303,1314,1288
2019-03-05,1303,1296,1306,1293
2019-03-06,1290,1291,1297,1283
2019-03-07,1291,1294,1302,1290
2019-03-08,1296,1290,1302,1289
2019-03-11,1288,1281,1293,1275
2019-03-12,1279,1285,1287,1279
2019-03-13,1286,1280,1287,1275
2019-03-14,1279,1288,1290,1278
2019-03-15,1288,1289,1295,1283
2019-03-18,1288,1279,1294,1278
2019-03-19,1279,1263,1283,1263
2019-03-20,1267,1273,1274,1266
2019-03-21,1273,1276,1279,1270
2019-03-22,1276,1281,1282,1270
2019-03-25,1279,1276,1282,1273
2019-03-26,1276,1274,1278,1271
2019-03-27,1275,1277,1286,1275
2019-03-28,1277,1278,1285,1275
2019-03-29,1276,1291,1293,1273
2019-04-01,1293,1296,1300,1285
2019-04-02,1294,1291,1299,1289
2019-04-03,1291,1296,1299,1286
2019-04-04,1296,1307,1308,1295
2019-04-08,1309,1316,1321,1301
2019-04-09,1315,1315,1325,1310
2019-04-10,1315,1328,1332,1312
2019-04-11,1327,1337,1345,1323
2019-04-12,1340,1332,1347,1328
2019-04-15,1336,1330,1337,1328
2019-04-16,1333,1341,1344,1326
2019-04-17,1286,1294,1295,1284
2019-04-18,1295,1286,1295,1284
2019-04-19,1287,1316,1318,1284
2019-04-22,1315,1322,1325,1313
2019-04-23,1324,1330,1332,1318
2019-04-24,1335,1329,1335,1326
2019-04-25,1321,1322,1328,1319
2019-04-26,1321,1326,1334,1311
2019-04-29,1326,1318,1329,1316
2019-04-30,1319,1321,1326,1313
2019-05-06,1316,1304,1335,1303
2019-05-07,1305,1291,1308,1290
2019-05-08,1291,1293,1299,1286
2019-05-09,1293,1309,1312,1291
2019-05-10,1309,1310,1312,1303
2019-05-13,1310,1319,1320,1306
2019-05-14,1321,1306,1322,1304
2019-05-15,1308,1332,1336,1304
2019-05-16,1331,1342,1346,1326
2019-05-17,1342,1353,1357,1340
2019-05-20,1355,1351,1355,1342
2019-05-21,1349,1357,1370,1346
2019-05-22,1358,1375,1375,1350
2019-05-23,1372,1349,1375,1348
2019-05-24,1348,1353,1367,1343
2019-05-27,1354,1355,1373,1353
2019-05-28,1356,1343,1356,1335
2019-05-29,1345,1339,1348,1336
2019-05-30,1338,1338,1361,1334
2019-05-31,1335,1326,1340,1324
2019-06-03,1326,1321,1332,1313
2019-06-04,1324,1316,1324,1302
2019-06-05,1316,1316,1328,1315
2019-06-06,1316,1344,1345,1311
2019-06-10,1344,1356,1364,1344
2019-06-11,1360,1411,1411,1360
2019-06-12,1420,1395,1425,1391
2019-06-13,1396,1409,1416,1395
2019-06-14,1410,1413,1420,1404
2019-06-17,1414,1407,1419,1404
2019-06-18,1406,1411,1414,1405
2019-06-19,1411,1414,1420,1408
2019-06-20,1415,1419,1425,1411
2019-06-21,1419,1424,1429,1417
2019-06-24,1425,1431,1435,1423
2019-06-25,1430,1430,1433,1428
2019-06-26,1431,1449,1456,1427
2019-06-27,1447,1439,1451,1439
2019-06-28,1439,1435,1453,1433
2019-07-01,1437,1443,1448,1433
2019-07-02,1442,1450,1456,1439
2019-07-03,1449,1430,1457,1426
2019-07-04,1434,1430,1434,1420
2019-07-05,1430,1427,1439,1423
2019-07-08,1429,1432,1434,1425
2019-07-09,1431,1447,1455,1431
2019-07-10,1446,1424,1447,1416
2019-07-11,1426,1424,1433,1420
2019-07-12,1424,1414,1428,1402
2019-07-15,1414,1423,1423,1403
2019-07-16,1420,1425,1434,1417
2019-07-17,1426,1434,1435,1418
2019-07-18,1434,1434,1439,1424
2019-07-19,1434,1451,1452,1431
2019-07-22,1450,1426,1453,1425
2019-07-23,1426,1430,1431,1415
2019-07-24,1427,1439,1441,1418
2019-07-25,1439,1439,1446,1434
2019-07-26,1440,1444,1445,1434
2019-07-29,1442,1421,1445,1420
2019-07-30,1421,1422,1430,1420
2019-07-31,1422,1417,1430,1415
2019-08-01,1417,1417,1424,1412
2019-08-02,1416,1392,1417,1388
2019-08-05,1390,1412,1422,1389
2019-08-06,1414,1416,1420,1409
2019-08-07,1410,1377,1413,1372
2019-08-08,1379,1377,1396,1367
2019-08-09,1484,1486,1490,1478
2019-08-12,1487,1492,1495,1483
2019-08-13,1494,1490,1495,1487
2019-08-14,1491,1493,1495,1490
2019-08-15,1491,1504,1505,1491
2019-08-16,1506,1514,1516,1504
2019-08-19,1514,1510,1515,1504
2019-08-20,1511,1507,1512,1506
2019-08-21,1506,1507,1510,1499
2019-08-22,1505,1512,1516,1505
2019-08-23,1516,1522,1525,1511
2019-08-26,1517,1521,1526,1517
2019-08-27,1520,1522,1527,1520
2019-08-28,1525,1524,1525,1516
2019-08-29,1522,1526,1528,1522
2019-08-30,1527,1530,1535,1525
2019-09-02,1533,1533,1535,1524
2019-09-03,1351,1351,1358,1348
2019-09-04,1349,1370,1371,1344
2019-09-05,1371,1367,1376,1366
2019-09-06,1367,1366,1374,1365
2019-09-09,1367,1379,1387,1365
2019-09-10,1385,1380,1385,1376
2019-09-11,1381,1382,1390,1379
2019-09-12,1384,1407,1432,1383
2019-09-16,1412,1417,1424,1405
2019-09-17,1416,1409,1416,1396
2019-09-18,1409,1410,1417,1405
2019-09-19,1412,1401,1413,1397
2019-09-20,1403,1390,1408,1386
2019-09-23,1395,1397,1399,1383
2019-09-24,1398,1373,1402,1366
2019-09-25,1373,1378,1380,1370
2019-09-26,1377,1394,1400,1372
2019-09-27,1398,1406,1410,1394
2019-09-30,1403,1415,1417,1398
2019-10-08,1410,1412,1414,1389
2019-10-09,1408,1403,1411,1396
2019-10-10,1405,1408,1425,1395
2019-10-11,1418,1413,1418,1405
2019-10-14,1414,1407,1416,1404
2019-10-15,1409,1409,1410,1400
2019-10-16,1410,1405,1416,1401
2019-10-17,1407,1388,1407,1388
2019-10-18,1384,1415,1419,1381
2019-10-21,1421,1435,1440,1403
2019-10-22,1436,1424,1437,1413
2019-10-23,1424,1426,1434,1420
2019-10-24,1429,1426,1430,1420
2019-10-25,1428,1426,1430,1415
2019-10-28,1426,1421,1427,1418
2019-10-29,1420,1422,1426,1416
2019-10-30,1422,1423,1426,1417
2019-10-31,1423,1428,1435,1420
2019-11-01,1425,1433,1436,1424
2019-11-04,1437,1420,1437,1420
2019-11-05,1417,1423,1425,1416
2019-11-06,1426,1419,1429,1418
2019-11-07,1418,1425,1429,1418
2019-11-08,1428,1430,1430,1423
2019-11-11,1431,1404,1432,1391
2019-11-12,1403,1397,1407,1393
2019-11-13,1398,1394,1410,1380
2019-11-14,1393,1421,1421,1390
2019-11-15,1422,1417,1428,1416
2019-11-18,1418,1413,1419,1402
2019-11-19,1414,1408,1418,1406
