Date,Open,Close,High,Low
2021-01-08,29500,26810,30680,26385
2021-01-11,26225,26030,26720,26030
2021-01-12,25760,25560,26210,25205
2021-01-13,25830,25870,26350,25715
2021-01-14,25805,24890,26155,24860
2021-01-15,25155,24725,25155,24460
2021-01-18,24825,25140,25780,24805
2021-01-19,25185,25025,25390,24880
2021-01-20,25005,24910,25090,24500
2021-01-21,24910,24870,25185,24800
2021-01-22,24860,24565,25045,24530
2021-01-25,24510,24930,25300,24510
2021-01-26,25100,25555,25770,24925
2021-01-27,25610,25275,25645,25200
2021-01-28,25150,25190,25535,25020
2021-01-29,25295,25570,25620,25280
2021-02-01,25600,25685,25970,25420
2021-02-02,25700,25380,26040,25300
2021-02-03,25300,25315,25555,25210
2021-02-04,25325,25445,25485,25250
2021-02-05,25500,26170,26175,25500
2021-02-08,26225,26900,27400,26225
2021-02-09,26900,26845,27110,26400
2021-02-10,26845,26705,26870,26500
2021-02-18,27000,27000,27100,26525
2021-02-19,27100,28330,28390,27055
2021-02-22,28350,29380,29430,28115
2021-02-23,29350,28980,29380,28050
2021-02-24,29600,28900,29805,28600
2021-02-25,29000,28915,29140,28630
2021-02-26,28800,28970,29325,28440
2021-03-01,29430,29185,29435,28800
2021-03-02,29150,28750,29250,28500
2021-03-03,28945,28785,29000,28510
2021-03-04,28745,28845,29115,28550
2021-03-05,28865,28400,28880,27000
2021-03-08,28550,28545,28900,28400
2021-03-09,28465,27900,28615,27820
2021-03-10,27880,28050,28300,27200
2021-03-11,28000,28595,28755,27805
2021-03-12,28880,28750,28885,28485
2021-03-15,28785,28405,28995,28280
2021-03-16,28370,28450,28695,28120
2021-03-17,28390,28610,28760,28310
2021-03-18,28470,28470,28630,28365
2021-03-19,28205,28505,28600,28135
2021-03-22,28455,28250,28470,27935
2021-03-23,28280,28135,28325,27960
2021-03-24,28000,28000,28190,27850
2021-03-25,27850,27520,27980,27520
2021-03-26,27500,27215,27570,27215
2021-03-29,27000,26555,27030,26520
2021-03-30,26480,27030,27230,26310
2021-03-31,26870,26985,27130,26655
2021-04-01,27110,27940,27995,26870
2021-04-02,27940,27660,27940,27535
2021-04-06,27230,27120,27495,27060
2021-04-07,27050,26810,27120,26665
2021-04-08,26740,26920,27320,26615
2021-04-09,26995,26610,27070,26465
2021-04-12,26830,27095,27345,26815
2021-04-13,27300,27605,27640,27120
2021-04-14,27365,27425,27700,27350
2021-04-15,27280,27190,27495,27150
2021-04-16,27000,26920,27150,26785
2021-04-19,26900,27180,27245,26800
2021-04-20,27180,27110,27480,27110
2021-04-21,26995,27170,27180,26755
2021-04-22,27155,27195,27330,27050
2021-04-23,27195,27720,27990,27195
2021-04-26,27680,27370,27680,27330
2021-04-27,27400,27035,27440,26660
2021-04-28,26875,27250,27355,26850
2021-04-29,27210,27320,27385,27075
2021-04-30,27320,27290,27480,27200
2021-05-06,27000,26700,27160,26405
2021-05-07,26700,26900,26945,26485
2021-05-10,26700,25005,26750,24975
2021-05-11,24960,24950,25180,24750
2021-05-12,25000,25255,25500,25000
2021-05-13,25210,25020,25250,24710
2021-05-14,25020,24970,25130,24420
2021-05-17,24900,24940,25000,24800
2021-05-18,24940,24585,25090,24500
2021-05-19,24515,23550,24515,23550
2021-05-20,23400,23565,23870,23080
2021-05-21,23500,23890,24200,23380
2021-05-24,23880,23940,24050,23430
2021-05-25,24050,23895,24300,23620
2021-05-26,23760,23120,23760,23100
2021-05-27,23000,22445,23000,22400
2021-05-28,22425,22485,23395,22425
2021-05-31,22410,22245,22695,22035
2021-06-01,22360,22025,22520,22000
2021-06-02,21980,21525,22190,21435
2021-06-03,21500,20640,21500,20170
2021-06-04,20500,19870,20500,19830
2021-06-07,19670,20025,20355,19310
2021-06-08,20200,19770,20395,19735
2021-06-09,19620,20215,20670,19555
2021-06-10,20050,19935,20440,19860
2021-06-11,19930,19795,20150,19730
2021-06-15,19310,18810,19495,18550
2021-06-16,18810,18970,19270,18800
2021-06-17,18890,18465,19150,18400
2021-06-18,18200,17600,18415,17600
2021-06-21,17400,16735,17490,16710
2021-06-22,16690,17040,17280,16675
2021-06-23,17100,18160,18165,17100
2021-06-24,18200,17840,18350,17665
2021-06-25,17980,18925,18940,17980
2021-06-28,19600,18925,19800,18620
2021-06-29,18820,19240,19285,18820
2021-06-30,19200,19370,19480,19065
2021-07-01,19480,18890,19615,18730
2021-07-02,18980,18580,18980,18435
2021-07-05,18800,18745,19105,18620
2021-07-06,18800,18985,19045,18740
2021-07-07,18900,18625,19100,18340
2021-07-08,18700,18865,18950,18510
2021-07-09,19000,19165,19200,18850
2021-07-12,19000,18760,19000,18730
2021-07-13,18760,18270,18825,18210
2021-07-14,18260,18210,18385,17905
2021-07-15,18080,18120,18275,17955
2021-07-16,18125,18400,18480,18075
2021-07-19,18500,18785,18895,18450
2021-07-20,18750,18840,19070,18700
2021-07-21,18950,18740,19050,18600
2021-07-22,18700,18375,18700,18375
2021-07-23,18300,18295,18485,18050
2021-07-26,18500,18460,18600,18200
2021-07-27,18385,18390,18520,18310
2021-07-28,18520,18430,18520,18335
2021-07-29,18500,18600,18750,18445
2021-07-30,18645,18765,18900,18645
2021-08-02,18585,18160,18600,17855
2021-08-03,18050,17785,18255,17705
2021-08-04,17785,17440,18030,17435
2021-08-05,17400,17400,17520,17215
2021-08-06,17260,17550,17600,17260
2021-08-09,17700,17365,17930,17325
2021-08-10,17320,17025,17450,17005
2021-08-11,16990,17085,17150,16830
2021-08-12,17000,17055,17195,16870
2021-08-13,17000,16720,17080,16680
2021-08-16,16800,16160,16880,16140
2021-08-17,16160,16075,16260,15955
2021-08-18,16035,15995,16225,15965
2021-08-19,17600,17360,17600,17260
2021-08-20,17370,17775,17945,17310
2021-08-23,17500,17000,17580,16955
2021-08-24,17000,16895,17055,16740
2021-08-25,16895,16985,17065,16800
2021-08-26,16940,17140,17250,16940
2021-08-27,17150,17175,17250,17005
2021-08-30,17080,16430,17080,16415
2021-08-31,16645,16760,16940,16620
2021-09-01,16800,16565,16900,16300
2021-09-02,16540,16085,16675,16040
2021-09-03,16045,16090,16300,15880
2021-09-06,16050,15965,16180,15770
2021-09-07,16040,15910,16160,15850
2021-09-08,15900,15585,15980,15575
2021-09-09,15500,14995,15500,14955
2021-09-10,14875,15070,15245,14765
2021-09-13,15055,14575,15055,14550
2021-09-14,14640,14385,14695,14365
2021-09-15,14335,14110,14480,14105
2021-09-16,14145,14580,14845,13760
2021-09-17,14545,14175,14750,14135
2021-09-22,13900,13685,14060,13530
2021-09-23,13675,13600,13870,13450
2021-09-24,13500,13670,13785,13365
2021-09-27,13580,14360,14400,13540
2021-09-28,14380,13920,14565,13900
2021-09-29,13920,13870,14100,13660
2021-09-30,13810,13880,14125,13725
2021-10-08,14005,14225,14335,13920
2021-10-11,14500,15285,15285,14375
2021-10-12,15500,15290,15780,15030
2021-10-13,15600,15410,15970,14845
2021-10-14,15400,14685,15480,14680
2021-10-15,14700,15175,15230,14685
2021-10-18,15990,15845,16220,15590
2021-10-19,15835,16375,16455,15600
2021-10-20,16350,16225,16600,15695
2021-10-21,16150,15815,16480,15700
2021-10-22,15820,16325,16350,15820
2021-10-25,17460,17185,17470,16860
2021-10-26,17015,17320,17330,16800
2021-10-27,17320,17495,17620,17010
2021-10-28,17495,17385,17670,16895
2021-10-29,17405,16705,17530,16675
2021-11-01,16880,15885,16885,15850
2021-11-02,15880,16205,16320,15610
2021-11-03,16200,16245,16450,16100
2021-11-04,16315,16705,16750,16010
2021-11-05,16715,16675,16830,16410
2021-11-08,16760,16245,17020,16165
2021-11-09,16300,16155,16385,15910
2021-11-10,16150,16200,16320,15940
2021-11-11,16230,15915,16230,15900
2021-11-12,15860,16250,16255,15760
2021-11-15,16500,16725,16830,16440
2021-11-16,16730,16280,16850,16240
2021-11-17,16205,16095,16300,16050
2021-11-18,16085,16240,16300,16030
2021-11-19,16240,16490,16490,16205
2021-11-22,16600,16200,16625,16155
2021-11-23,16220,16315,16450,16205
2021-11-24,16390,16560,16570,16360
2021-11-25,16605,16820,16850,16560
2021-11-26,16825,16725,16950,16580
2021-11-29,16400,16080,16400,16050
2021-11-30,16000,16105,16255,15890
2021-12-01,16195,16215,16320,16105
2021-12-02,16190,15685,16190,15650
2021-12-03,15695,15455,15840,15390
2021-12-06,15440,15220,15590,15115
2021-12-07,15195,14965,15340,14895
2021-12-08,14965,14680,15040,14560
2021-12-09,14680,14775,14960,14565
2021-12-10,14775,14870,14950,14585
2021-12-13,14090,14410,14475,13925
2021-12-14,14350,14260,14550,14190
2021-12-15,14300,14300,14420,14225
2021-12-16,14395,14350,14450,14300
2021-12-17,14340,14190,14480,14015
2021-12-20,14150,14045,14215,14045
2021-12-21,14000,14220,14320,13920
2021-12-22,14250,14075,14300,14050
2021-12-23,14100,14500,14520,14070
2021-12-24,14550,14580,14760,14440
2021-12-27,14620,14490,14860,14460
2021-12-28,14550,14605,14675,14350
2021-12-29,14650,14535,14660,14495
2021-12-30,14535,14445,14600,14380
2021-12-31,14450,14450,14555,14350
2022-01-04,14320,14165,14425,14140
2022-01-05,14165,14245,14360,14120
2022-01-06,14250,14075,14310,14050
2022-01-07,14150,13915,14180,13850
2022-01-10,13670,13510,13785,13400
2022-01-11,13480,13665,13740,13425
2022-01-12,13690,13755,13900,13680
2022-01-13,13760,13710,13845,13660
2022-01-14,13660,13760,13870,13580
2022-01-17,13785,13790,13975,13735
2022-01-18,13790,13890,13955,13790
2022-01-19,13910,13785,14045,13760
2022-01-20,13885,13830,13935,13775
2022-01-21,13920,13850,13965,13810
2022-01-24,13750,13505,13750,13500
2022-01-25,13515,13535,13600,13460
2022-01-26,13500,13465,13585,13410
2022-01-27,13485,13240,13565,13205
2022-01-28,13295,13425,13500,13240
2022-02-07,13500,13705,13950,13335
2022-02-08,14700,14790,14965,14530
2022-02-09,14760,14575,14885,14560
2022-02-10,14575,14630,14700,14370
2022-02-11,14575,14715,14850,14505
2022-02-14,14700,14485,14805,14400
2022-02-15,14430,14175,14485,14155
2022-02-16,14175,14355,14425,14115
2022-02-17,14380,14340,14480,14290
2022-02-18,14365,14190,14400,14165
2022-02-21,14210,13950,14320,13925
2022-02-22,13965,13835,14015,13780
2022-02-23,13835,13950,14115,13835
2022-02-24,13950,14195,14200,13885
2022-02-25,14150,14260,14330,14080
2022-02-28,14300,14275,14500,14180
2022-03-01,14350,14080,14450,14040
2022-03-02,14150,14135,14285,14085
2022-03-03,14180,13870,14185,13860
2022-03-04,13880,13890,14000,13790
2022-03-07,13795,13385,13795,13375
2022-03-08,13530,13290,13545,13210
2022-03-09,13315,13420,13580,13295
2022-03-10,13430,13320,13620,13310
2022-03-11,13295,13130,13390,13080
2022-03-14,13010,12840,13110,12810
2022-03-15,12815,12810,12960,12720
2022-03-16,12810,12625,12910,12595
2022-03-17,12600,12630,12660,12530
2022-03-18,12620,12650,12830,12590
2022-03-21,12750,13115,13170,12720
2022-03-22,13200,12935,13235,12900
2022-03-23,12950,12805,13010,12800
2022-03-24,12820,12850,12945,12760
2022-03-25,12880,12705,12935,12625
2022-03-28,12670,12645,12730,12565
2022-03-29,12690,12990,13060,12680
2022-03-30,13060,12895,13060,12820
2022-03-31,12900,13005,13160,12880
2022-04-01,13100,12955,13200,12750
2022-04-06,12955,12745,13000,12705
2022-04-07,12740,12775,12825,12645
2022-04-08,12750,12675,12850,12615
2022-04-11,12650,12525,12750,12360
2022-04-12,12540,12695,12780,12540
2022-04-13,12750,12750,12790,12635
2022-04-14,12800,12695,12850,12615
2022-04-15,12700,12660,12765,12630
2022-04-18,12900,13400,13580,12900
2022-04-19,18000,18030,18320,17920
2022-04-20,18100,17855,18440,17750
2022-04-21,17750,17800,18080,17650
2022-04-22,17730,18030,18080,17605
2022-04-25,18500,18430,18680,18195
