Date,Open,Close,High,Low
2013-07-05,2602,2596,2602,2593
2013-07-08,2598,2587,2599,2585
2013-07-09,2588,2586,2589,2573
2013-07-10,2588,2619,2635,2584
2013-07-11,2629,2628,2639,2618
2013-07-12,2627,2660,2674,2626
2013-07-15,2655,2636,2658,2634
2013-07-16,2635,2615,2641,2611
2013-07-18,2636,2648,2669,2630
2013-07-19,2646,2664,2668,2641
2013-07-22,2673,2664,2680,2660
2013-07-23,2671,2665,2677,2653
2013-07-24,2666,2666,2669,2650
2013-07-25,2661,2666,2672,2658
2013-07-26,2664,2675,2675,2661
2013-07-29,2686,2699,2701,2677
2013-07-30,2695,2721,2728,2688
2013-07-31,2726,2770,2786,2724
2013-08-01,2773,2775,2797,2762
2013-08-02,2778,2769,2786,2751
2013-08-05,2774,2751,2785,2740
2013-08-06,2746,2762,2770,2745
2013-08-07,2770,2767,2805,2761
2013-08-08,2759,2722,2767,2722
2013-08-09,2718,2739,2752,2712
2013-08-12,2752,2750,2765,2743
2013-08-13,2756,2775,2780,2756
2013-08-14,2794,2782,2798,2767
2013-08-15,2782,2783,2788,2776
2013-08-16,2777,2806,2810,2776
2013-08-19,2824,2852,2876,2818
2013-08-20,2919,2897,2920,2895
2013-08-21,2896,2846,2898,2843
2013-08-22,2850,2848,2864,2826
2013-08-23,2850,2832,2860,2830
2013-08-26,2839,2823,2841,2805
2013-08-27,2833,2834,2866,2824
2013-08-28,2831,2849,2857,2815
2013-08-29,2861,2826,2899,2825
2013-08-30,2829,2813,2829,2795
2013-09-02,2804,2806,2815,2796
2013-09-03,2810,2812,2828,2802
2013-09-04,2818,2810,2828,2804
2013-09-05,2815,2808,2816,2805
2013-09-06,2800,2827,2827,2800
2013-09-09,2827,2826,2847,2812
2013-09-10,2835,2839,2843,2825
2013-09-11,2831,2868,2872,2831
2013-09-12,2870,2874,2890,2861
2013-09-13,2871,2861,2877,2861
2013-09-16,2867,2870,2874,2851
2013-09-17,2876,2842,2879,2840
2013-09-18,2829,2861,2863,2829
2013-09-19,2861,2883,2894,2857
2013-09-20,2861,2883,2894,2861
2013-09-23,2861,2883,2894,2857
2013-09-24,2899,2937,2955,2886
2013-09-25,2950,2931,2957,2930
2013-09-26,2936,2935,2938,2908
2013-09-27,2928,2928,2949,2927
2013-09-30,2929,2920,2930,2908
2013-10-01,2916,2851,2917,2848
2013-10-09,2843,2837,2858,2832
2013-10-10,2835,2826,2848,2818
2013-10-11,2828,2823,2830,2810
2013-10-14,2829,2813,2842,2813
2013-10-15,2816,2825,2825,2800
2013-10-16,2829,2823,2837,2819
2013-10-17,2824,2822,2827,2820
2013-10-18,2831,2818,2845,2813
2013-10-21,2818,2815,2820,2808
2013-10-22,2809,2814,2821,2809
2013-10-23,2813,2748,2816,2747
2013-10-24,2754,2758,2768,2743
2013-10-25,2750,2781,2794,2747
2013-10-28,2784,2760,2787,2750
2013-10-29,2765,2794,2801,2764
2013-10-30,2798,2818,2819,2792
2013-10-31,2818,2846,2846,2806
2013-11-01,2841,2843,2847,2836
2013-11-04,2836,2837,2850,2810
2013-11-05,2840,2841,2849,2829
2013-11-06,2833,2871,2878,2832
2013-11-07,2870,2871,2881,2870
2013-11-08,2865,2858,2873,2858
2013-11-11,2856,2840,2860,2835
2013-11-12,2844,2891,2894,2844
2013-11-13,2895,2902,2904,2877
2013-11-14,2903,2902,2903,2891
2013-11-15,2902,2943,2945,2895
2013-11-18,2942,2923,2955,2921
2013-11-19,2929,2989,2990,2928
2013-11-20,2986,2992,2994,2971
2013-11-21,2992,3027,3032,2990
2013-11-22,3027,3045,3049,3018
2013-11-25,3051,3147,3153,3044
2013-11-26,3160,3143,3175,3128
2013-11-27,3143,3140,3151,3113
2013-11-28,3140,3143,3175,3124
2013-11-29,3155,3137,3156,3134
2013-12-02,3140,3149,3154,3117
2013-12-03,3153,3162,3177,3133
2013-12-04,3169,3269,3282,3158
2013-12-05,3290,3298,3309,3272
2013-12-06,3310,3334,3337,3288
2013-12-09,3333,3444,3444,3325
2013-12-10,3460,3595,3595,3460
2013-12-11,3373,3360,3404,3333
2013-12-12,3360,3247,3364,3228
2013-12-13,3248,3232,3290,3212
2013-12-16,3217,3244,3266,3196
2013-12-17,3240,3159,3253,3136
2013-12-18,3158,3093,3167,3090
2013-12-19,3094,3100,3115,3065
2013-12-20,3110,3098,3125,3086
2013-12-23,3100,3073,3106,3049
2013-12-24,3078,3044,3095,3030
2013-12-25,3044,3040,3055,3012
2013-12-26,3047,3053,3063,3027
2013-12-27,3056,3016,3068,3016
2013-12-30,3018,3003,3028,2995
2013-12-31,2990,3009,3023,2985
2014-01-01,3003,2995,3045,2995
2014-01-02,3003,2995,3045,2995
2014-01-03,2990,2916,2995,2903
2014-01-06,2901,2884,2911,2869
2014-01-07,2880,2898,2920,2865
2014-01-08,2890,2881,2890,2871
2014-01-09,2882,2899,2905,2865
2014-01-10,2895,2887,2930,2885
2014-01-13,2880,2917,2926,2870
2014-01-14,2921,2929,2958,2919
2014-01-15,2928,2970,2971,2928
2014-01-16,2972,2970,2983,2950
2014-01-17,2973,2954,2983,2951
2014-01-20,2950,2913,2951,2881
2014-01-21,2912,2928,2950,2900
2014-01-22,2925,2938,2946,2913
2014-01-23,2940,2933,2952,2926
2014-01-24,2930,2933,2940,2906
2014-01-27,2926,2954,2954,2918
2014-01-28,2955,2947,2965,2937
2014-01-29,2935,2911,2950,2910
2014-01-30,2910,2943,2946,2899
2014-01-31,2947,2933,2947,2926
2014-02-03,2947,2933,2947,2926
2014-02-10,2947,2950,2954,2936
2014-02-11,2960,3062,3062,2958
2014-02-12,3075,3043,3122,3040
2014-02-13,3052,3058,3088,3028
2014-02-14,3056,3049,3075,3038
2014-02-17,3054,3066,3071,3041
2014-02-18,3073,3082,3109,3066
2014-02-19,3080,3023,3095,3010
2014-02-20,3038,3035,3047,3017
2014-02-21,3028,3009,3033,2986
2014-02-24,3010,2966,3015,2965
2014-02-25,2956,2873,2956,2873
2014-02-26,2812,2792,2843,2745
2014-02-27,2794,2753,2798,2727
2014-02-28,2740,2761,2782,2737
2014-03-03,2751,2757,2778,2751
2014-03-04,2751,2709,2774,2699
2014-03-05,2706,2772,2779,2706
2014-03-06,2775,2785,2800,2745
2014-03-07,2777,2765,2785,2761
2014-03-10,2766,2740,2786,2724
2014-03-11,2700,2700,2734,2645
2014-03-12,2698,2741,2783,2698
2014-03-13,2715,2705,2745,2690
2014-03-14,2697,2690,2704,2640
2014-03-17,2676,2637,2682,2624
2014-03-18,2620,2587,2624,2585
2014-03-19,2585,2592,2610,2560
2014-03-20,2586,2566,2607,2565
2014-03-21,2580,2551,2586,2545
2014-03-24,2540,2543,2560,2535
2014-03-25,2545,2572,2602,2537
2014-03-26,2569,2621,2659,2568
2014-03-27,2617,2635,2641,2604
2014-03-28,2634,2617,2659,2615
2014-03-31,2620,2642,2646,2617
2014-04-01,2664,2711,2742,2661
2014-04-02,2721,2716,2738,2712
2014-04-03,2720,2691,2732,2660
2014-04-04,2686,2668,2696,2662
2014-04-07,2753,2804,2806,2750
2014-04-09,2796,2770,2824,2762
2014-04-10,2776,2707,2779,2705
2014-04-11,2710,2722,2736,2684
2014-04-14,2720,2702,2730,2692
