Date,Open,Close,High,Low
2006-01-09,6011,6052,6111,5961
2006-01-10,6050,6031,6067,6014
2006-01-11,5998,6056,6061,5961
2006-01-12,6061,6021,6066,6000
2006-01-13,6011,5979,6016,5975
2006-01-16,5976,5943,5989,5939
2006-01-17,6018,6144,6145,6005
2006-01-18,6144,6158,6184,6133
2006-01-19,6195,6301,6329,6172
2006-01-20,6311,6336,6411,6293
2006-01-23,6423,6512,6515,6421
2006-01-24,6667,6667,6667,6667
2006-01-25,6801,6989,6989,6761
2006-01-26,6981,7023,7122,6897
2006-01-27,7052,7245,7248,6991
2006-01-30,7359,7341,7359,7261
2006-02-07,7557,7557,7557,7531
2006-02-08,7421,7306,7421,7306
2006-02-09,7015,7015,7029,7015
2006-02-10,6936,6961,7191,6811
2006-02-13,6779,6779,6896,6779
2006-02-14,6691,6619,6739,6586
2006-02-15,6681,6744,6756,6668
2006-02-16,6731,6712,6781,6697
2006-02-17,6701,6675,6744,6664
2006-02-20,6908,6842,6933,6778
2006-02-21,6848,6889,6927,6837
2006-02-22,6942,7012,7021,6846
2006-02-23,7011,7078,7124,6977
2006-02-24,7161,6991,7191,6977
2006-02-27,6860,6861,6941,6860
2006-02-28,6906,6742,6906,6741
2006-03-01,6604,6604,6643,6604
2006-03-02,6661,6461,6700,6451
2006-03-03,6441,6587,6604,6436
2006-03-06,6592,6641,6646,6566
2006-03-07,6660,6633,6697,6592
2006-03-08,6685,6540,6708,6523
2006-03-09,6511,6428,6527,6411
2006-03-10,6363,6462,6479,6334
2006-03-13,6411,6417,6469,6371
2006-03-14,6459,6420,6459,6401
2006-03-15,6443,6374,6448,6363
2006-03-16,6359,6366,6408,6348
2006-03-17,6381,6454,6458,6361
2006-03-20,6439,6530,6546,6415
2006-03-21,6501,6392,6561,6367
2006-03-22,6411,6421,6453,6364
2006-03-23,6469,6521,6540,6466
2006-03-24,6480,6457,6490,6431
2006-03-27,6230,6303,6309,6230
2006-03-28,6374,6380,6409,6339
2006-03-29,6424,6355,6438,6346
2006-03-30,6416,6415,6476,6393
2006-03-31,6421,6361,6424,6359
2006-04-03,6371,6382,6394,6337
2006-04-04,6338,6222,6351,6201
2006-04-05,6261,6275,6296,6233
2006-04-06,6223,6133,6235,6090
2006-04-07,6139,6151,6171,6109
2006-04-10,6141,6127,6161,6116
2006-04-11,6029,5955,6046,5948
2006-04-12,5931,5981,5987,5929
2006-04-13,5979,6048,6061,5964
2006-04-14,6009,5897,6009,5885
2006-04-17,5866,5829,5882,5822
2006-04-18,5806,5882,5896,5739
2006-04-19,5926,6009,6009,5879
2006-04-20,6208,6186,6211,6131
2006-04-21,6122,6071,6137,6066
2006-04-24,5971,5928,5991,5906
2006-04-25,5983,6080,6146,5983
2006-04-26,5978,6013,6077,5961
2006-04-27,5961,6049,6061,5943
2006-04-28,6060,6084,6101,6041
2006-05-01,6068,6089,6091,6044
2006-05-09,6119,6074,6158,6061
2006-05-10,6071,6105,6137,6059
2006-05-11,6178,6147,6178,6135
2006-05-12,6141,6350,6350,6133
2006-05-15,6401,6334,6564,6261
2006-05-16,6351,6568,6611,6351
2006-05-17,6311,6271,6436,6271
2006-05-18,6341,6290,6373,6191
2006-05-19,6211,6147,6237,6141
2006-05-22,5997,6030,6070,5991
2006-05-23,6051,6069,6121,6033
2006-05-24,6111,6192,6239,6111
2006-05-25,6299,6219,6321,6211
2006-05-26,6139,6117,6166,6075
2006-05-29,6141,6186,6194,6138
2006-05-30,6092,6157,6165,6070
2006-05-31,6163,6097,6214,6091
2006-06-01,6125,6087,6150,6086
2006-06-02,5951,5923,5993,5923
2006-06-05,5897,5938,5941,5822
2006-06-06,5986,5955,5990,5920
2006-06-07,5961,5872,5967,5870
2006-06-08,5832,5841,5866,5791
2006-06-09,5891,5831,5901,5826
2006-06-12,5788,5771,5806,5756
2006-06-13,5791,5704,5801,5691
2006-06-14,5672,5576,5681,5576
2006-06-15,5423,5506,5516,5354
2006-06-16,5490,5449,5541,5401
2006-06-19,5541,5515,5581,5479
2006-06-20,5491,5378,5491,5371
2006-06-21,5311,5439,5447,5286
2006-06-22,5511,5486,5526,5452
2006-06-23,5609,5616,5636,5576
2006-06-26,5548,5511,5565,5511
2006-06-27,5490,5607,5623,5477
2006-06-28,5669,5569,5682,5541
2006-06-29,5511,5512,5567,5503
2006-06-30,5531,5479,5544,5470
2006-07-03,5522,5583,5587,5516
2006-07-04,5598,5566,5599,5550
2006-07-05,5591,5505,5610,5494
2006-07-06,5492,5483,5517,5449
2006-07-07,5547,5582,5610,5505
2006-07-10,5611,5539,5625,5538
2006-07-11,5496,5439,5506,5434
2006-07-12,5391,5457,5470,5362
2006-07-13,5450,5447,5461,5424
2006-07-14,5394,5429,5436,5394
2006-07-17,5447,5459,5460,5431
2006-07-18,5411,5399,5433,5386
2006-07-19,5351,5325,5360,5307
2006-07-20,5326,5306,5349,5286
2006-07-21,5266,5201,5285,5199
2006-07-24,5181,5221,5229,5158
2006-07-25,5220,5171,5229,5169
2006-07-26,5196,5175,5204,5163
2006-07-27,5137,5181,5209,5136
2006-07-28,5166,5181,5204,5149
2006-07-31,5161,5199,5200,5156
2006-08-01,5203,5278,5285,5202
2006-08-02,5271,5188,5277,5183
2006-08-03,5199,5203,5231,5186
2006-08-04,5166,5141,5183,5129
2006-08-07,5130,5145,5161,5128
2006-08-08,5151,5053,5153,5050
2006-08-09,5041,5143,5158,5035
2006-08-10,5135,5117,5176,5081
2006-08-11,5110,5112,5141,5092
2006-08-14,5083,5044,5114,5042
2006-08-15,4991,4925,4991,4925
2006-08-16,4753,4799,4867,4753
2006-08-17,4821,4806,4845,4804
2006-08-18,4787,4822,4832,4787
2006-08-21,4781,4869,4870,4781
2006-08-22,4859,4744,4861,4737
2006-08-23,4757,4730,4773,4704
2006-08-24,4732,4671,4753,4654
2006-08-25,4711,4694,4716,4650
2006-08-28,4678,4694,4699,4665
2006-08-29,4706,4681,4726,4673
2006-08-30,4669,4594,4675,4591
2006-08-31,4581,4566,4597,4539
2006-09-01,4536,4583,4596,4521
2006-09-04,4613,4687,4687,4608
2006-09-05,4681,4654,4756,4620
2006-09-06,4673,4696,4738,4647
2006-09-07,4706,4681,4723,4652
2006-09-08,4692,4686,4706,4669
2006-09-11,4671,4781,4788,4626
2006-09-12,4829,4709,4837,4685
2006-09-13,4679,4662,4714,4655
2006-09-14,4656,4649,4685,4612
2006-09-15,4741,4735,4756,4699
2006-09-18,4691,4743,4758,4679
2006-09-19,4761,4822,4822,4752
2006-09-20,4811,4877,4887,4782
2006-09-21,4850,4745,4877,4744
2006-09-22,4757,4778,4810,4731
2006-09-25,4710,4730,4757,4706
2006-09-26,4595,4635,4663,4595
2006-09-27,4629,4689,4689,4620
2006-09-28,4688,4677,4700,4663
2006-09-29,4673,4648,4679,4633
2006-10-02,4666,4652,4676,4647
2006-10-10,4653,4727,4732,4649
2006-10-11,4733,4742,4778,4728
2006-10-12,4717,4726,4748,4715
2006-10-13,4721,4741,4747,4714
2006-10-16,4751,4805,4819,4750
2006-10-17,4823,4918,4918,4819
2006-10-18,4951,5000,5056,4898
2006-10-19,5034,4975,5076,4952
2006-10-20,4951,5023,5042,4932
2006-10-23,5026,5040,5044,4999
2006-10-24,5042,5172,5172,5033
2006-10-25,5219,5147,5228,5136
2006-10-26,5156,5079,5166,5077
2006-10-27,5091,5113,5163,5086
2006-10-30,5127,5136,5147,5095
2006-10-31,5130,5050,5135,5021
2006-11-01,5021,5043,5084,5003
2006-11-02,5063,5162,5184,5063
2006-11-03,5136,5134,5168,5107
2006-11-06,5143,5141,5176,5116
2006-11-07,5116,5080,5140,5074
2006-11-08,5123,5100,5134,5066
2006-11-09,5081,5087,5104,5056
2006-11-10,5121,5193,5206,5121
2006-11-13,5225,5227,5260,5202
2006-11-14,5201,5293,5295,5196
2006-11-15,5291,5240,5295,5232
2006-11-16,5271,5325,5331,5264
2006-11-17,5299,5321,5323,5267
2006-11-20,5265,5252,5286,5234
2006-11-21,5287,5179,5293,5174
2006-11-22,5196,5171,5198,5144
2006-11-23,5179,5180,5191,5146
2006-11-24,5161,5213,5228,5152
2006-11-27,5204,5202,5232,5187
2006-11-28,5210,5201,5224,5163
2006-11-29,5226,5238,5299,5220
2006-11-30,5261,5231,5285,5206
2006-12-01,5295,5271,5311,5261
2006-12-04,5249,5140,5250,5127
2006-12-05,5116,5083,5126,5064
2006-12-06,5046,5093,5110,5029
2006-12-07,5103,5055,5116,5042
2006-12-08,5026,5058,5069,5005
2006-12-11,5041,5065,5073,5031
2006-12-12,5077,5094,5106,5077
2006-12-13,5101,5097,5120,5087
2006-12-14,5078,5055,5086,5053
2006-12-15,5065,5092,5101,5042
2006-12-18,5095,5083,5095,5067
2006-12-19,5074,5070,5079,5051
2006-12-20,5097,5079,5108,5074
2006-12-21,5070,5083,5098,5064
2006-12-22,5071,5080,5091,5071
2006-12-25,5081,5052,5084,5043
2006-12-26,5041,5044,5056,5032
2006-12-27,5041,5054,5065,5026
2006-12-28,5041,5045,5060,5038
2006-12-29,5044,5052,5058,5041
2007-01-01,5059,5084,5091,5053
2007-01-05,5026,4960,5049,4959
2007-01-08,4961,4970,4983,4931
