Date,Open,Close,High,Low
2018-10-08,5098,5038,5098,5015
2018-10-09,5068,5102,5150,5059
2018-10-10,5111,5059,5144,5048
2018-10-11,5050,5006,5089,4982
2018-10-12,5020,5055,5055,5006
2018-10-15,5060,5062,5098,5048
2018-10-16,5091,5074,5131,5061
2018-10-17,5085,5105,5106,5040
2018-10-18,5109,5202,5222,5100
2018-10-19,5182,5226,5264,5177
2018-10-22,5215,5253,5294,5202
2018-10-23,5256,5214,5263,5197
2018-10-24,5220,5171,5241,5169
2018-10-25,5191,5240,5243,5188
2018-10-26,5244,5192,5263,5181
2018-10-29,5200,5138,5216,5131
2018-10-30,5157,5123,5167,5112
2018-10-31,5110,5125,5150,5096
2018-11-01,5120,5095,5158,5090
2018-11-02,5097,5069,5137,5053
2018-11-05,5085,5132,5139,5063
2018-11-06,5120,5108,5147,5093
2018-11-07,5112,5075,5136,5070
2018-11-08,5085,5089,5100,5043
2018-11-09,5086,5042,5100,5035
2018-11-12,5075,5045,5084,5020
2018-11-13,5087,4997,5089,4976
2018-11-14,4998,5001,5021,4985
2018-11-15,5002,5006,5016,4980
2018-11-16,5006,5017,5029,4998
2018-11-19,5029,4944,5036,4932
2018-11-20,4944,4914,4950,4889
2018-11-21,4924,4959,4965,4857
2018-11-22,4957,4938,4957,4914
2018-11-23,4943,4933,4979,4914
2018-11-26,4918,4928,4953,4894
2018-11-27,4925,4962,4984,4923
2018-11-28,4960,4964,4977,4932
2018-11-29,4971,4939,4992,4928
2018-11-30,4951,4927,4960,4905
2018-12-03,4931,4948,4958,4906
2018-12-04,4946,4929,4964,4891
2018-12-05,4935,4939,4941,4911
2018-12-06,4944,4937,4949,4922
2018-12-07,4930,4972,4973,4923
2018-12-10,4968,4952,4980,4944
2018-12-11,4948,4912,4952,4910
2018-12-12,4914,4953,4953,4914
2018-12-13,4953,4929,4958,4927
2018-12-14,4930,4982,4983,4930
2018-12-17,5011,5061,5063,4995
2018-12-18,5056,5054,5066,5030
2018-12-19,5046,5022,5049,5009
2018-12-20,5022,5023,5048,5018
2018-12-21,5022,4932,5022,4904
2018-12-24,4938,4877,4940,4875
2018-12-25,4875,4852,4898,4840
2018-12-26,4850,4857,4878,4848
2018-12-27,4858,4770,4880,4766
2018-12-28,4766,4727,4780,4701
2019-01-02,4696,4714,4745,4696
2019-01-03,4715,4711,4736,4700
2019-01-04,4730,4747,4750,4713
2019-01-07,4755,4773,4789,4742
2019-01-08,4775,4806,4810,4761
2019-01-09,4809,4813,4827,4797
2019-01-10,4810,4776,4833,4776
2019-01-11,4776,4783,4788,4765
2019-01-14,4780,4773,4800,4764
