Date,Open,Close,High,Low
2020-10-12,5798,5832,5832,5750
2020-10-13,5932,6042,6042,5900
2020-10-14,6054,6104,6138,5992
2020-10-15,6126,6266,6270,6112
2020-10-16,6224,6454,6454,6224
2020-10-19,6462,6596,6596,6432
2020-10-20,6602,6564,6618,6482
2020-10-21,6536,6500,6586,6488
2020-10-22,6530,6274,6546,6274
2020-10-23,6252,6238,6314,6214
2020-10-26,6236,6254,6326,6228
2020-10-27,6218,6144,6286,6136
2020-10-28,6150,6178,6206,6126
2020-10-29,6130,6058,6176,6052
2020-10-30,6008,6016,6102,5990
2020-11-02,6010,6094,6172,6008
2020-11-03,6118,6076,6162,6074
2020-11-04,6110,6066,6114,6026
2020-11-05,6080,5982,6100,5966
2020-11-06,5990,5888,6004,5854
2020-11-09,5880,5902,5926,5858
2020-11-10,6038,6006,6124,5944
2020-11-11,6022,6066,6112,6002
2020-11-12,6080,6048,6136,6038
2020-11-13,6040,5956,6070,5934
2020-11-16,5904,5964,5990,5894
2020-11-17,5990,5968,6032,5940
2020-11-18,5960,6000,6024,5922
2020-11-19,6030,5994,6032,5974
2020-11-20,6000,6006,6050,5972
2020-11-23,6002,6040,6080,5990
2020-11-24,6048,6100,6108,6026
2020-11-25,6094,6100,6144,6066
2020-11-26,6100,6064,6130,6046
2020-11-27,6054,6096,6100,6040
2020-11-30,6104,6016,6130,6006
2020-12-01,6030,6030,6062,6012
2020-12-02,6036,5946,6052,5942
2020-12-03,5944,5988,6014,5908
2020-12-04,5990,6092,6098,5964
2020-12-07,6106,6248,6250,6072
2020-12-08,6244,6182,6286,6168
2020-12-09,6200,6192,6264,6150
2020-12-10,6198,6166,6240,6160
2020-12-11,6184,6228,6270,6160
2020-12-14,6222,6344,6362,6222
2020-12-15,6362,6278,6362,6200
2020-12-16,6290,6270,6312,6246
2020-12-17,6282,6338,6338,6268
2020-12-18,6338,6318,6392,6284
2020-12-21,6320,6266,6336,6208
2020-12-22,6266,6216,6304,6162
2020-12-23,6238,6226,6262,6130
2020-12-24,6260,6290,6290,6216
2020-12-25,6284,6304,6340,6262
2020-12-28,6322,6256,6328,6232
2020-12-29,6282,6184,6286,6162
2020-12-30,6186,6282,6282,6180
2020-12-31,6286,6422,6450,6252
2021-01-04,6400,6538,6560,6400
2021-01-05,6522,6594,6696,6514
2021-01-06,6610,6714,6746,6580
2021-01-07,6702,6848,6866,6666
2021-01-08,6844,6804,6910,6724
2021-01-11,6814,6572,6818,6548
2021-01-12,6576,6646,6662,6512
2021-01-13,6660,6726,6772,6626
2021-01-14,6712,6596,6738,6592
2021-01-15,6582,6576,6682,6546
2021-01-18,6576,6626,6652,6534
2021-01-19,6626,6644,6784,6602
2021-01-20,6656,6658,6712,6608
2021-01-21,6662,6614,6728,6610
2021-01-22,6614,6494,6656,6476
2021-01-25,6456,6512,6538,6456
2021-01-26,6512,6454,6580,6440
2021-01-27,6468,6538,6548,6440
2021-01-28,6508,6458,6546,6424
2021-01-29,6470,6618,6624,6466
2021-02-01,6632,6724,6766,6602
2021-02-02,6750,6748,6808,6710
2021-02-03,6782,6706,6832,6668
2021-02-04,6724,6792,6798,6690
2021-02-05,6786,6776,6820,6738
2021-02-08,6794,7004,7036,6790
2021-02-09,7008,7098,7118,6982
2021-02-10,7096,7144,7144,7040
2021-02-18,7350,7734,7734,7350
2021-02-19,7702,7594,7762,7490
2021-02-22,7594,8024,8078,7530
2021-02-23,7998,7968,8236,7908
2021-02-24,7970,8040,8142,7910
2021-02-25,8158,8506,8526,8070
2021-02-26,8508,8362,8578,8260
2021-03-01,8304,8046,8400,7928
2021-03-02,8016,7824,8062,7712
2021-03-03,7880,7788,7998,7726
2021-03-04,7836,7720,7840,7580
2021-03-05,7700,7780,7874,7616
2021-03-08,7832,7920,8090,7808
2021-03-09,7900,7600,7900,7600
2021-03-10,7640,7370,7684,7306
2021-03-11,7418,7578,7596,7354
2021-03-12,7578,7548,7692,7502
2021-03-15,7540,7436,7618,7384
2021-03-16,7394,7162,7468,7136
2021-03-17,7154,7228,7278,7114
2021-03-18,7172,7264,7286,7124
2021-03-19,7256,7014,7352,6954
2021-03-22,7018,7206,7248,6994
2021-03-23,7220,7208,7284,7136
2021-03-24,7108,7158,7230,7060
2021-03-25,7200,7018,7222,7014
2021-03-26,6982,6974,7014,6810
2021-03-29,6960,6838,7042,6828
2021-03-30,6880,6880,6938,6846
2021-03-31,6830,6870,6972,6824
2021-04-01,6802,6824,6866,6722
2021-04-02,6810,7018,7028,6810
2021-04-06,6976,7042,7076,6954
2021-04-07,7044,7010,7152,6938
2021-04-08,7000,6918,7046,6890
2021-04-09,6930,6834,6980,6830
2021-04-12,6836,6700,6862,6652
2021-04-13,6722,6654,6746,6624
2021-04-14,6652,6774,6794,6618
2021-04-15,6778,6908,6922,6778
2021-04-16,6908,6986,7012,6870
2021-04-19,7242,7172,7274,7124
2021-04-20,7178,7222,7290,7178
2021-04-21,7200,6992,7218,6946
2021-04-22,6946,7006,7070,6918
2021-04-23,7018,7128,7130,6960
2021-04-26,7128,6962,7180,6960
2021-04-27,6946,7016,7066,6866
2021-04-28,7016,7066,7078,6984
2021-04-29,7070,7238,7250,7058
2021-04-30,7272,7152,7350,7096
2021-05-06,7250,7332,7392,7178
2021-05-07,7332,7334,7438,7272
2021-05-10,7326,7316,7430,7258
2021-05-11,7316,7176,7336,7170
2021-05-12,7168,7336,7340,7148
2021-05-13,7338,7064,7402,7024
2021-05-14,7148,6908,7184,6880
2021-05-17,6968,6976,7060,6930
2021-05-18,6976,7050,7082,6934
2021-05-19,7056,6962,7074,6904
2021-05-20,6954,6910,6954,6730
2021-05-21,6882,6906,7006,6846
2021-05-24,6952,6952,6988,6834
2021-05-25,6954,6990,7042,6902
2021-05-26,6978,6926,7028,6858
2021-05-27,6900,6782,6928,6772
2021-05-28,6758,6868,6942,6742
2021-05-31,6868,6972,6984,6826
2021-06-01,6990,7100,7112,6972
2021-06-02,7144,7018,7172,6974
2021-06-03,7026,7102,7148,7008
2021-06-04,7080,6988,7084,6892
2021-06-07,7060,6922,7076,6916
2021-06-08,6946,6888,6976,6858
2021-06-09,6888,6936,6956,6852
2021-06-10,6934,6878,6980,6860
2021-06-11,6902,6980,6998,6842
2021-06-15,7028,6974,7040,6888
2021-06-16,6976,7076,7106,6956
2021-06-17,7068,7056,7112,6992
2021-06-18,7052,6890,7056,6890
2021-06-21,6890,6888,6972,6884
2021-06-22,6870,7048,7048,6848
2021-06-23,7048,7098,7100,6992
2021-06-24,7118,7242,7246,7108
2021-06-25,7212,7322,7400,7192
2021-06-28,7316,7326,7360,7232
2021-06-29,7330,7190,7330,7154
2021-06-30,7230,7194,7256,7174
2021-07-01,7206,7198,7260,7136
2021-07-02,7266,7238,7320,7204
2021-07-05,7260,7444,7462,7240
2021-07-06,7462,7520,7596,7432
2021-07-07,7498,7256,7500,7170
2021-07-08,7260,7166,7276,7126
2021-07-09,7168,7210,7252,7164
2021-07-12,7238,7198,7316,7186
2021-07-13,7190,7322,7330,7164
2021-07-14,7298,7312,7326,7222
2021-07-15,7332,7190,7346,7132
2021-07-16,7190,7226,7250,7152
2021-07-19,7254,7278,7290,7170
2021-07-20,7210,7098,7218,7030
2021-07-21,7064,7276,7298,7064
2021-07-22,7304,7388,7422,7282
2021-07-23,7386,7362,7408,7310
2021-07-26,7366,7280,7404,7256
2021-07-27,7308,7276,7396,7262
2021-07-28,7276,7232,7296,7212
2021-07-29,7238,7300,7308,7216
2021-07-30,7346,7422,7516,7310
2021-08-02,7456,7450,7518,7372
2021-08-03,7450,7382,7500,7366
2021-08-04,7340,7350,7384,7252
2021-08-05,7310,7144,7330,7138
2021-08-06,7174,7232,7248,7136
2021-08-09,7232,7166,7266,7106
2021-08-10,7140,7206,7216,7128
2021-08-11,7206,7184,7238,7156
2021-08-12,7160,7114,7222,7110
2021-08-13,7098,7038,7148,7032
2021-08-16,7038,6952,7086,6926
2021-08-17,6950,6852,6998,6844
2021-08-18,6882,6874,6936,6782
2021-08-19,6876,6864,6960,6754
2021-08-20,6854,6896,6930,6818
2021-08-23,6850,6894,6924,6764
2021-08-24,7052,7044,7102,7000
2021-08-25,7058,7040,7108,7012
2021-08-26,7058,6904,7068,6894
2021-08-27,6904,6974,6976,6814
2021-08-30,6990,6944,7048,6910
2021-08-31,6958,6930,6978,6890
2021-09-01,6916,6928,6962,6856
2021-09-02,6904,6928,6956,6854
2021-09-03,6950,7064,7080,6942
