Date,Open,Close,High,Low
2014-08-11,5892,5804,5898,5744
2014-08-12,5768,5832,5882,5768
2014-08-13,5810,5912,5956,5808
2014-08-14,5920,5926,5946,5880
2014-08-15,5918,5740,5936,5710
2014-08-18,5740,5774,5780,5730
2014-08-19,5776,5748,5796,5730
2014-08-20,5740,5776,5780,5690
2014-08-21,5778,5730,5778,5514
2014-08-22,5746,5742,5778,5722
2014-08-25,5736,5716,5754,5706
2014-08-26,5710,5738,5742,5676
2014-08-27,5742,5752,5770,5726
2014-08-28,5744,5766,5788,5744
2014-08-29,5760,5780,5780,5734
2014-09-01,5776,5800,5810,5756
2014-09-02,5804,5776,5828,5776
2014-09-03,5772,5762,5798,5714
2014-09-04,5762,5754,5792,5750
2014-09-05,5750,5764,5788,5720
2014-09-08,5768,5752,5784,5736
2014-09-10,5740,5662,5754,5648
2014-09-11,5638,5710,5786,5636
2014-09-12,5708,5698,5714,5686
2014-09-15,5700,5728,5736,5690
2014-09-16,5722,5776,5786,5716
2014-09-17,5788,5764,5808,5758
2014-09-18,5778,5778,5786,5762
2014-09-19,5780,5758,5788,5754
2014-09-22,5760,5700,5762,5694
2014-09-23,5682,5540,5686,5510
2014-09-24,5522,5562,5592,5522
2014-09-25,5570,5590,5640,5556
2014-09-26,5604,5468,5634,5444
2014-09-29,5456,5500,5536,5450
2014-09-30,5500,5538,5540,5462
2014-10-01,5540,5572,5586,5530
2014-10-02,5540,5572,5586,5540
2014-10-03,5540,5572,5586,5540
2014-10-06,5540,5572,5586,5530
2014-10-09,5568,5556,5628,5536
2014-10-10,5560,5636,5646,5532
2014-10-13,5634,5594,5642,5584
2014-10-14,5602,5630,5698,5602
2014-10-15,5620,5580,5638,5564
2014-10-16,5584,5536,5608,5532
2014-10-17,5530,5570,5580,5524
2014-10-20,5600,5588,5622,5566
2014-10-21,5590,5620,5620,5570
2014-10-22,5616,5610,5620,5602
2014-10-23,5612,5540,5620,5534
2014-10-24,5534,5580,5596,5530
2014-10-27,5612,5618,5622,5576
2014-10-28,5618,5598,5620,5588
2014-10-29,5604,5606,5610,5572
2014-10-30,5600,5614,5626,5600
2014-10-31,5618,5568,5620,5550
2014-11-03,5552,5428,5600,5368
2014-11-04,5420,5390,5432,5368
2014-11-05,5384,5506,5540,5334
