Date,Open,Close,High,Low
2019-08-16,3600,3685,3735,3597
2019-08-19,3690,3673,3696,3662
2019-08-20,3679,3662,3679,3655
2019-08-21,3664,3671,3675,3663
2019-08-22,3675,3633,3675,3616
2019-08-23,3630,3635,3639,3625
2019-08-26,3640,3632,3664,3623
2019-08-27,3633,3641,3648,3628
2019-08-28,3640,3627,3643,3626
2019-08-29,3621,3623,3636,3600
2019-08-30,3624,3619,3640,3611
2019-09-02,3626,3623,3635,3619
2019-09-03,3626,3618,3626,3611
2019-09-04,3620,3625,3635,3601
2019-09-05,3635,3618,3635,3616
2019-09-06,3617,3658,3709,3616
2019-09-09,3663,3660,3673,3623
2019-09-10,3663,3652,3672,3645
2019-09-11,3653,3637,3664,3630
2019-09-12,3635,3631,3642,3628
2019-09-16,3635,3639,3651,3629
2019-09-17,3642,3673,3685,3639
2019-09-18,3681,3670,3685,3656
2019-09-19,3666,3671,3676,3663
2019-09-20,3668,3667,3692,3645
2019-09-23,3664,3670,3678,3662
2019-09-24,3666,3673,3677,3655
2019-09-25,3666,3655,3674,3645
2019-09-26,3651,3665,3680,3650
2019-09-27,3650,3645,3668,3640
2019-09-30,3642,3639,3654,3638
2019-10-08,3636,3642,3649,3630
2019-10-09,3642,3648,3660,3640
2019-10-10,3655,3648,3655,3643
2019-10-11,3650,3641,3650,3639
2019-10-14,3641,3641,3648,3631
2019-10-15,3634,3634,3649,3634
2019-10-16,3631,3637,3643,3630
2019-10-17,3642,3639,3643,3632
2019-10-18,3635,3639,3640,3634
2019-10-21,3636,3630,3640,3630
2019-10-22,3630,3618,3635,3609
2019-10-23,3616,3618,3629,3610
2019-10-24,3629,3624,3640,3609
2019-10-25,3619,3617,3627,3613
2019-10-28,3617,3620,3625,3617
2019-10-29,3618,3622,3624,3614
2019-10-30,3624,3620,3624,3617
2019-10-31,3620,3629,3649,3618
2019-11-01,3628,3624,3630,3620
2019-11-04,3624,3621,3630,3621
2019-11-05,3624,3615,3631,3596
2019-11-06,3615,3620,3620,3610
2019-11-07,3620,3619,3626,3610
2019-11-08,3619,3610,3624,3610
2019-11-11,3610,3603,3617,3603
2019-11-12,3605,3605,3614,3605
2019-11-13,3610,3610,3616,3608
2019-11-14,3608,3612,3614,3606
2019-11-15,3611,3612,3625,3607
2019-11-18,3611,3621,3626,3610
2019-11-19,3622,3620,3756,3589
2019-11-20,3620,3619,3620,3612
2019-11-21,3614,3613,3619,3603
2019-11-22,3615,3603,3615,3603
2019-11-25,3608,3608,3613,3604
2019-11-26,3609,3608,3614,3605
2019-11-27,3605,3593,3609,3591
2019-11-28,3598,3565,3598,3565
2019-11-29,3576,3575,3577,3563
2019-12-02,3572,3544,3577,3534
2019-12-03,3536,3508,3544,3502
2019-12-04,3508,3439,3515,3435
2019-12-05,3440,3423,3461,3417
2019-12-06,3426,3436,3449,3425
2019-12-09,3432,3419,3448,3419
2019-12-10,3429,3418,3450,3310
2019-12-11,3423,3400,3424,3383
2019-12-12,3406,3396,3406,3390
2019-12-13,3460,3455,3462,3443
2019-12-16,3452,3468,3470,3450
2019-12-17,3463,3463,3475,3460
2019-12-18,3462,3451,3471,3451
2019-12-19,3450,3446,3453,3439
2019-12-20,3452,3407,3462,3400
2019-12-23,3401,3417,3425,3381
2019-12-24,3428,3411,3428,3403
2019-12-25,3407,3367,3407,3277
2019-12-26,3360,3370,3380,3351
2019-12-27,3384,3375,3396,3364
2019-12-30,3371,3380,3383,3367
2019-12-31,3376,3367,3376,3331
2020-01-02,3369,3359,3373,3353
2020-01-03,3353,3348,3370,3341
2020-01-06,3344,3326,3355,3325
2020-01-07,3321,3338,3340,3321
2020-01-08,3333,3349,3370,3326
2020-01-09,3347,3339,3358,3339
2020-01-10,3339,3348,3357,3339
2020-01-13,3350,3361,3362,3342
2020-01-14,3356,3362,3373,3352
2020-01-15,3360,3341,3364,3340
2020-01-16,3348,3347,3352,3341
2020-01-17,3348,3339,3360,3338
2020-01-20,3343,3340,3355,3334
2020-01-21,3338,3340,3348,3338
2020-01-22,3347,3325,3347,3324
2020-01-23,3315,3327,3334,3312
2020-02-03,3324,3369,3405,3280
2020-02-04,3380,3383,3397,3362
2020-02-05,3385,3384,3395,3357
2020-02-06,3384,3401,3404,3378
2020-02-07,3405,3418,3428,3390
2020-02-10,3425,3413,3429,3365
2020-02-11,3414,3394,3420,3388
2020-02-12,3390,3396,3410,3390
2020-02-13,3399,3400,3410,3395
2020-02-14,3407,3383,3407,3351
2020-02-17,3388,3515,3515,3388
2020-02-18,3490,3450,3496,3445
2020-02-19,3455,3460,3480,3454
2020-02-20,3444,3447,3463,3438
2020-02-21,3454,3445,3464,3443
2020-02-24,3445,3476,3552,3445
2020-02-25,3470,3465,3484,3440
2020-02-26,3471,3466,3501,3450
2020-02-27,3478,3456,3479,3452
2020-02-28,3456,3425,3461,3415
2020-03-02,3430,3451,3474,3398
2020-03-03,3456,3455,3476,3444
2020-03-04,3460,3454,3482,3445
2020-03-05,3465,3464,3469,3447
2020-03-06,3470,3458,3480,3453
2020-03-09,3452,3414,3453,3380
2020-03-10,3438,3410,3440,3394
2020-03-11,3410,3386,3413,3382
2020-03-12,3366,3373,3384,3353
2020-03-13,3365,3355,3378,3348
2020-03-16,3355,3343,3380,3341
2020-03-17,3358,3334,3358,3301
2020-03-18,3326,3333,3360,3323
2020-03-19,3333,3346,3358,3305
2020-03-20,3346,3342,3358,3323
2020-03-23,3334,3404,3428,3334
2020-03-24,3390,3382,3432,3366
2020-03-25,3382,3404,3414,3382
2020-03-26,3460,3561,3574,3460
2020-03-27,3560,3539,3630,3507
2020-03-30,3579,3674,3700,3560
2020-03-31,3670,3626,3682,3605
2020-04-01,3629,3558,3640,3541
2020-04-02,3560,3569,3618,3503
2020-04-03,3584,3563,3608,3541
2020-04-07,3573,3587,3597,3533
2020-04-08,3568,3552,3584,3545
2020-04-09,3558,3549,3563,3544
2020-04-10,3550,3553,3588,3531
2020-04-13,3540,3476,3540,3470
2020-04-14,3479,3473,3480,3457
2020-04-15,3488,3469,3538,3463
2020-04-16,3477,3475,3489,3462
2020-04-17,3474,3460,3491,3458
2020-04-20,3471,3488,3508,3462
2020-04-21,3490,3476,3495,3423
2020-04-22,3495,3480,3499,3461
2020-04-23,3488,3509,3514,3484
2020-04-24,3511,3492,3524,3488
2020-04-27,3500,3456,3500,3444
2020-04-28,3459,3442,3460,3438
2020-04-29,3436,3440,3455,3428
2020-04-30,3441,3434,3454,3432
2020-05-06,3441,3436,3448,3420
2020-05-07,3435,3442,3457,3433
2020-05-08,3449,3435,3449,3355
2020-05-11,3439,3423,3446,3423
2020-05-12,3422,3411,3432,3409
2020-05-13,3410,3412,3420,3402
2020-05-14,3415,3406,3416,3388
2020-05-15,3403,3426,3434,3399
2020-05-18,3427,3413,3433,3401
2020-05-19,3410,3431,3435,3410
2020-05-20,3431,3444,3448,3424
2020-05-21,3440,3433,3447,3430
2020-05-22,3432,3402,3437,3399
2020-05-25,3406,3410,3420,3402
2020-05-26,3409,3412,3418,3406
2020-05-27,3414,3426,3429,3404
2020-05-28,3428,3455,3483,3424
2020-05-29,3460,3450,3463,3438
2020-06-01,3450,3446,3469,3443
2020-06-02,3454,3452,3465,3446
2020-06-03,3448,3444,3454,3441
2020-06-04,3446,3434,3448,3433
2020-06-05,3431,3449,3459,3431
2020-06-08,3450,3461,3462,3437
2020-06-09,3460,3444,3470,3435
2020-06-10,3445,3448,3453,3443
2020-06-11,3455,3453,3470,3448
2020-06-12,3455,3442,3456,3435
2020-06-15,3449,3460,3460,3444
2020-06-16,3462,3458,3465,3451
2020-06-17,3463,3448,3464,3444
2020-06-18,3448,3450,3453,3446
2020-06-19,3449,3438,3453,3438
2020-06-22,3442,3427,3450,3424
2020-06-23,3428,3412,3428,3408
2020-06-24,3412,3398,3415,3392
2020-06-29,3404,3423,3435,3400
2020-06-30,3425,3419,3425,3412
2020-07-01,3420,3414,3423,3413
2020-07-02,3414,3422,3425,3414
2020-07-03,3422,3419,3429,3417
2020-07-06,3420,3426,3432,3415
2020-07-07,3427,3427,3442,3424
2020-07-08,3425,3427,3431,3425
2020-07-09,3427,3435,3439,3427
2020-07-10,3438,3435,3448,3425
2020-07-13,3438,3455,3456,3427
2020-07-14,3456,3446,3463,3444
2020-07-15,3448,3443,3450,3434
2020-07-16,3444,3431,3446,3428
2020-07-17,3431,3427,3433,3426
2020-07-20,3428,3443,3448,3427
2020-07-21,3440,3438,3450,3430
2020-07-22,3436,3434,3445,3425
2020-07-23,3436,3442,3444,3433
2020-07-24,3444,3460,3476,3439
2020-07-27,3460,3466,3478,3426
2020-07-28,3470,3516,3613,3468
2020-07-29,3520,3509,3539,3495
2020-07-30,3510,3513,3536,3500
2020-07-31,3505,3517,3527,3501
2020-08-03,3535,3524,3535,3507
2020-08-04,3520,3497,3520,3489
2020-08-05,3495,3478,3504,3468
2020-08-06,3479,3458,3479,3455
2020-08-07,3460,3464,3475,3460
2020-08-10,3464,3466,3492,3460
2020-08-11,3466,3423,3470,3418
2020-08-12,3475,3455,3475,3441
2020-08-13,3462,3460,3474,3445
2020-08-14,3463,3479,3484,3454
2020-08-17,3480,3467,3487,3464
2020-08-18,3471,3459,3475,3449
2020-08-19,3465,3457,3465,3451
2020-08-20,3463,3461,3466,3455
2020-08-21,3460,3461,3470,3458
2020-08-24,3460,3456,3465,3450
2020-08-25,3458,3457,3463,3453
2020-08-26,3461,3475,3479,3458
2020-08-27,3467,3465,3481,3464
2020-08-28,3462,3441,3476,3435
2020-08-31,3446,3422,3446,3412
2020-09-01,3430,3418,3430,3415
2020-09-02,3423,3416,3430,3414
2020-09-03,3407,3372,3420,3370
2020-09-04,3455,3469,3480,3422
2020-09-07,3448,3473,3481,3430
2020-09-08,3473,3471,3483,3465
2020-09-09,3475,3449,3512,3446
2020-09-10,3469,3456,3471,3434
2020-09-11,3459,3461,3482,3451
2020-09-14,3461,3487,3488,3459
2020-09-15,3488,3476,3503,3472
2020-09-16,3477,3478,3489,3474
2020-09-17,3480,3456,3481,3452
2020-09-18,3452,3476,3483,3451
2020-09-21,3476,3469,3482,3462
2020-09-22,3468,3468,3475,3441
2020-09-23,3465,3450,3480,3449
2020-09-24,3441,3455,3458,3441
2020-09-25,3457,3453,3459,3446
2020-09-28,3452,3455,3470,3452
2020-09-29,3451,3455,3457,3446
2020-09-30,3454,3457,3461,3447
2020-10-09,3478,3465,3480,3458
2020-10-12,3464,3447,3474,3401
2020-10-13,3450,3428,3464,3422
2020-10-14,3436,3432,3438,3424
2020-10-15,3431,3435,3443,3430
2020-10-16,3433,3434,3438,3422
2020-10-19,3430,3464,3465,3430
2020-10-20,3464,3439,3469,3421
2020-10-21,3439,3455,3458,3431
2020-10-22,3456,3448,3465,3445
2020-10-23,3452,3514,3524,3442
2020-10-26,3514,3491,3518,3471
2020-10-27,3491,3491,3567,3488
2020-10-28,3481,3497,3506,3475
2020-10-29,3483,3481,3503,3471
2020-10-30,3478,3485,3496,3474
2020-11-02,3486,3485,3495,3465
2020-11-03,3546,3554,3562,3540
2020-11-04,3554,3550,3558,3537
2020-11-05,3551,3554,3569,3550
2020-11-06,3549,3549,3561,3495
2020-11-09,3560,3576,3589,3548
2020-11-10,3562,3570,3584,3562
2020-11-11,3570,3571,3577,3567
2020-11-12,3565,3565,3570,3561
2020-11-13,3565,3567,3575,3563
2020-11-16,3567,3548,3568,3548
2020-11-17,3548,3538,3557,3534
2020-11-18,3635,3651,3651,3625
2020-11-19,3660,3655,3660,3639
2020-11-20,3559,3549,3569,3549
2020-11-23,3640,3638,3649,3631
2020-11-24,3593,3585,3624,3583
2020-11-25,3580,3577,3590,3571
2020-11-26,3572,3571,3582,3552
2020-11-27,3567,3591,3593,3567
2020-11-30,3591,3570,3613,3566
2020-12-01,3575,3569,3585,3555
2020-12-02,3568,3575,3585,3564
2020-12-03,3571,3620,3624,3565
2020-12-04,3621,3639,3683,3620
2020-12-07,3639,3621,3665,3610
2020-12-08,3622,3635,3640,3615
2020-12-09,3633,3611,3650,3605
2020-12-10,3609,3612,3620,3604
2020-12-11,3606,3603,3616,3592
2020-12-14,3595,3610,3613,3595
2020-12-15,3615,3604,3615,3580
2020-12-16,3608,3590,3608,3586
2020-12-17,3593,3587,3594,3582
2020-12-18,3595,3610,3641,3575
2020-12-21,3620,3612,3620,3591
2020-12-22,3611,3624,3625,3605
2020-12-23,3626,3618,3639,3612
2020-12-24,3618,3607,3622,3606
2020-12-25,3609,3603,3619,3598
2020-12-28,3609,3624,3624,3587
2020-12-29,3625,3606,3657,3600
2020-12-30,3609,3611,3616,3597
2020-12-31,3611,3622,3626,3603
2021-01-04,3630,3627,3637,3617
2021-01-05,3660,3652,3795,3650
2021-01-06,3655,3647,3660,3642
2021-01-07,3646,3681,3696,3640
2021-01-08,3678,3696,3703,3671
2021-01-11,3699,3744,3784,3699
2021-01-12,3745,3727,3757,3686
2021-01-13,3731,3718,3755,3708
2021-01-14,3680,3709,3738,3680
2021-01-15,3711,3708,3722,3700
2021-01-18,3712,3759,3760,3706
2021-01-19,3760,3738,3772,3729
2021-01-20,3738,3726,3751,3707
2021-01-21,3726,3717,3726,3698
2021-01-22,3719,3653,3719,3650
2021-01-25,3641,3641,3668,3639
2021-01-26,3636,3644,3660,3631
2021-01-27,3645,3644,3656,3640
2021-01-28,3644,3633,3648,3620
2021-01-29,3636,3642,3647,3630
2021-02-01,3642,3655,3658,3635
2021-02-02,3655,3655,3660,3646
2021-02-03,3652,3661,3668,3649
2021-02-04,3664,3658,3665,3647
2021-02-05,3659,3665,3670,3657
2021-02-08,3664,3654,3668,3653
2021-02-09,3654,3646,3659,3637
2021-02-10,3646,3657,3658,3628
2021-02-18,3657,3643,3699,3634
2021-02-19,3645,3643,3655,3641
2021-02-22,3644,3639,3652,3639
2021-02-23,3639,3649,3650,3639
2021-02-24,3650,3638,3653,3636
2021-02-25,3639,3623,3645,3619
2021-02-26,3623,3641,3644,3610
2021-03-01,3645,3618,3650,3618
2021-03-02,3650,3598,3653,3593
2021-03-03,3599,3626,3627,3595
2021-03-04,3622,3612,3631,3602
2021-03-05,3615,3581,3615,3581
2021-03-08,3586,3597,3609,3580
2021-03-09,3619,3614,3625,3601
2021-03-10,3615,3621,3629,3612
2021-03-11,3622,3641,3641,3618
2021-03-12,3642,3628,3642,3625
2021-03-15,3627,3648,3649,3621
2021-03-16,3644,3649,3654,3630
2021-03-17,3649,3648,3663,3643
2021-03-18,3645,3652,3665,3640
2021-03-19,3653,3682,3689,3649
2021-03-22,3675,3641,3682,3606
2021-03-23,3645,3671,3672,3621
2021-03-24,3671,3586,3672,3585
2021-03-25,3587,3586,3598,3583
2021-03-26,3592,3579,3595,3562
2021-03-29,3580,3602,3608,3568
2021-03-30,3592,3565,3607,3563
2021-03-31,3449,3554,3573,3449
2021-04-01,3546,3540,3574,3534
2021-04-02,3610,3613,3629,3600
2021-04-06,3572,3564,3581,3552
2021-04-07,3560,3561,3573,3555
2021-04-08,3556,3578,3598,3556
2021-04-09,3577,3588,3593,3568
2021-04-12,3580,3615,3635,3580
2021-04-13,3626,3624,3633,3617
2021-04-14,3615,3633,3642,3615
2021-04-15,3634,3644,3646,3631
2021-04-16,3640,3645,3658,3640
2021-04-19,3646,3634,3654,3631
2021-04-20,3639,3642,3643,3622
2021-04-21,3631,3645,3654,3631
2021-04-22,3646,3656,3658,3643
2021-04-23,3663,3655,3669,3650
2021-04-26,3659,3641,3661,3641
2021-04-27,3637,3636,3645,3633
2021-04-28,3631,3638,3645,3623
2021-04-29,3634,3641,3642,3633
2021-04-30,3645,3640,3646,3628
2021-05-06,3620,3621,3700,3619
2021-05-07,3620,3633,3637,3620
