Date,Open,Close,High,Low
2019-08-16,3600,3628,3672,3600
2019-08-19,3634,3621,3637,3614
2019-08-20,3612,3612,3618,3604
2019-08-21,3618,3605,3620,3605
2019-08-22,3604,3581,3605,3568
2019-08-23,3580,3581,3589,3580
2019-08-26,3590,3587,3600,3573
2019-08-27,3586,3579,3592,3578
2019-08-28,3570,3578,3583,3568
2019-08-29,3585,3577,3585,3553
2019-08-30,3577,3582,3598,3572
2019-09-02,3580,3574,3587,3573
2019-09-03,3579,3578,3579,3572
2019-09-04,3574,3579,3586,3564
2019-09-05,3586,3578,3586,3576
2019-09-06,3584,3595,3647,3571
2019-09-09,3582,3591,3600,3555
2019-09-10,3598,3587,3600,3580
2019-09-11,3580,3570,3590,3560
2019-09-12,3575,3570,3579,3570
2019-09-16,3576,3580,3584,3575
2019-09-17,3572,3585,3600,3572
2019-09-18,3600,3580,3600,3578
2019-09-19,3587,3582,3588,3579
2019-09-20,3588,3580,3595,3560
2019-09-23,3586,3578,3592,3570
2019-09-24,3572,3576,3579,3572
2019-09-25,3572,3565,3574,3560
2019-09-26,3573,3565,3579,3565
2019-09-27,3571,3557,3571,3550
2019-09-30,3557,3555,3560,3542
2019-10-08,3553,3548,3553,3540
2019-10-09,3560,3555,3568,3552
2019-10-10,3562,3560,3562,3557
2019-10-11,3565,3557,3565,3555
2019-10-14,3551,3557,3560,3548
2019-10-15,3551,3550,3557,3550
2019-10-16,3551,3551,3553,3541
2019-10-17,3546,3547,3550,3538
2019-10-18,3547,3541,3552,3541
2019-10-21,3547,3536,3554,3534
2019-10-22,3536,3545,3548,3532
2019-10-23,3549,3539,3549,3536
2019-10-24,3546,3536,3546,3536
2019-10-25,3542,3535,3545,3530
2019-10-28,3539,3532,3543,3532
2019-10-29,3534,3533,3540,3533
2019-10-30,3532,3539,3539,3532
2019-10-31,3540,3542,3549,3535
2019-11-01,3535,3536,3542,3535
2019-11-04,3540,3543,3549,3536
2019-11-05,3546,3540,3548,3533
2019-11-06,3534,3540,3546,3533
2019-11-07,3536,3534,3541,3532
2019-11-08,3539,3533,3544,3529
2019-11-11,3535,3526,3535,3525
2019-11-12,3524,3529,3530,3523
2019-11-13,3526,3529,3533,3526
2019-11-14,3526,3529,3530,3525
2019-11-15,3526,3525,3530,3519
2019-11-18,3526,3525,3529,3521
2019-11-19,3528,3524,3530,3510
2019-11-20,3520,3520,3525,3512
2019-11-21,3520,3508,3522,3507
2019-11-22,3510,3512,3515,3508
2019-11-25,3511,3508,3514,3504
2019-11-26,3510,3508,3524,3505
2019-11-27,3509,3507,3512,3505
2019-11-28,3506,3497,3509,3496
2019-11-29,3497,3509,3509,3495
2019-12-02,3508,3500,3508,3497
2019-12-03,3500,3495,3500,3492
2019-12-04,3496,3461,3496,3450
2019-12-05,3462,3451,3469,3450
2019-12-06,3454,3461,3469,3433
2019-12-09,3466,3460,3466,3460
2019-12-10,3456,3462,3470,3450
2019-12-11,3456,3461,3465,3456
2019-12-12,3457,3459,3466,3456
2019-12-13,3396,3389,3403,3388
2019-12-16,3410,3403,3418,3380
2019-12-17,3386,3380,3395,3380
2019-12-18,3380,3346,3389,3342
2019-12-19,3346,3297,3346,3297
2019-12-20,3298,3216,3308,3211
2019-12-23,3239,3240,3260,3215
2019-12-24,3237,3249,3259,3234
