Date,Open,Close,High,Low
2019-04-30,8600,8540,8645,8230
2019-05-06,8825,8685,8915,8640
2019-05-07,8710,8565,8735,8465
2019-05-08,8555,8575,8645,8550
2019-05-09,8585,8545,8615,8520
2019-05-10,8560,8585,8660,8535
2019-05-13,8590,9020,9020,8585
2019-05-14,9240,9505,9565,9115
2019-05-15,9500,9685,9885,9415
2019-05-16,9700,9740,9915,9655
2019-05-17,9780,9790,9825,9660
2019-05-20,9820,9760,9945,9680
2019-05-21,9780,9860,9920,9710
2019-05-22,9860,10320,10320,9825
2019-05-23,10330,10400,10450,10295
2019-05-24,10345,10805,10810,10280
2019-05-27,10665,10615,11005,10535
2019-05-28,10650,10450,10745,10345
2019-05-29,10535,10590,10700,10440
2019-05-30,10590,10575,10805,10410
2019-05-31,10565,10515,10625,10385
2019-06-03,10465,10125,10595,10020
2019-06-04,10185,10180,10210,9985
2019-06-05,10190,10120,10225,10045
2019-06-06,10050,9770,10065,9645
2019-06-10,9700,9855,9910,9640
2019-06-11,9900,9990,10030,9845
2019-06-12,9980,9860,9980,9775
2019-06-13,9875,10345,10345,9875
2019-06-14,10350,10275,10575,10180
2019-06-17,10370,10465,10470,10160
2019-06-18,10365,10160,10470,10115
2019-06-19,10245,10250,10330,10150
2019-06-20,10285,10295,10390,10215
2019-06-21,10375,10515,10540,10310
2019-06-24,10505,10480,10610,10395
2019-06-25,10470,10430,10510,10345
2019-06-26,10440,10450,10480,10365
2019-06-27,10430,10545,10710,10405
2019-06-28,10590,10360,10650,10335
2019-07-01,10395,10325,10410,10230
2019-07-02,10315,10380,10400,10195
2019-07-03,10335,10360,10470,10270
2019-07-04,10370,10410,10465,10345
2019-07-05,10415,10345,10450,10255
2019-07-08,10335,10605,10605,10335
2019-07-09,10680,10530,10680,10460
2019-07-10,10535,10440,10535,10300
2019-07-11,10460,10445,10490,10325
2019-07-12,10440,10520,10565,10370
2019-07-15,10520,10505,10650,10440
2019-07-16,10480,10570,10575,10400
2019-07-17,10570,10505,10725,10460
2019-07-18,10470,10395,10510,10370
2019-07-19,10375,10385,10420,10265
2019-07-22,10395,10350,10410,10230
2019-07-23,10300,10240,10355,10215
2019-07-24,10205,10170,10255,10040
2019-07-25,10155,10130,10195,10095
2019-07-26,10120,10240,10250,10060
2019-07-29,10245,10215,10275,10165
2019-07-30,10230,10295,10325,10190
2019-07-31,10330,10285,10340,10245
2019-08-01,10250,10155,10290,10145
2019-08-02,10100,10190,10215,10085
2019-08-05,10210,10145,10275,10060
2019-08-06,10175,10665,10665,10175
2019-08-07,10685,10650,10745,10520
2019-08-08,10675,10735,10880,10595
2019-08-09,10705,10760,10825,10585
2019-08-12,10800,10730,10950,10690
2019-08-13,10735,10640,10750,10595
2019-08-14,10650,10560,10650,10510
2019-08-15,10535,10630,10630,10505
2019-08-16,10750,10695,10810,10660
2019-08-19,10750,10710,10805,10700
2019-08-20,10730,10595,10765,10570
2019-08-21,10615,10705,10705,10505
2019-08-22,10725,10650,10730,10580
2019-08-23,10645,10650,10680,10590
2019-08-26,10615,10555,10765,10520
2019-08-27,10510,10635,10650,10485
2019-08-28,10650,10575,10675,10540
2019-08-29,10610,10680,10735,10595
2019-08-30,10680,10645,10780,10625
2019-09-02,10675,10630,10675,10575
2019-09-03,10655,11160,11160,10635
2019-09-04,11180,11430,11470,11180
2019-09-05,11415,11180,11480,11070
2019-09-06,11100,10775,11190,10775
2019-09-09,10780,10670,10820,10635
2019-09-10,10640,10695,10760,10640
2019-09-11,10660,10410,10735,10330
2019-09-12,10470,10345,10470,10295
2019-09-16,10355,10410,10515,10220
2019-09-17,10415,10475,10495,10360
2019-09-18,10480,10500,10550,10395
2019-09-19,10495,10505,10520,10270
2019-09-20,10505,10390,10505,10355
2019-09-23,10355,10245,10395,10055
2019-09-24,10290,10260,10300,10195
2019-09-25,10265,10275,10280,10140
2019-09-26,10260,10305,10435,10230
2019-09-27,10190,10290,10315,10125
2019-09-30,10340,10240,10370,10160
2019-10-08,10265,10320,10475,10180
2019-10-09,10320,10330,10360,10265
2019-10-10,10385,10350,10390,10300
2019-10-11,10370,10350,10380,10245
2019-10-14,10380,10450,10485,10305
2019-10-15,10450,10475,10540,10380
2019-10-16,10495,10440,10500,10395
2019-10-17,10450,10005,10460,9940
2019-10-18,10010,10095,10145,9855
2019-10-21,10065,10080,10160,9975
2019-10-22,10080,10075,10105,10015
2019-10-23,10070,10560,10560,10030
2019-10-24,10620,10650,10730,10565
2019-10-25,10675,10630,10690,10545
2019-10-28,10670,10670,10715,10475
2019-10-29,10670,10655,10765,10605
2019-10-30,10660,10705,10710,10595
2019-10-31,10705,10720,10760,10630
2019-11-01,10725,10760,10780,10655
2019-11-04,10840,10980,11235,10820
2019-11-05,11015,10965,11040,10870
2019-11-06,10950,10780,10970,10755
2019-11-07,10785,10880,10925,10740
2019-11-08,10890,10985,11025,10820
2019-11-11,10940,10925,10975,10820
2019-11-12,10900,10905,10960,10840
2019-11-13,10895,10970,11045,10840
2019-11-14,10955,11010,11140,10920
2019-11-15,10985,11025,11065,10925
2019-11-18,11045,11045,11080,10945
2019-11-19,11115,10885,11130,10750
2019-11-20,10870,10985,11020,10830
2019-11-21,10985,10910,10985,10885
2019-11-22,10860,10835,10880,10705
2019-11-25,10795,10890,10890,10735
2019-11-26,10850,10870,10910,10820
2019-11-27,10875,10815,10945,10765
2019-11-28,10810,10885,10895,10800
2019-11-29,10890,11080,11115,10865
2019-12-02,11040,10905,11100,10855
2019-12-03,10890,10900,10935,10880
2019-12-04,10890,10885,10960,10800
2019-12-05,10855,10795,10875,10785
2019-12-06,10815,10885,10915,10700
2019-12-09,10900,10920,11135,10855
2019-12-10,10935,10915,10960,10890
2019-12-11,10915,10965,11000,10910
2019-12-12,10975,11000,11010,10960
2019-12-13,10990,11010,11040,10970
2019-12-16,11015,11010,11095,10980
2019-12-17,11010,11005,11110,11005
2019-12-18,11000,10965,11045,10910
2019-12-19,10950,10935,10980,10910
2019-12-20,10945,10950,10955,10865
2019-12-23,10970,10890,10970,10880
2019-12-24,10920,10920,10950,10815
2019-12-25,10940,10895,10940,10860
2019-12-26,10950,10935,10950,10885
2019-12-27,10945,10960,10995,10900
2019-12-30,10960,11015,11050,10950
2019-12-31,10995,10780,11285,10675
2020-01-02,10990,10830,10995,10830
2020-01-03,10935,10910,10970,10880
2020-01-06,10900,10875,10940,10815
2020-01-07,10875,10580,10895,10535
2020-01-08,10565,10550,10625,10455
2020-01-09,10550,10500,10605,10495
2020-01-10,10440,10595,10605,10245
2020-01-13,10600,10580,10695,10510
2020-01-14,10570,10610,10675,10510
2020-01-15,10660,10645,10665,10560
2020-01-16,10700,10650,10715,10580
2020-01-17,10610,10700,10700,10610
2020-01-20,10740,10620,10780,10610
2020-01-21,10630,10640,10660,10590
2020-01-22,10625,10725,10750,10555
2020-01-23,10695,10730,10745,10665
2020-02-03,10460,10230,10460,10080
2020-02-04,10250,10360,10385,10100
2020-02-05,10325,10380,10430,10320
2020-02-06,10360,10395,10405,10340
2020-02-07,10400,10450,10450,10395
2020-02-10,10395,10475,10485,10390
2020-02-11,10445,10535,10545,10445
2020-02-12,10555,10615,10645,10505
