Date,Open,Close,High,Low
2019-12-03,1491.00,1445.00,1558.50,1445.00
2019-12-04,1444.50,1445.00,1458.50,1416.50
2019-12-05,1475.00,1509.00,1509.00,1466.50
2019-12-06,1521.00,1509.00,1568.00,1490.00
2019-12-09,1524.50,1527.50,1550.00,1509.50
2019-12-10,1527.00,1535.00,1545.00,1491.00
2019-12-11,1519.50,1533.00,1546.00,1510.00
2019-12-12,1579.50,1521.00,1579.50,1513.50
2019-12-13,1521.00,1523.00,1539.50,1515.00
2019-12-16,1530.00,1514.00,1530.00,1505.00
2019-12-17,1525.00,1508.00,1525.00,1495.00
2019-12-18,1506.00,1495.50,1521.00,1495.50
2019-12-19,1508.00,1498.00,1508.00,1494.50
2019-12-20,1514.50,1482.50,1517.00,1482.50
2019-12-23,1442.50,1446.00,1458.50,1430.50
2019-12-24,1444.50,1440.00,1444.50,1434.00
2019-12-25,1471.00,1418.00,1475.00,1417.50
2019-12-26,1394.00,1376.50,1407.50,1376.50
2019-12-27,1350.00,1393.00,1406.00,1350.00
2019-12-30,1355.50,1318.00,1355.50,1312.50
2019-12-31,1321.50,1386.00,1386.00,1321.50
2020-01-02,1460.50,1461.50,1461.50,1460.50
2020-01-03,1430.50,1606.50,1606.50,1430.50
2020-01-07,1428.00,1400.00,1428.00,1400.00
2020-01-08,1400.00,1414.00,1414.00,1400.00
2020-01-09,1385.00,1378.50,1386.00,1366.50
2020-01-14,1390.00,1390.00,1390.00,1390.00
2020-01-16,1400.50,1420.00,1420.00,1400.50
2020-01-20,1380.00,1380.00,1380.00,1380.00
2020-02-03,1412.00,1360.00,1412.00,1360.00
2020-02-07,1380.00,1380.00,1380.00,1380.00
2020-02-11,1400.50,1358.00,1424.50,1358.00
2020-02-12,1367.00,1395.00,1395.00,1367.00
2020-02-18,1384.00,1384.00,1384.00,1384.00
2020-02-20,1398.00,1399.00,1439.50,1367.50
2020-02-21,1435.00,1453.50,1466.50,1399.00
2020-02-24,1440.50,1451.00,1462.50,1440.50
2020-02-27,1441.00,1441.00,1444.00,1441.00
2020-02-28,1462.50,1464.00,1464.00,1462.50
2020-03-02,1466.00,1453.00,1466.00,1415.50
2020-03-04,1439.50,1439.50,1439.50,1439.50
2020-03-05,1450.00,1435.00,1450.00,1434.00
2020-03-06,1435.50,1427.00,1435.50,1427.00
2020-03-09,1434.50,1459.00,1461.00,1434.50
2020-03-10,1458.50,1460.00,1460.00,1457.00
2020-03-11,1474.50,1465.00,1489.50,1465.00
2020-03-13,1447.00,1447.00,1447.00,1447.00
2020-03-16,1451.50,1452.00,1452.50,1435.50
2020-03-17,1455.50,1455.50,1455.50,1455.50
2020-03-18,1442.00,1409.50,1465.00,1386.50
2020-03-19,1385.00,1383.50,1385.00,1331.50
2020-03-20,1383.50,1390.00,1390.00,1380.00
2020-03-23,1340.50,1389.50,1389.50,1338.00
2020-03-24,1393.00,1399.50,1399.50,1359.00
2020-03-25,1425.00,1380.00,1430.00,1373.50
2020-03-30,1374.00,1374.00,1374.00,1374.00
2020-03-31,1427.00,1384.00,1427.00,1384.00
2020-04-02,1399.00,1395.00,1399.00,1355.00
2020-04-10,1394.00,1355.50,1394.00,1350.00
2020-04-13,1392.00,1355.00,1392.00,1355.00
2020-04-14,1344.00,1351.00,1378.50,1344.00
2020-04-15,1349.00,1359.50,1360.00,1349.00
2020-04-16,1360.50,1379.00,1380.00,1355.50
2020-04-17,1368.00,1370.50,1377.00,1368.00
2020-04-20,1379.50,1421.00,1438.00,1379.50
2020-04-21,1414.50,1387.50,1434.00,1381.50
2020-04-22,1379.50,1385.50,1391.00,1360.00
2020-04-23,1388.00,1392.00,1392.50,1387.00
2020-04-24,1391.00,1383.00,1394.50,1383.00
2020-04-27,1380.00,1377.50,1391.50,1338.00
2020-04-28,1376.00,1358.00,1380.50,1331.50
2020-04-29,1356.00,1379.50,1380.00,1332.00
2020-04-30,1381.50,1375.00,1409.00,1350.50
2020-05-06,1377.00,1353.00,1378.00,1341.00
2020-05-08,1240.00,1237.00,1259.50,1220.50
2020-05-11,1229.50,1214.00,1230.50,1214.00
2020-05-12,1209.50,1215.00,1226.00,1208.50
2020-05-13,1218.50,1234.50,1234.50,1218.50
2020-05-14,1239.50,1211.50,1240.00,1211.50
