Date,Open,Close,High,Low
2018-11-28,5300,5184,5314,5142
2018-11-29,5160,5188,5294,5122
2018-11-30,5208,5148,5220,5114
2018-12-03,5158,4978,5262,4970
2018-12-04,4978,5058,5114,4978
2018-12-05,5060,5140,5158,5040
2018-12-06,5150,5132,5264,5128
2018-12-07,5112,5138,5208,5086
2018-12-10,5150,5166,5224,5136
2018-12-11,5160,5094,5198,5074
2018-12-12,5112,5138,5152,5104
2018-12-13,5146,5126,5158,5094
2018-12-14,5120,5132,5164,5104
2018-12-17,5110,5132,5150,5108
2018-12-18,5134,5126,5162,5112
2018-12-19,5124,5062,5144,5032
2018-12-20,5068,5066,5082,5044
2018-12-21,5072,5048,5072,5028
2018-12-24,5042,4982,5064,4960
2018-12-25,4982,5000,5038,4966
2018-12-26,4996,4938,5012,4916
2018-12-27,4950,4952,4998,4940
2018-12-28,4944,5048,5058,4938
2019-01-02,5044,5082,5118,5010
2019-01-03,5072,5082,5108,5060
2019-01-04,5084,5140,5236,5072
2019-01-07,5152,5170,5186,5114
2019-01-08,5172,5158,5192,5138
2019-01-09,5160,5304,5340,5156
2019-01-10,5306,5272,5362,5260
2019-01-11,5272,5324,5328,5252
2019-01-14,5320,5294,5378,5280
2019-01-15,5300,5242,5302,5214
2019-01-16,5242,5318,5320,5232
2019-01-17,5310,5316,5342,5284
2019-01-18,5308,5380,5418,5260
2019-01-21,5386,5448,5472,5372
2019-01-22,5436,5430,5530,5416
2019-01-23,5428,5442,5466,5402
2019-01-24,5446,5394,5480,5364
2019-01-25,5382,5410,5456,5358
2019-01-28,5406,5326,5430,5316
2019-01-29,5320,5320,5360,5308
2019-01-30,5330,5316,5372,5310
2019-01-31,5322,5426,5430,5280
2019-02-01,5416,5474,5540,5410
2019-02-11,5468,5412,5516,5392
2019-02-12,5420,5506,5514,5418
2019-02-13,5522,5458,5538,5434
2019-02-14,5454,5414,5506,5386
2019-02-15,5430,5394,5430,5352
2019-02-18,5404,5438,5450,5376
2019-02-19,5444,5516,5516,5428
2019-02-20,5536,5496,5554,5464
2019-02-21,5496,5614,5622,5480
2019-02-22,5610,5670,5686,5584
2019-02-25,5682,5612,5684,5606
2019-02-26,5614,5584,5626,5550
2019-02-27,5588,5566,5610,5542
2019-02-28,5576,5548,5606,5518
2019-03-01,5548,5596,5614,5540
2019-03-04,5602,5552,5636,5486
2019-03-05,5544,5560,5588,5524
2019-03-06,5566,5556,5606,5546
2019-03-07,5552,5470,5572,5464
2019-03-08,5482,5408,5486,5380
2019-03-11,5364,5432,5458,5364
2019-03-12,5434,5428,5452,5410
2019-03-13,5430,5412,5468,5396
2019-03-14,5414,5384,5448,5378
2019-03-15,5374,5418,5438,5356
2019-03-18,5412,5430,5456,5396
2019-03-19,5434,5446,5480,5410
2019-03-20,5448,5322,5468,5310
2019-03-21,5320,5330,5346,5304
2019-03-22,5332,5336,5350,5286
2019-03-25,5330,5312,5344,5286
2019-03-26,5312,5320,5348,5310
2019-03-27,5330,5320,5360,5290
2019-03-28,5320,5234,5344,5220
2019-03-29,5238,5322,5356,5218
2019-04-01,5328,5346,5378,5294
2019-04-02,5346,5338,5376,5322
2019-04-03,5348,5430,5432,5306
2019-04-04,5426,5414,5438,5390
2019-04-08,5420,5450,5470,5390
2019-04-09,5450,5424,5470,5394
2019-04-10,5424,5430,5456,5370
2019-04-11,5430,5460,5472,5384
2019-04-12,5456,5434,5492,5432
2019-04-15,5442,5420,5508,5410
2019-04-16,5430,5396,5450,5386
2019-04-17,5406,5356,5414,5350
2019-04-18,5356,5362,5382,5336
2019-04-19,5364,5402,5404,5316
2019-04-22,5400,5418,5430,5388
2019-04-23,5418,5350,5426,5350
2019-04-24,5356,5368,5382,5320
2019-04-25,5368,5356,5376,5342
2019-04-26,5350,5290,5356,5270
2019-04-29,5290,5298,5300,5262
2019-04-30,5300,5244,5300,5242
2019-05-06,5226,5130,5280,5030
