Date,Open,Close,High,Low
2018-11-28,5188,5156,5380,5134
2018-11-29,5122,5110,5210,5052
2018-11-30,5130,5082,5130,5056
2018-12-03,5076,4940,5208,4930
2018-12-04,4944,5000,5032,4942
2018-12-05,5000,5026,5058,4970
2018-12-06,5046,5012,5112,5010
2018-12-07,5010,5008,5046,4978
2018-12-10,5014,5018,5052,5002
2018-12-11,5026,4976,5042,4970
2018-12-12,5000,5002,5010,4978
2018-12-13,5010,4998,5014,4988
2018-12-14,4990,4994,5016,4982
2018-12-17,4990,4994,5004,4984
2018-12-18,5004,4992,5008,4986
2018-12-19,4990,4938,5002,4920
2018-12-20,4942,4938,4948,4922
2018-12-21,4944,4926,4946,4920
2018-12-24,4906,4878,4940,4870
2018-12-25,4878,4870,4910,4856
2018-12-26,4880,4810,4884,4802
2018-12-27,4816,4822,4858,4810
2018-12-28,4820,4896,4918,4810
2019-01-02,4888,4950,4976,4868
2019-01-03,4940,4960,4980,4930
2019-01-04,4964,5000,5078,4950
2019-01-07,5016,5042,5044,4984
2019-01-08,5034,5020,5054,5008
2019-01-09,5026,5150,5194,5022
2019-01-10,5158,5146,5232,5136
2019-01-11,5156,5200,5200,5128
2019-01-14,5200,5164,5228,5150
2019-01-15,5168,5122,5168,5090
2019-01-16,5106,5198,5228,5106
2019-01-17,5196,5184,5214,5162
2019-01-18,5176,5264,5300,5144
2019-01-21,5274,5328,5354,5262
2019-01-22,5328,5334,5428,5320
2019-01-23,5340,5344,5370,5306
2019-01-24,5388,5308,5388,5292
2019-01-25,5302,5336,5392,5282
2019-01-28,5330,5262,5362,5240
2019-01-29,5268,5248,5286,5236
2019-01-30,5256,5248,5300,5242
2019-01-31,5250,5334,5338,5212
2019-02-01,5342,5372,5440,5316
2019-02-11,5360,5332,5408,5310
2019-02-12,5332,5410,5422,5330
2019-02-13,5418,5376,5452,5354
2019-02-14,5368,5324,5412,5302
2019-02-15,5326,5308,5336,5274
2019-02-18,5324,5384,5386,5300
2019-02-19,5398,5434,5440,5372
2019-02-20,5440,5410,5470,5394
2019-02-21,5404,5540,5544,5404
2019-02-22,5532,5626,5638,5512
2019-02-25,5620,5594,5664,5592
2019-02-26,5596,5584,5612,5526
2019-02-27,5588,5538,5604,5522
2019-02-28,5548,5498,5572,5472
2019-03-01,5496,5538,5544,5492
2019-03-04,5548,5482,5580,5444
2019-03-05,5488,5488,5514,5470
2019-03-06,5502,5474,5520,5472
2019-03-07,5474,5428,5490,5416
2019-03-08,5420,5348,5434,5318
2019-03-11,5316,5378,5388,5310
2019-03-12,5380,5360,5394,5352
2019-03-13,5366,5330,5396,5330
2019-03-14,5340,5318,5366,5304
2019-03-15,5318,5348,5360,5266
2019-03-18,5342,5360,5370,5326
2019-03-19,5370,5356,5396,5336
2019-03-20,5358,5246,5378,5240
2019-03-21,5246,5242,5268,5230
2019-03-22,5240,5260,5270,5212
2019-03-25,5262,5236,5268,5216
2019-03-26,5258,5238,5266,5228
2019-03-27,5240,5246,5280,5220
2019-03-28,5250,5200,5268,5162
2019-03-29,5204,5276,5300,5176
2019-04-01,5300,5338,5370,5254
2019-04-02,5342,5324,5356,5306
2019-04-03,5348,5414,5416,5270
2019-04-04,5418,5402,5428,5382
2019-04-08,5410,5438,5462,5378
2019-04-09,5448,5418,5468,5392
2019-04-10,5422,5418,5442,5364
2019-04-11,5402,5436,5448,5374
2019-04-12,5434,5408,5450,5406
2019-04-15,5424,5424,5514,5410
2019-04-16,5424,5382,5446,5376
2019-04-17,5388,5338,5410,5336
2019-04-18,5338,5338,5354,5318
2019-04-19,5338,5380,5386,5288
2019-04-22,5380,5396,5414,5370
2019-04-23,5398,5344,5418,5342
2019-04-24,5344,5344,5364,5304
2019-04-25,5346,5322,5354,5316
2019-04-26,5306,5236,5320,5230
2019-04-29,5222,5244,5258,5208
2019-04-30,5258,5204,5258,5186
2019-05-06,5158,5098,5192,5080
2019-05-07,5090,5116,5128,5080
2019-05-08,5110,5112,5134,5104
2019-05-09,5110,5056,5124,5052
2019-05-10,5058,5080,5094,5054
2019-05-13,5132,5160,5196,5106
2019-05-14,5180,5052,5180,4980
2019-05-15,5056,5048,5066,5010
2019-05-16,5048,5068,5088,5034
2019-05-17,5060,5006,5082,4968
2019-05-20,5020,5024,5056,4992
2019-05-21,5024,5020,5042,5002
2019-05-22,5022,4926,5034,4920
