Date,Open,Close,High,Low
2018-10-17,3905,3943,4019,3905
2018-10-18,3933,3829,3933,3820
2018-10-19,3886,3765,3888,3732
2018-10-22,3803,3771,3815,3757
2018-10-23,3771,3805,3833,3771
2018-10-24,3800,3825,3850,3800
2018-10-25,3780,3756,3788,3734
2018-10-26,3767,3728,3813,3728
2018-10-29,3733,3692,3743,3678
2018-10-30,3713,3699,3713,3673
2018-10-31,3619,3669,3690,3619
2018-11-01,3641,3598,3641,3565
2018-11-02,3585,3558,3605,3558
2018-11-05,3562,3587,3587,3535
2018-11-06,3539,3559,3559,3538
2018-11-07,3483,3415,3486,3407
2018-11-08,3363,3408,3418,3334
2018-11-09,3389,3372,3438,3361
2018-11-12,3316,3340,3378,3306
2018-11-13,3341,3381,3435,3316
2018-11-14,3397,3386,3412,3364
2018-11-15,3390,3369,3405,3343
2018-11-16,3409,3368,3409,3350
2018-11-19,3371,3445,3469,3371
2018-11-20,3435,3393,3438,3393
2018-11-21,3308,3426,3426,3308
2018-11-22,3393,3393,3401,3380
2018-11-23,3412,3318,3412,3318
2018-11-26,3289,3178,3289,3164
2018-11-27,3177,3167,3187,3167
2018-11-28,3203,3220,3221,3167
2018-11-29,3217,3213,3217,3192
2018-11-30,3208,3194,3238,3194
2018-12-03,3284,3280,3380,3213
2018-12-04,3307,3294,3307,3280
2018-12-05,3327,3368,3368,3327
2018-12-06,3291,3332,3367,3291
2018-12-07,3300,3319,3352,3279
2018-12-10,3293,3293,3293,3293
2018-12-11,3375,3290,3375,3290
2018-12-12,3301,3301,3301,3301
2018-12-13,3323,3356,3356,3323
2018-12-14,3335,3360,3360,3335
2018-12-20,3354,3399,3399,3354
2018-12-21,3360,3360,3360,3360
2018-12-24,3395,3393,3395,3393
2018-12-25,3222,3287,3287,3222
2019-01-03,3360,3364,3364,3360
2019-01-04,3355,3355,3355,3355
2019-01-07,3443,3444,3444,3440
2019-01-08,3400,3400,3400,3400
2019-01-10,3458,3458,3458,3458
2019-01-11,3458,3464,3464,3458
2019-01-14,3519,3535,3577,3492
2019-01-15,3444,3444,3444,3444
2019-01-17,3515,3515,3515,3515
2019-01-18,3555,3600,3600,3555
2019-01-22,3578,3593,3593,3578
2019-01-24,3586,3586,3586,3586
2019-02-01,3680,3693,3693,3680
2019-02-11,3792,3773,3792,3609
2019-02-13,3765,3673,3765,3660
2019-02-14,3625,3596,3625,3596
2019-02-20,3580,3580,3580,3580
2019-02-22,3639,3639,3639,3639
2019-02-25,3660,3660,3660,3660
