Date,Open,Close,High,Low
2014-03-03,10490,10368,10500,10348
2014-03-04,10696,10632,10790,10602
2014-03-05,10632,10706,10717,10602
2014-03-06,10359,10299,10360,10262
2014-03-07,10700,10640,10700,10560
2014-03-10,10200,10175,10200,10129
2014-03-11,10025,10077,10150,10000
2014-03-12,10096,10180,10350,10050
2014-03-13,10090,10191,10193,10061
2014-03-14,10200,10209,10236,10165
2014-03-17,10200,10171,10210,10120
2014-03-18,10165,10171,10290,10140
2014-03-19,10125,10284,10290,10125
2014-03-20,10300,10214,10348,10214
2014-03-21,10220,10240,10260,10195
2014-03-24,10206,10285,10295,10202
2014-03-25,10280,10310,10324,10241
2014-03-26,10315,10406,10436,10290
2014-03-27,10389,10527,10560,10385
2014-03-28,10530,10492,10530,10474
2014-03-31,10500,10620,10625,10492
2014-04-01,10618,10582,10650,10563
2014-04-02,10590,10705,10724,10555
2014-04-03,10681,10672,10707,10650
2014-04-04,10680,10685,10705,10606
2014-04-07,10685,10818,10832,10685
2014-04-09,10810,10756,10838,10725
2014-04-10,10790,10733,10790,10660
2014-04-11,10750,10682,10805,10682
2014-04-14,10670,10701,10720,10619
2014-04-15,10750,10758,10774,10680
2014-04-16,10766,10793,10826,10728
2014-04-17,10783,10772,10806,10746
2014-04-18,10770,10875,10900,10760
2014-04-21,10886,10874,10887,10792
2014-04-22,10875,10887,10938,10834
2014-04-23,10890,10975,11040,10861
2014-04-24,10985,10925,10986,10867
2014-04-25,10924,10893,10949,10815
2014-04-28,10900,10703,10919,10685
2014-04-29,10710,10706,10728,10660
2014-04-30,10700,10758,10770,10656
2014-05-01,10762,10747,10775,10713
2014-05-02,10762,10747,10775,10747
2014-05-05,10762,10747,10775,10713
2014-05-06,10750,10847,10848,10675
2014-05-07,10832,10850,10890,10808
2014-05-08,10850,10932,10965,10823
2014-05-09,10955,10872,10955,10843
2014-05-12,10884,10771,10884,10750
2014-05-13,10790,10751,10830,10714
2014-05-14,10773,10780,10786,10725
2014-05-15,10810,10752,10815,10718
2014-05-16,10740,10676,10740,10667
2014-05-19,10665,10691,10692,10600
2014-05-20,10688,10697,10750,10640
2014-05-21,10680,10695,10705,10623
2014-05-22,10681,10765,10790,10655
2014-05-23,10765,10922,10926,10755
2014-05-26,10914,11039,11050,10883
2014-05-27,11038,11056,11081,10967
2014-05-28,11041,10830,11056,10825
2014-05-29,10827,10872,10874,10765
2014-05-30,10840,10934,10978,10840
2014-06-02,10933,10985,10994,10871
2014-06-04,11000,11073,11078,10970
2014-06-05,11070,11065,11146,11045
2014-06-06,11060,11132,11162,11034
2014-06-09,11130,11119,11168,11084
2014-06-10,11095,11089,11146,11038
2014-06-11,11110,11364,11372,11110
2014-06-12,11350,11329,11435,11291
2014-06-13,11310,11351,11387,11255
2014-06-16,11400,11392,11532,11367
2014-06-17,11404,11422,11449,11311
2014-06-18,11400,11255,11439,11217
2014-06-19,11265,11205,11295,11156
2014-06-20,11230,11159,11255,11141
2014-06-23,11175,11223,11243,11124
2014-06-24,11202,10900,11236,10900
2014-06-25,10900,10917,10948,10869
2014-06-26,10900,10907,10945,10835
2014-06-27,10907,10904,10967,10855
2014-06-30,10887,10955,10998,10882
2014-07-01,10950,11006,11041,10925
2014-07-02,11039,11220,11238,10990
2014-07-03,11220,11179,11259,10960
2014-07-04,11183,11202,11266,11142
2014-07-07,11218,11301,11323,11193
2014-07-08,11300,11316,11353,11205
2014-07-09,11269,11154,11293,11025
2014-07-10,11120,11161,11195,11091
2014-07-11,11218,11199,11218,11126
2014-07-14,11137,11192,11218,11120
2014-07-15,11200,11188,11284,11168
2014-07-16,11150,11236,11240,11078
2014-07-17,11242,11108,11265,11108
2014-07-18,11120,11073,11127,10979
2014-07-21,11040,11081,11127,10979
2014-07-22,11101,11043,11127,11036
2014-07-23,11025,11150,11151,11020
2014-07-24,11163,11128,11188,11124
2014-07-25,11130,11248,11248,11108
2014-07-28,11225,11286,11302,11215
2014-07-29,11285,11345,11374,11270
2014-07-30,10680,10687,11345,10650
2014-07-31,10678,10666,10687,10621
2014-08-01,10648,10605,10731,10600
2014-08-04,10585,10613,10731,10554
2014-08-05,10650,10514,10650,10466
2014-08-06,10485,10565,10582,10485
2014-08-07,10562,10536,10570,10492
2014-08-08,10536,10488,10570,10425
2014-08-11,10498,10547,10588,10488
2014-08-12,10540,10472,10547,10466
2014-08-13,10459,10442,10472,10381
2014-08-14,10440,10458,10498,10390
2014-08-15,10438,10537,10540,10406
2014-08-18,10546,10572,10576,10507
2014-08-19,10580,10579,10600,10540
2014-08-20,10570,10495,10579,10471
2014-08-21,10526,10645,10648,10495
2014-08-22,10650,10636,10664,10612
2014-08-25,10640,10646,10664,10573
2014-08-26,10643,10636,10684,10587
2014-08-27,10630,10622,10656,10607
