Date,Open,Close,High,Low
2018-10-08,9575,9800,9828,9575
2018-10-09,9810,10129,10150,9810
2018-10-10,10139,10042,10139,9984
2018-10-11,9948,9915,9967,9800
2018-10-12,9900,9905,9944,9790
2018-10-15,9905,9810,9966,9810
2018-10-16,9813,9712,9825,9643
2018-10-17,9750,9700,9765,9680
2018-10-18,9630,9732,9761,9606
2018-10-19,9699,9615,9739,9609
2018-10-22,9624,9577,9687,9552
2018-10-23,9579,9544,9621,9526
2018-10-24,9500,9511,9586,9467
2018-10-25,9473,9368,9495,9320
2018-10-26,9360,9422,9479,9358
2018-10-29,9450,9248,9452,9221
2018-10-30,9258,9225,9303,9165
2018-10-31,9215,9256,9295,9169
2018-11-01,9250,9125,9262,9106
2018-11-02,9110,9250,9260,9061
2018-11-05,9241,9246,9291,9202
2018-11-06,9245,9244,9315,9170
2018-11-07,9208,9185,9218,9117
2018-11-08,9180,9155,9241,9095
2018-11-09,9115,9010,9220,9006
2018-11-12,9000,8927,9022,8888
2018-11-13,8900,8950,8979,8865
2018-11-14,8815,8870,8870,8761
2018-11-15,8850,8918,8937,8850
2018-11-16,8938,8982,9049,8880
2018-11-19,8980,8929,8980,8896
2018-11-20,8920,8774,8959,8768
2018-11-21,8600,8617,8656,8534
2018-11-22,8560,8592,8683,8560
2018-11-23,8577,8295,8580,8295
2018-11-26,8100,8073,8222,8033
2018-11-27,8150,8081,8177,8060
2018-11-28,8104,8368,8372,8096
2018-11-29,8348,8286,8366,8220
2018-11-30,8330,8387,8410,8294
2018-12-03,8516,8546,8665,8443
2018-12-04,8555,8690,8701,8470
2018-12-05,8630,8717,8725,8540
2018-12-06,9261,9098,9279,9054
2018-12-07,9156,9095,9235,9028
2018-12-10,9085,9065,9154,9016
2018-12-11,9000,8870,9016,8756
2018-12-12,8900,8829,8937,8822
2018-12-13,8815,8907,8954,8800
2018-12-14,8960,8988,8990,8920
2018-12-17,8987,9090,9098,8963
2018-12-18,9040,9087,9098,9001
2018-12-19,9005,9158,9162,8988
2018-12-20,9150,9050,9175,9006
2018-12-21,9017,9005,9058,8956
2018-12-24,8990,8940,9010,8935
2018-12-25,8898,8896,8920,8842
2018-12-26,8066,8170,8173,8047
2018-12-27,8275,8260,8362,8226
2018-12-28,8251,8300,8306,8222
2019-01-02,8278,8180,8335,8170
2019-01-03,8210,8210,8268,8200
2019-01-04,8230,8407,8407,8203
2019-01-07,8430,8417,8450,8374
2019-01-08,8427,8315,8446,8309
2019-01-09,8380,8364,8431,8351
2019-01-10,8400,8326,8430,8316
2019-01-11,8329,8430,8436,8308
2019-01-14,8411,8325,8457,8320
2019-01-15,8315,8360,8375,8288
2019-01-16,8375,8476,8488,8347
2019-01-17,8466,8468,8515,8440
2019-01-18,8512,8571,8596,8455
2019-01-21,8620,8607,8657,8550
2019-01-22,8650,8499,8695,8483
2019-01-23,8412,8526,8535,8412
2019-01-24,8503,8470,8522,8416
2019-01-25,8500,8458,8575,8449
2019-01-28,8482,8448,8517,8421
2019-01-29,8402,8358,8420,8342
2019-01-30,8400,8537,8568,8360
2019-01-31,8547,8573,8600,8514
2019-02-01,8566,8587,8611,8521
2019-02-11,8580,8468,8619,8440
2019-02-12,8412,8477,8527,8412
2019-02-13,8441,8380,8486,8362
2019-02-14,8400,8412,8438,8378
2019-02-15,8400,8347,8441,8336
2019-02-18,8401,8371,8450,8320
2019-02-19,8395,8526,8529,8364
2019-02-20,8521,8530,8540,8466
2019-02-21,8580,8511,8585,8484
2019-02-22,8511,8501,8540,8477
2019-02-25,8500,8450,8528,8445
2019-02-26,8402,8533,8533,8393
2019-02-27,8540,8430,8545,8414
2019-02-28,8440,8416,8464,8380
2019-03-01,8430,8584,8595,8399
2019-03-04,8555,8686,8715,8543
2019-03-05,8680,8648,8680,8621
2019-03-06,8631,8670,8719,8612
2019-03-07,8650,8567,8671,8566
2019-03-08,8550,8502,8550,8495
2019-03-11,8480,8542,8546,8450
2019-03-12,8545,8580,8604,8515
2019-03-13,8583,8568,8608,8556
