Date,Open,Close,High,Low
2018-10-08,6800,6768,6815,6760
2018-10-09,6767,6898,6898,6764
2018-10-10,6901,6912,6929,6866
2018-10-11,6902,6825,6928,6800
2018-10-12,6832,6881,6890,6832
2018-10-15,6897,6885,6925,6873
2018-10-16,6891,6876,6925,6856
2018-10-17,6872,6891,6904,6849
2018-10-18,6892,6843,6894,6839
2018-10-19,6841,6826,6865,6810
2018-10-22,6840,6871,6885,6825
2018-10-23,6872,6823,6897,6820
2018-10-24,6813,6766,6823,6758
2018-10-25,6772,6723,6790,6700
2018-10-26,6735,6732,6755,6713
2018-10-29,6725,6757,6773,6684
2018-10-30,6765,6723,6815,6709
2018-10-31,6712,6716,6755,6702
2018-11-01,6720,6707,6749,6696
2018-11-02,6715,6600,6726,6546
2018-11-05,6610,6636,6667,6610
2018-11-06,6630,6630,6646,6605
2018-11-07,6628,6631,6660,6611
2018-11-08,6631,6608,6665,6587
2018-11-09,6608,6564,6629,6539
2018-11-12,6561,6554,6570,6479
2018-11-13,6555,6537,6558,6524
2018-11-14,6538,6457,6550,6443
2018-11-15,6465,6469,6495,6454
2018-11-16,6480,6479,6518,6468
2018-11-19,6446,6449,6462,6425
2018-11-20,6443,6483,6524,6396
2018-11-21,6490,6510,6532,6432
2018-11-22,6523,6556,6575,6495
2018-11-23,6572,6589,6604,6542
2018-11-26,6585,6594,6629,6545
2018-11-27,6566,6530,6622,6528
2018-11-28,6526,6556,6571,6519
2018-11-29,6564,6555,6596,6546
2018-11-30,6575,6596,6600,6548
2018-12-03,6595,6565,6613,6540
2018-12-04,6391,6407,6422,6354
2018-12-05,6420,6430,6454,6394
2018-12-06,6425,6496,6515,6404
2018-12-07,6495,6490,6517,6458
2018-12-10,6500,6467,6530,6452
2018-12-11,6486,6451,6503,6416
2018-12-12,6476,6510,6511,6446
2018-12-13,6527,6506,6527,6486
2018-12-14,6488,6432,6502,6410
2018-12-17,6427,6461,6475,6400
2018-12-18,6461,6469,6481,6428
2018-12-19,6475,6489,6498,6434
2018-12-20,6500,6390,6521,6331
2018-12-21,6404,6374,6407,6368
2018-12-24,6364,6357,6402,6341
2018-12-25,6349,6307,6364,6293
2018-12-26,6307,6306,6333,6290
2018-12-27,6307,6293,6330,6260
2018-12-28,6290,6298,6300,6280
2019-01-02,6608,6671,6678,6607
2019-01-03,6672,6696,6708,6652
2019-01-04,6695,6707,6714,6682
2019-01-07,6713,6715,6735,6700
2019-01-08,6716,6720,6738,6679
2019-01-09,6716,6701,6751,6695
2019-01-10,6696,6686,6715,6675
2019-01-11,6688,6638,6697,6620
2019-01-14,6643,6604,6658,6581
2019-01-15,6590,6630,6630,6573
2019-01-16,6626,6640,6656,6618
2019-01-17,6640,6626,6657,6618
2019-01-18,6637,6679,6695,6632
2019-01-21,6688,6764,6772,6674
2019-01-22,6768,6801,6832,6752
2019-01-23,6808,6798,6838,6771
2019-01-24,6799,6794,6829,6784
2019-01-25,6800,6789,6805,6759
2019-01-28,6795,6882,6890,6785
2019-01-29,6882,6883,6905,6854
2019-01-30,6872,6871,6892,6855
2019-01-31,6880,6845,6885,6821
2019-02-01,6841,6848,6887,6839
2019-02-11,6890,6841,6916,6833
2019-02-12,6846,6852,6873,6824
2019-02-13,6861,6858,6870,6819
2019-02-14,6848,6864,6887,6816
2019-02-15,6850,6829,6875,6812
2019-02-18,6833,6864,6869,6829
2019-02-19,6865,6940,6950,6854
2019-02-20,6914,6865,6922,6852
2019-02-21,6856,6838,6866,6804
2019-02-22,6859,6846,6891,6826
2019-02-25,6848,6851,6878,6833
2019-02-26,6817,6771,6874,6763
2019-02-27,6766,6789,6827,6765
2019-02-28,6783,6813,6830,6763
2019-03-01,6814,6987,7055,6808
2019-03-04,7008,7078,7124,6924
2019-03-05,7083,7093,7124,7041
2019-03-06,7111,7224,7257,7098
2019-03-07,7250,7143,7263,7130
2019-03-08,7138,7199,7232,7123
2019-03-11,7201,7184,7235,7145
2019-03-12,7182,7076,7204,7052
2019-03-13,7090,6982,7110,6982
2019-03-14,6981,6957,7027,6951
2019-03-15,6960,6931,6980,6910
2019-03-18,6931,7002,7017,6931
2019-03-19,7009,7015,7034,6975
2019-03-20,7021,7025,7041,6990
2019-03-21,7021,7046,7054,7021
2019-03-22,7040,7101,7132,7007
2019-03-25,7099,7080,7121,7070
2019-03-26,7077,7073,7129,7061
2019-03-27,7119,7133,7153,7095
2019-03-28,7131,6929,7139,6925
2019-03-29,6920,6926,6975,6851
2019-04-01,6921,6957,6995,6881
2019-04-02,6953,6999,7029,6907
2019-04-03,7010,7058,7080,7002
2019-04-04,7058,7069,7087,7027
2019-04-08,7070,7100,7131,7059
2019-04-09,7102,7097,7113,7020
2019-04-10,7088,7095,7185,7061
2019-04-11,7034,7042,7058,7010
2019-04-12,7042,7052,7057,6988
2019-04-15,7044,7011,7080,7010
2019-04-16,6994,7012,7035,6966
2019-04-17,7002,7041,7066,6998
2019-04-18,7039,7013,7066,7000
2019-04-19,7018,7040,7060,7003
2019-04-22,7036,7100,7132,7027
2019-04-23,7093,7110,7118,7072
2019-04-24,7091,7045,7118,7026
2019-04-25,6859,6855,6874,6830
2019-04-26,6860,6820,6881,6778
2019-04-29,6815,6805,6838,6790
2019-04-30,6803,6805,6831,6783
2019-05-06,6714,6771,6825,6714
2019-05-07,6746,6830,6851,6746
2019-05-08,6822,6806,6847,6801
2019-05-09,6803,6896,6903,6797
2019-05-10,6894,6885,6908,6828
2019-05-13,6885,6878,6915,6854
2019-05-14,6887,6882,6933,6833
2019-05-15,6890,6906,6921,6875
2019-05-16,6905,6921,6953,6905
2019-05-17,6926,6918,6949,6884
2019-05-20,6913,6938,6955,6899
2019-05-21,6949,6957,6985,6926
2019-05-22,6950,6926,6964,6895
2019-05-23,6920,6897,6948,6878
2019-05-24,6883,6925,6943,6883
2019-05-27,6938,7006,7025,6926
2019-05-28,7012,7000,7018,6971
2019-05-29,6999,7074,7120,6972
2019-05-30,7061,7020,7068,6982
2019-05-31,7020,7006,7040,6976
2019-06-03,6996,6972,7009,6938
2019-06-04,6988,7014,7034,6978
2019-06-05,7038,6994,7038,6972
2019-06-06,6994,7010,7052,6972
2019-06-10,7010,7015,7043,6975
2019-06-11,7012,7023,7047,6985
2019-06-12,7021,7009,7041,7000
2019-06-13,7010,7044,7059,7002
2019-06-14,7058,7036,7086,7022
2019-06-17,7031,7068,7077,7016
2019-06-18,7081,7082,7103,7055
2019-06-19,7075,6975,7095,6972
2019-06-20,6966,6934,6990,6915
2019-06-21,6930,6899,6961,6881
2019-06-24,6886,6889,6938,6886
2019-06-25,6899,6892,6912,6885
2019-06-26,6899,6874,6909,6867
2019-06-27,6876,6931,6934,6860
2019-06-28,6921,6920,6928,6907
2019-07-01,6920,6848,6920,6642
2019-07-02,6848,6843,6869,6822
2019-07-03,6847,6856,6866,6799
2019-07-04,6863,6898,6910,6846
2019-07-05,6900,6878,6912,6860
2019-07-08,6866,6897,6912,6866
2019-07-09,6899,6864,6932,6843
2019-07-10,6855,6858,6886,6843
2019-07-11,6867,6859,6890,6828
2019-07-12,6862,6839,6885,6832
2019-07-15,6836,6971,6978,6815
2019-07-16,6960,6951,6966,6919
2019-07-17,6942,6963,6992,6937
2019-07-18,6969,6995,6998,6938
2019-07-19,6998,6968,7005,6940
2019-07-22,6966,6967,6980,6948
2019-07-23,6974,6981,7000,6950
2019-07-24,6971,6985,7018,6952
2019-07-25,6991,6967,6999,6952
2019-07-26,6971,6956,6978,6935
2019-07-29,6959,7022,7044,6948
2019-07-30,7034,7003,7040,6993
2019-07-31,7003,6990,7014,6962
2019-08-01,6990,6990,7001,6966
2019-08-02,6994,6995,7037,6962
2019-08-05,7002,7061,7084,6992
2019-08-06,6991,7013,7060,6969
2019-08-07,7035,7008,7035,6985
2019-08-08,6994,7054,7077,6965
2019-08-09,7065,7169,7244,7048
2019-08-12,7177,7208,7268,7119
2019-08-13,7208,7288,7293,7172
2019-08-14,7272,7205,7308,7083
2019-08-15,7185,7215,7246,7173
2019-08-16,7204,7238,7322,7195
2019-08-19,7242,7239,7277,7206
2019-08-20,7240,7275,7296,7222
2019-08-21,7259,7254,7293,7239
2019-08-22,7267,7345,7374,7266
2019-08-23,7338,7335,7371,7211
2019-08-26,7355,7465,7486,7339
2019-08-27,7451,7366,7476,7366
2019-08-28,7373,7436,7452,7347
2019-08-29,7436,7402,7474,7396
2019-08-30,7397,7402,7437,7357
2019-09-02,7410,7425,7468,7387
2019-09-03,7415,7395,7424,7347
2019-09-04,7390,7439,7465,7369
2019-09-05,7442,7398,7461,7373
2019-09-06,7399,7334,7399,7258
2019-09-09,7348,7325,7367,7292
2019-09-10,7320,7347,7362,7308
2019-09-11,7356,7326,7378,7309
2019-09-12,7325,7313,7342,7299
2019-09-16,7342,7342,7349,7272
2019-09-17,7340,7344,7419,7325
2019-09-18,7343,7315,7346,7291
2019-09-19,7318,7318,7359,7306
2019-09-20,7318,7296,7335,7287
2019-09-23,7296,7340,7343,7280
2019-09-24,7331,7209,7342,7182
2019-09-25,7228,7201,7236,7199
2019-09-26,7212,7221,7231,7174
2019-09-27,7214,7122,7230,7106
2019-09-30,7114,7089,7130,7050
2019-10-08,7122,7130,7155,7101
2019-10-09,7140,7219,7238,7136
2019-10-10,7217,7250,7264,7200
2019-10-11,7249,7277,7290,7231
2019-10-14,7265,7153,7268,7138
2019-10-15,7155,7131,7178,7103
2019-10-16,7143,7164,7216,7135
2019-10-17,7161,7168,7196,7148
2019-10-18,7162,7143,7185,7121
2019-10-21,7166,7171,7184,7137
2019-10-22,7165,7139,7197,7126
2019-10-23,7156,7176,7211,7145
2019-10-24,7167,7181,7188,7083
2019-10-25,7196,7210,7296,7182
2019-10-28,7211,7252,7257,7205
2019-10-29,7244,7241,7262,7190
2019-10-30,7230,7314,7336,7228
2019-10-31,7318,7278,7352,7276
2019-11-01,7280,7334,7348,7267
2019-11-04,7326,7376,7398,7294
2019-11-05,7394,7427,7527,7380
2019-11-06,7400,7287,7419,7258
2019-11-07,7309,7304,7350,7264
2019-11-08,7317,7299,7318,7263
2019-11-11,7317,7405,7424,7296
2019-11-12,7382,7380,7404,7355
2019-11-13,7366,7337,7376,7324
2019-11-14,7321,7301,7339,7255
2019-11-15,7303,7254,7325,7241
2019-11-18,7240,7291,7294,7209
2019-11-19,7277,7275,7309,7255
2019-11-20,7292,7390,7457,7287
2019-11-21,7392,7367,7417,7350
2019-11-22,7361,7369,7398,7335
2019-11-25,7412,7370,7440,7355
2019-11-26,7348,7336,7358,7238
2019-11-27,7348,7366,7373,7304
2019-11-28,7373,7409,7430,7342
2019-11-29,7435,7489,7530,7398
2019-12-02,7466,7404,7481,7373
2019-12-03,7423,7409,7433,7356
2019-12-04,7405,7401,7438,7377
2019-12-05,7411,7404,7417,7370
2019-12-06,7407,7367,7423,7325
2019-12-09,7370,7414,7467,7348
2019-12-10,7412,7363,7435,7350
