Date,Open,Close,High,Low
2018-10-08,5490,5490,5490,5490
2018-11-08,5002,5002,5002,5002
2018-11-13,5482,5455,5482,5404
2018-11-14,5665,5665,5665,5665
2018-11-15,5500,5500,5500,5500
2018-11-19,5776,5554,5776,5052
2018-11-21,5510,5445,5510,5408
2018-12-03,5508,5328,5508,5328
2018-12-04,5399,5399,5399,5399
2019-01-16,5415,5414,5415,5414
2019-01-17,4873,5320,5367,4873
2019-01-18,5350,5389,5448,5251
2019-01-21,5299,5319,5500,5293
2019-01-24,5006,5328,5330,5006
2019-01-28,5459,5459,5459,5459
2019-01-29,5366,4925,5366,4925
2019-02-20,5165,5106,5201,5106
2019-02-22,5122,5122,5122,5122
2019-03-01,5065,5088,5088,5065
2019-03-05,5050,5001,5050,5001
2019-03-25,4549,4780,4780,4549
2019-03-28,5240,4819,5244,4814
2019-03-29,4653,4653,4653,4653
2019-04-01,4509,4891,4891,4509
2019-04-02,4797,4732,4797,4645
2019-04-03,4695,4697,4697,4695
2019-04-17,4288,4525,4525,4288
2019-04-18,4554,4378,4554,4378
2019-06-10,4202,4203,4203,4202
2019-06-13,4101,4090,4101,4025
2019-06-18,3665,3665,3665,3665
2019-06-19,3906,3871,3906,3853
2019-06-20,3999,3950,3999,3900
2019-06-21,4010,3880,4010,3880
2019-06-24,4069,4080,4080,4069
2019-06-28,4160,4160,4160,4160
2019-07-09,4050,4050,4050,4050
2019-07-17,3889,4100,4100,3889
2019-07-30,4200,4200,4200,4200
2019-08-08,4020,4020,4020,4020
2019-08-12,4000,3943,4000,3942
2019-08-13,3999,4005,4005,3915
2019-08-14,4034,4080,4094,4011
2019-08-19,4086,4150,4162,4060
2019-08-20,4124,4109,4124,4109
2019-08-21,4100,4090,4100,4090
2019-08-22,4078,4078,4078,4078
2019-08-23,4097,4047,4097,4047
2019-08-26,4047,4047,4047,4047
2019-08-27,4021,3956,4021,3956
2019-08-28,4003,4003,4003,4003
2019-08-29,3965,3800,3969,3799
2019-08-30,3798,3812,3975,3798
2019-09-02,3701,3833,3870,3701
2019-09-03,3849,3838,3849,3831
2019-09-04,3869,3850,3919,3842
2019-09-05,3844,3849,3851,3844
2019-09-06,3828,3817,3830,3817
2019-09-09,3813,3803,3813,3798
2019-09-10,3792,3793,3810,3775
2019-09-11,3784,3787,3801,3784
2019-09-12,3787,3702,3803,3660
2019-09-16,3643,3690,3723,3643
2019-09-20,4130,4130,4130,4130
2019-10-21,4241,4194,4241,4194
2019-10-23,4024,4024,4024,4024
2019-10-28,4240,4185,4240,4185
2019-10-29,4180,4200,4262,4180
2019-11-05,4493,4489,4493,4435
2019-11-06,4376,4436,4436,4309
2020-01-03,4150,4205,4205,4150
2020-03-05,4450,4399,4450,4219
2020-03-06,4319,4402,4545,4319
2020-03-16,4443,4443,4443,4443
2020-03-17,4250,4250,4250,4250
2020-04-03,4265,4265,4265,4265
2020-04-08,4210,4421,4520,4210
2020-04-13,4326,4458,4458,4326
2020-04-14,4327,4393,4554,4327
2020-04-15,4479,4125,4517,4125
2020-04-20,4549,4549,4549,4549
2020-04-24,4101,4101,4101,4101
2020-05-15,4493,4459,4493,4361
2020-05-20,4780,4425,4780,4357
2020-05-21,4001,4436,4436,4001
2020-05-22,4473,4556,4640,4445
2020-05-25,4500,4500,4500,4500
2020-06-01,4629,4698,4698,4532
2020-06-02,4635,4635,4635,4635
2020-06-08,4469,4627,4665,4469
2020-06-09,4211,4501,4735,4211
2020-06-12,4684,4559,4684,4446
2020-06-16,4696,4717,4717,4696
2020-06-17,4528,4804,4804,4528
2020-06-30,4960,4960,4960,4960
2020-07-17,5333,5333,5333,5333
2020-07-30,5333,5333,5333,5333
2020-08-03,6630,6630,6630,6630
2020-08-20,5006,5447,5447,5006
2020-08-31,5574,5574,5574,5574
2021-02-03,5999,5745,5999,5745
2021-03-12,6360,6138,6360,6003
2021-04-12,6065,5868,6065,5621
2021-04-13,5601,5601,5601,5601
2021-04-20,5576,5943,5943,5576
2021-05-12,6064,6064,6064,6064
2021-05-17,5549,5987,5987,5549
2021-05-18,5598,5598,5598,5598
2021-06-03,5591,5591,5591,5591
2021-06-04,5710,5750,5750,5710
2021-06-09,5836,5869,5869,5700
2021-06-10,5887,5896,5896,5834
2021-06-11,5702,5702,5702,5702
2021-06-29,5730,5751,5900,5616
2021-07-01,5624,5775,6052,5624
2021-08-11,4800,5600,5600,4800
2021-09-07,6062,6177,6177,6062
2021-10-14,6250,6279,6279,6250
2021-10-21,6405,6306,6419,6306
2021-10-26,6450,6322,6450,6322
2021-10-27,6465,6465,6465,6465
2021-10-28,6325,6462,6462,6325
2021-10-29,6330,6368,6520,6310
2021-11-12,6500,6399,6500,6312
2021-11-15,6350,6426,6456,6350
2021-11-16,6365,6365,6365,6365
2021-11-25,6350,6418,6418,6350
2021-11-30,6449,6449,6449,6449
2021-12-07,6450,6451,6451,6450
2021-12-13,6360,6360,6360,6360
2021-12-14,6102,6103,6103,6102
2021-12-29,5979,5979,5979,5979
2022-01-10,5405,5405,5405,5405
2022-01-13,5923,5996,6081,5435
2022-01-14,5860,5914,6099,5860
2022-01-17,5848,5848,5848,5848
2022-02-07,6461,5958,6461,5403
2022-02-09,6147,5967,6147,5849
2022-02-15,5702,5702,5702,5702
2022-02-18,6373,5916,6388,5816
2022-02-23,5988,5999,5999,5988
2022-02-25,5945,5969,6082,5940
2022-02-28,6199,5921,6199,5862
2022-03-03,6143,6143,6143,6143
2022-03-08,6150,6107,6153,6107
2022-03-09,6039,6004,6186,6004
2022-03-11,6098,6381,6693,6098
2022-03-14,6449,6351,6478,6351
2022-03-15,6301,6207,6319,6136
2022-03-16,6299,6339,6339,6201
2022-03-18,6357,6395,6395,6340
2022-03-21,6315,6400,6400,6315
2022-03-22,6301,6399,6399,6256
2022-03-23,6251,6369,6369,6251
2022-03-24,6497,6421,6497,6421
2022-03-25,6354,6459,6493,6354
2022-03-29,6366,6366,6366,6366
2022-03-31,6050,6324,6395,6050
2022-04-01,6373,6268,6373,6268
2022-04-13,6368,6125,6368,6125
2022-04-15,6255,6255,6255,6255
2022-04-22,6879,6250,6879,5695
2022-04-27,6264,6264,6264,6264
2022-05-06,6524,6360,6524,6360
2022-06-17,6850,6835,6850,6595
2022-06-24,6455,6351,6455,6351
2022-07-11,6682,6682,6682,6682
2022-07-15,7040,7040,7040,7040
2022-07-22,6915,6252,6916,6252
