Date,Open,Close,High,Low
2012-12-31,2430,2398,2458,2385
2013-01-01,2399,2340,2399,2336
2013-01-07,2322,2370,2380,2316
2013-01-08,2365,2455,2457,2360
2013-01-09,2470,2480,2500,2438
2013-01-10,2488,2478,2514,2472
2013-01-11,2473,2462,2490,2459
2013-01-14,2465,2509,2525,2463
2013-01-15,2527,2541,2548,2505
2013-01-16,2549,2562,2618,2542
2013-01-17,2565,2586,2595,2542
2013-01-18,2602,2571,2612,2565
2013-01-21,2580,2573,2612,2561
2013-01-22,2575,2573,2591,2562
2013-01-23,2574,2591,2595,2574
2013-01-24,2591,2576,2604,2573
2013-01-25,2569,2493,2569,2486
2013-01-28,2500,2504,2518,2493
2013-01-29,2513,2521,2524,2484
2013-01-30,2521,2515,2528,2506
2013-01-31,2518,2531,2538,2516
2013-02-01,2542,2537,2550,2533
2013-02-04,2530,2521,2532,2477
2013-02-05,2521,2561,2579,2520
2013-02-06,2558,2586,2614,2549
2013-02-07,2600,2579,2609,2576
2013-02-08,2576,2567,2586,2563
2013-02-11,2572,2586,2602,2572
2013-02-19,2540,2569,2574,2532
2013-02-20,2484,2541,2549,2484
2013-02-21,2556,2544,2562,2543
2013-02-22,2535,2582,2584,2517
2013-02-25,2580,2572,2639,2565
2013-02-26,2550,2503,2560,2496
2013-02-27,2496,2498,2538,2482
2013-02-28,2518,2514,2538,2494
2013-03-01,2530,2486,2538,2485
2013-03-04,2495,2504,2515,2475
2013-03-05,2497,2496,2513,2480
2013-03-06,2513,2520,2530,2508
2013-03-07,2519,2497,2526,2480
2013-03-08,2497,2495,2506,2485
2013-03-11,2506,2493,2510,2491
2013-03-12,2495,2439,2495,2438
2013-03-13,2445,2409,2445,2406
2013-03-14,2412,2431,2435,2388
2013-03-15,2415,2442,2450,2401
2013-03-18,2453,2449,2464,2433
2013-03-19,2428,2426,2445,2370
2013-03-20,2434,2421,2446,2419
2013-03-21,2416,2426,2430,2410
2013-03-22,2431,2449,2457,2431
2013-03-25,2454,2418,2456,2418
2013-03-26,2421,2409,2430,2404
2013-03-27,2407,2421,2424,2404
2013-03-28,2427,2424,2435,2413
2013-03-29,2428,2388,2431,2386
2013-04-01,2350,2365,2378,2340
2013-04-02,2363,2328,2367,2321
2013-04-03,2336,2340,2350,2323
2013-04-04,2330,2334,2337,2304
2013-04-09,2320,2353,2363,2311
2013-04-10,2356,2350,2368,2345
2013-04-11,2354,2371,2375,2350
2013-04-12,2368,2370,2375,2355
2013-04-15,2378,2409,2410,2375
2013-04-16,2403,2417,2430,2392
2013-04-17,2393,2430,2435,2372
2013-04-18,2437,2411,2443,2402
2013-04-19,2403,2415,2423,2396
2013-04-22,2420,2403,2426,2397
2013-04-23,2399,2409,2424,2385
2013-04-24,2406,2393,2417,2382
2013-04-25,2388,2344,2391,2334
2013-04-26,2343,2340,2348,2317
2013-04-29,2352,2342,2363,2325
2013-05-03,2330,2347,2355,2321
2013-05-06,2345,2328,2351,2310
2013-05-07,2338,2342,2343,2321
2013-05-08,2332,2343,2356,2332
