Date,Open,Close,High,Low
2018-10-08,2360,2387,2393,2357
2018-10-09,2389,2420,2444,2377
2018-10-10,2419,2421,2425,2400
2018-10-11,2416,2393,2436,2385
2018-10-12,2398,2396,2412,2378
2018-10-15,2394,2403,2414,2390
2018-10-16,2405,2427,2437,2396
2018-10-17,2426,2414,2427,2392
2018-10-18,2416,2406,2424,2402
2018-10-19,2402,2397,2406,2388
2018-10-22,2398,2382,2402,2379
2018-10-23,2380,2368,2388,2367
2018-10-24,2367,2380,2381,2365
2018-10-25,2379,2371,2379,2353
2018-10-26,2371,2384,2386,2363
2018-10-29,2385,2363,2394,2363
2018-10-30,2365,2323,2370,2320
2018-10-31,2327,2329,2334,2323
2018-11-01,2330,2294,2333,2291
2018-11-02,2293,2274,2309,2245
2018-11-05,2277,2291,2301,2270
2018-11-06,2291,2290,2301,2286
2018-11-07,2290,2299,2308,2281
2018-11-08,2300,2270,2301,2237
2018-11-09,2270,2261,2272,2255
2018-11-12,2261,2266,2269,2245
2018-11-13,2267,2268,2273,2247
2018-11-14,2268,2267,2275,2253
2018-11-15,2267,2262,2272,2250
2018-11-16,2264,2306,2312,2261
2018-11-19,2307,2299,2309,2295
2018-11-20,2295,2296,2300,2274
2018-11-21,2300,2323,2324,2280
2018-11-22,2322,2315,2324,2298
2018-11-23,2314,2277,2319,2260
2018-11-26,2277,2207,2282,2192
2018-11-27,2239,2196,2265,2177
2018-11-28,2193,2198,2212,2183
2018-11-29,2195,2196,2225,2190
2018-11-30,2204,2192,2204,2175
2018-12-03,2197,2202,2233,2113
2018-12-04,2199,2169,2217,2137
2018-12-05,2173,2205,2214,2160
2018-12-06,2202,2239,2259,2200
2018-12-07,2236,2257,2263,2222
2018-12-10,2258,2223,2258,2204
2018-12-11,2229,2227,2255,2209
2018-12-12,2222,2218,2227,2198
2018-12-13,2220,2162,2223,2159
2018-12-14,2161,2088,2167,2078
2018-12-17,2089,2092,2102,2065
2018-12-18,2199,2203,2207,2187
2018-12-19,2204,2203,2210,2194
2018-12-20,2202,2204,2212,2195
2018-12-21,2205,2200,2214,2192
2018-12-24,2200,2144,2208,2140
2018-12-25,2143,2145,2155,2131
2018-12-26,2147,2141,2152,2137
2018-12-27,2145,2137,2161,2120
2018-12-28,2138,2133,2142,2117
2019-01-02,2135,2155,2164,2131
2019-01-03,2159,2172,2174,2150
2019-01-04,2172,2198,2201,2170
2019-01-07,2202,2200,2216,2191
2019-01-08,2201,2194,2209,2190
2019-01-09,2195,2201,2210,2190
2019-01-10,2201,2195,2206,2178
2019-01-11,2194,2160,2197,2158
2019-01-14,2160,2125,2166,2120
2019-01-15,2120,2134,2138,2113
2019-01-16,2133,2124,2139,2105
2019-01-17,2127,2133,2148,2126
2019-01-18,2135,2162,2164,2129
2019-01-21,2167,2178,2184,2156
2019-01-22,2177,2182,2187,2161
2019-01-23,2184,2173,2190,2167
2019-01-24,2172,2184,2184,2164
2019-01-25,2179,2168,2181,2156
2019-01-28,2170,2172,2180,2166
2019-01-29,2169,2153,2174,2144
2019-01-30,2155,2147,2156,2142
2019-01-31,2150,2164,2176,2147
2019-02-01,2165,2164,2188,2152
2019-02-11,2154,2208,2209,2154
2019-02-12,2205,2228,2233,2203
2019-02-13,2227,2228,2230,2206
2019-02-14,2222,2220,2238,2215
