Date,Open,Close,High,Low
2018-09-20,3870,3871,3908,3854
2018-09-21,3870,3886,3899,3850
2018-09-25,3885,3795,3893,3791
2018-09-26,3798,3790,3811,3768
2018-09-27,3794,3756,3811,3732
2018-09-28,3748,3719,3748,3685
2018-10-08,3712,3704,3732,3668
2018-10-09,3702,3753,3760,3695
2018-10-10,3756,3786,3798,3726
2018-10-11,3780,3784,3795,3716
2018-10-12,3785,3813,3850,3774
2018-10-15,3820,3833,3844,3807
2018-10-16,3836,3797,3841,3795
2018-10-17,3800,3838,3840,3779
2018-10-18,3847,3793,3853,3783
2018-10-19,3793,3747,3806,3740
2018-10-22,3750,3811,3831,3743
2018-10-23,3812,3812,3838,3805
2018-10-24,3806,3838,3840,3785
2018-10-25,3842,3819,3843,3792
2018-10-26,3820,3834,3848,3815
2018-10-29,3830,3778,3876,3775
2018-10-30,3785,3765,3805,3758
2018-10-31,3762,3720,3768,3706
2018-11-01,3740,3656,3745,3652
2018-11-02,3652,3669,3681,3637
2018-11-05,3665,3693,3702,3625
2018-11-06,3691,3627,3696,3620
2018-11-07,3625,3559,3632,3543
2018-11-08,3564,3584,3592,3503
2018-11-09,3583,3513,3586,3513
2018-11-12,3512,3484,3527,3434
2018-11-13,3480,3489,3509,3469
2018-11-14,3478,3542,3545,3470
2018-11-15,3547,3510,3560,3474
2018-11-16,3501,3512,3551,3493
2018-11-19,3503,3526,3571,3480
2018-11-20,3513,3468,3550,3465
2018-11-21,3452,3502,3516,3400
2018-11-22,3506,3448,3517,3438
2018-11-23,3449,3350,3469,3349
2018-11-26,3330,3232,3355,3179
2018-11-27,3234,3246,3319,3218
2018-11-28,3560,3644,3668,3557
2018-11-29,3649,3605,3665,3565
2018-11-30,3595,3587,3627,3560
2018-12-03,3590,3695,3842,3562
2018-12-04,3709,3765,3788,3674
2018-12-05,3789,3798,3805,3723
2018-12-06,3796,3728,3797,3724
2018-12-07,3715,3732,3763,3676
2018-12-10,3717,3654,3728,3648
2018-12-11,3646,3670,3675,3620
2018-12-12,3680,3631,3697,3630
2018-12-13,3640,3721,3746,3635
2018-12-14,3717,3740,3750,3702
2018-12-17,3738,3760,3776,3735
2018-12-18,3768,3762,3768,3735
2018-12-19,3762,3763,3793,3758
2018-12-20,3254,3293,3298,3246
2018-12-21,3300,3312,3338,3280
2018-12-24,3317,3256,3318,3247
2018-12-25,3253,3204,3254,3173
2018-12-26,3201,3195,3221,3185
2018-12-27,3200,3175,3233,3172
2018-12-28,3172,3183,3193,3165
2019-01-02,3177,3158,3219,3149
2019-01-03,3158,3210,3210,3150
2019-01-04,3212,3249,3253,3202
2019-01-07,3257,3293,3298,3236
2019-01-08,3296,3280,3297,3266
2019-01-09,3283,3320,3344,3273
2019-01-10,3316,3319,3340,3309
2019-01-11,3320,3347,3360,3314
2019-01-14,3344,3388,3388,3337
2019-01-15,3388,3338,3388,3315
2019-01-16,3338,3357,3363,3333
2019-01-17,3358,3365,3378,3354
2019-01-18,3362,3450,3450,3348
2019-01-21,3450,3465,3474,3445
2019-01-22,3469,3444,3499,3442
2019-01-23,3440,3431,3471,3427
2019-01-24,3442,3460,3465,3432
2019-01-25,3460,3489,3519,3458
2019-01-28,3491,3466,3518,3465
2019-01-29,3470,3455,3478,3438
2019-01-30,3462,3461,3531,3447
2019-01-31,3470,3483,3495,3456
2019-02-01,3479,3516,3516,3478
2019-02-11,3600,3555,3629,3553
2019-02-12,3554,3537,3573,3530
2019-02-13,3540,3490,3558,3482
2019-02-14,3497,3469,3504,3460
2019-02-15,3470,3394,3477,3388
2019-02-18,3411,3449,3464,3408
2019-02-19,3462,3469,3488,3457
2019-02-20,3468,3448,3474,3402
2019-02-21,3448,3475,3494,3446
2019-02-22,3470,3527,3533,3455
2019-02-25,3535,3501,3567,3500
2019-02-26,3490,3537,3546,3488
2019-02-27,3537,3522,3548,3507
2019-02-28,3529,3534,3549,3506
2019-03-01,3534,3581,3584,3532
2019-03-04,3585,3594,3626,3575
2019-03-05,3601,3568,3607,3539
2019-03-06,3567,3530,3583,3528
2019-03-07,3535,3584,3592,3527
2019-03-08,3585,3542,3589,3535
2019-03-11,3502,3466,3507,3451
2019-03-12,3471,3538,3542,3470
2019-03-13,3545,3520,3555,3515
2019-03-14,3513,3506,3536,3491
2019-03-15,3513,3484,3518,3468
2019-03-18,3482,3491,3508,3465
2019-03-19,3496,3496,3526,3486
2019-03-20,3510,3498,3521,3482
2019-03-21,3490,3502,3538,3490
2019-03-22,3492,3512,3519,3485
2019-03-25,3508,3461,3521,3461
2019-03-26,3461,3434,3473,3418
2019-03-27,3435,3425,3447,3420
2019-03-28,3430,3405,3437,3394
2019-03-29,3400,3468,3479,3380
2019-04-01,3470,3497,3498,3451
2019-04-02,3492,3560,3575,3480
2019-04-03,3835,3879,3892,3821
2019-04-04,3891,3890,3896,3854
2019-04-08,3909,4030,4038,3908
2019-04-09,4030,4055,4087,4026
2019-04-10,4047,4068,4075,4033
2019-04-11,4078,4107,4109,4060
2019-04-12,4115,4128,4144,4061
2019-04-15,4144,4169,4172,4108
2019-04-16,4163,4144,4168,4130
2019-04-17,4137,4163,4168,4136
2019-04-18,4160,4102,4160,4093
2019-04-19,4094,4134,4135,4081
2019-04-22,4135,4150,4181,4127
2019-04-23,4143,4147,4173,4143
2019-04-24,4140,4133,4148,4124
2019-04-25,4132,4133,4160,4124
2019-04-26,3461,3484,3501,3461
2019-04-29,3479,3503,3508,3476
2019-04-30,3516,3543,3550,3508
2019-05-06,3465,3483,3500,3446
2019-05-07,3484,3487,3523,3479
2019-05-08,3485,3460,3486,3452
2019-05-09,3450,3466,3468,3438
2019-05-10,3456,3473,3480,3447
2019-05-13,3473,3430,3486,3430
2019-05-14,3429,3406,3451,3400
2019-05-15,3405,3423,3429,3380
2019-05-16,3430,3470,3478,3418
2019-05-17,3472,3493,3516,3471
2019-05-20,3489,3498,3508,3476
2019-05-21,3490,3618,3622,3490
2019-05-22,3617,3614,3651,3582
2019-05-23,3602,3586,3626,3585
2019-05-24,3585,3593,3593,3537
2019-05-27,3597,3555,3631,3555
2019-05-28,3554,3569,3591,3545
2019-05-29,3560,3553,3567,3532
2019-05-30,3552,3518,3563,3515
2019-05-31,3518,3493,3530,3489
2019-06-03,3487,3457,3595,3450
2019-06-04,3470,3496,3497,3446
2019-06-05,3500,3496,3510,3477
2019-06-06,3493,3485,3494,3430
2019-06-10,3470,3457,3479,3433
2019-06-11,3456,3560,3562,3453
2019-06-12,3561,3516,3577,3513
2019-06-13,3516,3526,3533,3492
2019-06-14,3537,3510,3547,3507
2019-06-17,3498,3462,3510,3459
2019-06-18,3455,3498,3500,3451
2019-06-19,3504,3530,3547,3483
2019-06-20,3519,3572,3578,3501
2019-06-21,3572,3600,3600,3547
2019-06-24,3604,3641,3698,3578
2019-06-25,3660,3702,3708,3651
2019-06-26,3700,3711,3713,3678
2019-06-27,3708,3715,3795,3703
2019-06-28,3716,3765,3771,3711
2019-07-01,3770,3794,3834,3757
2019-07-02,3799,3776,3820,3751
2019-07-03,3772,3755,3815,3724
2019-07-04,3748,3756,3795,3728
2019-07-05,3755,3741,3794,3724
2019-07-08,3735,3737,3765,3721
2019-07-09,3737,3770,3815,3735
2019-07-10,3770,3761,3782,3744
2019-07-11,3758,3755,3780,3725
2019-07-12,3755,3724,3768,3710
2019-07-15,3723,3782,3784,3689
2019-07-16,3784,3785,3809,3768
2019-07-17,3781,3801,3813,3771
2019-07-18,3798,3733,3804,3731
2019-07-19,3726,3776,3780,3712
2019-07-22,3785,3726,3786,3722
2019-07-23,3726,3721,3758,3710
2019-07-24,3714,3684,3720,3666
2019-07-25,3680,3716,3723,3672
2019-07-26,3724,3685,3746,3670
2019-07-29,3681,3650,3695,3649
2019-07-30,3646,3651,3688,3635
2019-07-31,3634,3657,3695,3633
2019-08-01,3656,3635,3683,3634
2019-08-02,3628,3590,3630,3522
2019-08-05,3590,3525,3603,3515
2019-08-06,3520,3497,3550,3494
2019-08-07,3498,3500,3535,3480
2019-08-08,3505,3477,3542,3468
2019-08-09,3482,3405,3505,3369
2019-08-12,3397,3451,3457,3368
2019-08-13,3448,3440,3471,3430
2019-08-14,3451,3451,3496,3424
2019-08-15,3448,3470,3486,3438
2019-08-16,3465,3459,3479,3447
2019-08-19,3458,3470,3486,3443
2019-08-20,3485,3435,3495,3432
2019-08-21,3427,3426,3437,3366
2019-08-22,3420,3418,3438,3360
2019-08-23,3432,3446,3462,3410
2019-08-26,3710,3663,3726,3651
2019-08-27,3652,3575,3667,3574
2019-08-28,3570,3611,3622,3540
2019-08-29,3612,3587,3628,3579
2019-08-30,3591,3644,3647,3586
2019-09-02,3640,3702,3704,3628
2019-09-03,3715,3714,3721,3690
2019-09-04,3705,3746,3750,3696
2019-09-05,3751,3767,3788,3742
2019-09-06,3762,3730,3773,3729
2019-09-09,3751,3804,3810,3727
2019-09-10,3810,3809,3816,3798
2019-09-11,3288,3279,3292,3265
2019-09-12,3290,3335,3337,3271
2019-09-16,3342,3358,3368,3325
2019-09-17,3360,3337,3384,3324
2019-09-18,3338,3309,3342,3307
2019-09-19,3309,3231,3311,3224
2019-09-20,3230,3219,3236,3208
2019-09-23,3218,3316,3317,3215
2019-09-24,3320,3292,3345,3285
2019-09-25,3300,3307,3320,3291
2019-09-26,3310,3260,3319,3254
2019-09-27,3269,3250,3270,3232
2019-09-30,3251,3281,3338,3250
2019-10-08,3255,3232,3267,3223
2019-10-09,3239,3235,3253,3220
2019-10-10,3245,3239,3254,3217
2019-10-11,3240,3231,3240,3211
2019-10-14,3237,3201,3265,3201
2019-10-15,3201,3203,3219,3180
2019-10-16,3197,3189,3220,3182
2019-10-17,3189,3203,3205,3177
2019-10-18,3208,3189,3208,3157
2019-10-21,3190,3174,3194,3165
2019-10-22,3184,3192,3199,3167
2019-10-23,3195,3189,3215,3179
2019-10-24,3190,3192,3198,3174
2019-10-25,3191,3210,3210,3184
2019-10-28,3215,3202,3228,3196
2019-10-29,3201,3216,3220,3191
2019-10-30,3217,3228,3229,3199
2019-10-31,3235,3218,3239,3214
2019-11-01,3215,3231,3233,3206
2019-11-04,3232,3226,3235,3218
2019-11-05,3224,3254,3255,3217
2019-11-06,3255,3252,3277,3248
2019-11-07,3251,3237,3266,3235
2019-11-08,3235,3233,3247,3225
2019-11-11,3230,3215,3231,3197
2019-11-12,3210,3263,3265,3207
2019-11-13,3263,3261,3272,3250
2019-11-14,3280,3335,3348,3262
2019-11-15,3337,3360,3380,3332
2019-11-18,3369,3334,3370,3320
2019-11-19,3340,3369,3370,3313
2019-11-20,3382,3395,3408,3366
2019-11-21,3400,3366,3405,3355
2019-11-22,3369,3390,3410,3361
2019-11-25,3399,3417,3429,3366
2019-11-26,3409,3354,3409,3350
2019-11-27,3353,3360,3377,3334
2019-11-28,3360,3418,3432,3350
2019-11-29,3420,3427,3451,3392
2019-12-02,3423,3429,3445,3393
2019-12-03,3433,3403,3443,3401
2019-12-04,3398,3413,3436,3377
2019-12-05,3417,3404,3458,3401
2019-12-06,3580,3609,3619,3573
2019-12-09,3613,3668,3695,3594
2019-12-10,3668,3683,3698,3661
2019-12-11,3680,3743,3745,3680
2019-12-12,3746,3749,3772,3722
2019-12-13,3752,3726,3765,3713
2019-12-16,3714,3697,3757,3690
2019-12-17,3692,3687,3697,3680
2019-12-18,3690,3688,3700,3683
2019-12-19,3690,3716,3722,3682
2019-12-20,3720,3719,3735,3711
2019-12-23,3719,3741,3749,3719
2019-12-24,3741,3725,3754,3718
