Date,Open,Close,High,Low
2018-10-08,3850,3905,3906,3843
2018-10-09,3890,3899,3958,3880
2018-10-10,3884,3892,3908,3866
2018-10-11,3879,3853,3897,3842
2018-10-12,3855,3869,3903,3846
2018-10-15,3874,3857,3889,3851
2018-10-16,3856,3871,3894,3833
2018-10-17,3866,3870,3877,3845
2018-10-18,3865,3863,3909,3856
2018-10-19,3860,3835,3872,3830
2018-10-22,3842,3803,3842,3798
2018-10-23,3792,3796,3817,3792
2018-10-24,3801,3807,3809,3774
2018-10-25,3815,3811,3826,3785
2018-10-26,3806,3782,3814,3768
2018-10-29,3786,3745,3802,3726
2018-10-30,3747,3698,3748,3694
2018-10-31,3704,3726,3738,3699
2018-11-01,3732,3708,3733,3688
2018-11-02,3711,3646,3719,3621
2018-11-05,3656,3678,3689,3633
2018-11-06,3678,3681,3687,3669
2018-11-07,3685,3699,3707,3667
2018-11-08,3695,3672,3704,3647
2018-11-09,3671,3675,3683,3658
2018-11-12,3670,3715,3725,3664
2018-11-13,3718,3695,3732,3680
2018-11-14,3695,3676,3703,3659
2018-11-15,3680,3656,3699,3652
2018-11-16,3660,3694,3709,3657
2018-11-19,3693,3656,3694,3654
2018-11-20,3656,3649,3661,3611
2018-11-21,3646,3666,3677,3628
2018-11-22,3670,3642,3670,3632
2018-11-23,3646,3604,3650,3588
2018-11-26,3600,3564,3629,3550
2018-11-27,3560,3538,3585,3531
2018-11-28,3541,3555,3563,3529
2018-11-29,3556,3562,3572,3541
2018-11-30,3562,3566,3574,3552
2018-12-03,3569,3561,3577,3520
2018-12-04,3561,3492,3564,3477
2018-12-05,3493,3495,3508,3474
2018-12-06,3496,3488,3515,3486
2018-12-07,3492,3458,3499,3444
2018-12-10,3470,3455,3470,3438
2018-12-11,3457,3454,3488,3409
2018-12-12,3458,3455,3459,3443
2018-12-13,3455,3456,3471,3439
2018-12-14,3456,3435,3461,3405
2018-12-17,3437,3450,3459,3427
2018-12-18,3452,3436,3456,3422
2018-12-19,3438,3463,3475,3438
2018-12-20,3463,3445,3465,3437
2018-12-21,3442,3400,3455,3393
2018-12-24,3144,3169,3176,3141
2018-12-25,3160,3185,3194,3160
2018-12-26,3182,3168,3196,3162
2018-12-27,3170,3163,3178,3145
2018-12-28,3150,3150,3166,3145
2019-01-02,3166,3199,3201,3156
2019-01-03,3481,3495,3500,3481
2019-01-04,3486,3491,3506,3475
2019-01-07,3495,3493,3506,3466
2019-01-08,3497,3499,3505,3478
2019-01-09,3501,3494,3502,3478
2019-01-10,3497,3475,3504,3469
2019-01-11,3470,3446,3478,3438
2019-01-14,3450,3419,3454,3416
2019-01-15,3418,3424,3432,3414
2019-01-16,3420,3390,3427,3380
2019-01-17,3388,3395,3408,3388
2019-01-18,3410,3417,3421,3395
2019-01-21,3424,3436,3451,3416
2019-01-22,3438,3438,3451,3425
2019-01-23,3440,3435,3445,3425
2019-01-24,3440,3456,3466,3433
2019-01-25,3447,3458,3462,3437
2019-01-28,3451,3455,3477,3448
2019-01-29,3455,3446,3459,3428
2019-01-30,3447,3427,3452,3423
2019-01-31,3432,3454,3455,3416
2019-02-01,3454,3477,3488,3444
2019-02-11,3473,3545,3549,3471
