Date,Open,Close,High,Low
2013-10-21,978.0,977.0,984.0,962.0
2013-10-22,976.0,969.0,977.0,960.0
2013-10-23,963.0,948.0,966.0,948.0
2013-10-24,949.0,939.0,953.0,936.0
2013-10-25,938.0,926.0,939.0,916.0
2013-10-28,928.0,918.0,936.0,917.0
2013-10-29,920.0,923.0,928.0,917.0
2013-10-30,924.0,921.0,925.0,913.0
2013-10-31,919.0,924.0,930.0,916.0
2013-11-01,925.0,922.0,927.0,920.0
2013-11-04,921.0,942.0,954.0,921.0
2013-11-05,943.0,950.0,957.0,942.0
2013-11-06,948.0,946.0,954.0,943.0
2013-11-07,949.0,944.0,951.0,944.0
2013-11-08,945.0,945.0,947.0,939.0
2013-11-11,947.0,939.0,948.0,936.0
2013-11-12,940.0,942.0,944.0,934.0
2013-11-13,940.0,943.0,944.0,936.0
2013-11-14,941.0,943.0,952.0,940.0
2013-11-15,940.0,937.0,944.0,937.0
2013-11-18,939.0,931.0,942.0,930.0
2013-11-19,931.0,932.0,935.0,925.0
2013-11-20,931.0,942.0,943.0,930.0
2013-11-21,943.0,942.0,946.0,940.0
2013-11-22,942.0,932.0,943.0,932.0
2013-11-25,934.0,931.0,935.0,929.0
2013-11-26,933.0,933.0,936.0,928.0
2013-11-27,934.0,941.0,943.0,934.0
2013-11-28,940.0,936.0,942.0,933.0
2013-11-29,933.0,939.0,940.0,933.0
2013-12-02,939.0,939.0,945.0,939.0
2013-12-03,940.0,936.0,941.0,934.0
2013-12-04,938.0,939.0,941.0,936.0
2013-12-05,942.0,952.0,955.0,941.0
2013-12-06,953.0,945.0,956.0,944.0
2013-12-09,944.0,941.0,945.0,938.0
2013-12-10,941.0,945.0,946.0,940.0
2013-12-11,946.0,942.0,947.0,942.0
2013-12-12,942.0,937.0,942.0,934.0
2013-12-13,936.0,930.0,938.0,930.0
2013-12-16,927.0,914.0,927.0,905.0
2013-12-17,913.0,918.0,923.0,912.0
2013-12-18,918.0,910.0,920.0,908.0
2013-12-19,908.0,906.0,913.0,902.0
2013-12-20,909.0,908.0,913.0,907.0
2013-12-23,909.0,905.0,913.0,901.0
2013-12-24,904.0,893.0,905.0,885.0
2013-12-25,892.0,900.0,907.0,892.0
2013-12-26,903.0,903.0,904.0,898.0
2013-12-27,903.0,896.0,904.0,885.0
2013-12-30,898.0,907.0,910.0,896.0
2013-12-31,908.0,911.0,920.0,908.0
2014-01-01,908.0,911.0,914.0,899.0
2014-01-02,908.0,911.0,914.0,908.0
2014-01-03,912.0,907.0,912.0,899.0
2014-01-06,904.0,902.0,905.0,887.0
2014-01-07,900.0,893.0,900.0,888.0
2014-01-08,892.0,896.0,899.0,887.0
2014-01-09,895.0,892.0,897.0,884.0
2014-01-10,891.0,888.0,899.0,884.0
2014-01-13,885.0,881.0,886.0,870.0
2014-01-14,879.0,871.0,880.0,868.0
2014-01-15,875.0,880.0,881.0,866.0
2014-01-16,880.0,879.0,882.0,875.0
2014-01-17,880.0,879.0,885.0,875.0
2014-01-20,876.0,876.0,878.0,870.0
2014-01-21,872.0,861.0,876.0,859.0
2014-01-22,860.0,847.0,861.0,843.0
2014-01-23,850.0,852.0,858.0,845.0
2014-01-24,857.0,878.0,885.0,855.0
2014-01-27,877.0,877.0,880.0,871.0
2014-01-28,871.0,864.0,874.0,861.0
2014-01-29,863.0,857.0,867.0,857.0
2014-01-30,857.0,866.0,868.0,856.0
2014-01-31,864.0,868.0,871.0,860.0
2014-02-03,864.0,868.0,871.0,860.0
2014-02-10,865.0,856.0,868.0,853.0
2014-02-11,856.0,854.0,859.0,846.0
2014-02-12,852.0,848.0,857.0,845.0
2014-02-13,849.0,853.0,855.0,844.0
2014-02-14,853.0,854.0,858.0,850.0
2014-02-17,854.0,861.0,865.0,854.0
2014-02-18,862.0,873.0,874.0,862.0
2014-02-19,876.0,860.0,878.0,860.0
2014-02-20,863.0,864.0,867.0,860.0
2014-02-21,862.0,852.0,864.0,852.0
2014-02-24,852.0,851.0,854.0,846.0
2014-02-25,846.0,821.0,846.0,817.0
2014-02-26,823.0,817.0,827.0,812.0
2014-02-27,816.0,820.0,821.0,811.0
2014-02-28,817.0,824.0,826.0,816.0
2014-03-03,825.0,817.0,828.0,811.0
2014-03-04,816.0,811.0,819.0,804.0
2014-03-05,810.0,812.0,813.0,804.0
2014-03-06,803.0,802.0,807.0,788.0
2014-03-07,803.0,787.0,804.0,785.0
2014-03-10,788.0,764.0,788.0,764.0
2014-03-11,741.0,728.0,741.0,728.0
2014-03-12,720.0,740.0,752.0,707.0
2014-03-13,713.0,737.0,742.0,705.0
2014-03-14,741.0,749.0,752.0,728.0
2014-03-17,749.0,740.0,750.0,721.0
2014-03-18,744.0,729.0,748.0,728.0
2014-03-19,729.0,732.0,738.0,722.0
2014-03-20,736.0,732.0,738.0,729.0
2014-03-21,742.0,733.0,762.0,733.0
2014-03-24,736.0,733.0,743.0,729.0
2014-03-25,730.0,744.0,745.0,714.0
2014-03-26,744.0,759.0,759.0,738.0
2014-03-27,763.0,758.0,764.0,749.0
2014-03-28,754.0,757.0,770.0,752.0
2014-03-31,758.0,781.0,784.0,757.0
2014-04-01,781.0,794.0,799.0,778.0
2014-04-02,796.0,800.0,802.0,787.0
2014-04-03,801.0,784.0,803.0,777.0
2014-04-04,783.0,799.0,800.0,778.0
2014-04-07,802.0,808.0,810.0,795.0
2014-04-09,809.0,825.0,833.0,808.0
2014-04-10,826.0,819.0,831.0,816.0
2014-04-11,822.0,816.0,828.0,812.0
2014-04-14,816.0,814.0,817.0,809.0
2014-04-15,812.0,803.0,819.0,795.0
2014-04-16,803.0,812.0,812.0,796.0
2014-04-17,812.0,797.0,812.0,792.0
2014-04-18,799.0,795.0,802.0,794.0
2014-04-21,794.0,781.0,795.0,774.0
2014-04-22,782.0,781.0,788.0,776.0
2014-04-23,778.0,779.0,782.0,768.0
2014-04-24,780.0,786.0,787.0,768.0
2014-04-25,788.0,794.0,802.0,783.0
2014-04-28,797.0,795.0,801.0,792.0
2014-04-29,787.0,760.0,788.0,757.0
2014-04-30,759.0,771.0,774.0,759.0
2014-05-01,768.0,765.0,771.0,755.0
2014-05-02,768.0,765.0,771.0,765.0
2014-05-05,768.0,765.0,771.0,755.0
2014-05-06,759.0,771.0,772.0,755.0
