Date,Open,Close,High,Low
2018-10-08,8048,8018,8088,7950
2018-10-09,8076,8056,8076,8018
2018-10-10,8060,8072,8150,8040
2018-10-11,8004,8058,8120,7964
2018-10-12,8072,8180,8190,8052
2018-10-15,8186,8218,8228,8156
2018-10-16,8170,8236,8294,8162
2018-10-17,8252,8242,8306,8202
2018-10-18,8202,8260,8304,8182
2018-10-19,8266,8250,8290,8230
2018-10-22,8268,8304,8380,8222
2018-10-23,8310,8262,8310,8238
2018-10-24,8344,8326,8344,8236
2018-10-25,8306,8374,8374,8258
2018-10-26,8400,8380,8450,8024
2018-10-29,8394,8324,8394,8302
2018-10-30,8316,8314,8350,8272
2018-10-31,8270,8262,8314,8244
2018-11-01,8250,8188,8286,8188
2018-11-02,8182,8128,8206,8028
2018-11-05,8148,8084,8180,8068
2018-11-06,8090,8132,8218,8060
2018-11-07,8082,8068,8100,8024
2018-11-08,8012,8090,8544,7982
2018-11-09,8100,8036,8122,8026
2018-11-12,7980,7736,8004,7736
2018-11-13,7708,7668,7758,7588
2018-11-14,7620,7766,7808,7620
2018-11-15,7750,7798,7804,7720
2018-11-16,7870,7946,7998,7860
2018-11-19,7910,7998,8038,7880
2018-11-20,7972,7892,7988,7862
2018-11-21,7736,7858,7894,7554
2018-11-22,7848,7786,7874,7736
2018-11-23,7752,7732,7794,7730
2018-11-26,7566,7302,7630,7302
2018-11-27,7292,7218,7384,7026
2018-11-28,7174,7260,7308,7108
2018-11-29,7300,7274,7416,7164
2018-11-30,7280,7276,7308,7214
2018-12-03,7532,7400,7694,7352
2018-12-04,7360,7506,7518,7358
2018-12-05,7500,7670,7682,7480
2018-12-06,7642,7588,7642,7540
2018-12-07,7580,7680,7692,7498
2018-12-10,7618,7496,7620,7456
2018-12-11,7456,7508,7574,7422
2018-12-12,7558,7432,7578,7428
2018-12-13,7470,7480,7510,7434
2018-12-14,7506,7452,7536,7400
2018-12-17,7458,7468,7470,7364
2018-12-18,7440,7448,7466,7386
2018-12-19,7400,7398,7438,7348
2018-12-20,7396,7382,7444,7300
2018-12-21,7390,7280,7410,7274
2018-12-24,7990,8160,8178,7962
2018-12-25,8132,8196,8200,8000
2018-12-26,8178,8124,8200,8080
2018-12-27,8182,8080,8182,8070
2018-12-28,8080,8020,8120,7994
2019-01-02,8000,8006,8082,8000
2019-01-03,8002,8060,8076,8002
2019-01-04,8034,8050,8082,8034
2019-01-07,8044,7998,8044,7998
2019-01-08,8000,8000,8000,7950
2019-01-09,7950,8060,8060,7950
2019-01-10,7950,8150,8150,7950
2019-01-11,8060,8200,8200,8030
2019-01-14,8100,7750,8100,7690
2019-01-15,7700,7750,7750,7690
2019-01-17,7064,7060,7130,7008
2019-01-18,7118,7172,7198,7086
2019-01-21,7182,7172,7220,7134
2019-01-22,7188,7026,7204,7022
2019-01-23,7032,7044,7088,7002
2019-01-24,7058,7036,7060,7008
2019-01-25,7070,6996,7104,6988
2019-01-28,7016,7090,7116,7016
2019-01-29,7056,7032,7056,6998
2019-01-30,7060,7110,7144,7040
2019-01-31,7118,7162,7168,7094
2019-02-01,7196,7136,7196,7112
2019-02-11,7184,7244,7312,7166
2019-02-12,7236,7298,7298,7206
2019-02-13,7244,7264,7294,7224
2019-02-14,7278,7282,7316,7260
2019-02-15,7280,7222,7298,7212
2019-02-18,7262,7174,7288,7150
2019-02-19,7188,7200,7216,7162
2019-02-20,7198,7278,7310,7170
2019-02-21,7316,7302,7350,7280
2019-02-22,7302,7316,7326,7274
2019-02-25,7346,7334,7416,7314
2019-02-26,7338,7338,7368,7278
2019-02-27,7154,7120,7172,7120
2019-02-28,7120,7090,7120,7086
2019-03-01,7304,7330,7390,7288
2019-03-04,7340,7452,7480,7304
2019-03-05,7398,7448,7456,7394
2019-03-06,7458,7468,7484,7416
2019-03-07,7458,7514,7516,7450
2019-03-08,7460,7472,7490,7378
2019-03-11,7450,7468,7530,7450
2019-03-12,7490,7502,7530,7468
