Date,Open,Close,High,Low
2013-11-11,4050,3976,4078,3970
2013-11-12,3982,3941,3983,3932
2013-11-13,3940,3951,3970,3932
2013-11-14,3946,3952,3970,3935
2013-11-15,3958,3957,3963,3939
2013-11-18,3955,4013,4015,3954
2013-11-19,4015,4029,4039,4003
2013-11-20,4025,4023,4036,4012
2013-11-21,4025,4036,4048,4016
2013-11-22,4039,4010,4039,4005
2013-11-25,4012,4018,4040,4006
2013-11-26,4021,4168,4178,4021
2013-11-27,4170,4162,4180,4145
2013-11-28,4166,4138,4174,4123
2013-11-29,4138,4174,4193,4138
2013-12-02,4179,4172,4185,4156
2013-12-03,4173,4162,4190,4151
2013-12-04,4160,4163,4196,4140
2013-12-05,4166,4153,4176,4150
2013-12-06,4155,4159,4181,4149
2013-12-09,4160,4131,4180,4109
2013-12-10,4138,4134,4150,4130
2013-12-11,4143,4155,4190,4134
2013-12-12,4161,4155,4175,4149
2013-12-13,4159,4153,4172,4144
2013-12-16,4147,4101,4157,4090
2013-12-17,4111,4088,4119,4082
2013-12-18,4091,4107,4125,4091
2013-12-19,4101,4098,4122,4094
2013-12-20,4093,3989,4093,3962
2013-12-23,3971,3982,4000,3967
2013-12-24,3957,3969,3973,3933
2013-12-25,3963,3982,3994,3961
2013-12-26,3985,3995,4023,3980
2013-12-27,4000,3973,4017,3958
2013-12-30,3972,3968,3993,3965
2013-12-31,3970,3984,4006,3967
2014-01-01,3981,3951,4000,3939
2014-01-02,3981,3951,4000,3951
2014-01-03,3951,3975,3978,3941
2014-01-06,3998,4015,4036,3980
2014-01-07,4005,3943,4024,3940
2014-01-08,3832,3865,3919,3832
2014-01-09,3869,3857,3884,3843
2014-01-10,3850,3826,3880,3808
2014-01-13,3822,3832,3847,3815
2014-01-14,3830,3826,3860,3816
2014-01-15,3834,3865,3875,3827
2014-01-16,3866,3828,3866,3820
2014-01-17,3835,3770,3837,3766
2014-01-20,3770,3778,3785,3751
2014-01-21,3772,3781,3808,3772
2014-01-22,3771,3734,3772,3725
2014-01-23,3730,3696,3731,3666
2014-01-24,3688,3706,3721,3686
2014-01-27,3700,3703,3718,3676
2014-01-28,3688,3726,3735,3685
2014-01-29,3710,3729,3762,3710
2014-01-30,3732,3728,3759,3714
2014-01-31,3727,3741,3752,3724
2014-02-03,3727,3741,3752,3724
2014-02-10,3741,3697,3780,3693
2014-02-11,3687,3739,3750,3676
2014-02-12,3740,3720,3767,3718
2014-02-13,3719,3719,3732,3701
2014-02-14,3730,3730,3749,3720
2014-02-17,3735,3831,3834,3708
2014-02-18,3840,3840,3859,3816
2014-02-19,3842,3851,3866,3822
2014-02-20,3868,3850,3876,3838
2014-02-21,3845,3785,3850,3777
2014-02-24,3780,3781,3798,3755
2014-02-25,3785,3795,3817,3756
2014-02-26,3790,3687,3802,3680
2014-02-27,3680,3697,3710,3630
2014-02-28,3708,3693,3726,3682
2014-03-03,3700,3720,3720,3680
2014-03-04,3731,3789,3794,3731
2014-03-05,3789,3847,3849,3780
2014-03-06,3868,3870,3880,3833
2014-03-07,3875,3855,3879,3835
2014-03-10,3862,4008,4008,3837
2014-03-11,4016,4080,4090,3999
2014-03-12,4080,4117,4138,4066
2014-03-13,4102,4115,4126,4073
2014-03-14,4115,4236,4262,4106
2014-03-17,4236,4218,4266,4180
2014-03-18,4236,4048,4240,4048
2014-03-19,4032,4030,4071,3987
2014-03-20,4046,4026,4059,4000
2014-03-21,4032,4024,4044,3951
2014-03-24,4033,4111,4155,4011
2014-03-25,4093,4097,4138,4073
2014-03-26,4588,4584,4600,4563
2014-03-27,4585,4625,4642,4541
2014-03-28,4629,4632,4651,4610
2014-03-31,4640,4618,4644,4580
2014-04-01,4602,4596,4609,4570
2014-04-02,4600,4596,4648,4582
2014-04-03,4600,4569,4616,4550
2014-04-04,4550,4615,4625,4540
2014-04-07,4605,4625,4630,4602
2014-04-09,4625,4683,4695,4625
2014-04-10,4688,4662,4709,4647
2014-04-11,4669,4708,4716,4662
2014-04-14,4705,4708,4716,4675
2014-04-15,4702,4683,4733,4661
2014-04-16,4688,4703,4705,4666
2014-04-17,4710,4726,4731,4676
