期货代码,期货名称,secid,归属交易所
RM301,菜粕301,115.RM301,郑商所
snm,沪锡主力,113.snm,上期所
sn2302,沪锡2302,113.sn2302,上期所
sns,沪锡次主力,113.sns,上期所
sn2303,沪锡2303,113.sn2303,上期所
sn2304,沪锡2304,113.sn2304,上期所
sn2305,沪锡2305,113.sn2305,上期所
APM,苹果主力,115.APM,郑商所
AP305,苹果305,115.AP305,郑商所
sn2301,沪锡2301,113.sn2301,上期所
sn2306,沪锡2306,113.sn2306,上期所
sn2308,沪锡2308,113.sn2308,上期所
sn2307,沪锡2307,113.sn2307,上期所
AP304,苹果304,115.AP304,郑商所
sn2309,沪锡2309,113.sn2309,上期所
AP303,苹果303,115.AP303,郑商所
sn2310,沪锡2310,113.sn2310,上期所
sn2311,沪锡2311,113.sn2311,上期所
sn2312,沪锡2312,113.sn2312,上期所
AP311,苹果311,115.AP311,郑商所
zn2308,沪锌2308,113.zn2308,上期所
071106,IH2306,8.071106,中金所
070123,IH隔季连续,8.070123,中金所
071103,IH2303,8.071103,中金所
070131,IH次主力合约,8.070131,中金所
070122,IH下季连续,8.070122,中金所
071102,IH2302,8.071102,中金所
070121,IH下月连续,8.070121,中金所
APS,苹果次主力,115.APS,郑商所
AP310,苹果310,115.AP310,郑商所
071101,IH2301,8.071101,中金所
070130,IH主力合约,8.070130,中金所
070120,IH当月连续,8.070120,中金所
AP312,苹果312,115.AP312,郑商所
041102,IF2302,8.041102,中金所
040121,IF下月连续,8.040121,中金所
TA301,PTA301,115.TA301,郑商所
041103,IF2303,8.041103,中金所
040131,IF次主力合约,8.040131,中金所
040122,IF下季连续,8.040122,中金所
041106,IF2306,8.041106,中金所
040123,IF隔季连续,8.040123,中金所
041101,IF2301,8.041101,中金所
040130,IF主力合约,8.040130,中金所
040120,IF当月连续,8.040120,中金所
UR306,尿素306,115.UR306,郑商所
zn2306,沪锌2306,113.zn2306,上期所
fu2304,燃油2304,113.fu2304,上期所
al2307,沪铝2307,113.al2307,上期所
UR304,尿素304,115.UR304,郑商所
UR310,尿素310,115.UR310,郑商所
v2307,PVC2307,114.v2307,大商所
zn2304,沪锌2304,113.zn2304,上期所
zns,沪锌次主力,113.zns,上期所
zn2303,沪锌2303,113.zn2303,上期所
v2308,PVC2308,114.v2308,大商所
URM,尿素主力,115.URM,郑商所
UR305,尿素305,115.UR305,郑商所
URS,尿素次主力,115.URS,郑商所
UR303,尿素303,115.UR303,郑商所
zn2305,沪锌2305,113.zn2305,上期所
v2311,PVC2311,114.v2311,大商所
vm,PVC主力,114.vm,大商所
v2305,PVC2305,114.v2305,大商所
v2310,PVC2310,114.v2310,大商所
v2304,PVC2304,114.v2304,大商所
alm,沪铝主力,113.alm,上期所
al2302,沪铝2302,113.al2302,上期所
ag2309,沪银2309,113.ag2309,上期所
fu2311,燃油2311,113.fu2311,上期所
SAS,纯碱次主力,115.SAS,郑商所
SA309,纯碱309,115.SA309,郑商所
vs,PVC次主力,114.vs,大商所
v2303,PVC2303,114.v2303,大商所
znm,沪锌主力,113.znm,上期所
zn2302,沪锌2302,113.zn2302,上期所
v2309,PVC2309,114.v2309,大商所
PF302,短纤302,115.PF302,郑商所
PFS,短纤次主力,115.PFS,郑商所
PF304,短纤304,115.PF304,郑商所
als,沪铝次主力,113.als,上期所
al2303,沪铝2303,113.al2303,上期所
TAS,PTA次主力,115.TAS,郑商所
TA303,PTA303,115.TA303,郑商所
